session_id,utterance_id,role,content,timestamp
lfkrmqk,0,background,[unclear],00:00:00
lfkrmqk,1,tutor,Hello?,00:00:00
lfkrmqk,2,student,Hello.,00:00:01
lfkrmqk,3,tutor,"Hi, Lachlan, can you hear me?",00:00:03
lfkrmqk,4,student,Yes.,00:00:06
lfkrmqk,5,tutor,"Okay, that's great. So wonderful, welcome back to the session, Lachlan. How are you?",00:00:07
lfkrmqk,6,student,I'm good.,00:00:13
lfkrmqk,7,tutor,That's really nice. How has your day been so far?,00:00:14
lfkrmqk,8,student,It's been good so far.,00:00:19
lfkrmqk,9,tutor,Very good to hear that. So did you do anything interesting in your school today that you may share with us?,00:00:22
lfkrmqk,10,student,"Um... [unclear] History. [unclear] History, okay.",00:00:30
lfkrmqk,11,tutor,Yeah.,00:00:45
lfkrmqk,12,student,All right. Do you like history? [unclear],00:00:46
lfkrmqk,13,tutor,Do you like it?,00:00:53
lfkrmqk,14,student,Yeah.,00:00:54
lfkrmqk,15,tutor,Okay. So did you do any maths today?,00:00:56
lfkrmqk,16,student,Yes.,00:00:59
lfkrmqk,17,tutor,What did you learn about?,00:01:01
lfkrmqk,18,student,We learned how to add mixed fractions.,00:01:03
lfkrmqk,19,tutor,"Okay, so do you think that was interesting enough?",00:01:10
lfkrmqk,20,student,Yeah.,00:01:13
lfkrmqk,21,tutor,"Very nice. All right then, shall we see what we have in our session for today?",00:01:14
lfkrmqk,22,student,Yes.,00:01:21
lfkrmqk,23,tutor,"Here we go. So in today's session, we will be learning how to solve multi-step addition and subtraction problems. Now",00:01:22
lfkrmqk,24,tutor,Multi-step means— what do you mean by that? What do you call them multi-step?,00:01:34
lfkrmqk,25,student,Problems which have more than one step.,00:01:45
lfkrmqk,26,tutor,"Exactly, multi-step. We might have to add, take away, or we might have to [unclear] division. So problems will have more than one step. Step. So to make you come across with one of that, we have to try this [UNCLEAR]. Do you think you can give a try?",00:01:51
lfkrmqk,27,student,Okay.,00:02:13
lfkrmqk,28,tutor,"Okay, give a try. When you need to vote, let me know.",00:02:14
lfkrmqk,29,student,Okay.,00:02:20
lfkrmqk,30,tutor,All right. [unclear],00:02:21
lfkrmqk,31,student,"Oh, um, uh, I— [unclear]",00:02:31
lfkrmqk,32,tutor,Wait.,00:03:40
lfkrmqk,33,student,"Hey, you can take your time, yeah. [unclear]",00:03:40
lfkrmqk,34,student,"If you like any [UNCLEAR], you can show that.",00:04:27
lfkrmqk,35,tutor,Okay. [unclear],00:04:39
lfkrmqk,36,tutor,No way.,00:04:47
lfkrmqk,37,student,Yes. I'm done.,00:04:52
lfkrmqk,38,tutor,"Alright, there you go. That's a wonderful try. It's really nice that you gave it a try even though it feels like an [UNCLEAR]. But that's a really good job in working out. You can give, explain this to me.",00:05:38
lfkrmqk,39,student,"So,",00:05:57
lfkrmqk,40,student,"This question says a bookshop has 1,432 books in the morning, and it says that they receive a delivery of 300— no, 737 more books, and they sold 686 books. So the question is, how many books are left at the end of the day? So the first step is to add 737 to 1,432 books.",00:06:00
lfkrmqk,41,tutor,Why would you add?,00:06:39
lfkrmqk,42,student,"Because it says that they received a delivery of 737 more books, which means that they got 737 more books than how many they had in the morning.",00:06:42
lfkrmqk,43,tutor,Very good and discerning. Excellent.,00:06:58
lfkrmqk,44,student,"So in my head I added them together and I got 2,169. [unclear] It says that they sold 686 books. First when I did it, I forgot, so I added and then I realized that it said sold. So then I rubbed out the answer this time, and then after that I subtracted it. So, and when I subtracted 686 from 2169, I got 1483. So the answer is 1483 books.",00:07:02
lfkrmqk,45,tutor,[unclear],00:07:50
lfkrmqk,46,tutor,Very good job. And why did you choose to take away 686?,00:07:50
lfkrmqk,47,student,"Because it says that they sold 668 books, so that means that they have taken away— that 686 books have been taken away from the amount of books that they have.",00:07:57
lfkrmqk,48,tutor,"Very good. There you go. That's an excellent idea that you have about the question. Very nice job. And it was well explained by you. Excellent effort, Lachlan. Very good.",00:08:18
lfkrmqk,49,student,Thank you.,00:08:32
lfkrmqk,50,tutor,"You're welcome. You were able to understand that we have more than one step that needs to be done to get the answer for this question. And you were able to catch the keywords and give the correct operations. That's a very good focus that you have. Amazing. All right, so do you think we can directly move on and practice the question with this in similar pattern?",00:08:33
lfkrmqk,51,student,Okay.,00:09:04
lfkrmqk,52,tutor,"Okay, here we go. So these are scenarios which is kind of similar, and remember, we are here solving multiplication, one step addition, and subtraction. Abstraction. So you can give a try for both of them, and you can use this space if needed.",00:09:06
lfkrmqk,53,tutor,Okay. [unclear] [unclear],00:09:24
lfkrmqk,54,student,"And then if they have a table, if I add 244 pounds to— oh, I've worked it out the wrong way. [unclear]",00:11:01
lfkrmqk,55,student,"Oh, yes, I did. That is— [unclear]",00:12:37
lfkrmqk,56,student,"Wait, no. [unclear]",00:12:46
lfkrmqk,57,student,I'm done. [unclear],00:14:31
lfkrmqk,58,student,"So, first I did— the question says there are 496 cupcakes in the shop and 137 more cupcakes are delivered and then 338 cupcakes are sold. And the question asks how many cupcakes are left?",00:14:53
lfkrmqk,59,student,"So the first step is to add 137 to 496 because it says that 137 more cupcakes were delivered, which means that now there are 137 more cupcakes in the shop.",00:15:19
lfkrmqk,60,tutor,Amazing.,00:15:39
lfkrmqk,61,student,So I added them together to get 633.,00:15:40
lfkrmqk,62,student,"And then the next step is to subtract 338 from 633 because it says that 338 cupcakes were sold, which means that 338 cupcakes got taken away from the total. So I subtracted 338 from 633. And I got the final answer, which is 295.",00:15:47
lfkrmqk,63,tutor,Amazing. That was a great understanding of what you have to do with the question. You are able to know when to add and when to take away and what exactly the question is asking for. Very good job. You'll have to check out one [unclear] at the end of the day. So you'll have to take a look at it [unclear],00:16:23
lfkrmqk,64,tutor,I can't hear you very well.,00:16:48
lfkrmqk,65,student,Can you hear me?,00:17:04
lfkrmqk,66,tutor,Hello?,00:17:14
lfkrmqk,67,student,Hello?,00:17:15
lfkrmqk,68,tutor,"Yes, Lachlan, can you hear me?",00:17:15
lfkrmqk,69,student,Yes.,00:17:18
lfkrmqk,70,tutor,"Okay, am I loud enough?",00:17:19
lfkrmqk,71,student,Yes.,00:17:24
lfkrmqk,72,tutor,"Okay, so do you think you're very clear with this question or do you have anything that you need to clarify?",00:17:24
lfkrmqk,73,student,I'm clear now.,00:17:33
lfkrmqk,74,tutor,"That is great. Okay, and I see that you have also filled out this one, which is once again",00:17:34
lfkrmqk,75,tutor,Great. Can you walk me through this text? Why would you choose to take [UNCLEAR]?,00:17:41
lfkrmqk,76,student,"So the question says that a garden centre has 1,745 plants on Monday morning, and it says that 889 plants were sold by lunchtime on Monday, and then it says 550 plants were sold",00:17:46
lfkrmqk,77,student,"258 plants are then delivered on Monday afternoon. And the question says, how many plants are there after the delivery? So the first step is to subtract 889 from 1,745 because first it says that 889 plants were sold by lunchtime.",00:18:07
lfkrmqk,78,student,So I know that lunchtime is before the [UNCLEAR]. Lunchtime is before the afternoon. So I know that this is the first step. So I subtracted 889 from 1745. So,00:18:34
lfkrmqk,79,student,"I got 856, and then the next step is to add 558 to 856 because in the afternoon it says that 558 plants are delivered, which means that there are 558 more plants So then I added them together and I got the final answer, which is 1,414.",00:18:59
lfkrmqk,80,tutor,"Very nice. That's a great explanation coming from you and a brief understanding about the question. So you correctly chose [unclear] because sold is something that is going out and delivered is something that is coming in. Side of what we have. So very good job in working out this all by yourself. And yes, it is 1,414. And also let's not forget to put the commas to separate the thousands [UNCLEAR]. Okay?",00:19:35
lfkrmqk,81,student,Okay.,00:20:10
lfkrmqk,82,tutor,"Alright, so do you think you are ready for another question now?",00:20:12
lfkrmqk,83,student,Yes.,00:20:16
lfkrmqk,84,tutor,Let's go. So here we have Sid and Tara. And let's see how you can [unclear],00:20:18
lfkrmqk,85,student,Okay. [unclear],00:20:26
lfkrmqk,86,student,I'm stuck.,00:22:22
lfkrmqk,87,tutor,"Okay, okay, no worries. Now let's do this together, okay?",00:22:23
lfkrmqk,88,student,Okay.,00:22:29
lfkrmqk,89,tutor,And can you tell me what did you understand?,00:22:30
lfkrmqk,90,tutor,and where do you think you stopped?,00:22:30
lfkrmqk,91,student,"So first I was going to [unclear] I was thinking that I should first subtract 244 from 546. However, I realised that it was incorrect, so I was confused on what to do.",00:22:37
lfkrmqk,92,tutor,"Okay. So, yes. Now let's do this. So if you see the very first line, you can see that [unclear] and Sarah, they both have the amount of 546. Yeah?",00:23:01
lfkrmqk,93,student,Yeah.,00:23:16
lfkrmqk,94,tutor,So can I write it like this? Can I write it like this?,00:23:17
lfkrmqk,95,student,Yeah.,00:23:34
lfkrmqk,96,tutor,"Very good. Now Tara had 244 more than Cedar, so Tara will be having an amount that is more than Cedar, and that is 244",00:23:35
lfkrmqk,97,tutor,So what do you think? What was the very first thing that you thought of doing with this?,00:23:52
lfkrmqk,98,student,Subtract it from 546.,00:23:59
lfkrmqk,99,tutor,"Very good. So after subtracting, what do you think? How much money does Cedar have? So you need to check if that's [UNCLEAR]. Okay, first let's do this. First, shall we try to subtract?",00:24:03
lfkrmqk,100,tutor,Okay.,00:24:19
lfkrmqk,101,student,"Okay. So can you tell me, after you subtract, what are you left with?",00:24:20
lfkrmqk,102,tutor,"Um, should I do the calculation?",00:24:28
lfkrmqk,103,student,"Yes, I want you to give a try.",00:24:30
lfkrmqk,104,tutor,I'm doing it in my head.,00:24:35
lfkrmqk,105,student,"Oh yeah, you can do that. That's amazing.",00:24:38
lfkrmqk,106,student,302.,00:24:45
lfkrmqk,107,tutor,"Okay, very good job. Excellent. So they have 302 rupees left. So can you do this calculation over here? 546 take away 244. Can you do that and show me?",00:24:48
lfkrmqk,108,student,Okay.,00:25:05
lfkrmqk,109,tutor,All right. [unclear],00:25:06
lfkrmqk,110,tutor,"Very nice. As you know the answer, you can just put the answer.",00:25:22
lfkrmqk,111,student,Okay. [unclear],00:25:34
lfkrmqk,112,tutor,"All right. Okay, this is number 4. So I believe you understood up to this point, even before you were stopped. Yeah?",00:25:35
lfkrmqk,113,student,Yeah.,00:25:53
lfkrmqk,114,tutor,"Okay, now we have 302 left. If we take away the amount that is more, that [unclear] is having. That is, if you go to this bar model, you see the bar model, and you know both of this amount adds up to 546, and this amount, the amount that is more, is equal to 246. And now we can all say this amount is equal equivalent to 302, isn't it?",00:25:53
lfkrmqk,115,student,Yeah.,00:26:34
lfkrmqk,116,tutor,"Okay. So now, why do you think you are stuck now?",00:26:35
lfkrmqk,117,student,Because I realized that— I didn't realize,00:26:42
lfkrmqk,118,student,"I didn't look closely and I didn't really notice that if I subtract 244 from 546, the remaining, the thing, the one that would be left would be [unclear]",00:26:53
lfkrmqk,119,student,"Would be equal amounts of both, right?",00:27:20
