session_id,utterance_id,role,content,timestamp
fekwqaj,0,student,"Sorry, breaking up a little bit. Sorry. It's working now. It's working now. [unclear]",00:00:00
fekwqaj,1,tutor,"Good. Yes, thank you.",00:00:19
fekwqaj,2,tutor,Have you been doing much today? [unclear],00:00:24
fekwqaj,3,student,Yes. Nothing exciting really.,00:00:28
fekwqaj,4,tutor,"Okay, alright. What about your weekend, Declan? How did you spend it?",00:00:40
fekwqaj,5,student,Sorry?,00:00:45
fekwqaj,6,tutor,How did you spend your weekend? [unclear],00:00:47
fekwqaj,7,tutor,Did you do anything interesting?,00:00:54
fekwqaj,8,student,No.,00:00:58
fekwqaj,9,tutor,"Okay. All right, then we should be moving to the lesson.",00:01:01
fekwqaj,10,student,Okay.,00:01:06
fekwqaj,11,tutor,Yes. We have a tutor who is an adult today.,00:01:08
fekwqaj,12,student,Okay. Writing percentages as fractions and decimals.,00:01:15
fekwqaj,13,tutor,And the question given and the learning goal?,00:01:22
fekwqaj,14,student,Write 32% as a decimal. [unclear],00:01:25
fekwqaj,15,tutor,Do you know how to write [UNCLEAR]? [Speaker:Declan] No.,00:01:42
fekwqaj,16,tutor,"Okay. All right, then let's keep that aside for now, Declan. And what are parallel lines?",00:01:52
fekwqaj,17,student,"Right, I see tangents as a decimal. [unclear]",00:02:03
fekwqaj,18,student,Hello.,00:02:08
fekwqaj,19,tutor,Just tell her that we're just going to change headphones. [unclear],00:02:33
fekwqaj,20,student,"That's right, we're going to change headphones.",00:02:40
fekwqaj,21,tutor,"Great. Okay. Alright, today since we're learning about how you write different sentences, actions, and descriptives, just say to me, what do you know about the [UNCLEAR]? [Speaker:Declan] Sorry, what do you mean, what do you know about the [UNCLEAR]? [unclear]",00:02:43
fekwqaj,22,tutor,Have you come across the condition at school?,00:03:08
fekwqaj,23,student,Yeah.,00:03:15
fekwqaj,24,tutor,Okay. Do you remember learning anything about it?,00:03:16
fekwqaj,25,student,No.,00:03:20
fekwqaj,26,tutor,No?,00:03:24
fekwqaj,27,student,No.,00:03:25
fekwqaj,28,tutor,"All right. That's all right. So I'll just give you a brief explanation. Percentage is the number of parts per 100. Okay? [unclear] So that's what we're gonna do. Percentages are always out of 100. You come across fractions and decimals, right?",00:03:27
fekwqaj,29,student,Yeah.,00:03:52
fekwqaj,30,tutor,"Okay. So the point now, percentages is fractions and decimals. The most important thing is that you need to remember that percentages are out of 100.",00:03:54
fekwqaj,31,tutor,So let's move into the lesson.,00:04:02
fekwqaj,32,student,"Oh, good.",00:04:04
fekwqaj,33,tutor,"One more about this, Declan. This slide is done just for a basic understanding about fractions and decimals. Let's do this and then move into the concept. You read this. [unclear]",00:04:07
fekwqaj,34,student,Let's look how we write tenths and hundredths and decimals.,00:04:19
fekwqaj,35,tutor,"Yes. And the question, for example?",00:04:26
fekwqaj,36,student,"This shows 1/10 shaded in blue, which is equal to 10/100.",00:04:30
fekwqaj,37,tutor,"Yeah. Okay, you can see the hundredth grid. So 1/10, they're showing 1/10 and they're also showing 10/100. [unclear] And how do you write 1/10 as a decimal?",00:04:37
fekwqaj,38,student,Yeah.,00:04:53
fekwqaj,39,student,[unclear] 0.1.,00:05:02
fekwqaj,40,tutor,"Yes, that's written as 0.1. Okay, could you read this?",00:05:02
fekwqaj,41,student,You don't need to write a 0 here as it's not holding the place.,00:05:08
fekwqaj,42,tutor,"Okay, so they've shown the 0.1 here. And 10 hundredths is also written as 0.1 because 1 in 10, 10 hundredths, are the same.",00:05:16
fekwqaj,43,tutor,"Let's now look at the example, the question. Yeah, question 8. Can you read it?",00:05:26
fekwqaj,44,student,Yeah. [unclear] There are something tenths and something hundredths. Right? This is the same as something hundredths.,00:05:34
fekwqaj,45,tutor,Okay. So what number are they talking about?,00:05:49
fekwqaj,46,student,0.35.,00:05:53
fekwqaj,47,tutor,Yes. [unclear],00:05:55
fekwqaj,48,student,"There's 3 tenths of 500. [Speaker:Tutor]...yes. [Speaker:Declan] That's the same as... [Speaker:Declan]...35 hundredths. [Speaker:Tutor] That's right, Declan. Could you type in the answers? [unclear]",00:06:12
fekwqaj,49,student,"Because 0.5 equals 0.50 and 1/5 equals 0.2. That's equal to 2,500. All right, now question B. Can you read it? [unclear] [Speaker:Declan]...62. [UNCLEAR]",00:06:41
fekwqaj,50,tutor,Repeat it twice.,00:07:01
fekwqaj,51,student,I'm not sure.,00:07:21
fekwqaj,52,tutor,"Okay. Declan, in the number 6,200, how many tens are there and how many hundreds are there? [unclear] [unclear]",00:07:25
fekwqaj,53,tutor,Hello?,00:07:56
fekwqaj,54,student,Hello?,00:07:57
fekwqaj,55,tutor,"Yes, Declan. Yeah, how many tens and how many hundreds are there?",00:07:57
fekwqaj,56,student,"Yeah, I don't know what I'm doing right.",00:08:05
fekwqaj,57,tutor,"Okay, Declan, your answer is correct.",00:08:12
fekwqaj,58,tutor,[unclear] [Speaker:Declan]...,00:08:18
fekwqaj,59,tutor,That's 200. Okay. Now moving on to question C. Can you read it?,00:08:46
fekwqaj,60,student,How many hundreds in total are there in the number 0.56?,00:08:53
fekwqaj,61,tutor,Okay. You're asking the total number of hundreds. [unclear] Okay. [unclear],00:09:04
fekwqaj,62,tutor,"Now, we're talking about the number 0.56. How many tenths are there, Declan?",00:09:22
