session_id,utterance_id,role,content,timestamp
maxkmvb,0,tutor,Hello?,00:00:00
maxkmvb,1,background,[unclear],00:00:00
maxkmvb,2,student,Hi.,00:00:01
maxkmvb,3,tutor,"Hi, Callahan. Can you hear me?",00:00:02
maxkmvb,4,student,Yeah.,00:00:04
maxkmvb,5,tutor,"Oh, welcome back after a while, right?",00:00:05
maxkmvb,6,tutor,"You had another tutor last week, and according to your report, you have completed a lesson. Yeah? So today we have a brand new one. Callahan, are you okay today?",00:00:11
maxkmvb,7,student,Yeah.,00:00:26
maxkmvb,8,tutor,"Okay, right, here we go then. Callahan, brand new, you can start the warm-up session. Go ahead. [unclear]",00:00:28
maxkmvb,9,student,"[UNCLEAR] one out of the six, so that's one. [unclear]",00:00:28
maxkmvb,10,tutor,"It is 13, Callahan. Awesome stuff. Can you tell me how you figured that out?",00:01:08
maxkmvb,11,student,"Each time you're adding 3 onto the square, so it's just adding an extra 3 again.",00:01:14
maxkmvb,12,tutor,"Yeah, spot on. Spot on. That's how we do that. Now, Callahan, all right, so here we go then. Let's try a— exam style question. Go ahead, you can do this. [unclear]",00:01:21
maxkmvb,13,student,Yeah. [unclear] How can we tell from their results that the economy is fine?,00:01:31
maxkmvb,14,tutor,"Well, because it lands on tails a lot more than it lands on heads.",00:02:30
maxkmvb,15,student,Okay.,00:02:40
maxkmvb,16,tutor,"Okay, first answer spot on, yeah? Carry on.",00:02:49
maxkmvb,17,student,"So, it would be biased, because the fact that it lands on heads a lot more than tails. [unclear] [unclear]",00:02:52
maxkmvb,18,tutor,Would it be like what he's saying? [unclear],00:03:27
maxkmvb,19,tutor,"All right, Callahan, okay, you're on the right track.",00:03:44
maxkmvb,20,student,`... [UNCLEAR],00:03:44
maxkmvb,21,tutor,"That's right, yeah. [unclear]",00:03:50
maxkmvb,22,student,[UNCLEAR] [unclear],00:03:50
maxkmvb,23,student,[unclear],00:03:50
maxkmvb,24,tutor,"Yeah, what do you think, Callahan? [unclear] That's it. And that amount is?",00:04:31
maxkmvb,25,student,` [UNCLEAR],00:04:31
maxkmvb,26,tutor,"Did you just say 4, Callahan?",00:04:51
maxkmvb,27,student,Yeah.,00:04:57
maxkmvb,28,tutor,"It is +4, that's it. So I can see that you have a good grasp of [unclear] sequences. Callahan, here, if there was someone who's struggling with this, right, this part, and they thought, okay, orange is the answer, how would you disprove them? [unclear]",00:04:59
maxkmvb,29,tutor,"Sorry, Callahan, did you get my question?",00:05:34
maxkmvb,30,student,Yeah.,00:05:37
maxkmvb,31,tutor,"Okay, go ahead, yeah. So how would you prove, or how would you explain to them that orange is not the answer?",00:05:38
maxkmvb,32,student,Because with orange you do any square numbers in blue you're doing will add in the same amount each time.,00:05:45
