session_id,utterance_id,role,content,timestamp
dgztqlh,0,tutor,Hello.,00:00:00
dgztqlh,1,background,[unclear],00:00:00
dgztqlh,2,student,Hello.,00:00:01
dgztqlh,3,tutor,"Hello, Desmond.",00:00:03
dgztqlh,4,student,Hi.,00:00:05
dgztqlh,5,tutor,"Hi, Desmond.",00:00:06
dgztqlh,6,student,"Hi, hi. So how are you doing?",00:00:07
dgztqlh,7,tutor,"Good, I've got Sophie and Tyler right next to me.",00:00:10
dgztqlh,8,student,"Oh, your friends, yeah?",00:00:13
dgztqlh,9,tutor,"Yeah, Tyler's just pulled some sort of a funny face. It's making me crazy. And he keeps doing [UNCLEAR]. And he keeps doing what he's just done there. He keeps going like that. [unclear]",00:00:15
dgztqlh,10,tutor,"Alright, so what is it that you're drawing?",00:00:33
dgztqlh,11,student,I'm drawing a race car.,00:00:36
dgztqlh,12,tutor,Oh!,00:00:40
dgztqlh,13,student,"Yeah, and this is 95, and it's W—",00:00:41
dgztqlh,14,student,Yeah.,00:00:54
dgztqlh,15,tutor,"G... P... Now, WGP means Wool Groom Pre. Now, I need to go shapes, circles... [unclear] [unclear]",00:00:55
dgztqlh,16,tutor,Hello?,00:01:30
dgztqlh,17,student,Hello?,00:01:31
dgztqlh,18,tutor,"Okay, I can hear you now. I'm sorry, that was a small connection issue. All right, so Desmond, let's get started.",00:01:32
dgztqlh,19,background,and then the bottom one to the denominator.,00:01:32
dgztqlh,20,tutor,"Lightning McQueen. Okay. All right. Okay, so now let's get to the lesson. All right, Desmond?",00:01:48
dgztqlh,21,student,"Yeah, I'm just doing a little line to see who Lightning McQueen is, and that is him.",00:01:59
dgztqlh,22,tutor,"Oh yes. All right. So, yes, and now let's get to the lesson. So here we are. So what's the lesson that we have for the day?",00:02:05
dgztqlh,23,student,It says comparing and ordering [UNCLEAR].,00:02:16
dgztqlh,24,tutor,"Comparing and ordering fractions. So here we have two questions, the learning goal and the prior learning. Shall we give it a try?",00:02:16
dgztqlh,25,student,"Yes, yes, yes, yes, yes, yes, yes. Okay, so for this one here, it says",00:02:31
dgztqlh,26,student,"Write the fractions in the order, in order from smallest to largest.",00:02:39
dgztqlh,27,tutor,Aha.,00:02:49
dgztqlh,28,student,Hi!,00:02:50
dgztqlh,29,tutor,"Okay, so let's write that out, shall we?",00:02:54
dgztqlh,30,student,I think that it is... [unclear],00:02:59
dgztqlh,31,student,"I think that it is one half first, then three fifths, and then two tenths.",00:03:07
dgztqlh,32,tutor,"Okay, so that's the largest, is it? [unclear] Is that the largest?",00:03:33
dgztqlh,33,student,It should be.,00:03:46
dgztqlh,34,tutor,"Okay, all right, nice. And what comes first?",00:03:49
dgztqlh,35,student,It's one half.,00:03:56
dgztqlh,36,student,"And then 2 tenths because it's meant to be 1, 2, 3, and then 2 tenths, 5. Then over here it should probably be 20. I know that 20 is in the 4 and 5 and 10 times table.",00:04:02
dgztqlh,37,tutor,"OK, exactly. The common [unclear] for multiple for both— I mean not both, all 3 of this is actually",00:04:20
dgztqlh,38,tutor,"20. Amazing. Good job done over here. Can you complete the learning goal question as well, Desmond?",00:04:29
dgztqlh,39,student,I did complete the learning goal question.,00:04:36
dgztqlh,40,tutor,"Oh, but I don't see the answer. Shall we write it again?",00:04:40
dgztqlh,41,student,What? [unclear] [unclear],00:04:45
dgztqlh,42,tutor,All right.,00:04:55
dgztqlh,43,tutor,Okay. [unclear] [unclear],00:05:30
dgztqlh,44,tutor,"Okay, where would you put the other two fractions now?",00:05:57
dgztqlh,45,student,I put 2/5 in front of 2/10.,00:06:00
dgztqlh,46,tutor,Uh-huh.,00:06:07
dgztqlh,47,background,Yeah.,00:06:09
dgztqlh,48,tutor,"3/5. Okay, can you go ahead and complete the rest as well? Yeah, but I'm sure I can. And my challenge is to not try and get tired.",00:06:10
dgztqlh,49,tutor,"Oh, why is that?",00:06:24
dgztqlh,50,student,That's my challenge. Trying not to get tired.,00:06:27
dgztqlh,51,tutor,"Oh, okay. All right.",00:06:29
dgztqlh,52,student,Excuse me a minute. [unclear],00:06:32
dgztqlh,53,student,"Sorry, Miss Oily.",00:06:43
dgztqlh,54,tutor,"Okay, it should be a little bit [unclear] now. So you should be able to hear me now.",00:06:45
dgztqlh,55,student,"Alright. Sorry about that, just having a conversation with my friends.",00:06:50
dgztqlh,56,tutor,"Okay, alright, no worries, Desmond.",00:06:57
dgztqlh,57,student,Yep.,00:07:00
dgztqlh,58,tutor,"Okay, so, past completed, but what comes very first and what comes after that? Okay, [unclear]",00:07:01
dgztqlh,59,tutor,let's write that down. It's,00:07:10
dgztqlh,60,student,"down there. Oh,",00:07:13
dgztqlh,61,tutor,"actually I cannot see anything, Desmond. M.",00:07:16
dgztqlh,62,student,Sorry,00:07:23
dgztqlh,63,tutor,about that. It's,00:07:24
dgztqlh,64,student,on my screen. Mm-hmm.,00:07:27
dgztqlh,65,tutor,Yeah.,00:07:33
dgztqlh,66,tutor,"This comes next. This comes— I know what to do. This one comes last. Okay, so— [unclear] Text there. This one is one. This is two.",00:07:37
dgztqlh,67,student,[unclear],00:08:10
dgztqlh,68,tutor,"Okay. All right, let's see. So yes, actually that was some very nice try given over here. The first fraction is 2/10, and after that it is 1/2. And after that, the smallest— I mean, the biggest fraction is actually 3/5. Okay, so don't worry, let's figure out how this happened. All right, okay, next. [unclear] Learning— I mean, let's learn Slack. Here we are. All right, Desmond, can you go ahead and read out the sentence in the green box for me?",00:08:10
dgztqlh,69,student,Yeah.,00:08:53
dgztqlh,70,student,"When comparing or ordering a set of fractions, it is easier to compare them if the denominators are the same.",00:08:55
dgztqlh,71,tutor,Mm-hmm.,00:09:05
dgztqlh,72,student,And my eraser is going wacky at the minute.,00:09:08
dgztqlh,73,tutor,Mm-hmm. Aha. [unclear],00:09:12
dgztqlh,74,student,It's moving all over the shop.,00:09:18
dgztqlh,75,student,Let's look how we write [UNCLEAR].,00:09:22
dgztqlh,76,tutor,"And in this box it says 15 is a multiple of 5, so we can use 15 as the common denominator.",00:09:22
dgztqlh,77,student,"Yes, exactly. So can you tell me, the 3, you have put it over here, right?",00:09:37
