session_id,utterance_id,role,content,timestamp
enirjmg,0,background,[unclear],00:00:00
enirjmg,1,tutor,Hello? Hello? Hello? Hello?,00:00:00
enirjmg,2,background,"Yeah, so how are you today, Kellan?",00:00:07
enirjmg,3,student,Good.,00:00:10
enirjmg,4,background,Welcome back to your session. So how was your holiday?,00:00:10
enirjmg,5,student,It's been great.,00:00:14
enirjmg,6,background,That's nice. So are you ready for the lesson today?,00:00:18
enirjmg,7,student,Yeah.,00:00:22
enirjmg,8,tutor,"All right, so today we're going to continue from where we have stopped. So comparing fractions using reasoning. So we did up to the [unclear] slide. Today we're going to continue from the go further question. So let's read this question.",00:00:23
enirjmg,9,tutor,Tara is comparing the fractions 7/8 and 6/7. Can you explain which one is greater? [unclear],00:00:49
enirjmg,10,background,"So without doing any calculations, do you think we can find which one is greater?",00:01:09
enirjmg,11,student,Maybe not.,00:01:18
enirjmg,12,tutor,"Maybe not. Okay, so I'll give you a small hint. What if you think about a one-hole? You can think about how it's compared to a one-hole to see which one is greater. [unclear] So let's take this one for now, 7/8. So how much more do we need to complete the 1 whole?",00:01:22
enirjmg,13,student,"Um, 1/8.",00:01:53
enirjmg,14,tutor,"1/8. I'm going to write that down over here, okay? Can you see?",00:01:54
enirjmg,15,student,Yeah.,00:02:01
enirjmg,16,tutor,"All right, and then I'm going to think about the other one the same way. How much more do I need to make it a 1 whole?",00:02:03
enirjmg,17,student,"Um, 1/7.",00:02:11
enirjmg,18,tutor,"1/7. So now I'm going to compare these two fractions. Now I can compare these two fractions because the numerator is the same. So if you think about a pizza, if this one was the same [unclear] and you can think about it in order as the number of people sharing it. So Which person would get more pizza? [unclear]",00:02:14
enirjmg,19,tutor,The room where 7 people are or the room where 8 people are?,00:02:50
enirjmg,20,student,7.,00:03:01
enirjmg,21,tutor,"Yes, because when the people are less, you can eat more. Yeah?",00:03:03
enirjmg,22,student,Yeah.,00:03:07
enirjmg,23,tutor,So that's how we can figure out bigger fractions. So this one fraction is bigger because we had,00:03:08
enirjmg,24,tutor,"Splitting it into 7 pieces. If this fraction is bigger, that means this fraction is smaller, right?",00:03:15
enirjmg,25,student,Yeah.,00:03:25
enirjmg,26,tutor,"So if this one is smaller, that means— so I can use a small diagram. So this part is the",00:03:27
enirjmg,27,tutor,"1/8, okay. And this part is the 1/7. So now 7/8 is this, and 6/7 is this. We're comparing it with the 1 whole. So you said this one is the smaller one, which makes this fraction the bigger one. Yeah, because when this space becomes smaller, then this fraction becomes longer, right? Or bigger if this was compared to a one whole. Do you agree?",00:03:42
enirjmg,28,student,Yep. [unclear],00:04:31
enirjmg,29,tutor,"Okay, so which means which one is greater?",00:04:32
enirjmg,30,student,Um... [unclear],00:04:45
enirjmg,31,tutor,The greatest ones?,00:04:46
enirjmg,32,student,"Oh, the greatest ones.",00:04:47
enirjmg,33,tutor,"Alright, I'll explain in a different slide. I think there was a lot of things on the screen. Alright, I'm gonna use a diagram. Here you go. To explain this. This one is a 1/4. Both of them are the same size, right?",00:04:51
enirjmg,34,student,Yeah. [unclear],00:05:17
enirjmg,35,tutor,"Okay, so now can you mark, uh, can you mark 1/8 and 1/7? You can mark 1/8 in this one and 1/7 in this one. Okay.",00:05:18
enirjmg,36,student,"So do I just write the numbers, the fractions down?",00:05:35
enirjmg,37,tutor,"No, no, you just need to just draw a line and color it. [unclear] So both are not the same size, right? Because when there's more people in the room, the part will be less. So we're talking about this side, this one as a 1. [unclear]",00:05:39
enirjmg,38,tutor,"And this one should be 1/7. So now you can draw the line again. Oops, hold on. Okay, now think about those fractions and color it.",00:06:09
enirjmg,39,student,Okay. [unclear],00:06:31
enirjmg,40,tutor,It doesn't have to be very accurate. It just needs to be compared to both fractions.,00:06:41
enirjmg,41,student,Okay.,00:06:48
enirjmg,42,tutor,So which one am I going to draw first?,00:06:49
enirjmg,43,student,"Um, the 1/8.",00:06:54
enirjmg,44,tutor,So you can color 1/8 over here. [unclear],00:06:56
enirjmg,45,tutor,So let's draw and color. [unclear],00:07:14
enirjmg,46,tutor,"So, can you color over here? Is there a problem with the tools? [unclear]",00:07:46
enirjmg,47,tutor,"Just put a line, okay? Just put a line and then color.",00:08:11
enirjmg,48,student,Like this?,00:08:20
enirjmg,49,tutor,"Yes, like that.",00:08:21
enirjmg,50,student,And then color the whole box?,00:08:24
enirjmg,51,tutor,"Yeah, I'll color it for you. Like this?",00:08:26
enirjmg,52,tutor,"All right, so now can you do the same for 1/7? This one. So will the coloring part will be bigger than 1/8 or less than 1/8?",00:08:34
enirjmg,53,student,[unclear],00:08:53
enirjmg,54,tutor,"Yes, because we're sharing the pizza with less amount of people, yeah?",00:08:54
enirjmg,55,tutor,"Because the denominator shows how many parts the whole has been divided into. This time it's going to be bigger. All right, fantastic. So now we can color it. All right, so now let me ask you a question. So we colored 1/8 here, right?",00:08:59
enirjmg,56,tutor,Yeah. What's the fraction for the rest of the bar?,00:09:27
enirjmg,57,student,"Um, 7/8 and 6/7.",00:09:32
enirjmg,58,tutor,"Yeah, this is 7/8 now. This is 6/7. So which one is greater, the 7/8 or the 6/7?",00:09:38
enirjmg,59,tutor,The longer one.,00:09:55
enirjmg,60,student,7/8.,00:09:57
enirjmg,61,tutor,Exactly. That's how we figure out which one is greater without having to do a calculation. Alright? So did we do any calculations here?,00:09:59
enirjmg,62,student,No.,00:10:11
enirjmg,63,tutor,Just we used the bar model to figure out which one is bigger. Now can you tell me how we figured out that 7/8 is greater than 3/4? Is bigger.,00:10:11
enirjmg,64,student,"So we just did a bar model where because 7/8 and 6/7 is close to 1 whole, so we did a bar model and we did 1/7 and 1/8, we draw a line and then because there's 1/7 is bigger than 1— I mean [unclear]",00:10:22
enirjmg,65,student,"1/7 is less than 1/8, so less than people in 1/7, so the line was longer. And then now 7/8 is— the line is longer than 6/7, so 7/8 is bigger than them. [unclear]",00:10:46
enirjmg,66,tutor,"Yes, all right, so well done with your great effort there trying to explain how we use the bar model to figure out which one was greater. So then that's about it from the continuation of the lesson. We can move on to the next lesson. So let's see what we have next. So the next one is about finding equivalent fractions. So let's get started from the learning goal over here. [unclear]",00:11:06
enirjmg,67,student,All right. 18. I [unclear] 18.,00:11:37
enirjmg,68,tutor,All right. So can you tell me how you got 18 over there?,00:12:01
enirjmg,69,student,Because I saw the numerators and then,00:12:06
enirjmg,70,student,"I've realised that I think, yeah, 5 times 3 is 15, but because we have to find the equivalent, so I know it's 5 times 5— 5 times 3. So if it's 5 times 3, we do the same to the denominator. So like 6 times 3 is 18, so I put 18. Yep.",00:12:10
enirjmg,71,tutor,"All right, good effort over there. So we can continue our lesson from this slide over here.",00:12:34
enirjmg,72,tutor,"So, uh, let's try this question. [unclear]",00:12:41
enirjmg,73,student,Write two fractions to describe the amount of each shape or color shape that fish is shaded or highlighted. Okay.,00:12:48
enirjmg,74,student,Okay. 4 free lines highlighted. [unclear] 12 boxes highlighted and 16 boxes [unclear],00:13:13
enirjmg,75,tutor,So you can look at this picture to decide the fraction.,00:13:50
enirjmg,76,student,"Oh, yep. [unclear] We have what, [unclear]",00:13:56
enirjmg,77,tutor,"3 now. If... 3 full, 1 quarter of... well, 16 boxes and 3 highlighted... 3 lines highlighted. Yes, that's my answer. [unclear]",00:13:56
enirjmg,78,tutor,Okay.,00:15:25
enirjmg,79,tutor,"Alright, so we have 3 quarters, which came from the lines here, yeah?",00:15:28
enirjmg,80,student,Yep.,00:15:39
enirjmg,81,tutor,And how did you come up with 1 quarter?,00:15:40
enirjmg,82,student,"Well, I can't think of other any fractions, but it's like one— there's one whole line here.",00:15:44
enirjmg,83,student,"There's one section that's not highlighted and it's out of 4 because there's 4 boxes on each side, so I did one quarter. [unclear]",00:15:53
enirjmg,84,tutor,"Alright, I'll use a small example to explain this. So I can show a one-half by just drawing a line from the middle here, yeah?",00:16:04
enirjmg,85,student,Yeah.,00:16:15
enirjmg,86,tutor,"And it will be 1 over 2. I can draw another line from the middle over here and the middle over here, and then I can consider the same part, this one, as two quarters. And when I shade it, you can see that it's the same as the one half here. [unclear]",00:16:16
enirjmg,87,student,Ah.,00:16:44
enirjmg,88,tutor,So those are equal. So the difference between this fraction and the fraction over here is just the numerator and the denominator. The fraction is the same. Okay?,00:16:45
enirjmg,89,student,Okay.,00:16:59
enirjmg,90,tutor,"So it became different because the number of parts we cut it into is different. That's the reason. But that doesn't mean that the two fractions are different because it's the same amount. Okay? So I can break a chocolate into 4 pieces and give you, or just give you the chocolate, right?",00:16:59
enirjmg,91,tutor,"It's the same thing. So similarly, here we have the same amount of the parts even we break it into more parts. So going back to this question, you can see this picture has already been broken into different parts. So let me show you how. So here we have these like bars. You can think about these bars. [unclear] Those will be similar. It has to be the same size, right? [unclear]",00:17:20
enirjmg,92,student,Yep.,00:17:55
enirjmg,93,tutor,"So they're same size. So we have 4 of them. So 3 of them are shaded, which means we can go with 3 over 4. Okay, so that's the one way to come up with the fraction. What if you now think about the small, small squares this time? Let's count small, small squares this time. And come up with another fraction which is equal to this. So how many small squares are there? [unclear]",00:17:56
enirjmg,94,tutor,"Yes, 16. And how many are shaded?",00:18:34
enirjmg,95,student,12.,00:18:40
enirjmg,96,tutor,"12, there you go. So we can write another fraction which is equal to 3/4, 12/16.",00:18:41
enirjmg,97,tutor,"So the shaded parts goes here too, and the denominator shows how many parts the whole has been divided into. So this time we count as these small squares, so it's 16. [unclear] So now what do you understand about how we came up with these two equivalent fractions?",00:18:52
enirjmg,98,student,"I know that— I understand that equivalent fractions is basically just like the same fractions as the others. Like, you basically just multiply the same number as the denominator or the numerator.",00:19:17
enirjmg,99,tutor,"Yes, we can double-check using that as well. So if you think about that, you can multiply this first fraction by 4. If you times both top and the bottom by 4, you will get this one, right?",00:19:41
enirjmg,100,student,Mm-hmm.,00:19:55
enirjmg,101,tutor,"Yes, so that's another way to double-check. All right, so let's move on to the next question, B. So this time, how are you going to count?",00:19:57
enirjmg,102,background,By counting 2s.,00:20:11
enirjmg,103,tutor,"Yes, that's a good idea.",00:20:12
enirjmg,104,student,"2, 4, 6, 8, 12, 14. I mean, no, 2, 4, 6, 2, 4, 6, 8, 2, 4, 6, 2, 4, 6, 8, 10, 12. 12. [unclear]",00:20:17
enirjmg,105,tutor,2 out of 12. [unclear],00:20:47
enirjmg,106,student,Maybe I could— [unclear],00:20:57
enirjmg,107,tutor,"10, 2, 9, and 12, and 2, 8. Shaped. [unclear]",00:21:15
enirjmg,108,tutor,Okay. [unclear],00:21:47
enirjmg,109,tutor,"All right, so good effort over there. So how did you get the denominator and the numerator of the second fraction?",00:22:17
enirjmg,110,student,"Well, I kind of just multiplied both numbers by 5, and I got 10/60.",00:22:40
enirjmg,111,tutor,"Okay, yes, so that gives you an equal fraction. That's true. But if you're using this diagram, we can see we can make them as pairs because this one was a pair, right? That's why we count it as a 2. So why don't we make the other ones as pairs? [unclear]",00:22:50
enirjmg,112,tutor,"Like this. Then all of them will be like a pair, and we just need to come up with a fraction for this one, right? So this one will be a 1 pair out of how many pairs?",00:23:12
enirjmg,113,student,5.,00:23:31
enirjmg,114,tutor,Including this one.,00:23:34
enirjmg,115,student,"Oh, 6.",00:23:35
enirjmg,116,tutor,"6, because the denominator shows everything together, all right, all the parts. So with this one, it's 6 parts, and we're gonna select 1, so 1/6, right? So we're gonna write 1/6 over here. [unclear] [unclear]",00:23:37
enirjmg,117,tutor,"I also use this diagram over here to show this. So we were having two twirls, right?",00:24:06
enirjmg,118,student,Yep.,00:24:19
enirjmg,119,tutor,"Okay, so that is this one. Now you can Go up this line to see if there's anything which is in the same line. [unclear] Here we have. So the one text here is the same length as Tutor's. So did you see that?",00:24:21
enirjmg,120,student,Yeah.,00:24:49
enirjmg,121,tutor,"Okay, so can you show me like 2 fractions which are the same. Like that, you can circle 2 fractions which are the same. [unclear] So this is known as the fraction wall. Have you used this before?",00:24:51
enirjmg,122,student,Yeah.,00:25:07
enirjmg,123,tutor,Okay. [unclear],00:25:08
