session_id,utterance_id,role,content,timestamp
bnkeumo,0,background,[unclear],00:00:00
bnkeumo,1,tutor,Hello? [Speaker:Declan]... [UNCLEAR],00:00:00
bnkeumo,2,tutor,Yeah? [Speaker:Declan]... [UNCLEAR],00:00:08
bnkeumo,3,tutor,Hello? [Speaker:Declan]... [UNCLEAR] [Speaker:Tutor]... [UNCLEAR] [Speaker:Declan]... [UNCLEAR] [Speaker:Tutor]... [UNCLEAR] [Speaker:Declan]... [UNCLEAR] [Speaker:Tutor]... [UNCLEAR] [Speaker:Declan]... [UNCLEAR] [Speaker:Tutor]... [UNCLEAR] [Speaker:Declan]... [UNCLEAR] [Speaker:Tutor]... [UNCLEAR] [Speaker:Declan]... [UNCLEAR] [Speaker:Tutor]... [UNCLEAR] [Speaker:Declan]... [UNCLEAR] [Speaker:Tutor]... [UNCLEAR] [Speaker:Declan]... [UNCLEAR] [Speaker:Tutor]... [UNCLEAR],00:00:10
bnkeumo,4,background,Hello.,00:00:17
bnkeumo,5,student,Hello.,00:00:18
bnkeumo,6,background,"Hi Jasper, can you hear me?",00:00:19
bnkeumo,7,student,"Yeah, I can hear you.",00:00:21
bnkeumo,8,background,"Okay, great. So Jasper, I'm Lorraine and I'm going to be your tutor for today. How are you doing? [unclear]",00:00:23
bnkeumo,9,student,What did you say?,00:00:30
bnkeumo,10,background,I said I'm Lorraine and I'm going to be your tutor for today.,00:00:38
bnkeumo,11,tutor,"Okay. So how are you doing today? [unclear] Okay, awesome to hear that. So before we—",00:00:44
bnkeumo,12,student,So where's Donovan?,00:00:52
bnkeumo,13,tutor,He's not in today. You will meet him in your next session.,00:00:57
bnkeumo,14,student,"Oh, okay.",00:01:02
bnkeumo,15,tutor,"Okay. So before we begin, am I pronouncing your name correctly? Is it Jasper?",00:01:03
bnkeumo,16,student,Yeah.,00:01:10
bnkeumo,17,tutor,"Okay, great. So Jasper, are you ready to start the session?",00:01:11
bnkeumo,18,student,Yes.,00:01:16
bnkeumo,19,tutor,"Okay, so today we are continuing the session— sorry, lesson that you started in your previous sessions, which is rounding numbers to the nearest 100 and 1,000. Okay?",00:01:18
bnkeumo,20,student,Okay. [unclear],00:01:33
bnkeumo,21,tutor,"All right, so what do you recall from this lesson last week?",00:01:33
bnkeumo,22,student,"Me and my tutor had already done this, so we've already done this.",00:01:40
bnkeumo,23,tutor,So what do you recall about the rules of rounding? [unclear],00:01:51
bnkeumo,24,tutor,"Yes, that's right. [unclear] Good job being able to recall what you learned in your previous lesson. Okay, so today you have to continue from this slide. You had completed question 1 and question 2, so today you have to continue from question 3, the last question.",00:02:05
bnkeumo,25,student,Okay.,00:02:29
bnkeumo,26,tutor,"Could you read the question, please?",00:02:37
bnkeumo,27,student,"Which two numbers round 5,600 when rounded to the nearest hundred? [unclear]",00:02:40
bnkeumo,28,student,It is that one and that one.,00:03:01
bnkeumo,29,tutor,Do you mean C and E?,00:03:15
bnkeumo,30,student,"No, C and D.",00:03:18
bnkeumo,31,tutor,"C and D, okay. Could you type down the answer here, please?",00:03:20
bnkeumo,32,tutor,"Okay, so Jasper, well done being able to figure out the answer here. Here you go with a good working out badge for that. So can you explain how you knew the answer here?",00:03:30
bnkeumo,33,student,I just know that this line is [unclear],00:03:45
bnkeumo,34,student,"5,550, since that is 5,500 and that's 5,600. So I know that's 50 and that's over 50, which is closest to 5,600. But this one is 5,650 and we're meant to do it to 5,600. And D is lower from 5,700, which means it's 5,600.",00:03:51
bnkeumo,35,tutor,"Yes, okay, well done being able to explain your answer as well. So nice work here recalling what you have learnt and being able to work independently. So Jasper, when you round a number to the nearest 100, which column would you look at?",00:04:17
bnkeumo,36,student,I— [unclear] So I can explain it.,00:04:36
bnkeumo,37,tutor,Pardon?,00:04:46
bnkeumo,38,student,Can we go to a clear page so I can explain it? That's what I normally do with Alastair.,00:04:46
bnkeumo,39,tutor,"Okay, you want to go to a blank page, is it?",00:04:51
bnkeumo,40,student,Yeah.,00:04:54
bnkeumo,41,tutor,Okay.,00:04:55
bnkeumo,42,student,"Right, so, [unclear] 100.",00:04:58
bnkeumo,43,tutor,[unclear],00:05:14
bnkeumo,44,student,There. 100.,00:05:14
bnkeumo,45,tutor,Mm-hmm.,00:05:18
bnkeumo,46,student,"If it was 12,300— no, 789.",00:05:21
bnkeumo,47,tutor,Mm-hmm.,00:05:31
bnkeumo,48,student,And—,00:05:33
bnkeumo,49,student,"12,389. If we were rounding to the nearest hundred, I know that if it's hundred but there's thousands on it, we'll look at the thousands, and then if they're both the same, we look at the hundreds. For example, this is 7 and this is 3. So, but that's still 89 and that's 89, so I look at the tens then, and then if it's higher than 50, I know I'm rounding up, but if it's lower than 50, I'm rounding down. So if this one on here, this one, or the one— [unclear]",00:05:42
bnkeumo,50,student,"12,789 will be 12,800. And on 12,389, it will be 12,000— [unclear] 400.",00:06:29
bnkeumo,51,tutor,"Yes, okay, well done explaining how you would round it to the nearest 100. How would you round the same numbers to the nearest 1,000?",00:06:48
bnkeumo,52,tutor,"You just need to make sure that it's under 5 or over 5. If it's over 5, you round up. So, for example, if it was 15,000— if it was 15,005, next to 15— no, 14,999. This one you'd round up to 16,000, but this one you'll round to 15,000 because that's what it's closest to. But that one, It's closest to 15,000, so it'll be also 15,000.",00:07:00
bnkeumo,53,tutor,"Yes, okay. Well done being able to explain that. So now we have completed the [unclear] slide. Now let's move on to the next slide, okay? Do you have any questions from here?",00:07:54
bnkeumo,54,student,No.,00:08:09
bnkeumo,55,tutor,"Okay, so what is the most important thing we have to keep in mind when we round numbers?",00:08:10
bnkeumo,56,tutor,"If you're rounding numbers, for example, 1,000 to the nearest thousand, you look at the hundreds first, and if it's over 5, you round up, but if it's under 5, you round down. But if it's the same, you'll look at tens, then if it's the same there, you'll look at the ones, which will definitely have a different number change. Yes. So what do you mean by if it is the same, Jasper? Now if we were rounding to the nearest 1,000, we look at the hundreds. Can I get an explanation on what you mean by if it is the same? [unclear] Yeah.",00:08:18
bnkeumo,57,tutor,Yeah?,00:09:01
bnkeumo,58,student,Yeah. Can you [unclear] the page?,00:09:02
bnkeumo,59,tutor,Yes.,00:09:05
bnkeumo,60,student,"Right. So, for example, if it's 15,551, right, next to 15,000 [unclear]",00:09:07
bnkeumo,61,student,"556. [unclear] Change that one to 4. It would— this one goes round, so 15, then 55, those are both the same. But that one So 15 then 5, which means we're rounding up.",00:09:38
bnkeumo,62,tutor,Mm-hmm.,00:10:02
bnkeumo,63,student,"So it's that. But that doesn't mean anything right now because these two are higher than it, which means we need to— if the [UNCLEAR]— if this is the same as this number,",00:10:03
bnkeumo,64,student,"Then you look onto the tens, and if it's 5, you then look to the 4. So then it would matter. Then you'd see it's under 5, so then we'll round down.",00:10:23
bnkeumo,65,tutor,"Yeah, but Jasper—",00:10:37
bnkeumo,66,student,"[unclear] with this one, it's exactly like that, but rounds up.",00:10:38
bnkeumo,67,tutor,"Yeah, so Jasper, when we round a number to the nearest 1,000, we have to only look at the hundreds. Why would we need to look at the tens?",00:10:43
bnkeumo,68,student,[unclear],00:10:57
bnkeumo,69,tutor,"Because this is the number that we're rounding either up or down, but this one is 500, which is in the middle of 1,000. So then we look at this one, and then if it's higher than 5, or either 5, we can round up.",00:10:57
bnkeumo,70,tutor,"Yes, yes, exactly.",00:11:23
bnkeumo,71,student,"This one makes it round down, but this one is higher, so that means we round up.",00:11:28
bnkeumo,72,tutor,Yes.,00:11:40
bnkeumo,73,student,"That one, but this one is the same, but",00:11:40
bnkeumo,74,student,"We just round up straight away because that's the number we're rounding for thousands, but those are the same. I'm rounding up, but this one also has it rounding up.",00:11:47
bnkeumo,75,tutor,"Yes, so when we round a number to the nearest 1,000, we look at the hundreds to decide if we would round up or down. Yeah?",00:12:07
bnkeumo,76,student,Yeah.,00:12:16
bnkeumo,77,tutor,"So does the numbers on the tens and ones matter when we round a number to the nearest 1,000?",00:12:16
bnkeumo,78,background,Yes.,00:12:24
bnkeumo,79,tutor,"Yes. Why would it matter, Jasper?",00:12:27
bnkeumo,80,student,"Because if we're rounding thousands and the hundreds were higher than 5, that means we're rounding up.",00:12:30
bnkeumo,81,tutor,"Yes, but we would only look at the hundreds. The tens and the ones would turn into zeros like you explained before. Yeah?",00:12:39
bnkeumo,82,student,Yeah.,00:12:49
bnkeumo,83,tutor,"Okay, all right, good job explaining that. Now we are on the final slide of this lesson. So how would you try this question?",00:12:50
bnkeumo,84,student,"[unclear] The answer is 5,000. [unclear]",00:13:01
bnkeumo,85,tutor,This is the answer.,00:13:15
bnkeumo,86,student,"Yes, it says the answer is 5,000 when a number is rounded to the nearest thousand. So what does the next part say?",00:13:27
bnkeumo,87,student,"What could the original number have been? So a number [UNCLEAR]. It could have been either 4,600",00:13:38
bnkeumo,88,student,"Or 4,900. [unclear]",00:14:08
bnkeumo,89,tutor,"Okay, so can you explain why you think your answers are correct here?",00:14:18
bnkeumo,90,student,"Because 4,500 will be same So that means it won't equal anything because you can't round it. But this, it's over 4,500, just 200 over, and it's in the 4,000, so it will go up to the 5,000. Or it could be 4,900, which it needs 100 to get there. But this is 100 over 5,000 because I'm thinking that.",00:14:26
bnkeumo,91,student,"[unclear] [Speaker:Declan]...could have been there. [Speaker:Tutor] Yes, okay. So fantastic job being able to understand the question and figure out two possible answers. So could you move your answers onto the answer line?",00:14:56
bnkeumo,92,student,Okay. [unclear] [unclear],00:15:12
bnkeumo,93,tutor,"Okay, so well done, Jasper. Here you go with the excellent focus patch for being able to focus on the rules of rounding and figure out the answer here. So how did you find this question? Was it easy for you?",00:15:27
bnkeumo,94,student,Yeah.,00:15:43
bnkeumo,95,tutor,"Yeah, okay. So what is one important thing you would remember from this question? [unclear]",00:15:44
bnkeumo,96,student,"It's the original number because it's either 100 over 4,500, which will be 4,600, or it could be 100 under 5,000, which is 4,900.",00:15:57
bnkeumo,97,tutor,"Yes, okay. So with that, we have completed this lesson. Jasper, how can we relate this lesson to the real world?",00:16:12
bnkeumo,98,tutor,[unclear],00:16:26
bnkeumo,99,student,"It's just the same, but this rounding to the nearest hundred and this to the nearest ten. It's basically the same, but this one is not one with 5,000 or just 800. It's 5,391 and 812.",00:16:26
bnkeumo,100,tutor,"Uh, yes, okay, so that's right. Good job explaining. So where do you think in the real world, uh, this lesson will become useful? [unclear]",00:16:54
bnkeumo,101,student,"Uh, shopping.",00:17:05
bnkeumo,102,tutor,"Shopping, okay. Can you give me an example, please? A situation in shopping that this lesson would come useful?",00:17:07
bnkeumo,103,student,"If you want to get like a fidget toy that's worth £9.99, 99 is actually 100, but you can't get a 100 pence coin, so that's when rounding comes because",00:17:17
bnkeumo,104,student,"For 99p, it relates to this. So 99 is actually 100, which means you need to round it so that you know that 99p is actually 100, aka £1. So that's how I know that that's what you do for [UNCLEAR]. [Speaker:Tutor] Yes, okay, so amazing job giving an example relating the lesson to the real world. Okay, so with that we have completed the lesson. Now we are moving on to the next lesson, right? So this is your next lesson for today, Writing 10 as Descriptive.",00:17:41
bnkeumo,105,tutor,"Okay, now how would you—",00:18:35
bnkeumo,106,student,We were doing that in a math group this morning.,00:18:37
bnkeumo,107,tutor,"Oh, that's great to hear. So did you like this lesson?",00:18:41
bnkeumo,108,student,Not really.,00:18:45
bnkeumo,109,tutor,Why not Jasper?,00:18:48
bnkeumo,110,student,It's so hard.,00:18:50
bnkeumo,111,tutor,"It's hard, yes.",00:18:53
bnkeumo,112,student,I like math but it's just so hard.,00:18:53
bnkeumo,113,tutor,"Okay, that is because maybe you were confused with something that you learned. I'm sure this lesson or The session today is going to help you to become confident with it and maybe you will enjoy it. Okay, so how would you try the learning goal question? [unclear]",00:18:56
bnkeumo,114,tutor,Yeah.,00:19:18
bnkeumo,115,tutor,Hello?,00:19:32
bnkeumo,116,student,"Hello, yes Jasper, I'm here.",00:19:32
bnkeumo,117,tutor,"Oh, [unclear] I said, I was trying to say I don't know, I didn't hear you.",00:19:35
bnkeumo,118,student,"Oh, okay. So I wanted you to try this learning goal question.",00:19:41
bnkeumo,119,tutor,Okay. That's 4/10.,00:19:45
bnkeumo,120,student,Yes. How would you write it as a decimal? [unclear],00:19:51
bnkeumo,121,tutor,"Okay, that's as a fraction. Yes, you're right. [unclear]",00:20:16
bnkeumo,122,tutor,"Okay, so Declan, this is written as a fraction. How would you write it as a decimal?",00:20:25
bnkeumo,123,student,"Uh, decimal— wait a minute, decimal fraction. Um, 0.4.",00:20:32
bnkeumo,124,tutor,"Yes, okay, so well done being able to answer that. Then let's move on to your practice questions, okay?",00:20:46
bnkeumo,125,student,We— [unclear],00:20:56
bnkeumo,126,tutor,"That's fine. So this one. 0.8. Wait, no, 0.8. No, no, I think it's okay. No, [UNCLEAR]. [Speaker:Tutor] Okay, so what is the question here? Could you read the question, please?",00:20:58
bnkeumo,127,student,Write the part that are not shaded. [unclear],00:21:31
bnkeumo,128,student,"Yeah, 0.7.",00:21:48
bnkeumo,129,tutor,"Yes, that's right. Okay, well done being able to correct that. How about the last question? [unclear]",00:21:53
bnkeumo,130,tutor,"Yes. Okay, so can you explain how you knew the answer here?",00:22:19
bnkeumo,131,student,"Because 1, 2, 3, [unclear] And it's a half, so 0.5, because that's right in the middle and it's 5.",00:22:25
bnkeumo,132,tutor,"Yes, okay, so amazing job being able to work that out as well and write your answer in letters. So Jasper, what is one important thing we have to remember when we write a fraction as a decimal?",00:22:38
bnkeumo,133,student,"So that we know how much litres are in a jug, if the jug's a one litre jug.",00:22:57
bnkeumo,134,tutor,"Yes, okay. Alright, so now let's move to the next slide. [unclear] [unclear]",00:23:06
bnkeumo,135,tutor,"Okay, so that's a really nice try. Here you go with an awesome effort badge. But I think you're not quite there yet.",00:24:04
bnkeumo,136,student,"Wait, no, no, no, no, no.",00:24:15
bnkeumo,137,tutor,Maybe if you try again?,00:24:18
bnkeumo,138,student,"No, no, no.",00:24:20
bnkeumo,139,background,Maybe are you [UNCLEAR]? [Speaker:Declan] Yeah.,00:24:22
bnkeumo,140,tutor,"Okay, so what made you change your answer?",00:24:28
bnkeumo,141,student,Because of the gaps.,00:24:32
bnkeumo,142,tutor,"Yeah, so how did you figure out it's 0.8?",00:24:39
bnkeumo,143,student,"Because it's in one meter, there's [unclear] meters, and under one meter it's not points, and it's 1, 2, 3, 4, 5, 6, 7, 8. Well, it's 8. Well... [unclear]",00:24:46
bnkeumo,144,student,"One, two, three, four, five, six, seven, eight. There's 8 gaps in between.",00:25:12
bnkeumo,145,tutor,"Yes, that's right. Okay, so awesome work being able to correct your answer by your own. Here you go with good working on badge for that. So Jasper, why do you think",00:25:20
bnkeumo,146,tutor,You think now mistakes are a great opportunity for us to learn something and grow. Why do you think a mistake was [unclear] here?,00:25:32
bnkeumo,147,student,"We did magnificent mistakes and stuff, and magnificent mistakes and marvelous thing, marvelous something in Year 5.",00:25:41
bnkeumo,148,student,"I'm in year 6 now, and it was— we would write the stuff on for what happened and that we learned from. And that's basically like this.",00:25:58
bnkeumo,149,tutor,"Okay, all right. So good job being able to recall that and correct your answer.",00:26:18
bnkeumo,150,tutor,So what is one common mistake pupils might make when they try this question?,00:26:26
bnkeumo,151,student,"They're going to think it's the part of the lines, but it's not. It's part of the gaps that this is covering over. Like, for example, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10. 9 lines there that it's covering, but that's when they go wrong because it's the part that it's in between the lines— 1, 2, 3, 4, 5, 6, 7, 8. That's— it's the part that's mostly covering.",00:26:33
bnkeumo,152,tutor,"Yes, exactly. So great job being able to point that out and explain it as well. So Jasper, I think you did an amazing amazing work in this lesson, writing tens as decimals. So you told me that you did not like this lesson. Is there anything that you have not understood from this topic that you want to ask?",00:27:15
bnkeumo,153,student,I just wanted to finish this.,00:27:37
bnkeumo,154,tutor,"Okay, so now that we have finished it, how can you relate this to the real world, this lesson? [unclear] pounds. Pounds.",00:27:40
bnkeumo,155,tutor,"Okay, how would you relate it to pounds? Like",00:27:53
bnkeumo,156,student,"I said in the last one, the one before this, like 99p and the whole pound, which you need to round up. Yeah, that's the only one I can relate it to. Okay,",00:27:57
bnkeumo,157,tutor,"all right. Or you could relate it to maybe This question, the last question on this slide, you could relate this also to the real world, yeah?",00:28:12
bnkeumo,158,student,Why?,00:28:22
bnkeumo,159,tutor,Yeah. How can you relate this?,00:28:23
bnkeumo,160,student,[unclear] quarter jug of liters of one liter.,00:28:27
bnkeumo,161,background,"Yes. So if we say we have 5/10 of a liter, We can say that we have 0.5 liters. [unclear] Okay, all right. So do you have any questions from this lesson?",00:28:35
bnkeumo,162,student,"Uh, no.",00:28:52
bnkeumo,163,tutor,"Okay, then let's move to the next one. Okay, so the next lesson for today is comparing numbers with up to 2 decimal places using money. So first you got to try the learning goal question. [unclear]",00:28:54
bnkeumo,164,tutor,Learning goal. Write the correct symbol that or that or that complete the statement. [unclear],00:29:12
bnkeumo,165,student,Is it— [unclear],00:29:29
bnkeumo,166,tutor,"Yes, that's right. So how did you know that 5.4 is greater than 5.25?",00:29:40
bnkeumo,167,student,"I just know because we did that in the math lesson. I don't really know how to explain it. Okay, all right, then let's move into the lesson. [unclear]",00:29:51
bnkeumo,168,student,There's still another one.,00:30:05
bnkeumo,169,tutor,Pardon?,00:30:09
bnkeumo,170,student,There's still another one on that page.,00:30:10
bnkeumo,171,tutor,"Uh, yes, you don't have to complete it if you got the first answer correct.",00:30:14
bnkeumo,172,student,I want to complete it.,00:30:19
bnkeumo,173,tutor,You want to complete it.,00:30:22
bnkeumo,174,tutor,"Yes. [Speaker] Okay, you want to give it a try, all right. [unclear]",00:30:24
bnkeumo,175,tutor,Yes. [unclear] [Speaker] That looks it. [unclear],00:30:35
bnkeumo,176,tutor,One sec. [unclear] [unclear],00:30:50
bnkeumo,177,tutor,"Okay, so Jasper, how many peas do we have here?",00:31:24
bnkeumo,178,student,6.,00:31:31
bnkeumo,179,tutor,"6. So when we only have 6 peas, how do we write it? [unclear]",00:31:34
bnkeumo,180,tutor,"Okay, so you would write it as £2 and 0 and then 6.",00:31:52
bnkeumo,181,student,"Oh, but in the maths group, oh, that looks like 60. Yes. So does it make sense now?",00:32:02
bnkeumo,182,student,Yeah.,00:32:13
bnkeumo,183,tutor,"Okay, great. Now, all right, now if I ask you to complete this slide, how would you do it? [unclear] and 20p.",00:32:15
bnkeumo,184,tutor,Yes.,00:32:43
bnkeumo,185,student,Altogether is £5.20. [unclear],00:32:46
bnkeumo,186,tutor,"Or you don't need the silver, so it can be £5.20 like that.",00:32:54
bnkeumo,187,student,Yeah.,00:32:59
bnkeumo,188,tutor,"Yes. Can you leave it like this? [unclear] Okay. So Jasper, we have to add in the zero to show that it's 20.",00:33:01
bnkeumo,189,student,Yes.,00:33:15
bnkeumo,190,tutor,Okay. [unclear],00:33:17
bnkeumo,191,tutor,"Yes, that's right. So good job remembering to add the zero here. How about here?",00:33:35
bnkeumo,192,student,"I have all the square ones, yes, I've got them all down. [unclear]",00:33:47
bnkeumo,193,student,[unclear],00:33:54
bnkeumo,194,tutor,"Okay, so, welcome.",00:33:54
bnkeumo,195,tutor,"All right, Jasper, have you added the zero here? [unclear]",00:34:17
bnkeumo,196,student,I don't know.,00:34:24
bnkeumo,197,tutor,Let me on it. Insert.,00:34:26
bnkeumo,198,student,Okay.,00:34:29
bnkeumo,199,tutor,Rosalind. [Speaker:Declan]...5 pounds. 5.20. There we go.,00:34:31
bnkeumo,200,tutor,"Okay. So Jasper, why is it important to write the zero after the decimal point and also the zero after the number?",00:34:56
bnkeumo,201,student,So that we know it's not either 5.2 or 5.20. £5.50.,00:35:06
bnkeumo,202,tutor,"Yes, so what is the value of the digit that is just after the decimal point?",00:35:13
bnkeumo,203,student,"Tens. No, hundreds. Hundreds.",00:35:20
bnkeumo,204,tutor,"Is it hundreds here, just after the decimal? [unclear]",00:35:24
bnkeumo,205,background,I can explain it. I can explain it all to you.,00:35:27
bnkeumo,206,tutor,Okay.,00:35:32
bnkeumo,207,tutor,Right. [unclear],00:35:39
bnkeumo,208,student,That's the bit with your decimal point and then,00:35:59
bnkeumo,209,student,This one is... wait... one... [unclear],00:36:04
bnkeumo,210,tutor,"So, this one...",00:36:22
bnkeumo,211,tutor,Is one. [unclear],00:36:29
bnkeumo,212,tutor,Is one.,00:36:32
bnkeumo,213,student,Is one.,00:36:33
bnkeumo,214,tutor,Sounds good.,00:36:34
bnkeumo,215,student,Mm-hmm.,00:36:35
bnkeumo,216,tutor,Is one.,00:36:44
bnkeumo,217,student,Is one.,00:36:45
bnkeumo,218,tutor,Sounds good. [unclear],00:36:47
bnkeumo,219,student,"And then the last one is 1,000,000. And then in it we— wait, quickly go back to the last one so I can have a quick look.",00:36:59
bnkeumo,220,tutor,"Right, so which one was it? The first one here.",00:37:19
bnkeumo,221,student,"Oh yeah, right. 5.20, okay. So it's not in the tenths because 2 goes there and then the 0 goes there. And it goes into the hundreds, not the tenths.",00:37:25
bnkeumo,222,tutor,Okay. [unclear],00:37:46
bnkeumo,223,tutor,"Yeah, Jasper, when we work with money, what does this 110 mean? When we relate it to money, what does this 2 mean? [Speaker:Declan]...1. [Speaker:Tutor] Okay, it means the 10 piece. It is 1/10, but when we relate it to money, we take this as 10 piece, and then the next one, which is the hundredths, as 1 piece. [unclear] Does that make sense?",00:37:47
bnkeumo,224,student,Okay. Yeah.,00:38:28
bnkeumo,225,tutor,Yeah? Okay. Let's move to the next slide now. So let's read this part first.,00:38:30
bnkeumo,226,student,"When comparing numbers with up to 2 decimal places, we can think about them as amounts of money.",00:38:39
