session_id,utterance_id,role,content,timestamp
ahtnsal,0,tutor,Hello?,00:00:00
ahtnsal,1,background,[unclear],00:00:00
ahtnsal,2,student,"Yes, how are you doing?",00:00:00
ahtnsal,3,tutor,I can't hear you.,00:00:04
ahtnsal,4,student,Hello?,00:00:09
ahtnsal,5,tutor,"Okay, hold on. Maybe you could increase— can you please turn up the volume of your computer?",00:00:13
ahtnsal,6,tutor,"Hello? How about now, Desmond? [unclear] I can hear you, by the way. Let me refresh my browser. Hello? 1, 2, 3. Let me refresh my browser.",00:00:23
ahtnsal,7,tutor,Because I can hear you. [unclear] [unclear],00:00:48
ahtnsal,8,tutor,"Do you want me to help you, please?",00:01:17
ahtnsal,9,student,[unclear],00:01:17
ahtnsal,10,tutor,Hello?,00:01:50
ahtnsal,11,student,Hello?,00:01:50
ahtnsal,12,tutor,"Yeah, I can hear you.",00:01:50
ahtnsal,13,student,How about now?,00:01:51
ahtnsal,14,tutor,"Okay, all good, right?",00:01:52
ahtnsal,15,student,Yeah.,00:01:54
ahtnsal,16,tutor,"So how are you doing, Desmond?",00:01:54
ahtnsal,17,student,"Yeah, I'm good.",00:01:56
ahtnsal,18,tutor,"Good. Okay, so how's your day so far?",00:01:58
ahtnsal,19,student,"Yeah, so—",00:02:03
ahtnsal,20,tutor,"It's all right. Okay, so Desmond, we completed a LO previous week.",00:02:04
ahtnsal,21,tutor,"Last week? Okay, so we have a new lesson today. What do we have today, Desmond?",00:02:10
ahtnsal,22,student,Finding equivalent fractions.,00:02:15
ahtnsal,23,tutor,"Okay, so are you familiar with dealing with equal fractions?",00:02:18
ahtnsal,24,student,Yeah.,00:02:23
ahtnsal,25,tutor,You know what that means at all?,00:02:25
ahtnsal,26,student,"I've heard of it before, but I can't really remember.",00:02:27
ahtnsal,27,tutor,"Okay, let's see what we can learn today, shall we? So can you try the learning goal question?",00:02:32
ahtnsal,28,tutor,"Yeah. Please. [unclear] Okay, so you think it's 15/18, right? Why?",00:02:38
ahtnsal,29,student,Because I think you times the 5 by 3 and then times the 6 by 3.,00:02:57
ahtnsal,30,tutor,"Therefore? This is the equivalent fraction, right? So, okay, so shall we? Okay, so we'll move on to the practice section here. Okay, so can you try all these questions? [unclear] Can you read the question out loud first?",00:03:04
ahtnsal,31,student,Write 2 fractions that describe the amount of each shape or quantity that is shaded or highlighted.,00:03:30
ahtnsal,32,tutor,Okay. [unclear],00:03:38
ahtnsal,33,student,Okay.,00:03:53
ahtnsal,34,tutor,"So, Desmond?",00:04:13
ahtnsal,35,student,Mm-hmm.,00:04:14
ahtnsal,36,tutor,"Okay, so in this case, why do you think it's three tense?",00:04:15
ahtnsal,37,student,Because it's an [UNCLEAR].,00:04:20
ahtnsal,38,tutor,Okay. [unclear],00:04:22
ahtnsal,39,tutor,"Like, you have to write— first of all, write a fraction that describes the amount, and then try to find an equivalent fraction for it.",00:04:44
ahtnsal,40,student,Oh yeah.,00:04:53
ahtnsal,41,tutor,12 out of 16. [unclear] [unclear],00:05:03
ahtnsal,42,tutor,Okay. Desmond?,00:05:39
ahtnsal,43,student,Mm-hmm.,00:05:56
ahtnsal,44,tutor,So why do you think it's 12:16?,00:05:56
ahtnsal,45,student,"Because, um...",00:06:00
ahtnsal,46,student,"The number on shared goods is 12, and out of the whole parts it's 16.",00:06:02
ahtnsal,47,tutor,"Okay, so that's right. Why was it 3 tenths and 30 hundredths here?",00:06:10
ahtnsal,48,student,"Because, um, because I didn't read it properly because I thought it had 10 in the column and then I would want 30, and then I would write that, and then I would write 30 out of 100.",00:06:16
ahtnsal,49,tutor,"30 out of 100. So you had 3 tens and 30 hundreds, right? What made you think it's 3 tens, Desmond?",00:06:31
ahtnsal,50,student,"I don't know, I just thought it was 3 tens.",00:06:44
ahtnsal,51,tutor,"Okay, so maybe you took each of the shaded parts, like the columns here. Here. Isn't that so? And out of 10, why was it 10? May I know why? [unclear] Was it a guess?",00:06:48
ahtnsal,52,student,Yeah.,00:07:07
ahtnsal,53,tutor,"It was a guess, right? Yeah. Okay. Oh, oh, had you had any other reason? Like 3 columns shaded out of 10. I want to— I wonder what",00:07:09
ahtnsal,54,tutor,"Maybe, did you count anything else?",00:07:24
ahtnsal,55,student,"No, I don't think so.",00:07:26
ahtnsal,56,tutor,"Okay, so, right, so that's 12, 16. Why do you think it's 6, 8?",00:07:29
ahtnsal,57,student,Because 8 goes into 16 twice and 6 goes into 12 twice.,00:07:36
ahtnsal,58,tutor,"Yeah, right. [unclear]",00:07:44
ahtnsal,59,tutor,"8 goes in 16 2 times, and 6 goes into 12? Yes. Okay, can you— can you— we can also think of another fraction by just looking at the diagram here, right? Imagine this is the same diagram without the small squares, okay? So if you imagine all of them without the small squares, then it would be like something like this, right?",00:07:49
ahtnsal,60,tutor,"Yeah. Then, okay, this one is not shaded and the last one is shaded. So can you name it as a fraction now? That would be another fraction.",00:08:17
ahtnsal,61,student,4/10.,00:08:27
ahtnsal,62,tutor,4?,00:08:30
ahtnsal,63,student,4... [unclear] 4/10.,00:08:34
ahtnsal,64,tutor,4/10. Why do you think it's a 10 as the denominator? [unclear],00:08:37
ahtnsal,65,tutor,"Like the same, the same shape is here, okay? Only the difference is that it is not divided into 4 equal parts. The whole thing is 1 here. So we have how many total parts?",00:08:45
ahtnsal,66,student,16.,00:08:59
ahtnsal,67,tutor,Okay.,00:09:01
ahtnsal,68,tutor,"Like, can you not see if you divide it into 4 and shade 3 like this, would it be the same as this diagram?",00:09:07
ahtnsal,69,student,Yeah.,00:09:25
ahtnsal,70,tutor,"Yes, so that is equal fraction, right? How many shaded out of how much in this [UNCLEAR]?",00:09:26
ahtnsal,71,student,3/6. [unclear],00:09:37
ahtnsal,72,tutor,"No, it would be 12/16 if you were doing the same diagram.",00:09:39
ahtnsal,73,student,"Okay, but in the different diagram like this where the whole thing is divided into 4 parts?",00:09:43
ahtnsal,74,tutor,"Oh, 4, 5, 6, 7, 8. One part would be one part each.",00:09:50
ahtnsal,75,student,Maybe I can draw the diagram in a clearer way.,00:10:00
ahtnsal,76,tutor,"Imagine the same diagram, okay? [unclear] Imagine the same diagram here, right? So without each column being divided into 4 parts, okay? So here the first column is shaded, the second one is also shaded, the last one is shaded. Leaving the third one unshaded. Okay, so here, if you write this as a fraction, that would be the same as the fraction that is denoting this, right? You could also write 12/16, 6/8, and then the fraction. By just looking at this diagram? [unclear]",00:10:04
