session_id,utterance_id,role,content,timestamp
neprimb,0,tutor,Hello.,00:00:00
neprimb,1,background,[unclear],00:00:00
neprimb,2,student,Hello.,00:00:00
neprimb,3,background,"Hi, Thaddeus. Yep.",00:00:02
neprimb,4,tutor,"Hello, can you hear me?",00:00:08
neprimb,5,student,Yeah.,00:00:10
neprimb,6,tutor,"Okay, how are you, Thaddeus?",00:00:13
neprimb,7,student,I'm good.,00:00:16
neprimb,8,tutor,"All right, since we're already running late, let's continue, okay?",00:00:18
neprimb,9,student,Yeah.,00:00:24
neprimb,10,tutor,"So we were doing this topic, Thaddeus, estimating calculations in our last session, do you remember?",00:00:26
neprimb,11,tutor,Yep.,00:00:33
neprimb,12,background,"So I'm sorry, and we did this calculation, this question, and we also did this one. And before doing this calculation, we completed this one over here. We learned how to complete this one, right? Do you remember?",00:00:35
neprimb,13,tutor,Yeah.,00:00:55
neprimb,14,background,"Yes, so it's time to continue with the similar kind of question over here. So let's go through the question first and then we'll discuss.",00:00:56
neprimb,15,tutor,Do you want me to do these questions?,00:01:13
neprimb,16,student,"Ah, sorry?",00:01:16
neprimb,17,tutor,Do you want me to do these questions?,00:01:17
neprimb,18,student,Yeah. Can you try this by yourself? [unclear] Yeah.,00:01:20
neprimb,19,tutor,So what do you think? How would you solve this one? [unclear] 320 divided by 2.6.,00:01:44
neprimb,20,tutor,"Mm-hmm. Okay. So what does the first question say? First part of the question, I mean.",00:01:58
neprimb,21,student,Estimate her speed in kilometers per hour.,00:02:06
neprimb,22,tutor,"Yeah, so how will you estimate here?",00:02:10
neprimb,23,student,You round both the numbers up.,00:02:13
neprimb,24,tutor,Okay. [unclear],00:02:17
neprimb,25,student,To the nearest whole number. So would 320 become 300?,00:02:18
neprimb,26,tutor,"Okay, let's show your work here and then we'll discuss on that. Let's work first. [unclear]",00:02:31
neprimb,27,student,Mm-hmm.,00:02:54
neprimb,28,tutor,"Okay, let's write our answer here. [unclear]",00:03:19
neprimb,29,student,Uh... We're talking about speed.,00:03:21
neprimb,30,student,I don't know.,00:03:38
neprimb,31,tutor,Did you say I don't know?,00:03:43
neprimb,32,student,"No, I think [UNCLEAR].",00:03:47
neprimb,33,tutor,So actually I'm saying that here we are talking about speed. Estimate her speed. So will there be only a number? How do we write speed? 100... [unclear],00:03:47
neprimb,34,tutor,"Okay. Will there be hour? Just hour? So 100 hours is time. That denotes time, but how do we denote speed?",00:04:15
neprimb,35,student,"Uh, I'm not too sure.",00:04:33
neprimb,36,tutor,"Okay, all right. So we are dividing kilometer, right? The distance is in kilometer and the time is in hours. So that would give us kilometer per [UNCLEAR].",00:04:37
neprimb,37,student,[unclear],00:04:55
neprimb,38,tutor,"Yeah, can you put that here? The unit, please.",00:04:55
neprimb,39,student,"Oh, well, I'm sorry. Confused.",00:05:13
neprimb,40,tutor,"Okay, okay, let me help you here. So a kilometer per hour. Have you seen it anywhere?",00:05:21
neprimb,41,student,Yeah.,00:05:32
neprimb,42,tutor,"Okay, this is kilometer per hour. So if we— so what will happen, Thaddeus, if we just mention 100?",00:05:33
neprimb,43,student,"Uh, lose a mark.",00:05:41
neprimb,44,tutor,"Yes, you will lose a mark, absolutely. And why is that?",00:05:43
neprimb,45,tutor,Because that shows?,00:05:47
neprimb,46,student,Because there is no [unclear] units in.,00:05:48
neprimb,47,tutor,"Yes, there are no units, and without units, just a number. Okay, now looking at that, what do you think? Is your answer, is your solution overestimate or underestimate? And how do you know that?",00:05:53
neprimb,48,student,"Well, underestimate.",00:06:09
neprimb,49,tutor,"Great, and why?",00:06:12
neprimb,50,student,Because numbers have been rounded.,00:06:16
neprimb,51,tutor,Okay. Any other reason?,00:06:23
neprimb,52,student,[unclear] estimate.,00:06:28
