session_id,utterance_id,role,content,timestamp
lrwgdws,0,background,[unclear] [Speaker:Tutor]... [unclear] [Speaker:Corbin]... [unclear] [unclear] [Speaker:Tutor]... [unclear] [Speaker:Corbin]... [unclear] [unclear] [Speaker:Tutor]... [unclear] [Speaker:Corbin]... [unclear] [unclear] [Speaker:Tutor]... [unclear] [Speaker:Corbin]... [unclear],00:00:00
lrwgdws,1,tutor,"We just have to have 6 here, so this is [UNCLEAR].",00:01:09
lrwgdws,2,student,Okay.,00:01:12
lrwgdws,3,student,10.05.,00:01:25
lrwgdws,4,tutor,"We have to have 5 in the hundredths, so that is once again correct. Okay, so, so far you have shown a really good understanding. We have another slide in here.",00:01:28
lrwgdws,5,tutor,Can you match each sentence to the correct number?,00:01:42
lrwgdws,6,student,The number has 200. Should I draw a line to it?,00:01:47
lrwgdws,7,tutor,Yes.,00:01:54
lrwgdws,8,student,Okay.,00:01:54
lrwgdws,9,tutor,Has 200.,00:01:57
lrwgdws,10,student,The number has 900. [unclear],00:02:00
lrwgdws,11,tutor,The number has 6 tens.,00:02:08
lrwgdws,12,tutor,"There we go, yes, correct. Can you come up with the sentence that might be true for this number?",00:02:11
lrwgdws,13,student,This number has 9 in the hundreds.,00:02:21
lrwgdws,14,tutor,"Yes, we could say it has 9 hundreds, or else you could say it has a [unclear]",00:02:28
lrwgdws,15,tutor,That is also correct. [unclear] Okay.,00:02:38
lrwgdws,16,background,"So let's kind of recap about this lesson so far. So basically what we did was we just discussed these two columns, the tenth column and the hundredth column.",00:02:45
lrwgdws,17,tutor,All right.,00:02:59
lrwgdws,18,background,So will you be able to answer this question?,00:03:01
lrwgdws,19,student,"Yeah, circle the greatest fraction. [unclear]",00:03:05
lrwgdws,20,tutor,"Yes, 7 tenths are greater than 9 hundredths, so this is bigger. Very good. Right, so with that, we'll move to the next lesson for the day. Let me get that for you.",00:03:14
lrwgdws,21,tutor,"Right, there we go. So this is also somewhat connected to decimals, but in this case we're just looking at adding and subtracting only. Right, so we'll start with this. Write 6 here over 10 as a decimal. [unclear] [unclear]",00:03:34
lrwgdws,22,student,Right.,00:04:00
lrwgdws,23,tutor,Okay.,00:04:00
lrwgdws,24,student,This is 0.6.,00:04:00
lrwgdws,25,tutor,"Yes, 0.6. 6 tenths. Very good. So next is to see a small subtraction with decimals. 59.73 take away 0.3.",00:04:03
lrwgdws,26,student,Yes.,00:04:16
lrwgdws,27,background,Thank you.,00:04:18
lrwgdws,28,student,59.73,00:04:19
lrwgdws,29,student,"Yeah, 4, 3.",00:04:20
lrwgdws,30,tutor,"4, 3. There we go. Yes, only the 10th column will change. So this will be the answer. Correct. So we'll straight away go to this slide. So here, 0.34 is already represented here, and you have to take away 2 hundredths of that, what will be the remainder?",00:04:26
lrwgdws,31,student,"Um, 0.32.",00:04:53
lrwgdws,32,tutor,"Yeah, if you take away 200, 0.32 will be the remainder. All right, try out the other parts as well. [unclear]",00:04:59
lrwgdws,33,tutor,Yep.,00:05:17
lrwgdws,34,student,70.42 and 0.4... [unclear],00:05:17
lrwgdws,35,tutor,"Yes, it did. So the basic part is for cats.",00:05:34
lrwgdws,36,tutor,So do you think I can write this one as 0.4? Would you think it is the same number or different?,00:05:40
lrwgdws,37,student,"Yeah, yeah, yeah, because the 0 is just a placeholder.",00:05:52
lrwgdws,38,tutor,"Yes, there we go. Both the answers are just correct. Both of them represent 4 tenths. Right, okay, so you have that understanding. We'll look into [Speaker:Tutor]...the next one, which is a little bit of a worded type of a question. Now, [UNCLEAR], what do you need to do?",00:05:56
lrwgdws,39,student,Tara cycled 7.3 kilometres to get to her friend's house and then cycled a further 0.6 kilometres to the park. How far did Tara cycle altogether?,00:06:15
lrwgdws,40,tutor,What do we need to do there?,00:06:32
lrwgdws,41,student,Add them up.,00:06:35
lrwgdws,42,tutor,"Yes, add them up. Very good.",00:06:37
lrwgdws,43,student,Then is the answer 7.9?,00:06:42
lrwgdws,44,tutor,"Yes, it is. Well done. So basically add 6 with the 3, so [UNCLEAR]. Given it kilometres, so we have to add kilometres at the end. All right. Okay, so we have completed that as well. So, uh, have you discussed, uh, these areas in your school before?",00:06:49
