session_id,utterance_id,role,content,timestamp
mnyvtvp,0,background,[unclear],00:00:00
mnyvtvp,1,tutor,"Oh, hi, Corbin.",00:00:00
mnyvtvp,2,student,Hello?,00:00:04
mnyvtvp,3,tutor,"Hi, can you hear me?",00:00:05
mnyvtvp,4,student,"Hello, Corbin, can you hear me?",00:00:11
mnyvtvp,5,tutor,Hello? Hello? Hello?,00:00:22
mnyvtvp,6,student,Yeah.,00:00:31
mnyvtvp,7,tutor,"Yeah, okay. So how have you been?",00:00:32
mnyvtvp,8,student,"Yeah, I need to [UNCLEAR].",00:00:35
mnyvtvp,9,tutor,Hello?,00:00:35
mnyvtvp,10,tutor,"Okay, I can't really hear you well.",00:00:39
mnyvtvp,11,student,Hello?,00:00:44
mnyvtvp,12,tutor,"Okay, I think I can hear you now. So how have you been, Corbin?",00:00:47
mnyvtvp,13,student,Good.,00:00:53
mnyvtvp,14,tutor,"Hello? Good, okay. So what have you been up to today? [unclear]",00:00:53
mnyvtvp,15,student,We did maths.,00:01:04
mnyvtvp,16,tutor,"Okay, what else? Just a math?",00:01:06
mnyvtvp,17,student,We did math. We was on English.,00:01:12
mnyvtvp,18,tutor,"Okay, so that's good to know. So we will be continuing this lesson that we started last week. We've only got like one more question left there. Well, half a question. What was the topic, Corbin?",00:01:18
mnyvtvp,19,student,Knowing the value of each digit and numbers of [UNCLEAR].,00:01:34
mnyvtvp,20,tutor,"It's 10 million. So if you can remember, we spoke about place values in a number. Yeah, we spoke about the millions, hundred thousands, ten thousands, thousands, hundreds, tens, and ones. And then we did question halfway. Shall we go through the question once again and try B today? Paper.",00:01:34
mnyvtvp,21,tutor,Sorry?,00:02:02
mnyvtvp,22,student,Shall we go through this question again and try B because we already did part A last week?,00:02:03
mnyvtvp,23,background,Okay.,00:02:11
mnyvtvp,24,student,Okay.,00:02:12
mnyvtvp,25,background,"What's the smallest number Hockey could have made? She could have made— wait, I don't know. She could have made— [unclear]",00:02:13
mnyvtvp,26,student,She could have made 5. Do I have to write it down?,00:02:29
mnyvtvp,27,tutor,"No, so we already done this. The 2 numbers he could be thinking of, we need to come up with this one.",00:02:36
mnyvtvp,28,student,5 remainder.,00:02:43
mnyvtvp,29,student,"Okay, so the smallest number Hockey could have made could be 5. So what do you think? What could be the smallest number?",00:02:46
mnyvtvp,30,student,"5 million— 5,600,000— wait, 5,600— [unclear]",00:02:58
mnyvtvp,31,student,"7,000... [UNCLEAR]",00:02:58
mnyvtvp,32,tutor,"Can you move the digit 4 though? Did you read the question? Shall we go through the question once again, Corbin?",00:03:25
