session_id,utterance_id,role,content,timestamp
jjctaoo,0,background,[unclear],00:00:00
jjctaoo,1,tutor,I don't remember.,00:00:00
jjctaoo,2,student,Hello?,00:00:08
jjctaoo,3,tutor,Hi.,00:00:09
jjctaoo,4,student,"Hi, Callum. How are you doing today? Good.",00:00:10
jjctaoo,5,tutor,How has the day been for you today?,00:00:15
jjctaoo,6,student,Good.,00:00:16
jjctaoo,7,tutor,"Good. Okay, so do you have anything interesting to share?",00:00:17
jjctaoo,8,student,No.,00:00:25
jjctaoo,9,tutor,"All right, okay. Well, time for the lesson then, right? [unclear] Callum, do you hear me well? [unclear]",00:00:26
jjctaoo,10,tutor,"Okay, so if my voice glitches or if it breaks, you can just tell me, okay?",00:00:42
jjctaoo,11,student,Okay.,00:00:49
jjctaoo,12,tutor,"All right, thank you so much, Callum. So I think we are good, we can start now. So could you please read out the topic for me?",00:00:51
jjctaoo,13,student,Adding and subtracting using rounding.,00:01:02
jjctaoo,14,tutor,"Adjusting. [unclear] Yes, Callum. Okay, so you did a very good job in the last session. Do you remember that? You did a very good job by doing all of these questions. Do you remember that?",00:01:11
jjctaoo,15,student,Yeah.,00:01:23
jjctaoo,16,tutor,"Yeah, so you rounded and you nicely adjusted the numbers and you rounded, right? So now we are going to go to the— go for the slide, Callum. So can you please read the question and try this?",00:01:24
jjctaoo,17,tutor,[unclear] buys a soccer for £199 and a skateboard for £98. How much does he spend altogether? [Speaker] So I'm going to round 199 to 200.,00:01:37
jjctaoo,18,tutor,"Mm-hmm. [Speaker] And then I'm going to add 98 to 200, which will turn out to be 290. [unclear] 8, and then I'll take away that 1. So then the answer will be 297. [unclear]",00:02:08
jjctaoo,19,tutor,"I'm really impressed, Callum. This is a wonderful working out because you explained to me every step. You converted— like, you just told me that you adjusted the number and then you added that to 98 easily, right, Callum? And then, uh, you nicely, you know, took off a 1 from that without forgetting. So that had a lot of, you know, focus, and you did put a lot of effort in there, right? So I really appreciate that working out, Callum. That's brilliant. Okay, so I hope now it's easy for Callum, right?",00:02:42
jjctaoo,20,student,[unclear],00:03:19
jjctaoo,21,student,Yeah.,00:03:21
jjctaoo,22,tutor,Are all these questions easy for you now? Is it getting easier?,00:03:21
jjctaoo,23,student,Yeah.,00:03:25
jjctaoo,24,tutor,"Okay, Callum. You're doing a good job, okay? Keep up the good work. So, Callum, do you have any questions related to this lesson? [unclear] Okay. So how do you rate this lesson?",00:03:26
jjctaoo,25,student,Good.,00:03:40
jjctaoo,26,tutor,"Good. Okay. So we might get challenging questions sometimes, right? But this go further slide is a challenging question. It's not something easy, but you were able to do it, Callum. So that's nice. That shows that you have a very good understanding about this lesson. So since you don't have any questions, I'll just go through the slides. Could you just tell me like what important things that we need to know in this lesson, Callum? In this whole lesson.",00:03:43
jjctaoo,27,student,"Yeah. So... [unclear] [Speaker] Like, you need to— if you round, like, it up, like 298, and like you needed to add, like, 10 or something like that, you always need to remember you need to take that 2 away from it that you added.",00:04:12
jjctaoo,28,tutor,"Mm-hmm. [unclear] Uh-huh. Yeah. [Speaker] And when you take it away, you need to [unclear]",00:04:36
jjctaoo,29,tutor,"Yes, yes, you're right. So there are some criteria when we add and subtract, right? So it depends on the questions that we get, right, Callum, as you say?",00:04:49
jjctaoo,30,student,Yeah.,00:05:02
jjctaoo,31,tutor,"So thank you so much for explaining that to me very nicely. So since You don't have any questions or good with this? Shall we move on to a new lesson, Callum?",00:05:02
jjctaoo,32,student,Yeah. [unclear],00:05:17
jjctaoo,33,tutor,Here we go. So could you please read out this topic for me?,00:05:17
jjctaoo,34,student,It is a mental—,00:05:26
jjctaoo,35,tutor,"Choosing a mental, yes. Go on. [unclear]",00:05:30
jjctaoo,36,tutor,"Written method. Awesome. Okay, Callum, so choosing a mental or written method. So which one do you prefer? Is it the mental method or the written method? Do you like to do it in your head or you want to write down and do it? Which one do you prefer?",00:05:36
jjctaoo,37,student,Write down and do it.,00:05:57
jjctaoo,38,tutor,"Okay, so we studied the mental method first, right? Like we adjusted the numbers. What is the mental? Method, right? So if you want to practice that, you can do it because this is a practice session. Just think this as a practice session. This is not your exam, right, Callum? So here you can, you know, try your best to do it in mental method, but it's okay even if you do it in written method. But try your best to get that answer in mental as well, okay? [unclear] Try the learning goal.",00:06:00
jjctaoo,39,tutor,Use either a mental or written method to solve this calculation.,00:06:32
jjctaoo,40,student,Mm-hmm.,00:06:41
jjctaoo,41,tutor,So... [unclear],00:06:45
jjctaoo,42,student,"I will, because there's not really... So I'm gonna add this to 300. And I'd have to take away 48.",00:06:46
jjctaoo,43,tutor,Awesome.,00:07:09
jjctaoo,44,student,"And so I turn that to 300. And if I add the 143, I would— [unclear] [Speaker]...get 443.",00:07:11
jjctaoo,45,tutor,"That's awesome. [Speaker] And then I'd have to take away 48, which would be 293. [unclear] [Speaker] 8, I think.",00:07:32
jjctaoo,46,tutor,290? [Speaker] 7. [Speaker] You're very much closer. Not 297. [Speaker] If you take off 28? [unclear] 290.,00:07:53
jjctaoo,47,tutor,"294. Right, Callum?",00:08:16
jjctaoo,48,student,[unclear],00:08:19
jjctaoo,49,tutor,"So if you feel this one is a bit hard for you, you can use a number line as well, Callum, because that's something really easy that you— do you know how to use a number line to do this?",00:08:22
jjctaoo,50,student,Yeah.,00:08:32
jjctaoo,51,tutor,"Could you try the number line method? Let's try it because this is just a practice session. Okay, Callum? All right, so don't mind about your answers much. Okay, now because we just started, right? So we can practice and do a good job, isn't it, Callum? [unclear]",00:08:34
jjctaoo,52,student,I actually forgot how to use it.,00:08:50
jjctaoo,53,tutor,"All right, so let me just tell you this one, okay? So we have got two numbers to be added, right, Callum? So in that case, what I would do is that I would write 252 first, okay? So let me just write 252, okay? So, and then I would like to add 143 to this 252, right?",00:08:57
jjctaoo,54,student,Yeah.,00:09:20
jjctaoo,55,tutor,"So what I'm going to do is— Callum, see, this is 143. So I know there is a 100, there is a 40, and there's a 3. Do you agree, Callum? In the [UNCLEAR]?",00:09:21
jjctaoo,56,student,Yeah.,00:09:31
jjctaoo,57,tutor,"Right. So what I'm going to do is to this 252, first I'm going to add a 3 because we will just get rid of that 3, right? What do you say? [unclear] So that becomes what? 255. Yes or no?",00:09:32
jjctaoo,58,student,Yeah.,00:09:47
jjctaoo,59,tutor,"Yeah. So, and then I'll be adding another 40 to that. Okay? Then we'll just get rid of that 40. Okay?",00:09:48
jjctaoo,60,student,[unclear],00:09:56
jjctaoo,61,tutor,Do you see what I'm doing?,00:09:57
jjctaoo,62,student,Yeah.,00:10:00
jjctaoo,63,tutor,Right. So then I put 255 plus 240 is 295. Yes or no? Do you agree with that?,00:10:01
jjctaoo,64,student,Yeah.,00:10:08
jjctaoo,65,tutor,Right. Then I simply have to add 100. Yes or no?,00:10:09
jjctaoo,66,student,Yeah.,00:10:14
jjctaoo,67,tutor,"Right. Now, did I add all the numbers in the 143? The 100 is there, the 40 is there, the 3 is there, right?",00:10:15
jjctaoo,68,student,Yeah.,00:10:24
jjctaoo,69,background,[unclear],00:10:25
jjctaoo,70,tutor,Right. So now what's my answer is gonna be? Like 295 plus 100 is going to be? 395.,00:10:26
jjctaoo,71,tutor,"395. There you go. So I got my answer, which is easy. [unclear]",00:10:35
jjctaoo,72,student,"Yeah, it is easy, Callum. What do you say?",00:10:41
jjctaoo,73,tutor,Yeah.,00:10:43
jjctaoo,74,student,"So this is about the, uh, you know, addition. So you just, uh, add one by one and get your final answer over here. Okay, but when it comes to subtraction, it's going to be something like you are adding these answers, right?",00:10:44
jjctaoo,75,student,If?,00:11:01
jjctaoo,76,tutor,"But because you can't add this one, right? So see, 304 subtract 294. So you can't say 304 is the answer here, right? Because we see the subtraction. So in that case, we see how much we add there at the top. So that will be our answer, right? Can you try the prior learning?",00:11:02
jjctaoo,77,student,"Yeah, to solve the calculation by the [Speaker:Tutor]...counting?",00:11:21
jjctaoo,78,student,"Counting on using a number line. So, like the adding method on the [UNCLEAR], I will take away the 294 from 304.",00:11:27
jjctaoo,79,tutor,Yeah.,00:11:53
jjctaoo,80,student,"So when I'll take away the 4 from 4 first, so that'll just be 300.",00:11:54
jjctaoo,81,tutor,"That's a good start. [unclear] Let's go for the jump and let's see how much you're adding to that. 294 to 300, right? So like, how are you going to jump?",00:12:07
jjctaoo,82,tutor,So... [unclear],00:12:21
jjctaoo,83,tutor,"Okay, you're... okay, go on.",00:12:24
jjctaoo,84,student,"Then I'm gonna take away that 90 from 294, which would be 300... 210.",00:12:29
jjctaoo,85,tutor,And then I'll—,00:12:46
jjctaoo,86,student,Why is it 210?,00:12:47
jjctaoo,87,tutor,You took 90.,00:12:50
jjctaoo,88,student,Mm-hmm. [unclear],00:12:54
jjctaoo,89,tutor,"I think you can do an easy method, Callum. See, from 294 to 304, you are looking the difference. Can you do that to see the difference? Subtracting means it's the difference, right, Callum? Yes or no?",00:12:59
jjctaoo,90,student,[unclear] Yeah.,00:13:14
jjctaoo,91,tutor,"You see, from 294 to 300, how much do you need to add?",00:13:16
jjctaoo,92,student,Um...,00:13:24
jjctaoo,93,tutor,From 294... [Speaker:Callum]...194.,00:13:27
jjctaoo,94,tutor,294 to 300. It's very much closer. What is it? [Speaker:Callum]...194.,00:13:28
jjctaoo,95,tutor,"You can count using your fingers. How much? 294 to 300 is 6, right?",00:13:34
jjctaoo,96,student,Yeah.,00:13:41
jjctaoo,97,tutor,So you add a 6 there. And for 300 to 304?,00:13:42
jjctaoo,98,student,[unclear],00:13:48
jjctaoo,99,tutor,"You add a 4. So what is the difference? It's a 10. 6 plus 4 is 10, right? Do you understand?",00:13:49
jjctaoo,100,student,Yeah.,00:13:58
jjctaoo,101,tutor,"So it's a 10 there. Okay, Callum, is that clear to you?",00:13:59
jjctaoo,102,student,Yeah.,00:14:02
jjctaoo,103,tutor,"Yeah. [Speaker] Did you understand this method that I told you here? When we are adding, we see what is the final answer that we are gonna get, and that is going to be the answer here. But when you're subtracting, we look at the difference, right? We look at the difference between the 294 and the 304. That's why I jump from the smallest sum to the biggest number. Do you see that?",00:14:03
jjctaoo,104,student,"[unclear] [Speaker] The smallest number is 294 here, right? So that's why I jump from 294 to 300 first. Because that's easy, right? So I know it's a +6. And from 300 to 304, it's a +4. So the total is 10. So difference between these two numbers is going to be 10. Do you agree or do you have confusion?",00:14:24
jjctaoo,105,student,I agree.,00:14:48
jjctaoo,106,tutor,"Okay, if you have confusion, just tell me, okay, Callum? Right?",00:14:49
jjctaoo,107,student,[unclear],00:14:53
jjctaoo,108,tutor,"Because I'm like, obviously okay if you don't understand something because sometimes we don't understand everything, right? So that is the reason I ask you, even like twice and thrice I would ask whether you understood. Okay, because these questions are attached with the other slides, right? If we understand this one, you will understand the other one, right?",00:14:54
jjctaoo,109,student,Yeah.,00:15:16
jjctaoo,110,tutor,"So to have a practice, shall we try a question even in here itself? What do you say?",00:15:17
jjctaoo,111,student,Yeah.,00:15:23
jjctaoo,112,tutor,"I'll give you a question which is to subtract. So you can draw a number line and you can work out, okay?",00:15:24
jjctaoo,113,tutor,"So let me give you a simple one. All right, 692 subtract 500— Just [unclear] give me a second.",00:15:31
jjctaoo,114,tutor,"710 subtract— where's the subtract sign? Okay, 710 subtract 682. Let me just give you 92. Can you try this one? [unclear] You can try.",00:16:00
jjctaoo,115,student,"So, um—",00:16:23
jjctaoo,116,tutor,Mm-hmm.,00:16:24
jjctaoo,117,student,And so I will draw a number line.,00:16:25
jjctaoo,118,tutor,"Okay, that's a good start.",00:16:30
jjctaoo,119,student,And then I will say [unclear] 710. And 692. And then what I need to add to get 800 to 710 is 90. And then as you get to 10—,00:16:35
jjctaoo,120,tutor,"No, why do you have to add 90 and all, Callum? What is the smaller number here? [unclear] What is the smaller number here?",00:17:15
jjctaoo,121,student,692.,00:17:25
jjctaoo,122,tutor,"Yeah, so why did you put 692 here? It should be the first number, right?",00:17:27
jjctaoo,123,student,[unclear],00:17:32
jjctaoo,124,tutor,"Right? So, because you need to jump and you need to get the answer, isn't it?",00:17:35
jjctaoo,125,student,Yeah.,00:17:40
jjctaoo,126,tutor,"You need to go for jumps, so write the smallest number first, okay?",00:17:40
jjctaoo,127,tutor,Yeah.,00:17:46
jjctaoo,128,student,So 692 and then 710.,00:17:48
jjctaoo,129,tutor,"Okay, now you will see the difference. But what is the difference? That's all.",00:17:59
jjctaoo,130,student,If— so how to get to 700 from 690. [unclear],00:18:04
jjctaoo,131,tutor,"Okay, go on.",00:18:13
jjctaoo,132,student,So you would need 8.,00:18:14
jjctaoo,133,tutor,Awesome.,00:18:20
jjctaoo,134,student,"So that, and then I have, and then—",00:18:22
jjctaoo,135,tutor,"You can just put an 8 here, like plus 8. So you can see that the number is changing to what? If you add an 8?",00:18:27
jjctaoo,136,student,[unclear] It will change to 700.,00:18:36
jjctaoo,137,tutor,"You need to write that. If not, you will get confused. Okay? [unclear]",00:18:42
jjctaoo,138,student,Yeah. Then?,00:18:46
jjctaoo,139,tutor,"And then I would take away 700 from 710, which should be 10, and then I'd add the",00:18:48
jjctaoo,140,student,"8 to that 10, which should be 18.",00:19:04
