session_id,utterance_id,role,content,timestamp
lqrbwkp,0,background,[unclear],00:00:00
lqrbwkp,1,tutor,"Hi, Declan.",00:00:00
lqrbwkp,2,student,Hi.,00:00:04
lqrbwkp,3,tutor,How are you doing now?,00:00:05
lqrbwkp,4,student,I'm doing good.,00:00:06
lqrbwkp,5,tutor,"All right, so is everything okay with you? Because I think you have joined a bit late today.",00:00:09
lqrbwkp,6,student,"Yeah, it's because I was at a football tournament with my school.",00:00:16
lqrbwkp,7,tutor,"All right, okay. I hope you played well. So were you playing a football match? [unclear]",00:00:21
lqrbwkp,8,student,"Yes, yeah, I was playing.",00:00:26
lqrbwkp,9,tutor,"All right, amazing. So like in what position you were playing in your football match?",00:00:29
lqrbwkp,10,student,I was playing up front. We were doing 5-a-side.,00:00:35
lqrbwkp,11,tutor,"All right, okay, interesting. I hope you enjoyed your match. Yeah?",00:00:39
lqrbwkp,12,student,Yeah.,00:00:43
lqrbwkp,13,tutor,"All right, Declan, so do you think you can [unclear] this lesson we stopped in our last class?",00:00:45
lqrbwkp,14,student,I don't know.,00:00:53
lqrbwkp,15,tutor,"All right, that's fine. Let's get back to the lesson, which is [UNCLEAR]. With different denominators. I hope you quickly can recall. Yeah? So before we start work, can you try it? [unclear] All right, that's really amazing. Explain to me how you did that.",00:00:58
lqrbwkp,16,student,"Because I converted 2/5 into tenths because we have to work in the same denominators. So 5 times 2 is 10, 2 times 2 is 4, 4. So 4/10 plus 3/10 is 7/10.",00:01:21
lqrbwkp,17,tutor,"Yes, it is. That's really amazing explanations over there. All right, so I think you can get started with your Go Further side. So I want you to read this carefully and work on this. Yeah?",00:01:37
lqrbwkp,18,student,Okay. [unclear] Tara and Hockey both have the same size chocolate ball. Tara has 3/4 left,00:01:51
lqrbwkp,19,student,"Okay, so [unclear]",00:02:02
lqrbwkp,20,tutor,4.,00:02:05
lqrbwkp,21,student,4.,00:02:15
lqrbwkp,22,tutor,12.,00:02:25
lqrbwkp,23,student,4 times 12.,00:02:27
lqrbwkp,24,tutor,It's amazing. Can you simplify this 4?,00:02:29
lqrbwkp,25,student,"Um, yeah, maybe.",00:02:36
lqrbwkp,26,tutor,"Okay, so what would be that?",00:02:39
lqrbwkp,27,student,"One-third, one-third.",00:02:41
lqrbwkp,28,tutor,"Yes, it is. Brilliant. Can you explain to me? I am now definitely going to give you good working out praises for doing a fantastic work, Declan. Please explain to us how you did this.",00:02:45
lqrbwkp,29,student,"Uh, so I put three-fourths into",00:02:58
lqrbwkp,30,student,"12, which is 4 times 3 is 12, 3 times 3 is 9, and 9/12 minus 5/12 is 4/12.",00:02:58
lqrbwkp,31,tutor,"Yes, that's really amazing, Declan. So I hope you are very confident with this lesson. Yeah, so, um, so before we move on to your next lesson, could you please explain me the steps when you find a question like this? What would be your steps?",00:02:58
lqrbwkp,32,tutor,So I do work in the same denominators and then you can take away. [unclear],00:03:35
lqrbwkp,33,student,"So work in the same denominator, then you",00:04:00
lqrbwkp,34,student,You can do your takeaway or addition.,00:04:05
lqrbwkp,35,tutor,"Yes, it is amazing. The first thing would be observing your fractions, whether they having same denominators or not. Yeah, so in here this is very easy because you can find 4 as the multiple of 12, so you can just do one multiplication. Sometimes you would find two different fractions where you have to multiply it in two different ways. Yeah.",00:04:10
lqrbwkp,36,tutor,"So it's always better, like you say. So amazing, Declan. So if you don't have any questions, we can move on to the next lesson. Can you guess what would be our next lesson?",00:04:35
lqrbwkp,37,student,Decimals?,00:04:49
lqrbwkp,38,tutor,"Okay, we'll see. Again, finding fractions of amount. So have you done [unclear] before?",00:04:52
lqrbwkp,39,student,Yeah.,00:05:06
lqrbwkp,40,tutor,"Okay, so can you work out this?",00:05:08
lqrbwkp,41,student,"Uh, so that is 9. [unclear] It's 9. 9 rounded is 5, so 24.5. Okay, because 5, you round up, and you round off, that is 5. [unclear]",00:05:14
lqrbwkp,42,tutor,Hello?,00:05:45
lqrbwkp,43,student,Yes.,00:05:46
lqrbwkp,44,tutor,"All right, can you tell me how did you find this one?",00:05:47
lqrbwkp,45,student,24 divided by 8 is 3. 3 times 3 is 9.,00:05:51
lqrbwkp,46,tutor,"Yes, that's an amazing explanation, so I'm definitely going to give you great explanation phrases, Declan. So let's get started with your [UNCLEAR]. So here you have 4 questions. Which one you're going to work first?",00:05:58
lqrbwkp,47,student,I'm gonna work with number A. B is that.,00:05:58
lqrbwkp,48,student,"4 times 7 is 28. Last one, 42 divided by 6 is 35. [unclear]",00:06:56
lqrbwkp,49,tutor,"All right, so it seems that you are doing amazing work. I'm going to give you excellent focus braces, Declan, for doing a fantastic work. So, um, can you explain to me using this bar model?",00:07:21
lqrbwkp,50,student,"Okay, um, 30 divided by 5 is 6. So 6 goes in here.",00:07:37
lqrbwkp,51,tutor,"Okay, I have a few questions for you.",00:07:47
lqrbwkp,52,student,Okay.,00:07:51
lqrbwkp,53,tutor,So why do you think you need to have 5 boxes or 5 parts?,00:07:52
lqrbwkp,54,student,Because our denominator is 5.,00:07:57
lqrbwkp,55,tutor,"Yes, Declan, that's right. So what do you know about 30?",00:07:59
lqrbwkp,56,student,"Uh, 30...",00:08:06
lqrbwkp,57,student,30 divided by 5 is 6.,00:08:11
lqrbwkp,58,tutor,"So 30 is the whole number, right?",00:08:16
lqrbwkp,59,student,Yeah.,00:08:19
lqrbwkp,60,tutor,"The total of this portion. Okay, so yeah, so what is— and how did you find 12 as the answer?",00:08:20
lqrbwkp,61,student,"I did 30 divided by 5, which is 6, and 6 times 2, which is 12.",00:08:28
lqrbwkp,62,tutor,"Yes, it is. So they're asking only for the 2 parts, right, out of these 5 parts.",00:08:35
lqrbwkp,63,tutor,"Amazing. So Declan, I think you did fantastic work in this slide. So have you got any questions?",00:08:43
lqrbwkp,64,student,No.,00:08:53
lqrbwkp,65,tutor,"Okay, then let's try to go for the slide answer. Here you go.",00:08:54
lqrbwkp,66,student,Sita has 12 pounds. He spends 5/6 of his money. How much has he spent? [unclear] [unclear],00:09:01
lqrbwkp,67,tutor,"I want you to speak while you're working, Declan.",00:09:16
lqrbwkp,68,student,"Oh, okay. So Cedar has £12. He spends 5/6 of his money. 12 divided by 6 is 2. 2 times 5 is 10.",00:09:20
lqrbwkp,69,tutor,"Okay, can you explain to me how you found this?",00:09:38
lqrbwkp,70,student,"I found it by... 12 divided by 6 is 2, 2 times 5 is 10, so [unclear]",00:09:44
lqrbwkp,71,tutor,"Alright, I'm going to give you again excellent focus phrases for two reasons. One is you've been able to understand this question and been able to [UNCLEAR]. The next reason is this time you remember to put the pound symbol. So can you tell me what made you to think to put that?",00:10:01
lqrbwkp,72,student,Because units of measure matter.,00:10:01
lqrbwkp,73,tutor,"Yes, it is. So here they're asking how much has he spent, right?",00:10:32
lqrbwkp,74,student,Yes.,00:10:37
lqrbwkp,75,tutor,Is making a sense? [unclear] is making a sensible answer.,00:10:38
lqrbwkp,76,student,"Yeah, because there might be 10 elephants, 10 people, 10 children. It was £10.",00:10:43
lqrbwkp,77,tutor,"Fantastic, Declan. And also, Declan, I did notice when I checked with your profile You haven't done anything called quizzes. So, you know, it is very important if you do that quizzes, this [unclear] will be able to recognize you.",00:10:52
lqrbwkp,78,tutor,Then why do you show Declan's picture?,00:11:12
lqrbwkp,79,background,and you click the Godwin. All right?,00:11:12
lqrbwkp,80,student,Okay.,00:11:12
lqrbwkp,81,background,"So whenever you have time, you can just do that quizzes, not the one that comes after the session, like before the session. So if you do have So that way you can easily— this system will track the lessons that you really need to work with more.",00:11:16
lqrbwkp,82,student,Okay.,00:11:33
lqrbwkp,83,tutor,"Okay, so fantastic, Declan. So have you got any questions?",00:11:33
lqrbwkp,84,student,No.,00:11:40
lqrbwkp,85,tutor,"All right, so before we move on, shall we quickly— so I think we need to go through this question. [unclear] If someone is finding difficulty in working on Section D, how will you assist them to use the power model to work the answer? How do you do that? Can you show me?",00:11:41
lqrbwkp,86,student,"Okay, so shall I show you what I would do?",00:12:00
lqrbwkp,87,tutor,"Do you think this bar graph [unclear] that you have here, can you teach him how you can find this answer?",00:12:03
lqrbwkp,88,student,"So first you look at the denominator, and then in this case it's 6, so it has to be 6 parts, and your denominator is 6. [unclear]",00:12:12
lqrbwkp,89,tutor,One second. [unclear],00:12:35
lqrbwkp,90,student,Okay.,00:12:44
lqrbwkp,91,student,[unclear],00:12:53
lqrbwkp,92,tutor,"Alright. So, 1, 2, 3, 4, 5. And then you do 42 divided by 6, which is 7, and then 7 times 5, which is 35.",00:12:53
lqrbwkp,93,tutor,Hello. [unclear],00:13:28
lqrbwkp,94,tutor,Can you fill these parts?,00:13:50
lqrbwkp,95,student,"Okay, um, 35 divided— no, 42 divided by 6 is 7, 7, 7,",00:13:54
lqrbwkp,96,student,7.,00:14:19
lqrbwkp,97,tutor,Yeah. [unclear],00:14:23
lqrbwkp,98,background,"So here they are seeing for the 5th part, right? So I need 1, 2, 3, 4, 5, right?",00:14:24
lqrbwkp,99,student,Mm-hmm.,00:14:35
lqrbwkp,100,background,"So 5 times 7 would make 35, all right. So we need So let us go on to the next lesson. [unclear]",00:14:37
lqrbwkp,101,tutor,Declan?,00:14:46
lqrbwkp,102,student,Yeah?,00:14:47
lqrbwkp,103,tutor,Everything's all right?,00:14:47
lqrbwkp,104,background,[unclear],00:14:51
lqrbwkp,105,tutor,"Yes, now we are going to learn about dividing using partitions. So, Declan, have you done this at some point in school?",00:14:52
lqrbwkp,106,student,"Yeah, probably.",00:15:04
lqrbwkp,107,tutor,"All right, so",00:15:07
lqrbwkp,108,tutor,Can you work on this question using partition method?,00:15:08
lqrbwkp,109,student,"Uh, okay. Um, we divided it by 100 like that. [unclear] That is 20... [unclear]",00:15:12
lqrbwkp,110,tutor,No.,00:15:46
lqrbwkp,111,student,"50 divided by 3 is... 15. 15, 30, 45. No.",00:15:47
lqrbwkp,112,tutor,5. [unclear],00:16:04
lqrbwkp,113,student,"Um, 15, 30, 45, 48, 17. 17. [unclear]",00:16:07
lqrbwkp,114,tutor,"Yes. Okay, we have got the answer, Declan, but have you not used the method, the partition method?",00:16:52
lqrbwkp,115,student,Is it the whole model?,00:17:04
lqrbwkp,116,tutor,Yes.,00:17:09
lqrbwkp,117,student,"Oh, okay.",00:17:11
lqrbwkp,118,background,So like you split this number into two parts.,00:17:12
