session_id,utterance_id,role,content,timestamp
ltzqrjm,0,background,[unclear],00:00:00
ltzqrjm,1,student,Hello? [unclear],00:00:00
ltzqrjm,2,tutor,I can't not hear my tutor. She's not even speaking.,00:00:21
ltzqrjm,3,student,"Hi, Callum.",00:00:33
ltzqrjm,4,tutor,"Hello, Arthur.",00:00:35
ltzqrjm,5,student,"Hi, how are you?",00:00:37
ltzqrjm,6,tutor,Good.,00:00:39
ltzqrjm,7,student,Mm-hmm. How has your week been so far?,00:00:41
ltzqrjm,8,student,"Good. Well, it's really— [unclear] Well, Sunday wasn't really good because I had to, at 6 o'clock at night, I had to rush to hospital because my nan wasn't well and we were there until like Oh, [unclear]",00:00:45
ltzqrjm,9,tutor,okay. How is she now? Is she better? Yeah.,00:01:14
ltzqrjm,10,student,"Okay,",00:01:20
ltzqrjm,11,tutor,"I will pray for her, okay? Hope she get well soon, okay? Okay.",00:01:20
ltzqrjm,12,student,[UNCLEAR],00:01:20
ltzqrjm,13,tutor,"Alright, so— okay, so don't worry about it, Callum. So, shall we start today's lesson?",00:01:30
ltzqrjm,14,student,Yes.,00:01:40
ltzqrjm,15,tutor,"So I think, do you have any plans for this week ahead? No?",00:01:40
ltzqrjm,16,student,"Well, I'm going to my nan's again because she's out of the hospital tomorrow. So I'm gonna go see her on Saturday because I need to go and take the shopping.",00:01:45
ltzqrjm,17,tutor,"All right, so tell your nanny that I will pray for her and my [unclear] also, okay?",00:01:57
ltzqrjm,18,student,[unclear],00:02:04
ltzqrjm,19,tutor,"Alright, so, right, let's start our lesson. Okay, so in the last session we started solving real-life problems with remainders. Okay, can you remember?",00:02:04
ltzqrjm,20,student,Yeah.,00:02:19
ltzqrjm,21,tutor,"Alright, so can you try the learning goal question one more time here?",00:02:20
ltzqrjm,22,student,There are 27 books. The Teacher puts 5 books on each table. How many books are left over?,00:02:29
ltzqrjm,23,tutor,How would you work out that? Any idea? [unclear],00:02:37
ltzqrjm,24,student,We're doing 5 divided by 20— 27 divided by 5. So 5 divided by 2 is 0.,00:02:55
ltzqrjm,25,tutor,Mm-hmm.,00:03:04
ltzqrjm,26,student,[unclear],00:03:05
ltzqrjm,27,tutor,"Oh, and the 0 came down, yeah.",00:03:05
ltzqrjm,28,student,"So 0, and then it will be how many 5s go into 27, which would be 4. Remainder—",00:03:08
