session_id,utterance_id,role,content,timestamp
hkiawsq,0,tutor,"Tobias, can you hear me? [unclear]",00:00:00
hkiawsq,1,tutor,Hi. [unclear],00:00:03
hkiawsq,2,tutor,Hello?,00:00:06
hkiawsq,3,background,"Hi, Tobias.",00:00:14
hkiawsq,4,tutor,Hi.,00:00:15
hkiawsq,5,background,"How are you doing today, Tobias?",00:00:16
hkiawsq,6,student,Good.,00:00:19
hkiawsq,7,background,Amazing. So how was school today?,00:00:21
hkiawsq,8,student,It was good.,00:00:23
hkiawsq,9,tutor,Did you have much [UNCLEAR]?,00:00:25
hkiawsq,10,student,"Yeah, we only really— I only just got into the building really. This is the first lesson that I do.",00:00:26
hkiawsq,11,tutor,"All right, okay, amazing. Okay, so today, Tobias, we are going to start with knowing the value of each digit in numbers with up to 2 decimal places. Okay, so we are going to do a continuation of this lesson. So let's start from where we left. Okay? So do you remember that we worked on the first question, Tobias?",00:00:37
hkiawsq,12,student,Yeah.,00:01:02
hkiawsq,13,tutor,"Okay. So now we are going to work on the B question. We can also show this number using the [unclear] place value chart. So can you help me write the number again, Tobias?",00:01:03
hkiawsq,14,student,[unclear],00:01:03
hkiawsq,15,tutor,Pardon? Can you help me write the number again that's shown from the counters? Write it on the black.,00:01:18
hkiawsq,16,student,"Yes. So, there was... [unclear]",00:01:26
hkiawsq,17,tutor,"All right, thank you so much. Okay, so now we can also show this number 0.24 using a Gattegno place value chart. Now can you highlight the different parts of the number on the chart, Tobias?",00:01:45
hkiawsq,18,student,Yeah.,00:02:07
hkiawsq,19,tutor,You can use the shapes if you want to.,00:02:09
hkiawsq,20,student,Okay. [unclear] So for— so do I have to like—,00:02:19
hkiawsq,21,student,Could it be—,00:02:34
hkiawsq,22,tutor,"Yes, so what you can basically— [unclear]",00:02:36
hkiawsq,23,student,"Okay, so can you tell me, Tobias? All right, so can you tell me what does this 20 represent?",00:02:44
hkiawsq,24,tutor,Okay. So can you tell me what is this place value? What's the place value of this digit?,00:03:07
hkiawsq,25,student,I can't really hear the [UNCLEAR].,00:03:22
hkiawsq,26,tutor,Can you hear me now?,00:03:26
hkiawsq,27,student,Yeah.,00:03:28
hkiawsq,28,tutor,"Okay. So can you tell me, Tobias, what is the place value of this digit?",00:03:30
hkiawsq,29,student,"It is tenths, and then the 4 is hundredths. [unclear]",00:03:37
hkiawsq,30,tutor,"Amazing. So to represent the tenths and hundredths, can you show me in the Gattegno chart Which row represents the hundredths?",00:03:43
hkiawsq,31,student,This one.,00:03:56
hkiawsq,32,tutor,"This one, exactly. So now can you mark the digit 4 in the Gattegno chart?",00:04:00
hkiawsq,33,student,How do you— [unclear],00:04:12
hkiawsq,34,tutor,"Exactly. That's right. So likewise, as you told me, 2 is in the tens place. Can you also represent that in the Ganesh Noshaad, Tobias? [unclear]",00:04:21
hkiawsq,35,student,Pardon? [unclear],00:04:36
hkiawsq,36,tutor,2? [unclear],00:04:38
hkiawsq,37,student,"I hear a lot of background noise, Tobias. It's fine. Okay, yeah. So now, Tobias, we have 2, and you told me that 2 is in the tenths place.",00:04:42
hkiawsq,38,student,"Yeah. Because it is [unclear] point, then since the 4 is further away, then it would be tenths.",00:04:54
hkiawsq,39,tutor,"Yes, that's right. So can you tell me, Tobias, in the Catechno chart, which row represents the tenths? [unclear]",00:05:06
hkiawsq,40,tutor,"Yes, exactly. So, yes. So can you tell me why did you circle 20 and 4?",00:05:25
hkiawsq,41,student,Because that's the number that's shown here.,00:05:34
hkiawsq,42,tutor,"Not really. So the number over here, if it shows as 24, okay, then you can circle 20 and 4. But they are telling you it is 0.24. So which one do you think is the right way?",00:05:41
hkiawsq,43,student,"The first, the one that I did with [UNCLEAR].",00:06:01
hkiawsq,44,student,The zero point thingy.,00:06:05
hkiawsq,45,tutor,"Yes, that's right. So did you understand that better, Tobias? Do you want to do another question?",00:06:09
hkiawsq,46,student,Okay.,00:06:15
hkiawsq,47,tutor,I'll give you another example. Yes. So I'll give you 0.35.,00:06:16
hkiawsq,48,student,It would be [UNCLEAR]. [unclear],00:06:26
hkiawsq,49,tutor,"Yes, that's a good grasping. Okay, so Tobias, can you explain me how did you work on this slide, Tobias?",00:06:50
hkiawsq,50,student,"Well, since the— because here it says 0.2, so then I looked for 0.2, and then it would be 0, and then if you took away the 2, it would be 0.04, so I put in the 4.",00:07:00
hkiawsq,51,tutor,"Yes, excellent. All right, so moving forward to this slide. So I'll be working on the follow-me slide, Tobias. You concentrate, and in case if I do any mistake, you help me out. Alright?",00:07:19
hkiawsq,52,student,[unclear],00:07:30
hkiawsq,53,tutor,"Okay. So over here, they're saying us, let's look at the value of each digit for the number below. So the number they have given is 24.65. And so, yes. So this is— This is the tens column which has 2 tens. This is the ones column which has 4 ones. This is the tenths column which has 6 tenths. And this is the hundredths column which has 5 hundredths. So the digit in the tens place is 2 and it has a value of 20. So the A question says, the digit in the tenths place—",00:07:32
hkiawsq,54,student,[unclear],00:08:18
hkiawsq,55,tutor,Okay.,00:08:19
hkiawsq,56,tutor,"So the digit means it is the number that is placed, the digit. And if it is the value means the particular value that the digit holds. So according to the question, the digit in the tens place is 6 and the value it has is 0.6. And also the digit in the hundreds place. So the digits in the hundredths place is 5, and the value of it is going to be 0.05. So the digit is 5 and the value is 0.05. Alright, so have I done it correctly, Tobias?",00:08:19
hkiawsq,57,student,"Uh, yeah.",00:09:02
hkiawsq,58,tutor,"Okay, alright. Thank you, Tobias. So can you work on your turn part explaining it out loudly?",00:09:04
hkiawsq,59,student,Yeah. [unclear],00:09:10
hkiawsq,60,student,"So you do, look at the number shown below in the place value chart. The digit in the tens place is, tens is 8. And then the value has a value of 80. [unclear] And then the digit in the tenths place",00:09:12
hkiawsq,61,student,is an 1 and it has a value of—,00:09:12
hkiawsq,62,tutor,"Okay, so can you tell me, can you point out the tens place in the place value chart, Tobias?",00:09:46
hkiawsq,63,student,"Here? [unclear] Oh, 10. I guess I did it wrong.",00:09:52
hkiawsq,64,student,Just move that over there.,00:10:05
hkiawsq,65,tutor,Mm-hmm.,00:10:08
hkiawsq,66,student,And 2.,00:10:10
hkiawsq,67,tutor,Mm-hmm.,00:10:16
hkiawsq,68,background,"No, we had 11.",00:10:19
