session_id,utterance_id,role,content,timestamp
krlylpw,0,tutor,Hello.,00:00:00
krlylpw,1,background,[unclear],00:00:00
krlylpw,2,student,Hello.,00:00:01
krlylpw,3,tutor,Hi.,00:00:02
krlylpw,4,student,"Hi, Kieran. How are you?",00:00:02
krlylpw,5,tutor,I'm good. How are you?,00:00:04
krlylpw,6,student,"I'm good too, for asking.",00:00:06
krlylpw,7,tutor,How's your day been?,00:00:09
krlylpw,8,student,It's been good. How's yours?,00:00:11
krlylpw,9,student,"My day was good. I did— I mean, I took a lot of classes and all. That's all. [unclear]",00:00:13
krlylpw,10,tutor,"Okay, let's start our session. Right, we were doing this topic using flat families to multiply and divide. You remember? We did— we started this one in last session.",00:00:20
krlylpw,11,student,Hello.,00:00:34
krlylpw,12,background,"Yeah, yeah, I remember. [unclear] And we did this question here. Over here we learned the relationship between the triangle here about multiplication and division facts, and then we did a few questions here. Do you remember you did this part?",00:00:35
krlylpw,13,student,"Yeah, yeah, I remember.",00:00:55
krlylpw,14,tutor,"Yes, and we were doing this slide here, the 'You do one,' and we completed this question, the first one and the second one, but we didn't do the— this We didn't do 1B, so we'll start from here. Can you tell me how will you work on this question?",00:00:57
krlylpw,15,student,So it's basically just for something like something times 5 equals 45. So we'd have to count from 5 to get to 45 in the 5 times tables. So it would be the answer. Can I do the answer?,00:01:17
krlylpw,16,tutor,"Mm-hmm, yes, sure.",00:01:38
krlylpw,17,student,It would be 9. [unclear],00:01:40
krlylpw,18,tutor,"So now we know this fact, Kieran. So using this fact, how will you work on this?",00:01:58
krlylpw,19,student,"Um, would you just— would you have to divide like 45 divided by 5? Would it— would it be— would it, um, be",00:02:05
krlylpw,20,student,Would it be 9 again?,00:02:24
krlylpw,21,tutor,"Mm-hmm. Yes, absolutely. Okay, well done. You're doing very good here. I like the ways you solve this question and you remember how we can use multiplication and division facts here. Now, using that— I mean, using those facts only, how will you solve this question? [unclear]",00:02:26
krlylpw,22,tutor,So look at this. Yeah. [unclear],00:03:02
krlylpw,23,student,"Yeah, yeah. So how did you work out on this question?",00:03:14
krlylpw,24,student,"I just did 6 times 3, which is 18, but since it's 6 times 30, I just added a 0 on the end because if it gets— because if the number gets 10 times bigger, all you have to do is just add a 0 onto the number.",00:03:19
krlylpw,25,tutor,"Yes, absolutely. Why do we add 0 here, Kieran? Can you tell me?",00:03:38
krlylpw,26,tutor,"Do we just by— because our will says, or is there any reasoning? Is there any logic?",00:03:44
krlylpw,27,student,"Because if you were doing, like, say if you're doing 4 times— [unclear] 3 times 2, like 3 times 2 is 6. 6. So that would mean if, if it's just, um, 3 times— if it was 3 times 60, it would just be, um, it'll just— it would just be 18. Wait. [unclear] But it wouldn't, it wouldn't be 18, it would just be 108. It's just that when, um, a number gets 10 times bigger, say 4, and you wanted to turn it into a 10, you'd have to make it 10 times bigger.",00:03:53
krlylpw,28,tutor,"Absolutely right, you are totally right here, because 3, uh, here 3, uh, 30 is 10 times of 3. That's why we have a 0 here. To the point, correct here. Big, great explanation card for explaining that very well. Now let's go and solve the last question of the slide.",00:04:53
krlylpw,29,student,5.,00:04:53
krlylpw,30,tutor,Yeah.,00:04:53
krlylpw,31,student,Yeah. [unclear],00:05:23
krlylpw,32,tutor,Oh yeah.,00:05:25
krlylpw,33,student,8 over 4. Think how we can solve this one. Do we see any division factor that we already know?,00:05:30
krlylpw,34,student,Would it be divide like 4?,00:05:44
krlylpw,35,tutor,"Okay, you're thinking in the right direction, I would say. [unclear] [unclear]",00:05:51
krlylpw,36,student,I don't know how to work it out without the video.,00:06:01
krlylpw,37,tutor,"Would it be 5? Okay, so, okay, uh, why do you think so it would be 5?",00:06:06
krlylpw,38,student,"Oh, because if you were to do like 4 times 5, it would be equal to 48. So",00:06:14
krlylpw,39,student,"If you just division, it would like be basically like the same, but instead of times, it would be dividing.",00:06:23
krlylpw,40,tutor,"Okay, okay, you're close, but over here, 4 times 5 is not 5 here. 4 times 5 doesn't give you 5. Instead of that, look at what number is given here. What number is that?",00:06:33
krlylpw,41,student,480.,00:06:50
krlylpw,42,tutor,"480. So if we just think it as a different number and divide it by 4, what will we get?",00:06:52
krlylpw,43,student,If you do 480 divided by 4. [unclear],00:07:04
krlylpw,44,tutor,480. The number is? The number is 480. 80.,00:07:11
krlylpw,45,student,Yeah.,00:07:18
krlylpw,46,tutor,Yeah. So what division fact can we imagine here?,00:07:18
krlylpw,47,student,"Um, what would it be? A— wait, um, uh, [UNCLEAR]. I don't really get— I don't really get it.",00:07:24
krlylpw,48,tutor,"Okay, no worries. I'm here to help. I'm always available for your help. So let's see a fact using 48 divided by 4 instead of 480. What do you think would be the answer if we divide 48 by 4? What are we going to get?",00:07:43
krlylpw,49,student,Um... [unclear],00:08:05
krlylpw,50,tutor,Would it be 5?,00:08:08
krlylpw,51,student,Mm-hmm.,00:08:14
krlylpw,52,tutor,"Okay, it won't be 5, Kieran, because 48 doesn't come in 5 times table. 4 times, you have to think, 4 times what gives us 48? [unclear] 4 times— 4 times— wait, 4 times what gives you 8 or 40?",00:08:15
krlylpw,53,tutor,"Let's do the bus stop division. Are you aware with— I mean, do you know the bus stop division?",00:08:47
krlylpw,54,student,Not really.,00:08:53
krlylpw,55,tutor,"Okay, but do you know how to divide? [unclear]",00:08:55
krlylpw,56,student,A little bit.,00:08:58
krlylpw,57,tutor,"Okay, let's start with that. So if you have to divide this one, how will you do?",00:09:00
krlylpw,58,student,"Um, you'd have to do how many 4s go into, um, 8. I mean, no, 4.",00:09:07
krlylpw,59,tutor,"Yes, absolutely right.",00:09:15
krlylpw,60,student,"And then you would have to do, um, 4s into 8.",00:09:22
krlylpw,61,tutor,So how many 4 goes into 4?,00:09:28
krlylpw,62,student,Once.,00:09:33
krlylpw,63,tutor,Once. Let's write our answer here. And then?,00:09:34
krlylpw,64,student,How many 4 goes into 8?,00:09:46
krlylpw,65,background,"4 goes into 8 2 times. Well done, Kieran. You have a good knowledge of your times tables. 12. So 48 divided by 4 is?",00:09:49
krlylpw,66,student,12.,00:10:05
krlylpw,67,tutor,12. Let's write that.,00:10:06
krlylpw,68,student,"Wait, so would that be, um, if it was 480 divided by [UNCLEAR], would it be 120?",00:10:13
krlylpw,69,tutor,"Absolutely right, Kieran. You're doing very good. Very good with the logics. [unclear]",00:10:13
krlylpw,70,tutor,"Okay, I'm gonna give you here first good working out card because you did very good job here in doing, in like in understanding this question step by step manner, and then you are very focused here while solving the question. So for that, excellent focus card. So Kieran, before moving to the next slide, I have one question. Like let's say if If we want to do this problem, what will be our answer?",00:10:29
krlylpw,71,student,"Which problem? 3 times 50. [unclear] It would be 150 because 3 times 5 is 15, but this is 50, the number, it got like 10 times bigger, so the number that you, um, you're gonna get, it would just be like, um, it would get 10 times bigger as well.",00:11:03
