session_id,utterance_id,role,content,timestamp
fysagdi,0,tutor,Hello?,00:00:00
fysagdi,1,background,[unclear],00:00:00
fysagdi,2,student,Hello?,00:00:01
fysagdi,3,tutor,"Hi, Saju.",00:00:02
fysagdi,4,background,"Hi, Kaelen.",00:00:03
fysagdi,5,tutor,Hello.,00:00:05
fysagdi,6,student,"Hi, Kaelen. Can you hear me clearly?",00:00:06
fysagdi,7,tutor,"Okay, so welcome to Third Space, Kaelen. How are you?",00:00:10
fysagdi,8,student,Good.,00:00:13
fysagdi,9,tutor,Good? That's great. And how was your day?,00:00:14
fysagdi,10,student,Good.,00:00:18
fysagdi,11,tutor,"Good. Okay, tell me something interesting you did today.",00:00:19
fysagdi,12,student,"No, not... [unclear]",00:00:22
fysagdi,13,tutor,Huh?,00:00:25
fysagdi,14,student,Not really.,00:00:26
fysagdi,15,tutor,"Okay, any plans for the evening?",00:00:27
fysagdi,16,student,"Yeah, might go on my bike.",00:00:30
fysagdi,17,tutor,"Okay, great. Okay, so we are meeting for the very first time, so let me introduce myself first. I am Callister, and I will be your tutor from [UNCLEAR]. Okay?",00:00:33
fysagdi,18,student,Okay.,00:00:33
fysagdi,19,tutor,"Okay, so we will be working together on your SAT revision program, and it will help you to get ready for your exam. We will be doing a lot of SAT-sized questions which will give you confidence and fluency to give this paper. Kaelen, there is a lot of background noise. Is everything okay in your class? There is a lot of background noise. Yeah, okay. I hope you can hear me very clearly.",00:00:48
fysagdi,20,student,Yeah.,00:01:22
fysagdi,21,tutor,Okay. So we will be having sessions each week and these lessons are specially created to give you a lot of practice. [unclear],00:01:22
fysagdi,22,tutor,"And here, in this, we will discuss some SAT style question. Before that, there will be a fluency part as well, which will prepare you for your arithmetic papers. Quick questions will be there to give you confidence and speed. Okay, there will be a— then we got some bunch of reasoning questions. [unclear] Lots of different type of questions will be there. If you are stuck somewhere, then we will go through this.",00:01:33
fysagdi,23,tutor,Okay.,00:02:00
fysagdi,24,student,Okay.,00:02:01
fysagdi,25,tutor,"Then we'll move to some more another type of questions. Let us try another one to do some practice. Okay, so these are the things, and at last we will have a reading for challenge. There is a challenging [unclear] for you that you need to solve. And on the right-hand side, we have certain strategies like these. Which will help you to solve the questions like using rounding and adjusting. So these are certain hints which will be given to you for the questions. So when you are stuck with the question, you can take help of it. Okay?",00:02:03
fysagdi,26,tutor,"Okay, wonderful. So Kaelen, let's start the session.",00:02:40
fysagdi,27,student,Okay.,00:02:43
fysagdi,28,tutor,"Okay, wonderful. So the topic of today's session is?",00:02:45
fysagdi,29,background,"Adding a [UNCLEAR]. Addition and subtraction. We'll discuss the dab lifting fluency with addition and subtraction. So let's start with the first set, 5 questions. Okay, okay, just focus on the hints as well. This is a hint given. [unclear]",00:02:49
fysagdi,30,tutor,"First one, what do you notice about the numbers you are adding? [unclear]",00:03:14
fysagdi,31,tutor,How are you adding them?,00:03:22
fysagdi,32,student,"Um, in my mind, 997 will be 17, then 999, 18, then 4.",00:03:24
fysagdi,33,tutor,How are you adding them?,00:03:33
