session_id,utterance_id,role,content,timestamp
bpuecyz,0,tutor,Hello? [unclear],00:00:00
bpuecyz,1,tutor,Hello?,00:00:04
bpuecyz,2,tutor,Hello?,00:00:08
bpuecyz,3,tutor,"Hello, Tobias. Hello. Hello, Tobias, can you hear me? Hello, Tobias, can you hear me? [unclear]",00:00:15
bpuecyz,4,tutor,"I can't hear you, Tobias. [unclear] [unclear]",00:00:48
bpuecyz,5,tutor,Hello?,00:01:27
bpuecyz,6,student,Hello?,00:01:30
bpuecyz,7,tutor,"Tobias, I can hear you now.",00:01:30
bpuecyz,8,tutor,"Okay, hello.",00:01:32
bpuecyz,9,background,"Hello, how are you today?",00:01:35
bpuecyz,10,tutor,Good.,00:01:37
bpuecyz,11,background,"How was the school today, Tobias?",00:01:38
bpuecyz,12,tutor,Good.,00:01:43
bpuecyz,13,background,All right. So how was the weekend?,00:01:46
bpuecyz,14,tutor,Good.,00:01:51
bpuecyz,15,background,"All right. Okay, Tobias, today we are with the second session with Tutor Provider. And we have this lesson, and we should start with the Let's Learn slide. Shall we read the green colour part, Tobias?",00:01:54
bpuecyz,16,student,"When rounding numbers, we can use a number line to help us work out which number is it closest to.",00:02:13
bpuecyz,17,tutor,"Alright, what do you understand from that?",00:02:21
bpuecyz,18,student,[unclear] So if the number is,00:02:23
bpuecyz,19,student,"56,800. It's closer to 57,000.",00:02:31
bpuecyz,20,tutor,"Awesome. Great, great explanation. Yes, so we are going to round numbers, right? Here we have a number. Have you read that number, Tobias?",00:02:36
bpuecyz,21,student,"56,163.",00:02:48
bpuecyz,22,tutor,"Amazing. Now we are going to round this number. To the nearest thousand and to the nearest ten thousand. Okay? So here we have two number lines to help, right? So what can you see in the first number line?",00:02:51
bpuecyz,23,student,[unclear],00:03:13
bpuecyz,24,tutor,"Yes, exactly. So this number line has a gap of 100,000, the halfway point is 56,500. So can you spot this number on the first number line?",00:03:16
bpuecyz,25,student,"Well, it could go... [unclear]",00:03:31
bpuecyz,26,tutor,Right there?,00:03:41
bpuecyz,27,tutor,"Awesome. Great, great estimation there, Tobias. So if this number is over here, if you round it to the nearest thousand, what would be our answer, Tobias?",00:03:49
bpuecyz,28,student,[unclear],00:04:00
bpuecyz,29,tutor,"Yeah. If you round it to the nearest thousand, what would be the answer?",00:04:01
bpuecyz,30,student,"Oh, 56,000.",00:04:08
bpuecyz,31,tutor,"Why is it 56,000?",00:04:14
bpuecyz,32,student,"Because it's below 56,500.",00:04:16
bpuecyz,33,tutor,"Yes, exactly. So what is the column we are looking at when we are rounding a number to the nearest thousand?",00:04:20
bpuecyz,34,student,"The— well, in this one we would be looking at the thousandth column. [unclear]",00:04:29
bpuecyz,35,tutor,"Yeah, we should look at the digits in the hundredths place.",00:04:44
bpuecyz,36,student,Okay.,00:04:51
bpuecyz,37,background,"Oh yeah, you have to look at the hundredths.",00:04:53
bpuecyz,38,tutor,So what is the digit in the hundredths column?,00:04:57
bpuecyz,39,background,A hundred.,00:05:00
bpuecyz,40,tutor,"What is the digit in the hundredths column, Tobias?",00:05:01
bpuecyz,41,student,One?,00:05:04
bpuecyz,42,background,One.,00:05:05
bpuecyz,43,tutor,"1. So 1 is less than 5, isn't it? So we should round it down. So the answer should be 56,000. Okay. Yeah. So next we are going to round it to the nearest 10,000. So this number line starts from 50,000 and ends with 60,000. And where can you spot this number on the second number line, Tobias?",00:05:08
bpuecyz,44,student,Would you have to use the thousandth [UNCLEAR]? In this one or—,00:05:32
bpuecyz,45,tutor,Yes. What do you think? Where can it be? [unclear],00:05:39
bpuecyz,46,student,"On the— wait, pardon, what was that?",00:05:48
bpuecyz,47,tutor,Can you spot this number on the second number line?,00:05:52
bpuecyz,48,student,"Yeah, so—",00:05:57
bpuecyz,49,tutor,There or there. [unclear],00:06:02
bpuecyz,50,student,I'm good.,00:06:06
bpuecyz,51,tutor,Awesome. How did you find that place?,00:06:08
bpuecyz,52,student,"Because I knew it was 1,000, like 1,000 more than 55,000, and then 100 was about there, so.",00:06:10
bpuecyz,53,tutor,"Awesome. Fantastic. Fantastic estimation there, Tobias. Now, if that number is here, If you round it to the nearest thousand, 10,000, what should be your answer?",00:06:22
bpuecyz,54,student,"60,000.",00:06:35
bpuecyz,55,tutor,"60,000. May I know the reason, Tobias?",00:06:38
bpuecyz,56,student,"Because it's above 55,000.",00:06:42
bpuecyz,57,tutor,"Yes, it's more than the halfway. Great, great explanation there. And if we are rounding this number to the nearest 10,000, which column are we looking at, Tobias?",00:06:46
bpuecyz,58,student,"Um, the thousandths column.",00:06:59
bpuecyz,59,tutor,"Thousandths column, great job. So here we have 6, so are we rounding up or down?",00:07:02
bpuecyz,60,background,Thousandths.,00:07:10
bpuecyz,61,student,We'll be rounding up.,00:07:12
bpuecyz,62,tutor,"Amazing, amazing. All right, great working out there, Tobias. Shall we complete question B and C?",00:07:15
bpuecyz,63,student,Okay.,00:07:23
bpuecyz,64,student,"So the answer to the first one is 56,000. And then the [unclear] is 60,000.",00:07:28
bpuecyz,65,tutor,"Awesome. Great, great working out. Right, we have done our 'Let's Learn' slide. Now we can move to the 'Follow Me and Your Turn' slide. So hope you can remember.",00:07:45
bpuecyz,66,tutor,"So we have two parts in this slide. I have— I am doing the follow me part, and then you have to take me through the [UNCLEAR]. All right? I'll start first. Let's round 976,532 to the nearest hundred thousand. This time we are rounding this number to the nearest hundred thousand.",00:07:56
bpuecyz,67,student,Okay.,00:08:17
bpuecyz,68,tutor,"Estimate the position of 976,532 on the number line.",00:08:18
bpuecyz,69,tutor,"So I have given the number line and I should find the previous multiple of 100,000 and the next multiple of 100,000 for this particular number. So can you help me to find out the previous multiple of 100,000 and the next multiple of 100,000 for this number?",00:08:23
bpuecyz,70,student,"Um, 900,000 and 1 million?",00:08:44
bpuecyz,71,tutor,"Fantastic, fantastic working out. Yes, so it's 900,000 and 1 million. [unclear] Now we found out the previous and next multiple of 100,000. Now we can check whether this number is closer to 900,000 or 1 million. For that, I can use a number line and spot the number. Here, where could this number be on the number line? [unclear] Can you estimate a position?",00:08:50
bpuecyz,72,student,About there.,00:09:29
bpuecyz,73,tutor,"There, wonderful. If it's over here, it's closer to 1 million, right? So the answer should be 1 million. The other way we can do is we can look at the digits So if we are rounding to the nearest hundred thousand, what is the column we are looking at, Tobias?",00:09:31
bpuecyz,74,student,"The 10,000.",00:09:52
bpuecyz,75,tutor,"Amazing. Fantastic. Fantastic recalling there, Tobias. Yes, we are looking at the 10,000s column. So here we have the digit 7. [unclear] So we are rounding up definitely, and we should go with the next multiple of 100,000, which is 1 million. I'll read this part over here as well. To round to the nearest 100,000, we need to look at the digit in the ten thousands column. [unclear] In the ten thousands place is 7, so this number is closer to 1 million.",00:09:57
bpuecyz,76,student,Okay.,00:10:36
bpuecyz,77,tutor,"All right, I have done my part.",00:10:38
bpuecyz,78,tutor,"Now it's your turn, Tobias.",00:10:41
bpuecyz,79,student,"Yep. [unclear] Round 272,256 in nearest 100,000. Estimate the position of 272,256 on the number line. So I think— oh, I have to write this one quickly.",00:10:43
bpuecyz,80,tutor,"So this one would be 3,000s and this one here would be 300,000s. And then so you would put [unclear]",00:11:08
bpuecyz,81,tutor,"That number, the number that we're rounding about here, we'll put that about there. [unclear] [unclear]",00:11:35
bpuecyz,82,tutor,Hello?,00:12:08
bpuecyz,83,student,"Yes, I'm listening to you, Tobias.",00:12:10
bpuecyz,84,tutor,"Yeah, so you put that number there.",00:12:14
bpuecyz,85,student,Mm-hmm. I did it right.,00:12:17
bpuecyz,86,tutor,"And then the number shown in the place value chart, the digit in the 10,000 place would be 7. So you'll write it down.",00:12:21
bpuecyz,87,student,"It would be 7, and then it is closer to [UNCLEAR]...",00:12:29
