session_id,utterance_id,role,content,timestamp
hhqedaz,0,tutor,What do I do? [unclear] [unclear],00:00:00
hhqedaz,1,tutor,Hello? Hello?,00:00:41
hhqedaz,2,student,Hello.,00:00:43
hhqedaz,3,tutor,Hi.,00:00:44
hhqedaz,4,student,"Hello, hi.",00:00:45
hhqedaz,5,tutor,Hi.,00:00:48
hhqedaz,6,student,Can you hear me?,00:00:48
hhqedaz,7,tutor,Yeah.,00:00:49
hhqedaz,8,student,"Hi, Kellan. Can you hear me?",00:00:50
hhqedaz,9,tutor,Yes.,00:00:52
hhqedaz,10,background,So how have you been today?,00:00:52
hhqedaz,11,tutor,Good.,00:00:55
hhqedaz,12,background,"Sorry, your voice is kind of dropping. Could you please try refreshing your page?",00:00:58
hhqedaz,13,tutor,Huh? I should refresh my page?,00:01:04
hhqedaz,14,background,Can you try to refresh? And I'll refresh mine too.,00:01:07
hhqedaz,15,tutor,I can hear you perfectly fine.,00:01:15
hhqedaz,16,tutor,"All right, so how have you been today?",00:01:19
hhqedaz,17,student,Good.,00:01:22
hhqedaz,18,tutor,And are you ready for the lesson?,00:01:26
hhqedaz,19,student,"Yes, can you please repeat that?",00:01:29
hhqedaz,20,tutor,"Yeah, just give me a second. It looks like my page is frozen. I'm just gonna—",00:01:32
hhqedaz,21,student,Okay.,00:01:39
hhqedaz,22,tutor,get that sorted. [UNCLEAR],00:01:39
hhqedaz,23,tutor,Please hold the line.,00:01:48
hhqedaz,24,student,Okay. [unclear],00:01:52
hhqedaz,25,tutor,"Do you see the lesson site? So, is it still on the first page?",00:02:00
hhqedaz,26,tutor,Huh?,00:02:11
hhqedaz,27,student,Is it still on the first page or do you see the lesson slides?,00:02:11
hhqedaz,28,tutor,I think yes.,00:02:18
hhqedaz,29,student,"Okay, hold on. Let me know whether if the pages are just sliding. [unclear]",00:02:19
hhqedaz,30,tutor,Huh?,00:02:32
hhqedaz,31,student,Hold on. Let me know whether if you can go to the next page. Next page.,00:02:32
hhqedaz,32,student,Yeah.,00:02:41
hhqedaz,33,tutor,How do I do that? [unclear],00:02:42
hhqedaz,34,student,I'm gonna change from my end. I want you to say whether it's changing or not.,00:02:43
hhqedaz,35,tutor,Okay. [unclear],00:02:51
hhqedaz,36,tutor,Is it changing now?,00:03:10
hhqedaz,37,student,Yes.,00:03:12
hhqedaz,38,tutor,"All right. So let's get started. And before we get into the lesson, on your bottom middle page, there is a text called text with the 2 double T. So you'll be clicking that and typing using your keyboard. To try to give you answers.",00:03:14
hhqedaz,39,tutor,Okay.,00:03:33
hhqedaz,40,background,Okay?,00:03:33
hhqedaz,41,tutor,Okay.,00:03:34
hhqedaz,42,background,"So the first lesson today is knowing the value of each digit in numbers with up to 2 decimal places. And firstly, we have 2 questions to check your understanding on the topic. Could you try them on?",00:03:35
hhqedaz,43,student,Huh?,00:03:52
hhqedaz,44,background,"Could you try out the question, the first 2 questions here? The value of 2, I can't write it, like I can't type it.",00:03:55
hhqedaz,45,tutor,"Okay, have you clicked on the text tool? On your bottom middle page, there will be like shapes, text, draw, and etc.",00:04:08
hhqedaz,46,student,"Yeah, yeah.",00:04:18
hhqedaz,47,tutor,"And that's [UNCLEAR]. And once that becomes blue, Click anywhere you want to type and then type using the keyboard. [unclear]",00:04:20
hhqedaz,48,tutor,There's a value of 2 in this number. The 2 is in which column?,00:04:44
hhqedaz,49,student,The decimal.,00:04:50
hhqedaz,50,tutor,"The tenths, the first decimal. So what might be the value of it?",00:04:53
hhqedaz,51,student,I don't really know.,00:04:57
hhqedaz,52,tutor,"Okay. I'll give you some options. Is the 2 worth a 20, a 2, 0.2, or a 0.02? [unclear] 0.02. [unclear]",00:05:02
hhqedaz,53,tutor,"Okay, actually here the 2 is worth 0.2 because it's in your tenths column. Or you could say 2 tenths. Okay?",00:05:25
hhqedaz,54,student,Okay.,00:05:37
hhqedaz,55,tutor,"2 tenths, or you could say 0.2. And now could you try on the next one? 2/10, or as you could say, 0.2. What about the next one? Which fraction is the greatest?",00:05:40
hhqedaz,56,student,The greatest fraction is [UNCLEAR].,00:06:11
hhqedaz,57,student,9/100.,00:06:14
hhqedaz,58,tutor,Why do you think 9/100 is bigger?,00:06:16
hhqedaz,59,student,Because 9 is a greater number than 7 and the denominator is bigger.,00:06:20
hhqedaz,60,tutor,"Okay, when it comes to fractions, we can't say that a number is bigger just by looking at the denominator because denominator is like [UNCLEAR]. So how many people we split that into? So in the first one, it's like you're getting 7 pieces of cake out of 10 people, but in the second one, you're just getting 9 pieces of cake out of 100 people. Okay, so 7/10 is more like 70/100. You find [unclear] fraction.",00:06:29
hhqedaz,61,student,Yeah.,00:07:03
hhqedaz,62,tutor,7/10 is same as,00:07:04
hhqedaz,63,student,700.,00:07:07
hhqedaz,64,tutor,Now what do you think? Is 700 more or 900 more?,00:07:09
hhqedaz,65,background,"Uh, 700.",00:07:14
hhqedaz,66,tutor,"700. And let's see how these are compared in the next slide. And just know that a decimal will have different value based on the place it is in. Okay, the first decimal is the tenths. And then the second one is the hundredths. Now, could you read out the green highlighted parts?",00:07:17
hhqedaz,67,student,We can show the size of tenths and hundredths using diagrams. [unclear],00:07:43
hhqedaz,68,tutor,"Mm-hmm. Okay, just think of it like this. One whole means the whole thing. If you divide the one whole into 10 equal parts, you get",00:07:49
hhqedaz,69,student,One tenth.,00:08:00
hhqedaz,70,tutor,"And if you further divide the one tenth into 10 equal parts, you get?",00:08:03
hhqedaz,71,student,One hundredth.,00:08:12
hhqedaz,72,tutor,"So by looking at these two, which do you think is smaller? Is one tenth smaller or one hundredth smaller?",00:08:16
hhqedaz,73,background,[UNCLEAR]...,00:08:16
hhqedaz,74,student,One hundredth.,00:08:16
hhqedaz,75,tutor,"100 is smaller. [unclear] will make 1/10, because 10 hundredths makes 1 tenth, and 10 tenths will make 1 whole. Okay? And just remember that our number system is based on 10. Now by looking at this, which do you think is bigger? 3 tenths or 7 hundredths?",00:08:27
hhqedaz,76,student,3 tens.,00:08:54
hhqedaz,77,tutor,"3 tens. So that's like 30 hundredths, yeah?",00:08:58
hhqedaz,78,student,Yes.,00:09:01
hhqedaz,79,tutor,Can you put up the more than sign for that?,00:09:02
hhqedaz,80,student,Yes. [unclear],00:09:05
hhqedaz,81,tutor,Alright.,00:09:07
hhqedaz,82,tutor,"Now, can you write down the number that is shown by these blocks here? You can write it on a place value chart and then write it in the blank.",00:09:17
hhqedaz,83,student,Okay. [unclear] 17 and then— [unclear],00:09:27
hhqedaz,84,tutor,Yeah.,00:09:51
hhqedaz,85,student,What should I write in the place value chart?,00:09:52
hhqedaz,86,tutor,Yeah. There are how many tens?,00:09:56
hhqedaz,87,student,There's 4.,00:10:00
hhqedaz,88,tutor,There's 4 tens. And how many hundreds?,00:10:02
hhqedaz,89,student,7.,00:10:09
hhqedaz,90,tutor,7. So we've got 0.47. Let's try that on. Get back to the text and type using the text. Okay. [unclear],00:10:11
hhqedaz,91,tutor,"It was shared right in here. 0.47, same answer. [unclear]",00:10:49
hhqedaz,92,tutor,Nicely done. Now let's move on to the next slide. And the green highlighted part is yours. Can you read it out?,00:11:10
hhqedaz,93,student,It is important to understand the value of digits in a number. The position of the digit within a place value chart helps us understand how much it is worth.,00:11:19
hhqedaz,94,tutor,"Yes, in other words, we could say how much it is actually valued, right? So as in here, how many tens are here?",00:11:35
hhqedaz,95,student,2.,00:11:45
hhqedaz,96,tutor,2. And how many hundreds?,00:11:46
hhqedaz,97,student,4.,00:11:52
hhqedaz,98,tutor,So what is the number that would have been?,00:11:52
hhqedaz,99,background,"Wait, can you please repeat that again? [unclear] So there are 2 tens and 400. So what's the number you would get?",00:11:58
hhqedaz,100,student,"Oh, okay.",00:12:10
hhqedaz,101,tutor,2 tens and 400. So the number is?,00:12:15
hhqedaz,102,student,0.24.,00:12:22
hhqedaz,103,tutor,How would you—,00:12:25
hhqedaz,104,tutor,And can you also mark 0.24 on this [unclear] chart?,00:12:27
hhqedaz,105,student,Okay.,00:12:33
hhqedaz,106,tutor,Go to the shapes and you can get the circle or the rectangle and you can highlight.,00:12:41
hhqedaz,107,student,"Wait, what should I highlight again?",00:12:50
hhqedaz,108,student,"Go to the shapes. In that, there is rectangle and circle tool. Click whatever you want and drag your mouse and you'll get the shape. Remember, you have to mark 0.24. [unclear] [unclear]",00:12:54
hhqedaz,109,tutor,Have you marked this?,00:13:26
hhqedaz,110,student,I don't understand that.,00:13:30
hhqedaz,111,tutor,"Okay. The number that you have is 0.24, right?",00:13:36
hhqedaz,112,student,Yes.,00:13:40
hhqedaz,113,tutor,So how many 10s are here? How many tenths?,00:13:41
hhqedaz,114,student,2.,00:13:45
hhqedaz,115,tutor,"2 tenths. Therefore, you have to mark the 2 tenths. So would you mark the 2 tenths or the 2 hundredths here?",00:13:47
hhqedaz,116,student,2 tenths.,00:13:54
hhqedaz,117,tutor,"2 tenths. So rub that off and mark the 2 tenths. 2 tenths. That's the whole number 2. The 2 tenths means 0.2. 2. Remember, 1 over 10 means 0.1. 2 over 10 means 0.2. The mark is 0.2 on your category chart, the tenths column. This one here. [unclear]",00:13:56
hhqedaz,118,student,Why are you turning around?,00:14:26
hhqedaz,119,tutor,"0.2, because there are only 2 tenths, right? If you have 200, you'll mark the 200. If you have 2 tens, you'll mark the 20. If you have 2 ones, you mark the 2. If you have 2 tens, which ends with a THS, that should be this one, which is the 2 tens here. And then you'll mark the 400s. [unclear] Are we clear on that?",00:14:29
hhqedaz,120,student,"Yes. Now could you mark 0.37? Can you mark this number on the Gattegno chart? Remember the position of the digit. Okay, the 3 is in the hundreds column or the tens column?",00:14:59
hhqedaz,121,student,[unclear],00:15:23
hhqedaz,122,tutor,Depends. So which column have you marked here?,00:15:31
hhqedaz,123,student,"Oh, can I look down? [unclear]",00:15:35
hhqedaz,124,tutor,"The 7, is it in your tens column or the hundreds column? [unclear]",00:15:55
hhqedaz,125,tutor,"This is exactly why the position of the digit is important, because the position will change its value. Okay? Example, if I have the digit 7, it could be worth",00:15:59
hhqedaz,126,student,"a 7,000 if it's in my thousands column. It could be worth a 700 if it's in my hundreds column. It's worth a 70 if it's in my tens column. It's worth a 7 if it's in my ones column. If it's worth a tenth, that's 0.7. And if it's in my hundredths, that's going to be 0.07. And if it's in my thousands, it will be 0.007. Okay?",00:15:59
hhqedaz,127,student,Okay.,00:16:52
hhqedaz,128,tutor,So the value will change according to the position of the number. Okay?,00:16:53
hhqedaz,129,student,Okay.,00:16:59
hhqedaz,130,tutor,"Now let's see how that works in detail. And I'm going to show you how I'm going to do the [unclear] part. Once I'm done, you'll be trying your turn by yourself. Okay?",00:16:59
hhqedaz,131,student,Okay.,00:17:10
hhqedaz,132,tutor,"Now, let's add the value of each digit for the number below. I've got 24.65, and the digit in the tenth place is— we're talking about the tens column, which is here, and it is in my tens column, therefore it has a value of 20. And then the digit in the tenths place, which is a— [unclear] decimal place value, which is this one here. I have a 6 in it, and the value of that would be 0.6 because it's in my [UNCLEAR].",00:17:12
hhqedaz,133,tutor,Okay.,00:17:12
hhqedaz,134,student,"And next, I've got the digit in the hundredths place. I've got a 5 in my hundredths column. Therefore, that's going to be worth 0.05. If I have 100, it's 0.01. Since I have 500, it's 0.05. Do you agree with my answer?",00:17:54
hhqedaz,135,student,"Yes, I agree.",00:18:21
hhqedaz,136,tutor,"Okay, now it's your turn. Make sure that you check your columns and try that.",00:18:23
hhqedaz,137,tutor,"Okay, that's an 80.",00:18:55
hhqedaz,138,tutor,"Okay, the 10th place. What do you have in your 10th place? [unclear] 2, 1.",00:19:31
hhqedaz,139,tutor,Double check. Tens column. Which is the tens column?,00:19:53
hhqedaz,140,student,This one here.,00:20:05
hhqedaz,141,tutor,"Yeah, so what digit do you have there? [unclear]",00:20:09
hhqedaz,142,tutor,Can you please repeat that?,00:20:19
hhqedaz,143,student,"Yeah, what digit do you have in your tenths column?",00:20:23
hhqedaz,144,tutor,2.,00:20:29
hhqedaz,145,student,"2, which means— why do we have [unclear] here? [unclear]",00:20:30
hhqedaz,146,tutor,The 7 is 100. Very well done. Good job there.,00:21:13
hhqedaz,147,tutor,Trying that by yourself? Now I'm going to let you try more questions by yourself. And these questions are yours.,00:21:32
hhqedaz,148,student,Okay. [unclear] [Speaker] I don't really know C.,00:21:40
hhqedaz,149,tutor,"What does the question A say? What is the value of 5 in this number? What do you mean by value? [unclear] The 5 is in which column, Kellan?",00:22:30
hhqedaz,150,student,5 is in... [unclear],00:23:20
hhqedaz,151,tutor,"The tens column, which means what is the worth of it? Look, the tens is the whole number. If you have the decimal place value, you'll have THs at the end. The tenths means it ends with the THS. If you have one tenth, it's worth 0.1. So how many tenths do you have here? [unclear]",00:23:28
hhqedaz,152,tutor,"5 tenths, which is 0.5. Or if you are writing in words, you have to write it as 5 tenths. Okay? In a similar way, can you try the B?",00:23:53
hhqedaz,153,student,I don't understand C. [unclear],00:25:07
hhqedaz,154,tutor,"Okay. It's asking you to write a number that has 6 tens in your number. So like if you take the first number you have, you've got 5 tens in your number, right? Likewise, the number that you're thinking of.",00:25:09
hhqedaz,155,tutor,Of should be having a 6 in your tens column. Try to think that there's a place value chart. Think of a number that has— [unclear] I'm just gonna put the decimal point there. [unclear],00:25:27
hhqedaz,156,tutor,"Okay, now try to think of a number that has 6 in your tens column. So which is your tens column here?",00:25:58
hhqedaz,157,student,The tens column is here.,00:26:11
hhqedaz,158,tutor,"Put a 6 in there. And in the rest of the column, you can put anything you want. Make sure that the 10s column has a 6 in it. So a 6 here. And how many ones are you trying to put? [unclear]",00:26:16
