session_id,utterance_id,role,content,timestamp
kmahscu,0,background,[unclear],00:00:00
kmahscu,1,tutor,Hello.,00:00:00
kmahscu,2,student,"Hello, Callum. Can you hear me?",00:00:05
kmahscu,3,tutor,Yes.,00:00:08
kmahscu,4,student,Okay.,00:00:09
kmahscu,5,tutor,"Callum, can you hear me?",00:00:14
kmahscu,6,student,"Yes, I can.",00:00:15
kmahscu,7,tutor,"Hi, Callum. How are you?",00:00:17
kmahscu,8,tutor,I am good.,00:00:19
kmahscu,9,background,your day go?,00:00:19
kmahscu,10,tutor,What?,00:00:22
kmahscu,11,background,your day go today?,00:00:22
kmahscu,12,tutor,Good.,00:00:26
kmahscu,13,background,Good. Did you have fun today?,00:00:26
kmahscu,14,tutor,Yeah.,00:00:28
kmahscu,15,background,"Callum, I think I can't hear you.",00:00:32
kmahscu,16,student,My day is going good today.,00:00:36
kmahscu,17,background,Good. [unclear] Did you have fun?,00:00:38
kmahscu,18,student,Yeah.,00:00:40
kmahscu,19,student,What? I can't really hear that. [unclear],00:00:48
kmahscu,20,tutor,Good. [unclear],00:00:53
kmahscu,21,student,Just maths and stuff like that.,00:00:58
kmahscu,22,tutor,"Yeah, great. Alright, so can you remember we learnt this topic last time, right?",00:01:00
kmahscu,23,student,Yeah.,00:01:10
kmahscu,24,tutor,Saying one person's name.,00:01:12
kmahscu,25,tutor,"Yes, okay. So how did you feel about it?",00:01:14
kmahscu,26,student,It was good.,00:01:19
kmahscu,27,tutor,"It's good, alright. Was there anything tricky?",00:01:21
kmahscu,28,student,"No, not really.",00:01:24
kmahscu,29,tutor,"Alright, so today we're going to be—",00:01:27
kmahscu,30,student,Could I fill in these?,00:01:29
kmahscu,31,tutor,"Yes, please. This one. [unclear] [unclear]",00:01:31
kmahscu,32,tutor,That's it?,00:01:54
kmahscu,33,student,Yes.,00:01:55
kmahscu,34,tutor,So this is 3 orange and 7 white.,00:01:56
kmahscu,35,student,So we completed up to this line here. Then today we need to,00:02:02
kmahscu,36,tutor,"Start from following, right?",00:02:11
kmahscu,37,student,Mm-hmm.,00:02:13
kmahscu,38,tutor,Okay.,00:02:15
kmahscu,39,student,"So, we can use a part-whole model to show how many pounds and pence there are.",00:02:16
kmahscu,40,tutor,Okay.,00:02:24
kmahscu,41,student,Do you know about part-whole model?,00:02:24
kmahscu,42,tutor,"Yeah, I do know a part-whole model.",00:02:28
kmahscu,43,student,Okay. [unclear],00:02:31
kmahscu,44,tutor,"Yeah, sorry.",00:02:31
kmahscu,45,student,"It is this, I'm guessing?",00:02:33
kmahscu,46,tutor,Yes.,00:02:37
kmahscu,47,student,"That's a part-whole model. Sorry, I can't really use the pen. I don't know why. It's quite hard to use the pen.",00:02:37
kmahscu,48,tutor,"Pen, alright, that's... it is hard, this drawing tool, right? Alright, so we can use a pothole model to show how many pounds and pence are there. So you have some here, a money amount of money here.",00:02:47
kmahscu,49,student,Yes.,00:03:04
kmahscu,50,tutor,"Write a pound and pens in the part-whole model. So let's first count how many pounds are there. So we have a £5 note here, and then we have one here, plus another one from here. So total, how many pounds do we have?",00:03:04
kmahscu,51,student,"Um, £7.",00:03:21
kmahscu,52,tutor,"£7, right. So we put it here, £7. Alright, next, how many pens do we have? [unclear]",00:03:24
kmahscu,53,student,£8.,00:03:32
kmahscu,54,tutor,£8.,00:03:37
kmahscu,55,student,Yes.,00:03:38
kmahscu,56,tutor,Yes. Right.,00:03:40
kmahscu,57,student,I just felt like making the line.,00:03:44
kmahscu,58,tutor,Oh yes.,00:03:45
kmahscu,59,student,I don't know why.,00:03:46
kmahscu,60,tutor,"All right. Okay, yes. So now we combine both parts, that is this and this, and write the amount as a decimal in pounds. So here is 2 There is 7 pounds 8 pence. There are no 10 pence, so we must use 0 as a placeholder. So the answer would be 7 pounds— yes, 0, 8. Okay, got it?",00:03:48
kmahscu,61,student,Yes. [unclear],00:04:18
kmahscu,62,tutor,Yes. [Speaker] Let me just— can I just draw a line quickly?,00:04:20
kmahscu,63,tutor,Yes. [Speaker] It's a line. [unclear] So I did that. This one here.,00:04:30
kmahscu,64,student,"Hello, yeah, hi.",00:04:44
kmahscu,65,tutor,Okay. [unclear],00:04:50
kmahscu,66,student,£8. [unclear],00:04:58
kmahscu,67,tutor,Is that correct for that bit?,00:05:20
kmahscu,68,student,£8?,00:05:23
kmahscu,69,tutor,"Yes, that's correct.",00:05:24
kmahscu,70,student,Then 8p.,00:05:27
kmahscu,71,tutor,Can you tell me how you got that?,00:05:28
kmahscu,72,student,"Oh wait, was it 18p?",00:05:33
kmahscu,73,tutor,"18p, yes. [unclear]",00:05:35
kmahscu,74,tutor,"Okay, now that's there.",00:06:00
kmahscu,75,student,So what if they say 0.1 instead of 0.3? 8 point— would that be 8 point 18? 8 point 8. Like this. Is that right?,00:06:04
kmahscu,76,tutor,"See, they are saying there's no one pence here, so you must use zero as a placeholder. So What do you think? £8, you're right.",00:06:33
kmahscu,77,student,Yes.,00:06:44
kmahscu,78,tutor,"And then 80 pence, right?",00:06:45
kmahscu,79,student,"Yeah. Oh, that way. That way, right?",00:06:48
kmahscu,80,tutor,Yes. Did you get it?,00:06:55
kmahscu,81,student,"Yeah, now I do get it.",00:06:58
kmahscu,82,tutor,"That's great. Excellent. All right. Do you have any questions for me, Callum?",00:06:59
kmahscu,83,student,"Also, I do have one question. Did you find out about Dick Turpin from like last week?",00:07:08
kmahscu,84,tutor,"Yes, I did. I did go through that. I was about to ask you, and yeah, I read a little bit about him. Yes. Do you want me to say something about it?",00:07:16
kmahscu,85,student,"Yeah, sure.",00:07:30
kmahscu,86,tutor,Okay. Yeah. Is his full name Richard Turpin?,00:07:32
kmahscu,87,student,"Yes, his full name is Richard Turpin. [unclear]",00:07:36
