session_id,utterance_id,role,content,timestamp
dsljbtq,0,background,[unclear],00:00:00
dsljbtq,1,tutor,"Rowan, can you hear me?",00:00:00
dsljbtq,2,student,Yeah.,00:00:03
dsljbtq,3,tutor,How are you doing?,00:00:04
dsljbtq,4,student,Good.,00:00:05
dsljbtq,5,tutor,Okay.,00:00:06
dsljbtq,6,tutor,"So, today we'll be learning. Shall we start our lesson? A new topic today we're going to learn or revise, maybe?",00:00:07
dsljbtq,7,student,Yeah. [unclear],00:00:15
dsljbtq,8,tutor,"Okay, so today we'll be learning about comparing numbers with up to 2 decimal places. Okay, so there's a learning goal question for you. Can you try this on your own and tell me the answer, Rowan?",00:00:16
dsljbtq,9,student,Okay.,00:00:29
dsljbtq,10,tutor,So why do you say it's James [UNCLEAR]?,00:00:52
dsljbtq,11,student,"Because, um...",00:00:52
dsljbtq,12,student,"Wait, no, it's not. Sorry, my fault.",00:00:59
dsljbtq,13,tutor,Sorry?,00:01:05
dsljbtq,14,student,It's not. [unclear],00:01:13
dsljbtq,15,tutor,"Okay, that is the correct answer, Katie and Rowan. So why is it not James and Kathy? [unclear]",00:01:17
dsljbtq,16,student,"Yeah, because I thought 2.45 was bigger than 2.9, but 2.9 is the same as 2.90, so Katie's bigger.",00:01:30
dsljbtq,17,tutor,OK.,00:01:50
dsljbtq,18,tutor,"And that's correct. So there's another one, prior learning question. Can you try it? [unclear] How do we call this symbol, Rowan?",00:01:52
dsljbtq,19,student,"Um, wait, one last one.",00:02:51
dsljbtq,20,tutor,"Okay, okay. Do you need more time to try this?",00:02:55
dsljbtq,21,student,"I just, I don't know how to do it on the keyboard.",00:03:00
dsljbtq,22,tutor,Okay. Can you use the draw [UNCLEAR]?,00:03:05
dsljbtq,23,student,"Oh yeah, here, Tutor.",00:03:09
dsljbtq,24,tutor,"Okay, that is the correct answer, Rowan. Nice. And here we are moving to the other one. Can you read what's there in green color box? [unclear]",00:03:16
dsljbtq,25,student,"Before comparing decimals,",00:03:27
dsljbtq,26,student,"With 2 decimal places, we need to be able to compare numbers with the same number of decimal places?",00:03:35
dsljbtq,27,tutor,Yes. So before we learn— we're going to learn about comparing 2 decimal places. We're going to see how it works to compare with the same number of decimal places. OK.,00:03:44
dsljbtq,28,tutor,Now they have given you 1.43 and 0.46. There is something in the orange box. Shall we read it?,00:04:02
dsljbtq,29,student,"Yep. We need first— we need to first compare the whole numbers, then the fractional parts of the number part— the number. [unclear]",00:04:12
dsljbtq,30,tutor,"So we have to see the whole number first, right? Number 1 and 0.143 and 0.46. So what do you think is the right answer? What do you think the symbol should be?",00:04:29
