session_id,utterance_id,role,content,timestamp
fuyjqnq,0,background,[unclear],00:00:00
fuyjqnq,1,tutor,Hello? Hello?,00:00:00
fuyjqnq,2,student,Hello?,00:00:02
fuyjqnq,3,tutor,Hello?,00:00:04
fuyjqnq,4,student,Hi.,00:00:06
fuyjqnq,5,tutor,"Hi, Kellan. How are you? Doing good today. That's good to hear. How was school so far?",00:00:07
fuyjqnq,6,student,Good.,00:00:14
fuyjqnq,7,tutor,All right. What were you up to at school?,00:00:16
fuyjqnq,8,student,This morning we did [UNCLEAR]. Then we did English. Then break. After break it was math.,00:00:18
fuyjqnq,9,tutor,All right.,00:00:38
fuyjqnq,10,student,And then after math it was spelling.,00:00:41
fuyjqnq,11,tutor,Okay.,00:00:44
fuyjqnq,12,student,After spelling it was lunch.,00:00:46
fuyjqnq,13,tutor,All right.,00:00:48
fuyjqnq,14,student,And then after lunch it's art and then [unclear] and then assembly.,00:00:52
fuyjqnq,15,tutor,"Awesome. All right, it sounds like you had done a lot today.",00:00:58
fuyjqnq,16,student,Mm-hmm.,00:01:02
fuyjqnq,17,tutor,"Pretty, pretty busy day. Awesome, that's good to hear. All right, so I hope you're ready for this lesson. Awesome. Okay, so we are continuing the lesson that we stopped on our previous session, Kellan, which is solving real-life problems with remainders. All right, okay, so let's see if you can remember. So let's start with this learning goal question. So can you read it there? Read this and try it out for me.",00:01:04
fuyjqnq,18,student,These are 27 books. The Teacher put 5 on each table. How many books are left over?,00:01:29
fuyjqnq,19,tutor,How many books are left over?,00:01:39
fuyjqnq,20,student,"So, I think this would be [UNCLEAR]. [unclear]",00:01:43
fuyjqnq,21,student,Yeah.,00:02:03
fuyjqnq,22,tutor,Yeah.,00:02:06
fuyjqnq,23,student,"Oh, okay. So it's going to be 25 remainder 2.",00:02:07
fuyjqnq,24,tutor,Well done. So how many books are left over?,00:02:16
fuyjqnq,25,student,25?,00:02:21
fuyjqnq,26,tutor,Not 25.,00:02:23
fuyjqnq,27,student,2?,00:02:26
fuyjqnq,28,tutor,"2, exactly right. You just have to write 2, Kellan, not 25. What do they mean by— yeah, just write 2. Just write 2.",00:02:27
fuyjqnq,29,student,"Oh, okay, just write 2.",00:02:38
fuyjqnq,30,tutor,"Yeah, yeah. What do they mean by leftover?",00:02:39
fuyjqnq,31,student,"I mean, like, how many remain? Does that left over? Like, how many books are still",00:02:43
fuyjqnq,32,tutor,"Exactly right. How many books are not on those tables, isn't it? Well, left. Exactly. Okay, so let's move on to over here. So this is our last slide in this lesson. So you can read this and try it out. What does it tell us?",00:02:49
fuyjqnq,33,student,"[unclear] is thinking of a 2-digit number. When it is divided by 5, the remainder is 2. When it is divided by 8, the remainder is 1.",00:03:07
fuyjqnq,34,student,What number would you be thinking of? [unclear],00:03:18
fuyjqnq,35,tutor,"So when it's divided by 5, that's a remainder of 2, and when it's divided by 8, the remainder is 1.",00:03:23
fuyjqnq,36,student,"Hmm. So when it is divided by 2, when it is divided by 5, the remainder is 2.",00:03:33
fuyjqnq,37,tutor,Yes.,00:03:46
fuyjqnq,38,student,So it could be— [unclear] So it could be 17.,00:03:48
fuyjqnq,39,tutor,Why do you think it's 17?,00:03:57
fuyjqnq,40,student,"Well, I worked out the first, but 5 remainder 2.",00:04:00
fuyjqnq,41,tutor,Okay.,00:04:03
fuyjqnq,42,student,Then now I need to look— [unclear],00:04:04
fuyjqnq,43,tutor,So you said when it's divided by 5?,00:04:20
fuyjqnq,44,student,"The remainder could be 2, so it could be 17.",00:04:24
fuyjqnq,45,tutor,"So check that in 8 as well, Kellan. Divide it by 8.",00:04:31
fuyjqnq,46,student,"Yeah, because it could be 16.",00:04:37
fuyjqnq,47,tutor,"Well done, yes, well done. So what is the answer when we divide 17 by 8?",00:04:40
fuyjqnq,48,student,"Uh, divide 17 by 8. [unclear]",00:04:47
fuyjqnq,49,tutor,"One, the whole answer.",00:04:56
fuyjqnq,50,student,2 remainder 1.,00:05:06
fuyjqnq,51,tutor,"2 remainder 1. Well done. Awesome. Cool. So you can write the number, Kellan, on the screen.",00:05:08
fuyjqnq,52,student,Yeah. Should I just write 2 remainder 1?,00:05:14
fuyjqnq,53,tutor,"No, the number, the answer for the question they're asking us.",00:05:17
fuyjqnq,54,student,"Oh, [UNCLEAR].",00:05:22
fuyjqnq,55,tutor,"Yes. Well done. Well done, Kellan. You found it right away.",00:05:23
fuyjqnq,56,tutor,"Awesome. Great job working that out on your own. I was going to suggest to— for you to like list all the multiples of 5 and 8 and keep on adding 2 for the multiples of 5 and keep on adding 1 for the multiples of 8. [unclear] Alright, that's a method we can figure that out, but you found it right away. Well done. Great job working that out on your own. Awesome. Okay, so we finished this lesson as well. So let's see what we learn in this lesson, shall we? Cool. Okay. All right. So cool. Okay. So what does it mean by a remainder, Kellan? What does a remainder mean?",00:05:27
fuyjqnq,57,student,It means like what's left over.,00:06:10
fuyjqnq,58,tutor,"Exactly right. What's left over, isn't it? So when we divide a number by the— divided by the divisor, sometimes There are few, few leftovers, isn't it? So that is the remainder. Awesome. So if I ask you to divide, um, um, uh, 34 by 4, what would be the answer?",00:06:13
fuyjqnq,59,student,34 by 4.,00:06:40
fuyjqnq,60,tutor,Mm-hmm.,00:06:45
fuyjqnq,61,student,"Okay, it would be... so let's say 4, so it'll be 8 remainder... [unclear] 8 remainder 2. Well [unclear] done. Well done, Kellan. Amazing. Okay. So you know how to find the as [unclear] well. Cool. Okay. So let's move on to over here. All right. So over here. So remember, then some questions, Kellan, all right, they might ask, okay,",00:06:50
fuyjqnq,62,tutor,"So over here, all right, so over here they have asked how many full plates of 6 can he make? All right, full plates of 6 can he make, but there are remainders at the end as well. See over here, you can see 4 cookies remaining, isn't it, Kellan? And, and the answer for this is, okay. [unclear]",00:07:38
fuyjqnq,63,tutor,"Sorry, yes, so 5 remainder 4, isn't it?",00:08:06
fuyjqnq,64,student,[unclear],00:08:09
fuyjqnq,65,tutor,"5 remainder 4. But the question is, how many full plates of 6 can you make? So what will be the final answer, Kellan?",00:08:10
fuyjqnq,66,student,5.,00:08:18
fuyjqnq,67,tutor,"5, well done, exactly right. So always keep an eye on the question, Kellan, all right? They might try to confuse you. So over here they're asking us how many full plates, isn't it?",00:08:20
fuyjqnq,68,student,Mm-hmm.,00:08:31
fuyjqnq,69,tutor,"Yeah, see over here, but there is no full plates over here. There's only 4 because they had told us a full plate has 6, isn't it? [unclear] But there's only 4 left over, so there's only 5 full plates. But over here in my question over here, they told us how many tens are needed for 30 children, isn't it?",00:08:32
fuyjqnq,70,student,Yeah.,00:08:51
fuyjqnq,71,tutor,"So that means we had to make 8 tens for them, isn't it?",00:08:51
fuyjqnq,72,tutor,"And we can't leave these 2 kids aside. We can't just leave them outside. So we had to make a tent for them as well. So we had to, uh, write 10 as the— sorry, 8 as the final answer, because the answer is actually 7 remainder 2, isn't it?",00:08:56
