session_id,utterance_id,role,content,timestamp
hggadni,0,background,[unclear],00:00:00
hggadni,1,tutor,"Just press that, press that. Alright, hi!",00:00:00
hggadni,2,student,Hello?,00:00:08
hggadni,3,tutor,Hello?,00:00:09
hggadni,4,student,"Yeah, hello, Lorcan, can you hear me?",00:00:11
hggadni,5,student,Yeah.,00:00:14
hggadni,6,tutor,"Okay, that's great. So, well, before we begin and go further into the session, Lorcan, so am I pronouncing your name right?",00:00:14
hggadni,7,student,"Yeah, it's Lorcan.",00:00:23
hggadni,8,tutor,"Okay, Lorcan, right, that's great. So, well, I see that you've already worked out the question. Would you mind explaining your answer to me, please?",00:00:24
hggadni,9,student,"5.4, if you have [unclear] [unclear]",00:00:35
hggadni,10,student,"Sorry, my friend's here and she's making a lot of noise. So 4.4 equals as 5 ones and 40, because if you— we're doing decimal places, tenths are bigger than hundredths in decimals. So if we were to do which one was bigger, we would do this one",00:00:39
hggadni,11,student,"Because the ones are the same, yes, but this is 25 and this is 40, so for this, this is bigger.",00:01:05
hggadni,12,tutor,"Wonderful explanation, Lorcan. Great work. Glad that you came up with that amazing explanation, and also you put a lot of effort here, which is fantastic. Right, so let's now straight away move in and work out a few more questions to make sure that you are familiar with it, all right?",00:01:17
hggadni,13,tutor,"We've got to start with the [unclear] here, Lorcan. Can you try that?",00:01:39
hggadni,14,student,[unclear],00:01:39
hggadni,15,tutor,"Okay. And you've worked them all. Can you explain, please?",00:01:50
hggadni,16,student,So... [unclear],00:02:08
hggadni,17,tutor,"Oh, sorry, my friend needed help. £4.05 and £4.50, that is only £4.05p, but if we were to do another one, that would be £4.50p, so 50p in money is bigger than 5p.",00:02:09
hggadni,18,tutor,"And question number B, it's not decimals, so we're doing money. 6.75 is bigger than 6.3. Even if we were doing decimals with money, 6.3 equals £6.30, but we're here— but the other question is £6.75. So 75p is bigger than 30p. Question number C, 0.56 is to say— 0.56 I chose is because 0.3 is only 30 and it has no ones, also is the [unclear] 56p, but 56 is bigger than 30p. And question number D, it's £10.21, but if we were to do another one, that would be £10.40. 40 cents, and in money, 40 cents is bigger than 25p, so 10.4 in decimal money is the bigger number.",00:02:31
hggadni,19,tutor,"Right, but are they in money terms, Lorcan, these numbers? [unclear]",00:03:36
hggadni,20,student,"Well, yeah.",00:03:44
hggadni,21,tutor,"I'm talking about jummy dodgers, sorry about that.",00:03:47
hggadni,22,background,"Yeah, that's okay. Right, so very well done in working it out independently, really good working out there, and I also thank you so much Thanks so much for explaining your answer to me, all right? So this is how it would turn out, but since you do not have things in terms of pounds, you can explain it to me in terms of decimals, all right? So if it has greater number of tens, it makes it bigger than the other one, right? Because tens has a higher value compared to hundreds, yeah?",00:03:50
hggadni,23,student,Yeah.,00:04:19
hggadni,24,tutor,"Yes, wonderful. So now that you've worked out those questions, you can now try the go further questions. By yourself. Would you mind attempting it, please?",00:04:20
hggadni,25,student,"[unclear] OK, so if we were to do that, we would pick with 0 and 6, 2 p's, 5 times— 2 times 5 equals 10, So we would have 12, so that would be— is that correct? Is that correct? [unclear]",00:04:38
hggadni,26,student,"Yes, it is, Lorcan. Can you hear me? Hello?",00:05:08
hggadni,27,tutor,"Yes, I can hear you.",00:05:11
hggadni,28,student,"All right, great. [unclear]",00:05:13
hggadni,29,student,"So 5p, we divide the batteries by 5. [unclear] So we would have— wait, that'd be 2, but we'd like to start with 1. We need to do that.",00:05:19
hggadni,30,student,for...,00:05:19
hggadni,31,tutor,we would have...,00:05:19
hggadni,32,student,the answer would be... [unclear],00:05:19
hggadni,33,tutor,"Wait, I'm confused. [unclear]",00:05:57
hggadni,34,student,would be 10... [unclear],00:05:57
hggadni,35,tutor,I would rather have 6 20ps.,00:06:05
hggadni,36,student,"OK, and why is that?",00:06:07
hggadni,37,student,"Because 25p, if we were to do that in conditions of decimals and money decimals, we would also have 120p that equals to £1.20p. But 23p, so if we— wait, no, wait, can I redo my answer? I'm just working it out. [unclear]",00:06:11
hggadni,38,student,"4 4 wait, I need to write it down so I don't forget. 4 4 4.",00:06:46
hggadni,39,student,"Plus, you can do that, do that. You need to refresh the page to hear the muddy. 4 4 4 12. 12 12 is— Okay, and why are [unclear]",00:07:03
hggadni,40,tutor,we counting up in furries? Because that's how I,00:07:16
hggadni,41,student,"work out. Okay, so that would be 12, but if we were to have, that would be 20p, 20p, so that would be 60p. If we were to get rid of 12-piece. So that would be 12-piece plus 12-piece would be 24, but 20— I'd rather have 23 5-piece.",00:07:20
hggadni,42,tutor,"Okay, why is that, Lorcan?",00:07:44
hggadni,43,student,"I don't know why, but I— according to my calculations, I'm— [unclear] saying that. So according to the calculations, if we were to do 60, 60 would only have 4 4, and that would only be 12. So that if we were to take away only just one 5p, that would only be 5p more than 120. So I can't really remember the answer. I don't know the answer, but I know that that is bigger than £1.20. Okay,",00:07:46
hggadni,44,tutor,"can you work that out, Lorcan? 23 5ps.",00:08:25
hggadni,45,student,"Okay, I'll try.",00:08:29
hggadni,46,tutor,"Yeah, sure, go ahead.",00:08:31
hggadni,47,student,"20, wait, we're done? 20, yeah, so 20, [unclear] 20, so that would be 60, but that would only be 12 in that, so 60 [unclear]",00:08:35
hggadni,48,tutor,620p.,00:09:01
hggadni,49,student,"Well, you have worked out 620p, right?",00:09:02
hggadni,50,tutor,"No, no, no, no, no, no. So 60 60 120. I know that by fact. That would only be 12, but 12 12 100. So that would be 12 12 24. [unclear]",00:09:05
hggadni,51,student,"But if we take away one 5p? Yeah, I'd rather have 6 20ps.",00:09:30
hggadni,52,tutor,"Why is that, Lorcan?",00:09:35
hggadni,53,student,Because if we were to actually do— so since we can't actually have,00:09:37
hggadni,54,student,[unclear],00:09:53
hggadni,55,tutor,"Yeah, so if— so 6— 4 4 4 12. So in conditions of that, that would be 20 each 4. So that would be 60 60 if we were going to do that. But since we have to take away one 5, we've still got those two tied up like a knot, you would say. But since we need to take away one",00:09:53
hggadni,56,student,"Since we need to take away one 5, that would also be, that would be 5p less, so that would be 15p. So if I wanted to get something, I'd probably pick the 6 20ps.",00:10:15
hggadni,57,tutor,"Fantastic work there, Lorcan. I'm glad that you used your own method to work it out. You explained it to me and also you figured it out all by yourself with a lot of effort there, which is really commendable. Great. To us there, Lorcan. So, you did choose which one you would pick, so which would give you the greatest amount, and could you work out the rest of the question as well, please?",00:10:33
hggadni,58,student,Which one do you want me to do it? Would you rather have me to do the 6 20ps or the 20 [UNCLEAR]?,00:10:33
hggadni,59,tutor,"Yeah, so you told me the answer to that, right? You can type it down as well. So, which one would you rather have? [unclear] You can type it down somewhere over here.",00:11:16
hggadni,60,tutor,Can you hear me?,00:11:44
hggadni,61,student,"Yes, no, I can hear you now, Lorcan. [unclear]",00:11:46
hggadni,62,tutor,Okay.,00:11:48
hggadni,63,student,"Yeah, great.",00:11:49
hggadni,64,tutor,"Okay, so would you, which would give you the greatest amount?",00:11:52
hggadni,65,student,It's Freddy Bees.,00:11:58
hggadni,66,tutor,"Okay, and can you write the two amounts in pounds and circle the greatest amount?",00:12:01
hggadni,67,student,Would you want me to do both of them?,00:12:07
hggadni,68,tutor,"Yes, Lorcan, because the question asks you to do so.",00:12:10
hggadni,69,student,Okay. Let's do another one. So that would be £1.20. Am I supposed to do only the tens in that one?,00:12:16
hggadni,70,background,"No, Lorcan, you're supposed to write the 2 over here. So you can type down one in here, the other in there, right?",00:12:25
hggadni,71,tutor,Yeah.,00:12:32
hggadni,72,student,"So you need to make sure that you put in the pound sign, the decimal places, all right?",00:12:33
hggadni,73,tutor,All right.,00:12:39
hggadni,74,student,"Okay, go ahead. [unclear] [unclear]",00:12:40
hggadni,75,tutor,"Done. Okay, and are we missing anything new on Lorcan?",00:13:10
hggadni,76,student,"Oh, who's in the Background?",00:13:13
hggadni,77,tutor,Of course.,00:13:17
hggadni,78,student,Can you hear me?,00:13:43
hggadni,79,tutor,"I do hear you now, Lorcan, right?",00:13:46
hggadni,80,student,"Okay. So, um... You've typed down the two amounts. Wonderful effort there. And can you also circle the greatest amount, please? All right, there we go. Yes, wonderful work there, Lorcan. You put a lot of effort in this question, made sure you got to the answer all by yourself. Really amazing. Well done there, right? Really good working out with that beautiful [UNCLEAR].",00:13:47
hggadni,81,student,"Thank you. Always. Can we move on to your next lesson, Lorcan? [unclear]",00:14:17
hggadni,82,student,Okay.,00:14:25
hggadni,83,tutor,"Right. So the next lesson for the day is multiplying and dividing whole numbers and decimals by 10 and 100. So can we get started with this calculation here, please?",00:14:27
hggadni,84,student,Okay.,00:14:38
hggadni,85,background,Okay.,00:14:39
hggadni,86,student,Okay.,00:14:41
hggadni,87,background,Oh my God. My mic's really bad. Sorry.,00:14:42
hggadni,88,tutor,That's okay.,00:14:46
hggadni,89,student,"Divide the number by 10. [unclear] Wait, I need...",00:14:55
hggadni,90,tutor,Right. You're not quite—,00:15:12
hggadni,91,student,"Wait, sorry, my ball was stuck in— my ball was stuck.",00:15:13
hggadni,92,tutor,"Sorry, Lorcan?",00:15:20
hggadni,93,student,My ball was stuck.,00:15:22
hggadni,94,tutor,Okay. Is it all right now?,00:15:26
hggadni,95,student,Yeah.,00:15:31
hggadni,96,tutor,"Okay, great. So yes, very well done in working this out why you're so fine today, Lorcan. Can you hurry up with this one, please? [unclear]",00:15:32
hggadni,97,tutor,"Okay. Yes? Would you mind explaining, please?",00:15:42
hggadni,98,student,"I can't do the other one. I don't know. I don't understand. Oh, you want me to do the whole number? Okay. [unclear]",00:15:55
hggadni,99,tutor,"Lorcan, can you hear me?",00:16:03
hggadni,100,student,"Yeah, I can.",00:16:06
hggadni,101,tutor,"Yeah, you're not required to work this out actually because you got this answer right, OK?",00:16:08
hggadni,102,student,Alright.,00:16:12
hggadni,103,tutor,"So if you can explain this to me, it would do.",00:16:14
hggadni,104,student,"If you're doing— so what I was taught, if you were doing 1/100 times 100, you just need to get rid of the decimal point and just add it.",00:16:22
hggadni,105,tutor,"Okay, and what would you do if it was multiplied by 10?",00:16:34
hggadni,106,student,"I would— I would— so if we— I would move that on one. I'd move that one on one. [unclear] So you would just move it one decimal place to one place to the right, yeah?",00:16:41
hggadni,107,student,Yeah.,00:17:03
hggadni,108,tutor,"Okay, great work there, Lorcan. So now that you've got that right, I think we can work out a few more questions, can we?",00:17:04
hggadni,109,student,I'm gonna go get a sheet to work out some.,00:17:13
hggadni,110,tutor,"Yeah, sure, Lorcan. Let me know when you're here, all right?",00:17:17
hggadni,111,student,I'm back.,00:17:58
hggadni,112,tutor,"All right, Lorcan, so you can now go ahead and work this out. Get out with the first one here. [unclear]",00:18:02
hggadni,113,tutor,Use the following to complete the calculation below. [unclear],00:18:22
hggadni,114,student,"Okay, can you explain how you got this done, Lorcan, the first one?",00:18:33
hggadni,115,student,"So if we were to do that, since one hundredths are bigger— no, since tenths are bigger than one hundredths, we have to move the hundredths bit onto the— we would have to use the one hundredths bit. Spot to move up to tenths. And if we were to— and if you're doing it by a hundred— if you're timesing a zero-point number with no ones, you have to move the tenths onto the one spot.",00:18:39
hggadni,116,tutor,"OK, I'm glad that you explained that. You thoughts to me there. Great explanation. But that would not be how it works, all right, Lorcan?",00:19:29
hggadni,117,student,Okay.,00:19:39
hggadni,118,tutor,"All right, so let me help you with that a bit, okay? So if you're multiplying by 100, Lorcan, you're making the number 100 times bigger, right?",00:19:40
hggadni,119,student,Yeah.,00:19:49
hggadni,120,tutor,"Awesome. So we can use a [unclear] chart to help us understand what happens, okay?",00:19:51
hggadni,121,tutor,Yeah.,00:19:57
hggadni,122,background,"So if you look at this Gattanu chart here, have you worked with the Gattanu chart before?",00:19:58
hggadni,123,student,Pardon?,00:20:04
hggadni,124,background,Have you worked with the Gattanu chart before?,00:20:05
hggadni,125,student,No.,00:20:08
hggadni,126,background,"Right. So let me explain to you what it says, okay? So do you see that we've got 0.01 here? 0.1 here, ones here, tens, hundreds, thousands here, right?",00:20:10
hggadni,127,student,"Yeah, okay.",00:20:23
hggadni,128,tutor,"So you do see that when we move up the Gartner chart, we increase it by 10 times each time. [unclear] So 0.01 times 10 would give you 0.1. 0.1 times 10 would give you 1. And 1 times 10 would give you 10. So every time we move up the Gartner chart, We multiply it by a 10. Okay? [unclear]",00:20:25
hggadni,129,tutor,Can I quickly go toilet? Can I quickly go toilet?,00:20:53
hggadni,130,student,"Yeah, of course, Lorcan. Let me know when you're back, right?",00:20:57
hggadni,131,tutor,Okay. Okay.,00:21:01
hggadni,132,student,Great.,00:21:03
hggadni,133,tutor,Hello? [unclear],00:21:47
hggadni,134,student,"Quiet, let me see. I can hear you, but it's very, very quiet. Let me quickly just change the [UNCLEAR]. It's not laggy, it's just that you are very quiet. I can't understand you. [unclear]",00:21:47
hggadni,135,tutor,"Are you there, Lorcan? Hello?",00:22:04
hggadni,136,student,Okay.,00:22:06
hggadni,137,tutor,"Hello? Oh, now I can hear you. [unclear]",00:22:08
hggadni,138,student,"Oh, you're back?",00:22:14
hggadni,139,tutor,"Okay, I don't know what keeps happening. It makes you go loud and it makes you go quiet.",00:22:15
hggadni,140,student,I'm back.,00:22:27
hggadni,141,tutor,Something's wrong with the headset. I can't hear you that well. [unclear],00:22:29
hggadni,142,tutor,Hello? [unclear],00:22:45
hggadni,143,student,"Oh, hello. I saw my laptop, it was off. Hello?",00:22:51
hggadni,144,tutor,"Yeah, are you back?",00:23:05
hggadni,145,student,"Yes, someone turned my laptop off, sorry about that, and the toilet wouldn't flush.",00:23:07
