session_id,utterance_id,role,content,timestamp
lxazlis,0,student,Hello? [unclear],00:00:00
lxazlis,1,tutor,I can't hear you. [unclear],00:00:10
lxazlis,2,tutor,"Yeah, I can hear you now.",00:01:34
lxazlis,3,student,"Okay. Sorry about the delay. My headset was not connected earlier, so now it's okay.",00:01:43
lxazlis,4,tutor,"Yeah, it's okay.",00:01:52
lxazlis,5,student,We are going to study today about adding and subtracting decimals using known facts.,00:01:56
lxazlis,6,tutor,"So have you studied this before in school, Thaddeus?",00:02:03
lxazlis,7,student,"Yeah, I think so.",00:02:08
lxazlis,8,tutor,"Okay, so let's see if you can remember how to solve this question.",00:02:11
lxazlis,9,student,"Um, so normally I do like, um, uh, column subtraction.",00:02:19
lxazlis,10,tutor,"Yes, that's also one way to do it. Can you think of another way you can solve this? So here it says using known facts. So what do you know about these numbers? Do you know how much 13 minus, or subtraction, 7 is?",00:02:34
lxazlis,11,student,"Um, is it 6?",00:02:55
lxazlis,12,tutor,"Yes, it's 6. So now can you try to figure out the answer for this one?",00:03:03
lxazlis,13,student,"Yeah, so it's 0.06.",00:03:10
lxazlis,14,tutor,"Yes, exactly. Okay, that's a very good effort over there. So just like that, you can use things you already know to solve problems of this sort. Okay, so here's another question with the addition grid. So let's see what you know about numbers and how you can complete this. So here, what you have to do is add the number here with the number here, and then you get this number over here.",00:03:14
lxazlis,15,student,[unclear],00:03:48
lxazlis,16,tutor,So here you can see a missing number.,00:03:49
lxazlis,17,tutor,"The two numbers that you need to add is given over here. So how much is 8 5? Yes,",00:03:53
lxazlis,18,student,[unclear],00:04:00
lxazlis,19,tutor,let's write it over here. Okay. Do you know how much you need to add to 8 to get 14?,00:04:01
lxazlis,20,student,It's a 6.,00:04:19
lxazlis,21,tutor,"Yes, let me write it here. Okay, good. Now that you know that it's 6 over here, how much is 6 7? 13.",00:04:21
lxazlis,22,student,[unclear],00:04:37
lxazlis,23,tutor,"Yes, again we get 13 over here. Okay.",00:04:39
lxazlis,24,tutor,"Again, that was good focus that you showed over there. Okay, let's move on to our lesson. So here we have to solve this decimal place using the numbers that we already know. So 8 6 14. How about 0.8 0.6? Um, well, that's",00:04:45
lxazlis,25,student,be 0.14.,00:05:19
lxazlis,26,tutor,"Okay, that's close. But here, if you look closely, 8 6 didn't give us 1.4, right? We have a 1 ten over here. So just like that, when you add the two tenths together, you get one whole over here. So let's look at our support slide. I think that will give you a better idea. So here you can see that when you add 8 and 6, you get a 10 over here. Now we've moved one— [unclear]",00:05:20
lxazlis,27,tutor,One—,00:06:04
lxazlis,28,student,"One— digit to the right, one place value to the right, because it is 10 times smaller, right? Is that bit clear for you?",00:06:07
lxazlis,29,student,Yeah.,00:06:20
lxazlis,30,tutor,"Okay, so here let's try to write 0.8 and 0.6, and you can add them together. And find the final answer here.",00:06:23
lxazlis,31,student,"Okay, so... [unclear] 9, 10, 11, 12, 13, 14, so... 1 goes here and the 4 goes here.",00:06:39
lxazlis,32,tutor,"Yes, exactly. So that is one way we can do it.",00:07:00
lxazlis,33,tutor,"And the other way is we already know 8 6 14, and we have to realize that 0.8 is 10 times smaller than 8, and 0.6 is 10 times smaller than 6. So the answer should be 10 times smaller. So what happens when a number is 10 times smaller? We move it...",00:07:06
