session_id,utterance_id,role,content,timestamp
hlflhme,0,tutor,Hello.,00:00:00
hlflhme,1,background,[unclear],00:00:00
hlflhme,2,student,Hello.,00:00:00
hlflhme,3,tutor,"Yeah, thank you. Okay, how are you doing today?",00:00:01
hlflhme,4,tutor,"Good, thank you. Are you?",00:00:06
hlflhme,5,student,"I'm fine, thanks for asking, Thalia.",00:00:08
hlflhme,6,tutor,"So welcome back to the session. And today we'll be continuing the lesson that we couldn't complete previously, which is comparing fractions using reasoning. All right? So what do you remember about this lesson? Do you remember what we learned in this lesson?",00:00:11
hlflhme,7,student,No.,00:00:30
hlflhme,8,tutor,"Okay, no problem. So let's try and recall what we had done. So basically, Thalia, we were just talking about [Speaker:Tutor]...looking into how to work around and compare the fractions. [Speaker:Thalia] Right.",00:00:31
hlflhme,9,tutor,"Where we, for example, used a bar model to help us out and see which one is closest to the whole. So if it is closest to one whole, it ideally would give a greater share and would be a bigger fraction. So do you remember out of 2/3 and 2/5, which fraction was bigger? [unclear]",00:00:41
hlflhme,10,tutor,2/5.,00:01:13
hlflhme,11,student,"OK, why do you think 2/5 was bigger?",00:01:13
hlflhme,12,tutor,Because it has a bigger denominator.,00:01:17
hlflhme,13,student,"Alright, so as you can see, can you tell me which one is shaded more, Thalia?",00:01:22
hlflhme,14,tutor,2/3.,00:01:27
hlflhme,15,student,"Two-thirds. So if two-thirds is [UNCLEAR], that means that would be the bigger share, right? So remember, it's not about the denominator being bigger or smaller. It is about what number is closest to the whole or which one gives a bigger share, right? For example, if you have two biscuits shared between three people and two biscuits shared between five people, two-thirds would be a bigger share. [Speaker:Tutor]...together. [Speaker:Thalia] Yes.",00:01:30
hlflhme,16,tutor,"Right. So always look into those terms and we will learn more about this over here as well. So we stopped at this slide and you need to follow me as I explain these parts to you. And when it's your turn, you have a similar question over here. [unclear]",00:02:00
hlflhme,17,student,Yeah.,00:02:17
hlflhme,18,tutor,"So let's think about the— All right. So I will be explaining this part to you, Thalia. You can follow me.",00:02:19
hlflhme,19,tutor,"Okay, so let's think about the relationship between the numerator and denominator, right? So we're going to look into it in detail. Is this fraction a large or small part of the whole? As you can see here, the first fraction that we have is 5/6, right? And they have split this bar model into 6 parts and shaded 5 parts out of the total 6 parts. And the next fraction that we have is 7/11. And as you can see, we have 11 parts cut into, and we have 7 out of that, out of the 11 parts shaded in. So if you were to look into this bar model, as you can see, it's starting with the same line and ending with the same line too, to show that it is the same piece, right? And that is easy for us to compare when drawing the bar models. Is that clear, Thalia?",00:02:26
hlflhme,20,student,Yeah. [unclear],00:03:26
hlflhme,21,tutor,"As you can see, you can see that the pink one is shaded more as it ends over here, whereas the orange bar ends over here and is shaded a little bit lesser, right? So 5 is a larger part of 6 than 7 is of 11. The reason is because it 5/6 is much closer to one whole. Can you see that, Thalia? We just have one more box to complete that entire whole.",00:03:28
hlflhme,22,student,Yeah.,00:03:59
hlflhme,23,background,Yeah.,00:03:59
hlflhme,24,tutor,"Yeah. But whereas if you look at the next one, if you look into the parts, we would have, you know, 4 total sections, but also equally we have 2 more equal parts to shade in.",00:04:00
hlflhme,25,background,Right.,00:04:12
hlflhme,26,tutor,"Right. So this one on top, 5/6, is [UNCLEAR]. So I'm going to put the greater than sign over here because 5/6 is greater than 7/11. Is that clear? [unclear]",00:04:13
hlflhme,27,tutor,Yeah.,00:04:26
hlflhme,28,student,No?,00:04:27
hlflhme,29,tutor,No.,00:04:28
hlflhme,30,student,"All right. Okay. So another thing that you can think of, just because the denominator is bigger doesn't mean that 7/11 is greater, right? Even with different denominators, we need to imagine about the bar model. See which one is closest to 1 whole, and then work out the question. Okay? So another thing that you can think of would be to work [unclear] on that.",00:04:29
hlflhme,31,tutor,"Sorry, can you say it again? It just crashed.",00:04:57
hlflhme,32,student,No problem. Can you try the question on your turn?,00:05:04
hlflhme,33,tutor,Yeah. Compare 7/10 and 8/9 using the same Strategy. Is the factions a large or small part of the whole? [unclear],00:05:08
hlflhme,34,tutor,So what are you going to do here?,00:05:27
hlflhme,35,student,First we're going to shade in,00:05:33
hlflhme,36,tutor,Yeah? [unclear],00:05:55
hlflhme,37,student,She is 7 out of 10 because it's 7 tenths.,00:05:59
hlflhme,38,tutor,"Mm-hmm, okay.",00:06:05
hlflhme,39,student,And then in the second box there's 9 And you need to shade in 8.,00:06:08
hlflhme,40,tutor,Well done. [unclear],00:06:17
hlflhme,41,student,And there's one left over because there's 8 shaded in and there's 9 boxes.,00:06:23
