session_id,utterance_id,role,content,timestamp
cyuecip,0,background,[unclear],00:00:00
cyuecip,1,tutor,Hello. [unclear],00:00:00
cyuecip,2,tutor,"Hello? Kieran, can you hear me? [unclear]",00:00:31
cyuecip,3,tutor,Can you hear me? [unclear],00:01:06
cyuecip,4,student,Hello.,00:01:35
cyuecip,5,tutor,Can you hear them?,00:01:38
cyuecip,6,tutor,Can you hear anyone now? [unclear],00:02:07
cyuecip,7,background,"Hello, Kieran, can you hear me now?",00:02:12
cyuecip,8,tutor,"Yes, he can hear you. I'll just pass you back to Kieran. Give me 2 seconds.",00:02:17
cyuecip,9,background,Okay.,00:02:22
cyuecip,10,tutor,Say hello now.,00:02:26
cyuecip,11,student,Hello.,00:02:27
cyuecip,12,tutor,"Can you hear? Hello, can you hear?",00:02:30
cyuecip,13,student,"Yeah, I can.",00:02:34
cyuecip,14,tutor,"Okay, let's keep going. Let's continue this lesson from last time, okay?",00:02:37
cyuecip,15,background,Okay.,00:02:47
cyuecip,16,tutor,"Right, so that is multiplying and dividing whole numbers and decimals by 10 and 100.",00:02:48
cyuecip,17,tutor,Okay. Can you give this a try?,00:02:59
cyuecip,18,student,A try.,00:03:05
cyuecip,19,tutor,Yeah. First question? Just try the first one. [unclear] Is that right? [unclear],00:03:07
cyuecip,20,tutor,Okay. You're almost there. So what's the number you're multiplying here?,00:03:24
cyuecip,21,student,"Uh, 100?",00:03:36
cyuecip,22,tutor,"This number, the first one.",00:03:39
cyuecip,23,student,206.,00:03:42
cyuecip,24,tutor,Read it properly.,00:03:47
cyuecip,25,student,2.06.,00:03:51
cyuecip,26,tutor,"Yes, 2.06 multiplied by 100. How do we multiply a number by 100? [unclear]",00:03:52
cyuecip,27,student,You move 2 places to the right.,00:04:01
cyuecip,28,tutor,"If you're multiplying, you're moving to the left.",00:04:06
cyuecip,29,student,Left. Left.,00:04:11
cyuecip,30,tutor,"Okay, I'll put the video on. [unclear]",00:04:14
cyuecip,31,tutor,Yeah.,00:04:40
cyuecip,32,tutor,"Okay. Kieran, are you okay?",00:04:40
cyuecip,33,student,Yeah.,00:04:43
cyuecip,34,tutor,"All right. That's wonderful work. You remembered that. Thank you for going back and double-checking. [unclear] Where you were doing the questions last time. So since you have done the first two, let's go to the third question and try this one.",00:04:46
cyuecip,35,student,"Oh, this.",00:05:09
cyuecip,36,student,"This one? Wait, this one?",00:05:12
cyuecip,37,tutor,"Yes, these 3 questions.",00:05:16
cyuecip,38,student,These 3 on the bottom?,00:05:25
cyuecip,39,tutor,Yes.,00:05:29
cyuecip,40,student,So... [unclear] [unclear],00:05:30
cyuecip,41,tutor,Are you all right?,00:05:39
cyuecip,42,student,Yes.,00:06:00
cyuecip,43,tutor,Okay. Let's figure this out. What's the first question? What are we doing?,00:06:01
cyuecip,44,student,3.82 times 10.,00:06:08
cyuecip,45,tutor,4.82 multiplied by 10.,00:06:13
cyuecip,46,student,Yeah.,00:06:17
cyuecip,47,tutor,Okay. So how do we do it?,00:06:19
cyuecip,48,student,"Well, you move it 0 places, one place to the left, which is 408, too.",00:06:24
cyuecip,49,tutor,What if it was just 4? Think about that. 4 times 10. What is 4 times 10?,00:06:36
cyuecip,50,student,It is 40.,00:06:45
cyuecip,51,tutor,So think about this answer then.,00:06:47
cyuecip,52,student,"So basically, [unclear] [unclear]",00:06:51
cyuecip,53,tutor,So this is 4.82. You multiply it by only 10.,00:07:04
cyuecip,54,student,"Only 10? Yeah, yeah, yeah.",00:07:13
cyuecip,55,tutor,So what's the answer would be?,00:07:16
cyuecip,56,student,I'll just—,00:07:20
cyuecip,57,tutor,What do you think? What's the answer?,00:07:27
cyuecip,58,student,I'm trying to work it out.,00:07:30
cyuecip,59,tutor,"Okay, I'll give you a place value chart. You can put this out here.",00:07:32
cyuecip,60,student,Alright.,00:07:37
cyuecip,61,tutor,So the question was 4.82 multiplied by 10. [unclear] [unclear],00:07:38
cyuecip,62,tutor,So how will you move your digits?,00:07:52
cyuecip,63,tutor,If you're multiplying.,00:08:06
cyuecip,64,student,Can you erase that for me?,00:08:12
cyuecip,65,tutor,Yeah. Which side do you— [unclear],00:08:15
cyuecip,66,tutor,Right. How many places do you need to move?,00:08:18
cyuecip,67,student,One.,00:08:35
cyuecip,68,tutor,One place to the left. So what will happen to 4?,00:08:37
cyuecip,69,student,Can you say that again? Sorry.,00:08:40
cyuecip,70,tutor,Where will you move 4? [unclear],00:08:45
cyuecip,71,tutor,So can you please write 4 here?,00:08:52
cyuecip,72,student,"Oh, I got you.",00:08:57
cyuecip,73,tutor,We are moving one place to the left every time. Okay?,00:09:01
cyuecip,74,student,Okay. [unclear],00:09:08
cyuecip,75,tutor,"Yes, so it's 48.2.",00:09:17
cyuecip,76,student,"Point 2, yeah.",00:09:23
cyuecip,77,tutor,"Okay, so let's remember that one. Okay, you can type your answer. You can use the text tool to type.",00:09:26
cyuecip,78,tutor,48.2.,00:09:43
cyuecip,79,student,"Oh, I know. I know which one.",00:09:44
cyuecip,80,tutor,"Right. Well, done with this. Let's go to the next one.",00:09:47
cyuecip,81,student,I think I know what it is.,00:09:53
cyuecip,82,tutor,Okay.,00:09:56
cyuecip,83,student,"[unclear] Oh, no, no, no, no, no. [unclear]",00:09:57
cyuecip,84,tutor,I think the answer that you wrote earlier was correct. Do you remember? You can type that.,00:10:05
cyuecip,85,student,"Yes, I know what it is. I know what it is. Thanks for reminding me.",00:10:20
cyuecip,86,tutor,Okay.,00:10:26
cyuecip,87,background,"Good job, Kieran. Yeah, go ahead. Do I need to use a blue? Is it the same answer I put earlier? You can actually do it in your head if you can. Are we multiplying or dividing here? Dividing. Dividing by 10. Okay. No, no, no, no, no, no, no, no. [unclear] Did I get that right?",00:10:28
cyuecip,88,tutor,"Okay, when you divide a number, is the number going to be smaller or bigger?",00:11:05
cyuecip,89,student,"It's going to be smaller, isn't it?",00:11:09
cyuecip,90,tutor,"Yeah, so what's the given number?",00:11:12
cyuecip,91,student,"Can you erase that for me please, if you can?",00:11:15
cyuecip,92,tutor,"Yeah, what's the given number? I cannot erase it for some reason. Okay, there you go.",00:11:18
cyuecip,93,student,"Okay, I did it.",00:11:29
cyuecip,94,tutor,So the number is 161.2. You need to divide 61.2 by 10.,00:11:31
cyuecip,95,student,Is it? It's really hard to work out.,00:11:39
cyuecip,96,tutor,"Okay, I'll give you a place where you try it.",00:11:45
cyuecip,97,student,"I don't need one. Yes, I do. [unclear] [unclear]",00:11:48
cyuecip,98,tutor,There we go. How much are you dividing by?,00:11:54
cyuecip,99,student,Dividing by 10.,00:12:16
cyuecip,100,tutor,So The 6 moves there. 1 moves there.,00:12:19
cyuecip,101,tutor,"Are you multiplying? Hmm? You're multiplying? Okay, so now you're multiplying, Kieran. See, when you divide, you need to move the digits to the—",00:12:25
cyuecip,102,student,To the left.,00:12:40
cyuecip,103,tutor,"You need to remember this. Left or right? You need to figure out which one to do. Okay, when you divide, you move to the right this way. So then— [unclear]",00:12:42
cyuecip,104,student,"Ah, 6.12.",00:13:01
cyuecip,105,tutor,Yes. Can you see it has become 10 times smaller than this number? This was 61.,00:13:05
cyuecip,106,tutor,"Right, now it's 6. [unclear]",00:13:13
cyuecip,107,student,"So I get it now. So when you times and you go to the right, when you divide and we go to the left because you were doing that before.",00:13:17
cyuecip,108,tutor,"Okay, let's write that. When you divide, you go to the right.",00:13:33
cyuecip,109,student,"What, what the answer would then?",00:13:38
cyuecip,110,student,It's 61.2.,00:13:42
cyuecip,111,tutor,Just write as you remember. 61.2 is the number that is given. [unclear],00:13:48
cyuecip,112,student,"I know it. How do I get it? So Can I get that off? Yes, I can. [unclear]",00:14:01
cyuecip,113,tutor,You don't remember it?,00:14:17
cyuecip,114,student,"I do, I do.",00:14:19
cyuecip,115,tutor,"Okay. There you go. Yes, exactly. You're making the number 10 times smaller. If you have a 60, it's going to be 6. If you had 50, it's going to be 5. If you have 80, it will be 8. It's like that, okay? 10 times smaller than the given number.",00:14:20
cyuecip,116,student,Can I just say something about the times and the dividing?,00:14:43
cyuecip,117,tutor,Yes.,00:14:48
cyuecip,118,student,"It looks easy, but it's quite hard. But when you're using a place value chart, it's easy. And when you're times and dividing, it's kind of like It's hard, but when you're using a place value [UNCLEAR], but when you're timesing, you go to the left, when you're dividing, you go to the right. [Speaker:Tutor] Mm-hmm.",00:14:50
cyuecip,119,student,Did you want to explain that?,00:15:04
cyuecip,120,tutor,"Good job, Kieran. Okay, so I appreciate your hard work here. Let's go to the next question. Can you read this loud?",00:15:14
cyuecip,121,tutor,Hello. I cannot hear you. You there? [unclear],00:15:36
cyuecip,122,tutor,"Kieran, are you there? I cannot hear you. [unclear] [unclear]",00:15:53
cyuecip,123,tutor,Hello.,00:17:05
cyuecip,124,student,Hello. Can you hear me now?,00:17:06
cyuecip,125,tutor,Hello.,00:17:08
cyuecip,126,tutor,"Oh yes, I can.",00:17:10
cyuecip,127,student,Okay. Let's go back.,00:17:12
cyuecip,128,tutor,Right. [unclear],00:17:16
cyuecip,129,student,Yes.,00:17:24
cyuecip,130,tutor,I just couldn't hear Corinne because the internet went off. The internet went off so bad.,00:17:24
cyuecip,131,student,Oh my.,00:17:32
cyuecip,132,tutor,Can you hear me?,00:17:33
cyuecip,133,tutor,"Yes, can you read this loud?",00:17:35
cyuecip,134,student,"Yes, just because the internet went off, so I couldn't hear you.",00:17:40
cyuecip,135,tutor,"So, okay, you can do the calculation, please. [unclear] Yeah, read and do the calculation.",00:17:49
cyuecip,136,student,All of that.,00:17:56
