session_id,utterance_id,role,content,timestamp
kddbbsh,0,background,[unclear],00:00:00
kddbbsh,1,tutor,Hello.,00:00:00
kddbbsh,2,student,Hi. How are you doing?,00:00:05
kddbbsh,3,student,Good.,00:00:08
kddbbsh,4,tutor,Okay. How was your day so far? Has it been good?,00:00:10
kddbbsh,5,student,"Yeah, so far. It's very warm.",00:00:17
kddbbsh,6,tutor,Pardon?,00:00:21
kddbbsh,7,student,It's very warm.,00:00:22
kddbbsh,8,tutor,It's very warm. Okay.,00:00:24
kddbbsh,9,student,Mm-hmm.,00:00:26
kddbbsh,10,tutor,"Yeah. So... Summer term is beginning, right? So it has begun. I think it's summer now. Yeah, is it? [unclear] Is it summer there? Has summer started?",00:00:28
kddbbsh,11,student,No.,00:00:47
kddbbsh,12,tutor,"No. Okay. But I think summer is starting, so is it beginning to become warm, right? Okay, so Eva, we started off with this lesson last week. So 50% of 140 is 70, right? So this is what we were learning. And in the next— so we already started off with this lesson and we carried on until this [UNCLEAR]. Question here. So we have to begin with question B here. Can you remember?",00:00:47
kddbbsh,13,student,Yeah.,00:01:29
kddbbsh,14,tutor,"So shall we start with question B? And also, if anything is not clear when I'm speaking, Eva, you can tell me right then and there so that I can fix it, okay? Rather than telling it at this— at the end of the session, tell me then and there if you",00:01:30
kddbbsh,15,tutor,I'm having audio issues. [unclear],00:01:49
kddbbsh,16,student,So this is the one I struggle on.,00:01:54
kddbbsh,17,tutor,"Yeah, so then we had to calculate 10% of 240, so it was 24. So how do I calculate 1% of 240 was that patient?",00:02:07
kddbbsh,18,tutor,"So first of all, how do I write 1% as a fraction?",00:02:18
kddbbsh,19,student,100.,00:02:24
kddbbsh,20,tutor,100. How do I write 10% as a fraction?,00:02:25
kddbbsh,21,student,[unclear],00:02:32
kddbbsh,22,tutor,10 hundredths. So how did you get 24 for 10 hundredths?,00:02:36
kddbbsh,23,tutor,"Adil, how did you get 24 when they say 10%? Can you explain me how you got 24 here? [unclear]",00:02:46
kddbbsh,24,background,"Repeat that, sorry.",00:02:59
kddbbsh,25,tutor,Okay. So for— how did you get the answer 24 for 10% here?,00:03:02
kddbbsh,26,student,"Um, because, like, I took the zero off and I got 24.",00:03:09
kddbbsh,27,tutor,"So basically you have divided it by 10, right? That's why you had to take the zero off, Eva. So when you say taking the zero off, it's not Correct. Is it clear?",00:03:21
kddbbsh,28,student,Yeah.,00:03:39
kddbbsh,29,tutor,"So you need to ask or say that you divided by 10 and then you got the answer. [unclear] Okay? So Now if you have a look at this, why do I divide it by 10, Eva?",00:03:41
kddbbsh,30,student,[unclear] Because it's 10% needs to find.,00:04:08
kddbbsh,31,tutor,"Yeah, but it's 10 hundredths. Why did you have to divide by 10? [unclear]",00:04:20
kddbbsh,32,student,Do you divide by the numerator?,00:04:28
