session_id,utterance_id,role,content,timestamp
jnxbqey,0,tutor,Hello.,00:00:00
jnxbqey,1,background,[unclear],00:00:00
jnxbqey,2,student,Hello.,00:00:00
jnxbqey,3,tutor,Hello.,00:00:01
jnxbqey,4,student,Hello.,00:00:02
jnxbqey,5,tutor,Hello.,00:00:02
jnxbqey,6,student,Hello.,00:00:04
jnxbqey,7,tutor,"Hi Gideon, can you hear me?",00:00:05
jnxbqey,8,student,Yeah.,00:00:07
jnxbqey,9,tutor,Hello.,00:00:08
jnxbqey,10,student,"Hi Gideon, can you hear me?",00:00:10
jnxbqey,11,tutor,"Oh, I can hear you now, yeah.",00:00:12
jnxbqey,12,student,"Yes, okay, thank you for letting me know. Okay, so how are you today? [unclear]",00:00:14
jnxbqey,13,tutor,How are you today?,00:00:19
jnxbqey,14,student,"Good, thank you.",00:00:23
jnxbqey,15,tutor,"Wow, that's great to hear. Okay, all right, so shall we start with today's topic?",00:00:24
jnxbqey,16,student,Yeah.,00:00:31
jnxbqey,17,tutor,"Okay, so today we will learn about writing percentages as fractions and decimals. Okay, so here we are going to learn about writing percentages as fractions and decimals. So in the last Last session we have been working on this topic. So today we will continue from the Go Further slide. Okay. So before we start, let's do a quick refresh on what we have learned so far. Okay. Let me give you a small question. So Gideon, can you convert 52% into a decimal?",00:00:33
jnxbqey,18,student,Okay. [unclear],00:01:14
jnxbqey,19,tutor,"Yes, 52% into a decimal.",00:01:14
jnxbqey,20,student,Or it can say 0.5.,00:01:22
jnxbqey,21,tutor,"Yes, exactly, that is correct. Okay, good job on working out that issue independently. Okay, so the answer is 0.5. Okay, so now we will continue from the Go Further slide. Okay, Gideon, I want you to read the question carefully and give your level best in this question.",00:01:29
jnxbqey,22,student,[unclear] has [Speaker:Gideon]...read 48 pages of her book. Her book has 400 pages. What proportion of her book has she read? Give your answer as a percentage in decimal. [Speaker:Tutor] Yes. [unclear] Sarah has read 48 pages of her book. Her book has 400 pages. What proportion of her book has she read?,00:01:49
jnxbqey,23,tutor,"You can take your time and solve this question, okay? Yes.",00:02:17
jnxbqey,24,student,So all I need to do is 400 subtract 48. [unclear],00:02:24
jnxbqey,25,student,"Alright, so 400 take away 48. [unclear]",00:02:30
jnxbqey,26,tutor,"3, 5, 2.",00:02:56
jnxbqey,27,student,"Whoa, whoa, hang on, hang on, hang on. [unclear]",00:02:58
jnxbqey,28,tutor,"167, no, 176.",00:03:15
jnxbqey,29,student,"176. Okay, so can you read these two sentences once again, the first and the second?",00:03:19
jnxbqey,30,tutor,Tara has read 48 pages of her book. Her book has 400 pages.,00:03:26
jnxbqey,31,tutor,"Yes, so let me give you one question. Can you write the number of pages Tara has read in a fractional form? Can you write the number of pages Tara has read as a fractional form? Exactly, you should also draw a line in between. Yes, 48 is the numerator and the denominator is 100. [unclear] Okay, so how we got 100?",00:03:34
jnxbqey,32,student,"Oh, sorry, I meant 400.",00:04:01
jnxbqey,33,tutor,"Yes, exactly. Will be 400. Okay, so you can change the 100 to 400.",00:04:03
jnxbqey,34,student,Yeah.,00:04:12
jnxbqey,35,tutor,400. [unclear],00:04:14
jnxbqey,36,student,"Okay, uh, 48 over 400.",00:04:18
jnxbqey,37,tutor,"Yes, exactly, that's correct. Now, okay, so excellent job on writing it in a fractional. Now,",00:04:25
jnxbqey,38,tutor,Can you read the last sentence?,00:04:33
jnxbqey,39,student,Give your answer as a percentage or decimal.,00:04:38
jnxbqey,40,tutor,"Yes, you should give your answer as a percentage or [unclear] decimal. Gideon, so the denominator is 4, it's okay, it's not 100. [unclear]",00:04:43
jnxbqey,41,tutor,"Okay, so first you should convert this fraction to a denominator of 100, and then you can convert it into percentage and estimate.",00:04:59
jnxbqey,42,student,Uh...,00:05:27
jnxbqey,43,tutor,"So this is your fraction of 48/400. Okay, so you should put it like this, and then you should set a proportion. You should put an equal sign here. Okay, and the next fraction should have a denominator of 100 so that you can easily convert it into a decimal. So what, what will come by the numerator? What is the numerator?",00:05:30
jnxbqey,44,student,Let me just try and figure it out.,00:05:57
jnxbqey,45,tutor,Yes.,00:06:02
jnxbqey,46,student,16. [unclear],00:06:03
jnxbqey,47,tutor,"So the question is, how can you get 100 from 400?",00:06:07
jnxbqey,48,student,You need to subtract 300.,00:06:12
jnxbqey,49,tutor,Not subtraction. You should choose multiplication or division. So among,00:06:17
jnxbqey,50,tutor,How will you get 100 from 400? You should only use the calculation multiplication and division.,00:06:23
jnxbqey,51,student,I'm not sure.,00:06:33
jnxbqey,52,tutor,"400 divided by 4 is 100. 400 divided by 4 is 100. Okay? So, We will write here like this. To get 100, we should divide 400 by 4. So whatever we do in the denominator, we should do it in the numerator. So we will also divide the numerator by 1,000. So can you find the numerator? [unclear]",00:06:36
jnxbqey,53,student,So 48 divided by 8 is going to be—,00:07:10
jnxbqey,54,tutor,It's 6.,00:07:13
jnxbqey,55,tutor,"It's not 8. Yes, it is 12. So can you write 12 here?",00:07:14
jnxbqey,56,student,Yeah.,00:07:20
jnxbqey,57,tutor,"So now you got the new fraction, which is 12/100. So the fraction is 12/100.",00:07:22
jnxbqey,58,student,Yeah.,00:07:34
jnxbqey,59,tutor,Now can you convert this one into decimal and percentage. Can you write this fraction in a percentage? And after last?,00:07:36
jnxbqey,60,student,0.12.,00:07:45
jnxbqey,61,tutor,"Okay, that's the decimal. So you can write in one of the blanks, you can write decimal, and in the other blank, you can write it in a percentage form.",00:07:48
jnxbqey,62,student,"Percentage, it would be 12%.",00:07:58
jnxbqey,63,tutor,Yes. So can you write down that two answers here in these two blanks?,00:08:02
jnxbqey,64,student,So 12% and then [UNCLEAR].,00:08:07
jnxbqey,65,student,0.12.,00:08:15
jnxbqey,66,tutor,"0.12 is the decimal, so you can write that answer in any one of the plan, and in the other plan you can write the fraction in a percentage form. [unclear]",00:08:16
jnxbqey,67,background,"Yeah, approach it as a decimal and a percentage.",00:08:30
jnxbqey,68,tutor,"Ah yeah, that's correct. Okay, so it is 12%. That one is correct. Correct. And can you write the decimal?",00:08:34
jnxbqey,69,student,I have 0.12.,00:08:40
jnxbqey,70,tutor,"Okay, I cannot see it. Oh, now it's— I can see now. Okay, so can you read this decimal number again? [unclear]",00:08:42
jnxbqey,71,student,Percentage is 12%.,00:08:51
jnxbqey,72,tutor,Can you read the decimal number once again?,00:08:55
jnxbqey,73,student,0.12.,00:08:57
jnxbqey,74,tutor,"Yes, before you read it as 0.12, that's why I asked you to read it again. Okay, so now you got it correct. Okay, keep up the good work, Gideon. So could you please explain",00:08:59
jnxbqey,75,tutor,Can you explain me the steps which we took to solve this question?,00:09:09
jnxbqey,76,student,"So we had to find out what's half of 400, and then we got our answer.",00:09:13
jnxbqey,77,background,"Yes, so first we will convert the given fraction to a fraction with a denominator of 100. So 400 divided by 4 gives you 100. Whatever we do in the denominator, we will also do it in the numerator. 48 divided by 4, 12. So we got a new fraction with a denominator of 100. It is 12% [unclear] divided by 100 is 0.1. Okay, so we have finished all the questions from this topic. Okay, so can you tell me any one thing that you learned in this slide?",00:09:19
jnxbqey,78,student,"Uh, how to— that we can give our answer in percentage and decimals.",00:09:53
jnxbqey,79,tutor,"Yes, exactly. Very good. Okay, so now let me give you one small question. [unclear]",00:09:59
jnxbqey,80,tutor,Can you convert this into a percentage?,00:10:12
jnxbqey,81,student,0.54.,00:10:20
jnxbqey,82,tutor,0.24.,00:10:24
jnxbqey,83,student,"Here it is, 600. The denominator is 600, okay.",00:10:29
jnxbqey,84,student,"Yeah, 0.024. I mean 24.",00:10:36
