session_id,utterance_id,role,content,timestamp
gmtwuzl,0,student,Hello?,00:00:00
gmtwuzl,1,background,[unclear],00:00:00
gmtwuzl,2,tutor,Hello?,00:00:01
gmtwuzl,3,student,"Hi, Callahan.",00:00:02
gmtwuzl,4,tutor,Hi.,00:00:04
gmtwuzl,5,student,"Hi, how are you?",00:00:05
gmtwuzl,6,tutor,"I'm good, how are you?",00:00:06
gmtwuzl,7,student,"I'm good, thank you. So how has your week been so far?",00:00:08
gmtwuzl,8,tutor,Good. You?,00:00:13
gmtwuzl,9,student,It's been good. [unclear],00:00:15
gmtwuzl,10,tutor,"Yeah, all right. So have you got any plans for this week?",00:00:18
gmtwuzl,11,student,I think I'm going to family member's house.,00:00:25
gmtwuzl,12,tutor,All right. Okay. That's nice. Okay. All right. So shall we start today's lesson? Hello? Shall we start today's lesson?,00:00:28
gmtwuzl,13,student,Yes.,00:00:43
gmtwuzl,14,tutor,"Okay. So remember in the last session we learned about comparing fractions using reasoning, right?",00:00:45
gmtwuzl,15,student,Yes.,00:00:51
gmtwuzl,16,tutor,So you did a wonderful job. Okay? And today we will be learning about finding equivalent fraction. Okay?,00:00:52
gmtwuzl,17,student,Yes.,00:01:00
gmtwuzl,18,tutor,Can you do the learning goal question now? [unclear] Can you do the learning goal question? Can you try the learning goal question?,00:01:03
gmtwuzl,19,tutor,"Hello, Callahan, can you hear me? Hello? Can you hear me? [unclear]",00:01:23
gmtwuzl,20,student,I can't hear you.,00:01:39
gmtwuzl,21,tutor,Hello?,00:01:46
gmtwuzl,22,student,"Hello? Oh, I can hear you now.",00:01:46
gmtwuzl,23,tutor,"Yeah, okay, that's good. Okay.",00:01:48
gmtwuzl,24,student,"Okay, so we have to do—",00:01:52
gmtwuzl,25,tutor,"Very good, excellent work.",00:01:53
gmtwuzl,26,student,"We have to do 6 times 3, which is 18. So 5/6, so 5/6 is equivalent to 5/18. [unclear]",00:01:55
gmtwuzl,27,tutor,"All right. Excellent work, Callahan. All right. So we can directly go to this set of questions. So can you try the first question? Read it carefully and do it.",00:02:23
gmtwuzl,28,student,Yes. Write 2 fractions that describe the amount of each shape or quantity that is shaded or highlighted.,00:02:36
gmtwuzl,29,tutor,Uh-huh.,00:02:46
gmtwuzl,30,student,"So for the first one, we have to see how much it's out of. So it's out of 16.",00:02:46
gmtwuzl,31,tutor,Mm-hmm.,00:02:58
gmtwuzl,32,student,"And it's got one empty, so— [unclear]",00:02:59
gmtwuzl,33,student,So it's 12/16.,00:03:10
gmtwuzl,34,tutor,"12/16. Okay, excellent work. So can you think of the same shaded part in another way?",00:03:15
gmtwuzl,35,student,Yes.,00:03:24
gmtwuzl,36,tutor,"Okay, so— [unclear] Another way of creating the figure, same figure.",00:03:26
gmtwuzl,37,student,"So we can change— [unclear] one second, let me get my whiteboard.",00:03:51
gmtwuzl,38,tutor,Okay. [unclear],00:03:57
gmtwuzl,39,student,"So, into 36. [unclear]",00:04:00
gmtwuzl,40,student,"Give me a second. Oh no, we can change them to 32. [Speaker] Okay, so 16 times 2 is 32, and 12 times 2 is 24. So that's equal to 12/16.",00:04:36
gmtwuzl,41,tutor,"Think of the shape. Now it's been divided into 16 parts. Think of any other ways of dividing it. [Speaker] Quarters. [unclear] Quarters. Quarters, we can divide it to quarters, and we divide 16 by 4. So [UNCLEAR].",00:05:03
gmtwuzl,42,tutor,"Yeah, quarters are correct. Yeah, you can divide them as quarters.",00:05:41
gmtwuzl,43,student,So 3/4 is equivalent to 12/16.,00:05:46
gmtwuzl,44,tutor,Mm-hmm.,00:05:49
gmtwuzl,45,student,Okay.,00:05:58
gmtwuzl,46,tutor,"Yes. Very good. Excellent work. So we can— you know, you can understand, right? So if you take a look at the figure, You can make it like this into quarters, right? Can you see, Callahan?",00:06:00
gmtwuzl,47,student,Yes.,00:06:17
gmtwuzl,48,tutor,"Okay, so here you have to think according to the picture given diagram, okay? Okay, so for B So the numerator will be 2.",00:06:18
gmtwuzl,49,tutor,Okay.,00:06:38
gmtwuzl,50,student,And the denominator will be 12. [unclear] So 2/12 could be changed into 6. [unclear] 12 to get to 6 is divided by 2. So 2 divided by 2 is 1. So 2/12 is equivalent to 1/6.,00:06:43
gmtwuzl,51,tutor,"Mm-hmm. [unclear] Okay. All right. So yeah, 1/6. Okay, good job. Excellent work. So we can see the diagram, right? So if you take 2, 2, it's been— there are 3 groups of 2, 6 groups of 2, and 1 group is circle. Okay, well done there, Callahan. All right, can you think of the next one?",00:07:20
gmtwuzl,52,student,"Um, yes, so see, we have to count— we have to count the intervals, which is 10.",00:07:43
gmtwuzl,53,tutor,Count and see carefully.,00:07:57
gmtwuzl,54,student,Which is 8. [unclear] So Tutor is going to [unclear],00:08:03
gmtwuzl,55,tutor,Okay. Any other way? [Speaker:Callahan]...8 out of 2 is shaded. Any other way of separating this?,00:08:29
gmtwuzl,56,student,I don't think so. [unclear],00:08:49
