session_id,utterance_id,role,content,timestamp
acqefes,0,background,[unclear],00:00:00
acqefes,1,tutor,Hello? Hello?,00:00:00
acqefes,2,background,"Hello, Finnegan, can you hear me?",00:00:05
acqefes,3,tutor,Yes.,00:00:07
acqefes,4,tutor,"Okay. So my voice is clear, right?",00:00:10
acqefes,5,student,Yes.,00:00:15
acqefes,6,tutor,Okay. So how are you?,00:00:17
acqefes,7,student,"Good, thank you.",00:00:20
acqefes,8,tutor,And are you ready for the session?,00:00:23
acqefes,9,student,Yeah.,00:00:26
acqefes,10,tutor,"Okay, let's start. So Finnegan, today you will learn about solving problems in [UNCLEAR]. Involving conversions between metric measures. So do you know how to do conversions between metric measures?",00:00:28
acqefes,11,student,Yes. [unclear],00:00:44
acqefes,12,tutor,Okay. Let's try to do this learning goal question.,00:00:46
acqefes,13,student,So Jack has 2 parcels. One parcel weighs 250 grams. The other parcel weighs 1.2 kilograms. And then it says calculate the weight of the parcels altogether.,00:00:52
acqefes,14,student,"So, [unclear] so I'm going to convert 1.2 kilograms into grams, and there are 1,000 grams in a kilogram, so you get 1,200 grams, which is equal to 1.2 kilograms. So then you add 1,200 and 250, and you get 1,450.",00:01:06
acqefes,15,student,[unclear],00:01:35
acqefes,16,tutor,"Okay, that was wonderful. Yes, that's correct. So amazing work, Finnegan. And you have also explained everything, so that's amazing. Okay, let's move on to some more practice questions.",00:01:35
acqefes,17,background,"So, A, Ben's sunflower measures 72 centimeters in height. Mia's sunflower is 3 times taller as tall. How tall is Mia Sunflower? Give your answer in meters.",00:01:52
acqefes,18,tutor,"So, I'm gonna do 72 times 3. So, 2 times 3 is 6. 7 times 3 is 16. Is 21.",00:02:08
acqefes,19,student,"So we got 216 centimetres, which in metres is equal to 2.16 metres.",00:02:29
acqefes,20,tutor,"OK. OK, let's do B.",00:02:42
acqefes,21,background,100 grams of cheese costs £2.40. How much does half a kilogram of cheese cost? So half a kilogram of cheese is 500 grams.,00:02:46
acqefes,22,tutor,"And if 100 grams is £2.40, you times £2.40 by 5 to get your answer. So 0 times 5, 0. 4 times 5, 20. 5, then you get 12.",00:02:59
acqefes,23,student,So half a kilogram of cheese would be... [unclear] [Speaker:Tutor]...12 pounds. [Speaker:Finnegan] OK.,00:03:27
acqefes,24,background,"So C, a bottle contains 1.5 litres of lemonade.",00:03:47
acqefes,25,tutor,"Jack pours 720 millilitres into a jug. How much lemonade is left in the bottle? So 1.5 is equal to 1,500 litres, and then 720 here. Then you take those two away. [unclear]",00:03:52
acqefes,26,tutor,"Zero here. Oh, you can't do that. See, change that to a zero. [unclear] [unclear]",00:04:23
acqefes,27,background,[unclear],00:04:47
acqefes,28,background,[unclear],00:04:47
acqefes,29,background,[unclear],00:04:47
acqefes,30,background,[unclear],00:04:47
acqefes,31,background,[unclear],00:04:47
acqefes,32,background,[unclear] [unclear],00:04:47
acqefes,33,background,[unclear],00:04:57
acqefes,34,background,[unclear],00:05:04
acqefes,35,background,[unclear],00:05:05
acqefes,36,background,[unclear],00:05:06
acqefes,37,background,[unclear],00:05:07
acqefes,38,background,[unclear] [unclear] [Speaker:Finnegan]... [UNCLEAR] [unclear] [<NAME>Finnegan]... [unclear],00:05:09
acqefes,39,tutor,Okay.,00:05:36
acqefes,40,student,"Yes, ma'am. All the answers are correct, definitely. And you also explained everything, which is amazing. So that was great explanation. Okay, so can you tell me one thing now? That you have written 12.00. Can we write this into some other form? [unclear]",00:05:36
acqefes,41,student,You could just do £12.,00:06:03
acqefes,42,tutor,"Yes, very good. Yeah. So you have solved all the questions very quickly and in the head most of the time. So excellent job by your side. So let's move on to the next slide.",00:06:07
acqefes,43,background,Okay.,00:06:25
acqefes,44,tutor,The total mass of 2 parcels is 3.5 kilograms. Parcel A is 700 grams heavier than Parcel B. How much does each parcel weigh?,00:06:27
acqefes,45,student,"Mm-hmm. Okay, so... [unclear] Yeah, so I'm gonna do 3,500 grams",00:06:39
acqefes,46,student,So it's divided by 2 to start because there are 2 parcels.,00:06:52
acqefes,47,tutor,Mm-hmm.,00:07:00
acqefes,48,student,"So 0 there, so you put 1 in that column.",00:07:06
acqefes,49,tutor,7 2s go into 15 with 1 left over.,00:07:18
acqefes,50,student,Yeah. [unclear],00:07:32
acqefes,51,tutor,And 5 2s go into 10.,00:07:41
acqefes,52,tutor,Mm-hmm.,00:07:45
acqefes,53,student,"And 0, 2 is going to 0. So then you've got 750 grams, but then it says that parcel A is 700 grams heavier than parcel B. So I'm gonna add 700 grams on to 750.",00:07:47
acqefes,54,tutor,Okay. [unclear],00:08:17
acqefes,55,student,"1,450. So, and then I'm gonna take [unclear]",00:08:31
acqefes,56,tutor,"No, then I'm gonna do 1,450, take away 700. [unclear]",00:08:42
acqefes,57,tutor,"Yeah, which is 750.",00:08:55
acqefes,58,tutor,What does that make? I'll just check it out. [unclear],00:09:04
acqefes,59,student,"Oh, 60,000. [unclear]",00:09:09
acqefes,60,tutor,Yes. 5 plus 5 is 10. [unclear],00:09:22
acqefes,61,tutor,Then you've got 12 here when you add the 1. [unclear],00:09:33
acqefes,62,tutor,"Then 1 plus 1, which is 2. [unclear]",00:09:46
acqefes,63,tutor,700 grams heavier.,00:09:50
acqefes,64,tutor,"So if you [unclear] it, if you divide it by 5, divide it by 2, it's 1,000. Because add those 2 together, let's try. 1,450 times 2. [unclear]",00:10:02
acqefes,65,tutor,What is the value of the digits in each of these numbers?,00:10:40
acqefes,66,student,I look at the 6 columns and I see that 6 is equal to 6. [unclear],00:10:48
acqefes,67,tutor,No. [unclear],00:10:56
acqefes,68,student,"That's 2,000. How does that make sense?",00:10:59
acqefes,69,tutor,Do you need any help?,00:11:13
acqefes,70,student,Yeah.,00:11:16
acqefes,71,tutor,"Yeah. Okay. So let me give you a hint. I think you're applying this right now right logic, but here the division is, I think, not correct. Let's do the division again. [unclear]",00:11:17
acqefes,72,tutor,"Yeah, the division is not correct.",00:11:30
