session_id,utterance_id,role,content,timestamp
jserjlq,0,background,[unclear],00:00:00
jserjlq,1,student,It's so loud.,00:00:00
jserjlq,2,tutor,Then turn it down.,00:00:19
jserjlq,3,student,Hello?,00:00:22
jserjlq,4,background,"Ah, Calliope, Calliope!",00:00:24
jserjlq,5,tutor,Hello?,00:00:30
jserjlq,6,student,Hello?,00:00:39
jserjlq,7,tutor,Hello? [Speaker:Thaddeus]... [unclear],00:00:43
jserjlq,8,tutor,Hello? Is anybody up there? Hello? [unclear],00:00:57
jserjlq,9,student,No one did that. I want to kill everyone.,00:01:06
jserjlq,10,tutor,Hello? Anybody there?,00:01:11
jserjlq,11,student,I know it's you. I just don't want to do that. [unclear],00:01:16
jserjlq,12,tutor,Hello?,00:01:21
jserjlq,13,student,Hello?,00:01:26
jserjlq,14,tutor,Nice.,00:01:39
jserjlq,15,student,Hello?,00:01:41
jserjlq,16,tutor,Hello? [unclear],00:01:45
jserjlq,17,student,Hello?,00:01:47
jserjlq,18,tutor,Hello?,00:01:55
jserjlq,19,student,Hello?,00:01:57
jserjlq,20,tutor,Hello?,00:01:59
jserjlq,21,student,Anybody there?,00:01:59
jserjlq,22,tutor,"Hello, Doctor? [unclear]",00:02:02
jserjlq,23,student,"If you listen to me, Gideon, [unclear]",00:02:22
jserjlq,24,student,"Oh, oh, I missed that. Um, and now? [unclear]",00:02:48
jserjlq,25,tutor,Hello!,00:03:23
jserjlq,26,student,Hi there... I play Hay Day. [unclear],00:03:24
jserjlq,27,student,I don't want to be in this.,00:03:35
jserjlq,28,tutor,Okay. [unclear],00:03:52
jserjlq,29,student,Hello?,00:04:05
jserjlq,30,tutor,"So, make— let's try and make one hole.",00:04:26
jserjlq,31,student,This is the first base game. [unclear],00:04:31
jserjlq,32,tutor,Where's the other hole?,00:04:35
jserjlq,33,student,Here? [unclear],00:04:38
jserjlq,34,tutor,Hello?,00:04:48
jserjlq,35,student,Hello? [Speaker:Tutor]... [unclear],00:05:05
jserjlq,36,student,Why do these headphones worky? [unclear],00:05:15
jserjlq,37,tutor,I can't hear you. [unclear],00:05:20
jserjlq,38,student,"Because 9/9 is equal to 1 whole. If it's 1 whole, you do 9/9.",00:05:43
jserjlq,39,tutor,"Wait, why did I do it on that one? I mean, it would be 5. [unclear]",00:05:51
jserjlq,40,tutor,Last but not last but not last. [Speaker:Thaddeus]...last.,00:06:08
jserjlq,41,tutor,Why don't you go feed the pig? [Speaker:Thaddeus]...yes.,00:06:14
jserjlq,42,student,Because this is 4 plus 5.,00:06:31
jserjlq,43,tutor,Plus 5.,00:06:35
jserjlq,44,student,And 5 to get to 9. [unclear],00:06:37
jserjlq,45,tutor,"Max, it's not working. Shall we just type it?",00:06:41
jserjlq,46,tutor,None of us.,00:06:55
jserjlq,47,student,Yeah.,00:06:58
jserjlq,48,background,"Hello? What did you say, Father? [unclear]",00:07:02
jserjlq,49,student,"When comparing fractions, we can use our understanding of how close a fraction is to 1 whole. [unclear]",00:07:09
jserjlq,50,student,Hello.,00:07:37
jserjlq,51,tutor,3. Hello?,00:07:51
jserjlq,52,student,"Um, we needed 4. [unclear] [unclear]",00:07:59
jserjlq,53,student,"Because half of two is like a half of one quarter, which means half of 100. So,",00:08:31
jserjlq,54,tutor,"50% of 140 is 70, because half of 140 is 140. [unclear]",00:08:42
jserjlq,55,student,"3. It was about multiplying and taking off— multiplying, no, adding and taking away fractions of different amounts.",00:08:53
jserjlq,56,tutor,"When calculating a percentage amount, we can use fractions equivalent. So do you want me to work out— do you want me to do the answer?",00:09:11
jserjlq,57,student,"50% is equal— [unclear] 50% is equal to 1.5, so fine. 50% of an amount, we divide by 10.",00:09:25
jserjlq,58,tutor,Because... [unclear] [unclear] [Speaker:Thaddeus]... [unclear] [Speaker:Thaddeus]... [unclear],00:09:42
jserjlq,59,student,We don't always— you don't always have to make the fraction have a common denominator to compare them.,00:10:37
jserjlq,60,student,That the fractions always have to be [UNCLEAR].,00:10:53
jserjlq,61,tutor,Don't always have to be a common denominator.,00:10:58
jserjlq,62,student,"Oh, okay.",00:11:04
jserjlq,63,tutor,That's it.,00:11:04
jserjlq,64,student,"Okay, the blue comparison is equal to 30/100.",00:11:06
jserjlq,65,tutor,"No. [unclear] [Speaker:Thaddeus]...and that is 10, no, 10 of them. [unclear]",00:11:14
jserjlq,66,student,Is 2/3 greater or less than 1/2?,00:11:48
jserjlq,67,student,"I think that it would be less than because if it's 2/3 and 1/2, if it's 2/3 of a cake and you're eating 2, 3 pieces, then it feels like it's less, but if you're eating 1, then 2/3 of it... [unclear]",00:12:18
jserjlq,68,student,Then it feels greater that you've had more.,00:12:38
jserjlq,69,tutor,Yeah. [unclear],00:12:47
jserjlq,70,tutor,You don't need to write this zero here. It's not a high number. It's... no.,00:13:13
jserjlq,71,student,10 hundredths is equal to 1 tenth. [unclear],00:13:39
jserjlq,72,tutor,"I'm making a Gen Z like me, okay? [unclear] [unclear] [Speaker:Tutor]... [unclear] [unclear] [Speaker:Tutor]... [unclear] [unclear]",00:13:57
jserjlq,73,student,"And then we divide 4.2 by 4, and then we divide the 10% of 48 by 10, and then 1% of 48 is 4.1. 8, we just divide by 100.",00:14:48
jserjlq,74,student,"Because, like I did this video today, it's like, if you're thinking that you're eating [unclear] cake and you're eating a piece of cake,",00:15:25
jserjlq,75,student,"It will feel like you've ate less because there's 3 pieces left. And then if there's 2 pieces of cake and you've ate one, it feels like you've ate more. [unclear] [unclear] [unclear] [unclear]",00:15:42
jserjlq,76,student,"Because if you look at it, there's a half there and a half there because you've got two holes and then half of one. [unclear]",00:16:42
jserjlq,77,student,133 and 200. [unclear],00:17:21
jserjlq,78,tutor,"So this is times about 10, both of them. Can we say it's a 10 times a certain number?",00:17:28
jserjlq,79,student,I think...,00:17:50
jserjlq,80,student,Divide that by 10. [unclear],00:17:51
jserjlq,81,tutor,55. [unclear] [unclear],00:18:18
jserjlq,82,student,Why 6200 as the distance?,00:18:23
jserjlq,83,tutor,Yeah. [unclear],00:18:28
jserjlq,84,student,Yeah.,00:18:53
jserjlq,85,tutor,I don't know.,00:18:55
jserjlq,86,student,[unclear],00:18:58
jserjlq,87,tutor,Yeah.,00:19:03
jserjlq,88,student,Let's just say how it is [UNCLEAR]. So because if—,00:19:40
jserjlq,89,student,"Because if the [unclear] here, so it's half right there, it will be less than because 2 wholes, 2 wholes and a half, because it's less than 2/5. [unclear]",00:20:03
jserjlq,90,student,"Yeah, I'm done.",00:20:33
jserjlq,91,tutor,"So, Thaddeus says that Nordic sticks, you can't divide. [unclear]",00:20:40
jserjlq,92,student,Only got 12. [unclear],00:20:50
jserjlq,93,student,Because there's less— there's,00:21:10
jserjlq,94,tutor,There's one tool on each side and—,00:21:23
jserjlq,95,student,[unclear],00:21:31
jserjlq,96,tutor,Yeah. Yeah.,00:21:31
jserjlq,97,student,So how many buttons is it in total of the interface?,00:21:37
