session_id,utterance_id,role,content,timestamp
bzlumrw,0,background,[unclear],00:00:00
bzlumrw,1,tutor,"Hello? Hello? Hello? Hello? Hello. [unclear] Hello, Callum Callum, can you hear me?",00:00:00
bzlumrw,2,student,"Yes, I can.",00:00:31
bzlumrw,3,tutor,"Okay, that's great then. So let me know if you can't hear me, okay?",00:00:34
bzlumrw,4,student,Okay.,00:00:40
bzlumrw,5,tutor,"So, hi, how are you doing today?",00:00:40
bzlumrw,6,student,"Good, you?",00:00:44
bzlumrw,7,tutor,"I'm good, thank you. So how has your day been so far, Callum?",00:00:45
bzlumrw,8,student,"Good, just started off with some maths.",00:00:52
bzlumrw,9,tutor,"Wow, so how was it?",00:00:55
bzlumrw,10,student,Good.,00:00:58
bzlumrw,11,tutor,"Okay, that's nice, Callum. So are you ready for today's lesson?",00:01:00
bzlumrw,12,student,Yep.,00:01:06
bzlumrw,13,tutor,"Okay, so Callum, today we are gonna learn about rounding numbers to the nearest whole number, okay?",00:01:07
bzlumrw,14,tutor,"Okay, Callum Callum. So I hope you know the flow of this lesson. So I'll quickly tell you. So if you get the learning goal question right, I can directly take you to the actual questions, alright? And in case if you feel less confident in the learning goal question, I'll let you try the prior learning slide. And if you get it right, we can start the actual lesson. And in case if you feel confused, I'll just let you know the basics as well. Okay?",00:01:16
bzlumrw,15,student,Okay.,00:01:46
bzlumrw,16,tutor,"Alright, Callum Callum. So now can you try the learning goal question?",00:01:47
bzlumrw,17,student,Okay. Round 5.6 is a nearest whole number. 6? [unclear],00:01:52
bzlumrw,18,tutor,"Exactly, you're right. So how did you get that, Callum Callum?",00:02:02
bzlumrw,19,student,"Because if it's 5.6, 5. If it's 5 or below, you always round down, but if it's like above, you just round up to the whole number.",00:02:05
bzlumrw,20,tutor,"Exactly, all right, that's amazing. So Callum, can you just type it over here so I can just mark it? Very good. So thank you for giving me an amazing explanation as well. So that's a really good working out. So Callum, since you're okay with this question, you can just directly try these. And if you have any doubts, do let me know, okay?",00:02:16
bzlumrw,21,student,Okay. [unclear] Done?,00:02:42
bzlumrw,22,student,Yeah.,00:03:06
bzlumrw,23,tutor,"Awesome. So that's a really nice working out. So, Callum Callum, can you just explain me on how you found this?",00:03:08
bzlumrw,24,student,"So for this, it's like... [unclear] It's above like 5, so then I rounded it up. And then for B, this one is below like 5, so then I just put it to 3.",00:03:18
bzlumrw,25,tutor,"Exactly, very good.",00:03:42
bzlumrw,26,student,"Oh wait, I think I did, um,",00:03:49
bzlumrw,27,tutor,Let me rub this out.,00:03:55
bzlumrw,28,student,Yeah.,00:03:59
bzlumrw,29,tutor,"Okay, why do you think it's 20, Callum?",00:04:06
bzlumrw,30,student,"Because it's 5, and if it's 5 or below, I think you run down.",00:04:11
bzlumrw,31,tutor,"Okay, so that was a really good try, but just a small correction. If it's 4 or less, you round it down. 5 or more, you round it up. Okay?",00:04:20
bzlumrw,32,student,Okay. So it's 20.6.,00:04:32
bzlumrw,33,tutor,You round it up to the nearest whole number.,00:04:38
bzlumrw,34,student,"Oh, whole number. 21.",00:04:42
bzlumrw,35,tutor,"Exactly. That's right. Very good. And how did you get the 0, Callum? [Speaker:Callum Callum]...because it's 4 or below. [Speaker:Tutor] Exactly. So you get to the nearest whole number, which is 0. Awesome work done there. So that was a really good working out, okay, Callum? [unclear] Good explanation, so thank you. Okay, so we are in the last question. So can you give this a try, Callum?",00:04:44
bzlumrw,36,tutor,Tara is measuring the length of her bracelet. She has rounded it to the nearest centimetre. The rounded length is 10 centimetres. What could be— what could the exact length of her bracelet be?,00:05:17
bzlumrw,37,student,"Hmm, it could be like 9 centimetres or 8 centimetres, maybe.",00:05:32
bzlumrw,38,tutor,"Okay, so that's so close to the answer, but you have to say a decimal number.",00:05:44
bzlumrw,39,student,"Oh, a decimal.",00:05:53
bzlumrw,40,tutor,Yes.,00:05:55
bzlumrw,41,student,9.8 or 9.9?,00:05:57
bzlumrw,42,tutor,"Yes, that's right. Very good. So 8 and 9 is correct if they just ask you the whole num— like normal numbers, but when they ask decimal numbers, what you said is right. So you can just type it over here. And that was an excellent focus. Very good.",00:06:00
bzlumrw,43,student,Thank you.,00:06:17
bzlumrw,44,tutor,"Okay, so well done for so nicely working out. And for that, I would like to give you a star, Callum. Okay?",00:06:25
bzlumrw,45,student,"Okay, thank you.",00:06:33
bzlumrw,46,tutor,"You're welcome. Okay, so we're done with this lesson, and you did really great. So before we move to the new lesson, Callum, so can you tell me one important thing that that you learnt in this lesson?",00:06:33
bzlumrw,47,student,"That if it's 5 or above, you always round up, and if it's 4 or less, you round down.",00:06:47
bzlumrw,48,tutor,"Okay, that's amazing. So shall we move to the new lesson?",00:06:55
bzlumrw,49,student,Yeah.,00:07:00
bzlumrw,50,tutor,"Okay. All right, so our new lesson is going to be about understanding fractions that are greater than 1, okay?",00:07:01
bzlumrw,51,tutor,Okay.,00:07:13
bzlumrw,52,background,"Alright, Callum Callum, can you try this learning goal question?",00:07:13
bzlumrw,53,student,Okay. Write 1 3/5 as an improper fraction. 9/5.,00:07:16
bzlumrw,54,background,"Okay, so how did he get 9/5?",00:07:31
bzlumrw,55,student,"Because over here— wait, wait, let me just— 6. Yeah, so first I did the 5 plus the 1, which is 6, and then I did, uh, 6 plus the 3, and which is 9, and then I use the denominator. So it's 9/5 as an improper fraction.",00:07:34
bzlumrw,56,tutor,"Okay, that was a really good try, um, Callum Callum. So can you tell me 1 as a fraction? So this is 1 whole and this is 3/5, right? So how do we write this 1 As a fraction, any ideas?",00:07:53
bzlumrw,57,student,[unclear],00:08:12
bzlumrw,58,tutor,"9/5. Okay, so this is one whole, isn't it? And this is 3/5. So to write one whole, Callum Callum, what we can say is we can just say it as 5 over 5, isn't it?",00:08:15
bzlumrw,59,student,Yeah.,00:08:31
bzlumrw,60,tutor,"5 over 5. 5 is also one whole, right? Are you clear with this?",00:08:33
bzlumrw,61,student,Yeah.,00:08:38
bzlumrw,62,tutor,"Okay, so 5 over 5 is one whole, and then we have another 3 over 5, isn't it?",00:08:39
bzlumrw,63,student,[unclear],00:08:45
bzlumrw,64,tutor,"So when we add these two, what would you get?",00:08:46
bzlumrw,65,student,8/5.,00:08:50
bzlumrw,66,tutor,8/5. So that's what they're asking. Are you clear with this?,00:08:52
bzlumrw,67,student,Yeah.,00:08:57
bzlumrw,68,tutor,"Okay, so no worries, we're gonna learn this today. So can you try this one?",00:08:58
bzlumrw,69,tutor,"Uh, okay, okay. How many cakes are there in total?",00:09:04
bzlumrw,70,student,"6, 12, and 18. Wait, 6, 12— wait, do I write 6 here?",00:09:10
bzlumrw,71,tutor,"Yes. Um, you can count in the multiples, so 6, and here",00:09:21
bzlumrw,72,student,It's after 6. It's 6 plus 6.,00:09:29
bzlumrw,73,tutor,"Plus 6 is 18. Now you just have to write the multiples of 6 according to the picture. So 6, and then after 6, what do we get? The multiples of 6.",00:09:33
bzlumrw,74,student,"Uh, 12.",00:09:47
bzlumrw,75,tutor,"Yes, very good. And then?",00:09:49
bzlumrw,76,student,18.,00:09:51
bzlumrw,77,tutor,"Exactly, that's what you have to write. Count in multiples.",00:09:53
bzlumrw,78,tutor,[unclear] So do I write 24 here?,00:10:02
bzlumrw,79,student,"No, you have to just write the total over here. Okay, so that's right. What you have done is correct. Okay, very good. All right, so before we move to the questions, I'll quickly explain you on how we work this out. All right, Callum? Okay, so can you just fill this, Callum? And can you just read this and start working this?",00:10:05
bzlumrw,80,student,Okay. Knowing our multiples can help us when working fractions greater than 1.,00:10:30
bzlumrw,81,tutor,Okay. So can you write the multiples in this one and these 3 questions?,00:10:36
bzlumrw,82,student,"5, 10, 15, 20.",00:10:43
bzlumrw,83,tutor,"Awesome. That's right....8, 16, 24, and 32. 4, 8, 12, 16, and 20. There.",00:10:51
bzlumrw,84,tutor,"Very good. So now are you clear with this, Callum Callum?",00:11:18
bzlumrw,85,tutor,"Yes. [Speaker] Okay, so we are into the actual lesson now. So can you read this?",00:11:22
bzlumrw,86,student,"Okay. Fractions can be greater than 1 when the numerator is greater or equal to the denominator and is a multiple of the denominator. It makes a whole number. [Speaker] Yes. So when the numerator is greater or equal to the denominator, for example, this is greater than the denominator, right? And is a multiple of the denominator, it makes a whole number. So can you See, here we have 5 one-fifths. So when we add all of these 5 one-fifth pieces together, we get a one whole. Are you clear?",00:11:29
bzlumrw,87,student,Yes.,00:12:04
bzlumrw,88,tutor,"Okay, so now we have 0 over here, and 5 fifths is equal to one whole. And what do you think 10 fifths would be? [unclear]",00:12:05
bzlumrw,89,student,One whole?,00:12:19
bzlumrw,90,tutor,"Okay, 5/5 is 1 whole. And 10/5, how many wholes do you think? So you can just use the multiple thing. So 5 times what would give you 10?",00:12:21
bzlumrw,91,student,2.,00:12:33
bzlumrw,92,tutor,"2. So we have 2 wholes over here. Are you clear? [unclear] Okay, so here we have 5 here and we have 10 in the numerator. So 5 times what would give you 10? Callum Callum?",00:12:35
bzlumrw,93,student,2.,00:12:51
bzlumrw,94,tutor,"2. So 5 times 2 would give you 10, so which means we have 2 wholes over here. All right?",00:12:52
bzlumrw,95,student,Okay.,00:13:00
bzlumrw,96,tutor,"If you feel confused of how many wholes, you can just look at the multiple, see, and it's a multiple of the denominator. Yeah, that's how we work it out. [unclear] Are you clear with this now? Are you feeling still confused?",00:13:01
bzlumrw,97,student,I'm clear.,00:13:20
bzlumrw,98,tutor,"Okay, okay. So can you try the B as well? Okay.",00:13:21
bzlumrw,99,student,"Okay, 6/2 is equal to [unclear] because I know that",00:13:30
bzlumrw,100,tutor,3 over 1.,00:13:44
bzlumrw,101,student,"Okay, so you can just write 3 because 3 over 1 and 3 are the same, right?",00:13:47
bzlumrw,102,tutor,Yeah.,00:13:53
bzlumrw,103,student,"So 6 divided by 2, you get 3.",00:13:54
bzlumrw,104,tutor,Yeah. [unclear],00:13:59
bzlumrw,105,student,And this is 4. And that would be fine.,00:14:05
bzlumrw,106,tutor,"Yes, exactly. Okay, so are you clear with this, Callum Callum?",00:14:09
bzlumrw,107,student,Yeah.,00:14:16
bzlumrw,108,tutor,"All right, so good working out in this slide. So awesome effort. All right, so now this is the Follow Me and Your Turn section. So first, Callum Callum, I'll explain you on how to work this section, and then it's your turn where you can try it, okay?",00:14:18
bzlumrw,109,tutor,"Alright, let's look at this bar model that shows an amount greater than 1. So here you can see there is 1 meter and additionally there are 3 1/5, right?",00:14:37
bzlumrw,110,student,[unclear],00:14:50
