session_id,utterance_id,role,content,timestamp
idcrooq,0,background,[unclear],00:00:00
idcrooq,1,student,Oh my God.,00:00:00
idcrooq,2,student,Hello?,00:00:17
idcrooq,3,tutor,"Hello, can you hear me?",00:00:17
idcrooq,4,student,He's not talking.,00:00:20
idcrooq,5,tutor,"Hello, do you hear me?",00:00:21
idcrooq,6,background,Hello?,00:00:24
idcrooq,7,tutor,Hello?,00:00:25
idcrooq,8,student,Oh my God.,00:00:25
idcrooq,9,tutor,"Hello, do you hear me?",00:00:27
idcrooq,10,student,Hello? [unclear],00:00:30
idcrooq,11,tutor,Hello?,00:00:33
idcrooq,12,student,"Oh, you can hear me. Yeah, I can't hear you, so—",00:00:35
idcrooq,13,student,I'm going to refresh my page real quick. [unclear],00:00:38
idcrooq,14,tutor,Hello?,00:01:39
idcrooq,15,background,"Yeah, hello. Do you hear me now?",00:01:40
idcrooq,16,student,"Yeah, I can hear you now. I can hear you. Where is my laptop?",00:01:41
idcrooq,17,background,"Okay, perfect. Yeah. Yeah, how are you doing today, Tamsin?",00:01:48
idcrooq,18,student,"Um, okay. Well, I only literally just got into school. I haven't really had a good morning because I had a— I'm having a total headache and my brother drew all over our bunk beds, so now my mom's angry at him, so—",00:01:55
idcrooq,19,tutor,"You're having a headache, okay. [unclear]",00:02:09
idcrooq,20,student,But I'm going on holiday.,00:02:11
idcrooq,21,tutor,Oh really? When are you going on holiday? From today?,00:02:14
idcrooq,22,student,"No, I'm going on holiday in 6 weeks. I'm going to Spain on my first— [Speaker:Tamsin]...flight. I'm scared. [Speaker:Tutor] That's really nice. So you must be nervous, are you?",00:02:18
idcrooq,23,student,Yeah. I've got a question. Have you ever been on a plane?,00:02:29
idcrooq,24,background,"Yes, I've been on a plane.",00:02:33
idcrooq,25,student,Is it scary?,00:02:36
idcrooq,26,background,"Not really. I was [unclear] excited, to be honest. I was on a holiday as well. I was more excited for the holidays than thinking about the plane, and it was my first time on a plane as well, so it was kind of interesting.",00:02:39
idcrooq,27,student,"Yeah, my first time. It's gonna be my first time even going to the airport. I've never been.",00:02:55
idcrooq,28,tutor,"Same with my case as well. That was my first time to the airport as well because I've never been on a plane. I didn't want to go to the airport as well. It's gonna be awesome, like, you know, you're gonna feel good. So yeah.",00:03:02
idcrooq,29,student,Where did you go? Where did you travel to?,00:03:17
idcrooq,30,tutor,"I'm not sure if I'm allowed to say that because— [unclear] Yeah, I could tell, but I'm not quite sure if I'm allowed because it's being recorded and all of that. But yeah, I went on a trip, like on holiday for sure.",00:03:20
idcrooq,31,student,Was it warm?,00:03:37
idcrooq,32,tutor,"It was, yeah, it was warm. It's not where there's It was warm and also I went on, you know, to see snow and all of that as well.",00:03:39
idcrooq,33,student,"Oh, did you go skiing and something like that?",00:03:49
idcrooq,34,tutor,"Yes, yes, I did go skiing and all of that. I just tried skiing and all of that for the first time.",00:03:52
idcrooq,35,student,Did you go to Canada?,00:03:59
idcrooq,36,tutor,"No, I did not go to Canada, but...",00:04:02
idcrooq,37,student,"Oh. [Speaker:Tutor]...it was somewhere else. But I'm not quite sure. Yeah, if you know what I mean. Yeah.",00:04:04
idcrooq,38,student,Yeah.,00:04:13
idcrooq,39,tutor,"Right, right. Okay. But yeah, you're gonna, you're gonna, uh, you know, feel good, really, like going through the airport, flight, like your first time on the airplane. Like, it's, it's a different feeling. It's gonna last long, right? Yeah.",00:04:14
idcrooq,40,student,Yeah. So I'm going for a week.,00:04:29
idcrooq,41,tutor,"So you're gonna go after this term ends, is it? On the holiday? Or is it— is it— [unclear]",00:04:32
idcrooq,42,student,"It's sometime in one of the holidays. I'm not sure which one it is because it meant to be a surprise, but since it's my first flight, my mom told me because she didn't want me to be nervous.",00:04:43
idcrooq,43,tutor,"Oh, okay, nice, nice.",00:04:55
idcrooq,44,student,"She said she wanted me to process. She said she didn't want me to panic when she told me. So she said she told me earlier so I could process it, apparently. But yeah.",00:04:58
idcrooq,45,tutor,"That's actually good. Yeah, that's true as well. [unclear]",00:05:10
idcrooq,46,student,"But the thing that's crazy is that the day before, I saw angel numbers and I made a wish to go on holiday. And then the next day, my mom surprised me with the news.",00:05:14
idcrooq,47,tutor,"Oh, there we go. All right, that's even better. There we go. So you said you're going to Spain, right?",00:05:26
idcrooq,48,student,Yeah.,00:05:35
idcrooq,49,tutor,"Right, it's going to be awesome then. Yeah. Yep. So don't forget to enjoy your holidays. Let's see, you give me an update as well in the upcoming weeks if you're— I mean, you're going to be attending classes here, so give me an update what happens with your holidays, right?",00:05:36
idcrooq,50,student,Yeah.,00:05:54
idcrooq,51,tutor,"Right, right. Okay. Yeah. So let's— now get back to this lesson where we start with a new lesson here, right? So we did complete a couple of lessons last week. We were able to successfully go through a lot of questions and then work it out with different lessons. So this is basically multiplying and dividing by 10, which is actually very common, right?",00:05:55
idcrooq,52,tutor,"Dividing by 10 and multiplying by 10 is something very easy, and it's common as well. So just to start with, let's work on these questions one by one. You can start with the first one.",00:06:18
idcrooq,53,student,"Okay, so here, this question would— how I would [unclear] would be bus stop method.",00:06:40
idcrooq,54,tutor,"Bus stop method. Okay, yes, that's true. [unclear] So, but there's a catch though, even when you use bus stop method for the first one. And that is, even on a bus stop method, you will have to think about what is 90 divided by 10. So basically you must— mm-hmm, yeah. [unclear]",00:06:50
idcrooq,55,background,[unclear] [Speaker:Tutor:...` `Tamsin:...` `Background:...`] [unclear],00:07:15
idcrooq,56,tutor,"9. Okay, and then 70. So now can you tell me, how did you manage to get 9 for this one on here?",00:07:54
idcrooq,57,student,[unclear],00:08:02
idcrooq,58,student,"So you can't— how many times, like, how many times can you count into 9 in your 10 times table, which you can't do, so then you put a 0 and put remain for 9, and then you just count how many times you can [unclear] until you get to 90.",00:08:09
idcrooq,59,tutor,"That is correct. So we end up getting the same question, right? How many times in 90? So that you can just do it here itself. It does come as the same question anyway there. So yeah, well done.",00:08:33
idcrooq,60,student,"I don't get, I started on this one, but I don't get this one because how would it go from 50, oh, never mind.",00:08:48
idcrooq,61,tutor,"Yeah, that's the catch. Like you have to figure out what's going on. There we go.",00:08:57
idcrooq,62,tutor,"It's just decreasing, that's the point. Would it become a 5?",00:09:02
idcrooq,63,student,[unclear],00:09:14
idcrooq,64,tutor,"It will become a 0, yes, there we go. Because every time it's decreasing by 10, it's going 10 by 10 by 10. So there's— it's not going to be 5, it's going to be a 0.",00:09:18
idcrooq,65,tutor,"Right, perfect. Well done, you did well on those questions. So I'm gonna take you to the slide where we do questions rather than learning because I do see that you're pretty confident with what you did there. So I'm assuming that you will be able to do these questions as well. Do you know what's an array? [unclear]",00:09:28
idcrooq,66,tutor,"Okay, perfect. It's okay. So array is not, you know, something very big like it. It's just this, right? An array means— uh-huh, yeah, 60. So array means something like this, like a table, rows and columns. Yeah, there's 10 rows here and 6 columns. That's going to give you 60. [unclear]",00:09:53
idcrooq,67,tutor,60 divided by 10 is equal to—,00:10:18
idcrooq,68,tutor,"6. There we go. Perfect. So you know that the multiplication and division works one opposite to each other. [unclear] Okay, there we go.",00:10:22
idcrooq,69,student,So now I'm on,00:10:42
idcrooq,70,student,"E. So Ben packs 40 sweets into bags of 10. How many bags does he need? Well, if he's putting— I'm guessing that means he's putting 10 in each bag and he's got 40, so you need 4 bags.",00:10:49
idcrooq,71,tutor,"Absolutely, there we go. Very good. That's put in well. There we go. Well done. Okay, you've done everything without taking a lot of time and then you've done it correctly as well. But what about this? 10 times 10, is it? Should we look into that again? [unclear]",00:11:04
idcrooq,72,student,"I don't know because it says that the answer is 20, so I was thinking 10 times 10 is 20. Or we could do...",00:11:22
idcrooq,73,tutor,"But what is 10 times 10? Let's just think about it, okay? I'll give you an example. Here, 10 times 6 is...",00:11:33
idcrooq,74,student,"Oh wait, I've got it completely wrong. I just thought of it in my [UNCLEAR]. [Speaker:Tutor] And what you can do is you can look into the array. That's why the array is given to you to see what it should be. 10 times 1, there we go. 10 times 2, and the array says that, right? So see, the array has 10 columns. 1, 2, 3, 4, 5, 6, 7, 8, 9, 10. But it only has 2 rows. So 10 columns times 2 rows, 10 times 2, you will have [UNCLEAR]. [Speaker:Tamsin] I mean 20.",00:11:43
idcrooq,75,tutor,"Yes. And if you count the number of circles in here, that will be exactly 20. So that's why it's 10 times 2. So is it?",00:12:17
idcrooq,76,student,Yeah.,00:12:28
idcrooq,77,tutor,"That's it. That's it for this. You did complete that pretty quickly. So yeah, there we go.",00:12:28
idcrooq,78,student,Is that all the lesson is?,00:12:34
idcrooq,79,tutor,"We do have one more slide. So if you complete this, we'll be completing the lesson and then we'll be able to move on to [unclear] one.",00:12:37
idcrooq,80,student,Okay. So we've got [UNCLEAR]. Taya buys 3 cinema tickets costing 10 each. How many does she spend? Write the calculation in the,00:12:46
idcrooq,81,student,"Well, if I'm being completely honest, it is just common sense. It's really not that hard. So it's 3. It will be 10 times 3 times 3.",00:13:04
idcrooq,82,tutor,"Exactly. [unclear] What you said was right. I mean, this is just something like what we do in real life, right? So it's basically what you would normally do, just times whatever you would buy with, like whatever one costs. With how many ever you buy. And that is [UNCLEAR]. [Speaker:Tamsin] Yeah, it's a set cost. So if I was going to explain this to someone, I would read out the question and go, ""Sarah buys 3 cinema tickets and each one costs £10. If she buys 3, what is 10 times 3?"" And then they would answer. That's how I would explain it to another people.",00:13:17
idcrooq,83,tutor,"Absolutely. Well done. That's a good explanation. And yeah, What you said was perfectly correct. So I think we are done.",00:13:53
idcrooq,84,student,"Well, that's probably how I would explain it to my brother. If it was my brother, I would probably— [unclear]",00:14:03
idcrooq,85,tutor,"Oh, okay. That's good. So you're—",00:14:10
idcrooq,86,student,"Yeah, because my brother finds it— I'm the same sometimes, but these questions are not as hard as my normal ones. My brother struggles. In the same way he does, so I get him a bit more because we both struggle in the same way, but he has harder questions. So for my brother, I tell him—",00:14:12
idcrooq,87,tutor,OK.,00:14:34
idcrooq,88,student,"—because I can do the calculation, I just don't know how to set it out to work it out. Same with my brother, so I would tell my brother, what is 3 times 10? But if it was someone else, I would say that she buys 3, so if you're going to buy 3, And if each cinema ticket is 10 and she buys 3, so what would the calculation be? And then they would probably answer.",00:14:34
idcrooq,89,tutor,"Okay, perfect. That was explained very well. And it's good you do that to someone you know who you're going to teach to, right? Depending on the situation, you analyse what you have to tell, what you don't have to tell, but where you have to— [unclear] [unclear]",00:15:02
idcrooq,90,tutor,Okay.,00:15:20
idcrooq,91,student,Yeah.,00:15:22
idcrooq,92,tutor,"Okay, I'm gonna take you to the next lesson since we are done with this. I'm gonna— not gonna waste a lot of time here. So, just a minute. Oh, there we go. Now we divided and multiplied by 10 on the previous lesson. So using 2 times, 5 times, and 10 times table, that's a couple of things to multiply with. So let's see how the lessons are going to be. So let's see if you're going to learn this or we're going to go to questions straight away. So you can give a try on the first question, see how it goes, see if you can get to the answer by understanding the question. Right? [unclear]",00:15:23
idcrooq,93,student,Yeah.,00:16:05
idcrooq,94,tutor,"Okay, I guess we can start.",00:16:07
idcrooq,95,background,"So, Anyway, so there are 5 chocolates in a box. I have 4 boxes. [unclear] How many chocolates do I have altogether? So this would basically be, there's 5 in each chocolate box. There's 4 boxes, so it'll be 5 times 4. So 5 times 4 [Speaker:Tamsin]...20. So they were all together in all of the boxes. If they was all put in one box, you could say it would be 20 chocolates. [Speaker:Tutor] Absolutely. Just 5 chocolates in one box, and I have 4 boxes. So it's more like the previous question that we did on the last lesson, right?",00:16:11
idcrooq,96,student,Yeah.,00:16:59
idcrooq,97,tutor,So it's just normally [unclear] 20. There we go. Now give it out a try for this one. They've asked you to tick the correct one out of the 3 options. You can read the question as well. What does it say? [unclear],00:17:00
idcrooq,98,student,"Okay, so it says tick the statement that is true about the multiples of 2 and 5. All multiples of 2 are also multiples of 5, which that would not be true because you couldn't count in your 5s, you couldn't count because the first number, if it's the same multiples, then in 2 you could say 2, but in... [unclear]",00:17:12
idcrooq,99,tutor,You could check if they...,00:17:43
idcrooq,100,student,"Yeah, I don't really know how to explain, but this is my best explanation. If you're using your 2 times tables, 2, you can't, in your 2 times tables, if you count the sums, you can't in the [unclear] or in the times tables, then there's no 5 in it. And so is 5. In 5, there's no 2 in the 5 times tables, and in 2, there's no 5 in the 2 times tables.",00:17:46
idcrooq,101,tutor,"Yeah, there are. So like you said, that is true. There are some occasions where you have it on the table, like for an example, 10. So number 10 comes. So if you look here, Tamsin, the number 10.",00:18:10
idcrooq,102,student,"Yeah. The number 10 comes on the 2s times table and it comes on the 5s times table as well, the number 10, right? Because 10 times— 5 times 2 is on the 2s times table and on the 5s times table as well. But the question here says all multiples, so not all multiples are going to come on the times table.",00:18:25
idcrooq,103,student,[unclear],00:18:47
idcrooq,104,tutor,"So the cross here means it's correct. If you don't have the word 'all' here, then this is going to be correct because there are some numbers which come common for both. But since it says 'all the numbers,' 'all the multiples,' so that's why it's wrong. Okay, and the second one is correct. The multiples of 2 are all even. There we go, that is true. And how about the last one?",00:18:48
idcrooq,105,student,[unclear],00:19:13
idcrooq,106,tutor,"The multiples of 5 all end in a 0. Is that true? Do you want to think about a couple of numbers, a multiple of 5, like starting from 1 to 5, maybe? 5 times 1.",00:19:14
idcrooq,107,student,Yeah.,00:19:27
idcrooq,108,tutor,"5 times 1, does it end in a 0? 5 times 3, think about it. What is 5 times 3? What is 5 times 3?",00:19:27
idcrooq,109,student,"Well, well, not— well, no, that couldn't be right.",00:19:38
idcrooq,110,student,"Sorry, I forgot about 15 and 25 and [UNCLEAR]. [Speaker:Tutor] And 35 and 45, yeah. The thing is, when you multiply 5 by an odd number, you're going to get something ending with a 5. But when you multiply by an even number, you're going to get something that ends with a 0. So yeah, there we go. Well done.",00:19:44
idcrooq,111,tutor,"So I think you're gonna be good enough to start questions here as well. So I'm gonna straight away move on to the question slide so that you work on these questions, okay. Now this question, the first one, is kind of tricky. You have to read and understand what the question says. And you have to consider whatever the question has given to you. That's the catch in here.",00:20:10
idcrooq,112,tutor,Right.,00:20:36
idcrooq,113,student,"OK, so the program shows how many socks each children has. Stand for 2 socks, so each child has a pair— well, each child has a pair of socks, you could say. So then what is the question? How many socks does Edith have? Stand for 2 socks. So we would have to count in our [UNCLEAR]. 2 times 10. So now we've got Tamsin. Now this is what I would do, bundle them up. [unclear] Which we can see it's 3 pairs now. So 3 times 2 is 6. So—",00:20:37
idcrooq,114,tutor,"So the first question is what you're doing, right? How many [unclear] does Tamsin have? Okay, Tamsin or Tamsin. So why is it a 6 again? Do you want to give me an explanation there? [unclear]",00:21:21
idcrooq,115,tutor,So looking at the picture there.,00:21:38
idcrooq,116,student,Yeah. So we can see that— what is her name? Because how do you actually say it?,00:21:41
idcrooq,117,background,I think it's [UNCLEAR]. [Speaker:Tamsin] It's [UNCLEAR]. We'll just call it Izzy. So Izzy has,00:21:49
idcrooq,118,student,"So it says stands for 2 socks. So if you was going to count them like 1, 2, 3, it wouldn't work. Otherwise it would say stand for 1 sock.",00:21:59
idcrooq,119,tutor,"Okay. So you have to count 2 by 2, right? That's the catch there.",00:22:10
idcrooq,120,student,"Yeah. So it's 2 times tables. So we can see that she's got 1, 2, so they count that as 1. So that's 1. And then 1, 2, which would count that as 2. And then 1, 2, which would count that as 3. Other people, they might want to— they might get confused. They might want to like pair up the socks, which I did do at the start just to see.",00:22:14
idcrooq,121,tutor,"Oh, OK. Yeah, I get your point there. So you wouldn't actually pair up, but you would count in 2s. But if you try to count in 2s, right, look here. For the first pair, now this says one sock stands— one of these pictures stands for 2 socks. So that means you have a 2 in here, another 2 in here, another 2 in here, another 2 in here, another 2 in here, another 2 in here. So it's—",00:22:42
idcrooq,122,student,So it would be— [unclear],00:23:10
idcrooq,123,student,So 6 something. [unclear],00:23:15
idcrooq,124,tutor,"Exactly, that's what you would do. 6 pictures, like 6 pics over there, so that will be 6 times 2.",00:23:18
idcrooq,125,student,"Yeah, 6 times 2 is 12, I think.",00:23:28
idcrooq,126,tutor,"12 would be the correct answer, well done. You got it, I guess. Now what you have to do there, and then you understood what this means. Stands for 2 means one of the pictures there means that there's 2 socks. So that's 12. Well done, that is correct. Okay, now you can answer the other ones one by one now.",00:23:33
idcrooq,127,student,"Okay, so then we have how many more socks does Tom have than Sandra? So now you've just told me, that does actually help a lot. So Tom has 1, 2, 3, 4, 5. So 5 times 2 is 10. So Tom has— oh, [unclear] Tom has 4 together, he has 10.",00:23:54
idcrooq,128,tutor,"Okay, you can write it down there.",00:24:28
idcrooq,129,student,"Yeah, he has 10. And Sandra",00:24:31
idcrooq,130,student,Only has 6.,00:24:35
idcrooq,131,tutor,Right.,00:24:42
idcrooq,132,student,"So we've got to find that. But the question is, how many more does Tom have? So now I'm guessing, do you have to count the socks for how many more socks we have, or is it on the numbers?",00:24:43
idcrooq,133,tutor,"You can do that, or else, so since you now know how many socks Tom has, you'd say 10, and then how many socks Sandra has, it's 6, you said to me. You can just see how many more Tom has more than Sandra, right?",00:25:00
idcrooq,134,student,Okay. [unclear] So she has,00:25:20
idcrooq,135,student,"2 socks more, which means 4 more than her.",00:25:26
idcrooq,136,tutor,"Right, 2 picks more, which means it's actually not 2, it's going to be 4 more. That is correct, well done. That's how you would do it. You can save a lot of time there. There we go. Okay, there we go again. Good. So now the question 2 and 3 are not related to question 1. Those ones are separate ones. But yeah, you have those questions which you'll have to work out now, and you have space here as well. If you think you need to write down something, you can write it down and work it out as well.",00:25:33
idcrooq,137,student,Okay.,00:26:06
idcrooq,138,tutor,Yeah.,00:26:08
idcrooq,139,student,"Now we have, there is a, there are 5 balloons in a bag. I need 20 balloons for my party. How many bags should I buy? So there's 5 bags and so it would be [UNCLEAR]. I'm guessing it will be 5 times 20. [Speaker:Tutor] Yes, yes. So why did you get 5 times 20 there?",00:26:09
idcrooq,140,student,I'm not sure yet. Just give me one minute. [unclear],00:26:49
idcrooq,141,tutor,"Okay. So I'm going to take back whatever I said, right? So I think I said a yes for 5 times 20. So think about that again, okay? Exactly what you might want to do. And here, yeah, just think about it. I'll tell you afterwards. You can give a try. So you can try to put this as a picture as well. There are, there are 5 [UNCLEAR]. [Speaker:Tamsin] Yeah.",00:26:55
idcrooq,142,student,Hello?,00:27:37
idcrooq,143,tutor,"Hello, yeah, are you there?",00:27:38
idcrooq,144,student,"Yeah, there was a connection problem, I think.",00:27:40
idcrooq,145,tutor,"Oh, okay.",00:27:43
idcrooq,146,student,"I don't know, it just said, it just said trying to connect and then it like refreshed.",00:27:44
idcrooq,147,tutor,"No worries, you're there here now, so yeah. So now I was telling that, I think I said a yes.",00:27:52
