session_id,utterance_id,role,content,timestamp
ijmwqrx,0,tutor,Can you hear me?,00:00:00
ijmwqrx,1,student,Yeah.,00:00:01
ijmwqrx,2,tutor,"Okay, how are you doing, Thaddeus?",00:00:03
ijmwqrx,3,student,Alright.,00:00:05
ijmwqrx,4,tutor,Mm-hmm. How has the day been so far?,00:00:07
ijmwqrx,5,student,Very good.,00:00:10
ijmwqrx,6,tutor,"Alright, nice to hear that, Thaddeus. So today we are going to start this new lesson, partitioning in different ways with decimals. Have you done this at your school before?",00:00:13
ijmwqrx,7,student,[unclear],00:00:23
ijmwqrx,8,tutor,"No, not really.",00:00:25
ijmwqrx,9,tutor,"Okay, let's learn this together. And you want to try this question by yourself?",00:00:27
ijmwqrx,10,tutor,I'll try.,00:00:34
ijmwqrx,11,tutor,"Okay, would you like to explain your working to me? [unclear]",00:00:46
ijmwqrx,12,tutor,You have to partition the 2.4 and the 5. So you just take the 2.4 here and take the 0.05 here. [unclear],00:00:51
ijmwqrx,13,tutor,"Okay, nicely explained. That was a wonderful working out over there. So let's get more practices. As you already know the concept, we can skip that and we can do practice. And would you like to read this for me?",00:01:04
ijmwqrx,14,tutor,Complete the pothole model to show the number below.,00:01:20
ijmwqrx,15,tutor,"First of all, what is the number shown here?",00:01:31
ijmwqrx,16,tutor,[unclear],00:01:33
ijmwqrx,17,tutor,1 point.,00:01:41
ijmwqrx,18,tutor,1.36.,00:01:44
ijmwqrx,19,student,"1.36, great. And where do we put 1.36, the total, in the [unclear] model?",00:01:44
ijmwqrx,20,tutor,Um...,00:01:51
ijmwqrx,21,student,"Yes, there you go. Okay, and what's next?",00:01:54
ijmwqrx,22,tutor,"Great. Wonderfully done. Great working out over there, Thaddeus. And let's try the second one, okay? [unclear]",00:02:11
ijmwqrx,23,tutor,Right. [unclear],00:02:39
ijmwqrx,24,tutor,"Okay, would you like to explain your working here?",00:02:54
ijmwqrx,25,tutor,"The 0.25 turns into this. It takes 2 off the 5, so this becomes a 0.03.",00:03:00
ijmwqrx,26,background,"Great. That was a great working out. I like the way how you explained your working, and you're getting a very big star for your great working out, Thaddeus. Keep up the good work. So what do you think about partitioning?",00:03:11
ijmwqrx,27,tutor,It's kind of easy.,00:03:26
ijmwqrx,28,tutor,"Kind of easy. And what does it mean by partitioning actually, Thaddeus?",00:03:29
ijmwqrx,29,student,Taking the numbers apart.,00:03:35
ijmwqrx,30,tutor,Exactly. You can say splitting the [unclear] numbers and taking the numbers apart. Great. So let's try our go further question. Can you read this for me?,00:03:39
ijmwqrx,31,tutor,Zeta says there is only one way to partition 0.62.,00:03:49
ijmwqrx,32,tutor,Prove [unclear] is incorrect by finding 3 different ways of partitioning 0.62.,00:03:56
ijmwqrx,33,tutor,"Okay, that's interesting.",00:04:05
ijmwqrx,34,tutor,"Okay, so what's the question asking, Thaddeus?",00:04:26
ijmwqrx,35,student,"Yeah, we have to prove [unclear] wrong by finding 3 different ways of how to partition.",00:04:30
ijmwqrx,36,tutor,"Okay, what is the— what do you think about Siddharth's method of partitioning in your first answer? It's like a normal partition. [unclear]",00:04:38
ijmwqrx,37,tutor,"Okay, and doesn't this look the same?",00:04:51
ijmwqrx,38,tutor,Yeah.,00:04:56
ijmwqrx,39,tutor,"Okay, we need to find 3 different ways, Thaddeus. So we can't use the same way, the general way, as she does, right? You have split 0.62 in 3 different ways. Make sense?",00:04:57
ijmwqrx,40,tutor,Yeah.,00:05:16
ijmwqrx,41,student,Okay. [unclear] There you go. Great. Excellent working out. [unclear],00:05:18
ijmwqrx,42,tutor,Great. [unclear],00:05:39
ijmwqrx,43,tutor,"Great. Excellent working out over there. Good job in finding 3 more ways to partition. And also we can think of splitting this number into 3 parts. Half like this, maybe? Okay. [unclear] All right, so awesome effort in these answers, and I like the way how you figured things on your own and found 3 different ways. They have many, many ways to split this apart, so great working out over there. So do you have any questions here?",00:06:25
ijmwqrx,44,tutor,No.,00:06:58
ijmwqrx,45,tutor,"Okay, so what do you think is wrong with Siddharth's thinking?",00:07:01
ijmwqrx,46,tutor,[unclear],00:07:05
ijmwqrx,47,tutor,I'm not sure.,00:07:08
ijmwqrx,48,tutor,"He thinks that we can partition a number only according to its place value as tens and hundreds, right?",00:07:11
ijmwqrx,49,tutor,Yeah.,00:07:20
ijmwqrx,50,tutor,"And you have proved it wrong. Great. And what are the things you remember from this lesson, Thaddeus?...value, values, and partitioning. And also, when partitioning decimal number, what are the common mistakes people make, Thaddeus?",00:07:21
ijmwqrx,51,student,Maybe they get this wrong.,00:07:47
ijmwqrx,52,tutor,"Mm-hmm. But this was a correct one, right?",00:07:51
ijmwqrx,53,tutor,I'm asking about you. You rarely made mistake. You didn't make any mistakes. But what are the common mistakes that can happen when partitioning decimals?,00:07:54
ijmwqrx,54,student,They might get the number wrong.,00:08:09
ijmwqrx,55,background,"They might get the number wrong, and especially maybe place values. Instead of 0.3, Sometimes I might put 0.02 instead of 0.03. I might put 0.3, right?",00:08:13
ijmwqrx,56,tutor,Yeah.,00:08:27
ijmwqrx,57,background,It's wrong answer. So sometimes we need to be very careful with the answers. So awesome effort in answering these questions. Do you have any questions regarding this lesson?,00:08:28
ijmwqrx,58,tutor,"Uh, no.",00:08:39
ijmwqrx,59,background,No. All right. So we have finished this lesson. We are going to start a new lesson. Okay?,00:08:41
ijmwqrx,60,student,Okay.,00:08:47
ijmwqrx,61,tutor,Here we go. Estimating the position of tens and hundreds on a number line. Have you done estimations of tens and hundreds at your school before?,00:08:50
ijmwqrx,62,student,[unclear] No.,00:09:00
ijmwqrx,63,tutor,"Okay. What do you understand from the word estimation, Thaddeus?",00:09:03
ijmwqrx,64,student,Not much. Do you have any ideas? [unclear],00:09:10
ijmwqrx,65,tutor,"Maybe— no, no ideas.",00:09:18
ijmwqrx,66,tutor,"Okay, so estimating means finding a position which is not accurate, not exactly the position. You are just going to assume this is there between these two lines. This is going to— this is going to be there. Okay.",00:09:23
ijmwqrx,67,tutor,Okay. All right. Would you like to try the learning goal questions?,00:09:40
ijmwqrx,68,tutor,Yeah.,00:09:47
ijmwqrx,69,tutor,"Okay, 1.6. How did you get 1.6?",00:10:00
ijmwqrx,70,tutor,"I counted back from 2, like 1.9, 1.8, 1.7, 1.6.",00:10:05
ijmwqrx,71,tutor,"Great. Excellent working out over there. And would you like to try this one, [UNCLEAR]? [unclear]",00:10:15
ijmwqrx,72,tutor,Okay. Why did you choose that sum?,00:10:41
ijmwqrx,73,student,"Because 5,000 is half of 10,000.",00:10:50
ijmwqrx,74,background,"Great. Wonderfully done, Thaddeus. Great working out over there. So let's get some more practice here. And would you like to read this for me?",00:10:56
ijmwqrx,75,tutor,What number is the arrow pointing at? What do you think?,00:11:08
ijmwqrx,76,tutor,[UNCLEAR],00:11:08
ijmwqrx,77,tutor,"Great. Okay, that was a very quick answer. How did you figure it out?",00:11:17
ijmwqrx,78,tutor,"I counted. I looked at the 8 and the 9, and I realized they were going up in 2.",00:11:23
ijmwqrx,79,tutor,Mm-hmm. OK. Nicely explained. And the second one. [unclear],00:11:32
ijmwqrx,80,tutor,"8.6. Would you like to explain your working? [unclear] This is 8.1, 8.2, 8.3, 8.4, 8.5, and 8.6.",00:11:54
ijmwqrx,81,tutor,Okay. So is the arrow exactly at the 6th line?,00:12:09
ijmwqrx,82,student,Yeah.,00:12:16
ijmwqrx,83,tutor,Are you sure? Is it exactly pointing at the 6th line?,00:12:20
ijmwqrx,84,tutor,Thaddeus? Or is it in between the 6 and the 7? Just past a little bit after the 6? [unclear],00:12:25
ijmwqrx,85,tutor,"Oh, okay. And why is it 7 now?",00:12:37
ijmwqrx,86,tutor,"Because— oh, wait. No. [unclear] I'm getting very confused.",00:12:48
ijmwqrx,87,tutor,Okay. What's confusing you here?,00:12:56
ijmwqrx,88,tutor,I thought this was 8.1.,00:13:03
ijmwqrx,89,tutor,"Oh, okay. It is 8, and this is 9, as you said. If this is the line you're pointing at, it's 8.5. And if the arrow is in this line, Thaddeus, as you said before, it is 8.6. And if it's here, we can say it's 8.7. But you can see this arrow is a little bit further than— okay, why did you change your answer?",00:13:07
ijmwqrx,90,student,Because the arrow is pointing here.,00:13:38
ijmwqrx,91,tutor,Instead of here?,00:13:42
ijmwqrx,92,student,Exactly. So it's 8.61. And what went wrong earlier?,00:13:45
ijmwqrx,93,tutor,Uh...,00:13:54
ijmwqrx,94,student,You thought it's at the exact point?,00:13:57
ijmwqrx,95,tutor,[unclear],00:14:00
ijmwqrx,96,student,"Okay, all right. So is it clear, Thaddeus? How did you get...",00:14:02
ijmwqrx,97,tutor,Yeah.,00:14:07
ijmwqrx,98,tutor,"Yes, great. So let's try question C now.",00:14:08
ijmwqrx,99,student,"Okay. [unclear] Okay. That was an awesome effort. Would you like to explain your working, Thaddeus? [unclear]",00:14:13
ijmwqrx,100,tutor,"Okay, that was an awesome effort. Would you like to explain your working, Thaddeus?",00:15:23
ijmwqrx,101,tutor,"0.6 falls here because the zero is here and it has to be between 1— I mean, 0.1 and 0. [unclear] Okay, so which do you think is bigger?",00:15:29
ijmwqrx,102,tutor,"This. Okay, yeah. About between these two, 0.16 and 0.6, which do you think is bigger?",00:15:51
ijmwqrx,103,tutor,This one?,00:16:04
ijmwqrx,104,tutor,This one? [unclear],00:16:06
ijmwqrx,105,tutor,"No, actually this one. This one.",00:16:07
ijmwqrx,106,tutor,Why do you think so?,00:16:10
ijmwqrx,107,tutor,Because the 0.6 is bigger than the 0.1.,00:16:13
ijmwqrx,108,tutor,"Exactly. So this has 6 tenths, and that has only 1 tenth. And we can also see 0.6 as 0.60. So in your number line, which comes after— [unclear] You want to change your answer?",00:16:20
ijmwqrx,109,student,Yeah.,00:16:39
ijmwqrx,110,tutor,"Wait, no. Over here. [unclear] I'm getting messed up.",00:16:44
ijmwqrx,111,student,That's all right. You can give it a try once again.,00:16:50
ijmwqrx,112,tutor,Zero point here.,00:16:54
ijmwqrx,113,student,"Mm-hmm. Okay. Yes. Good job in correcting your little mistake on your own. So, tell me, which do you think is bigger among these three? [unclear]",00:17:04
ijmwqrx,114,tutor,This one?,00:17:21
ijmwqrx,115,tutor,This one. And why?,00:17:22
ijmwqrx,116,tutor,Because it has a 9 in it.,00:17:24
ijmwqrx,117,tutor,"Yes. Yeah, this is 60 and this is 69. And yeah, there you go. Okay. And why did you change it from here to here?",00:17:28
ijmwqrx,118,tutor,"Because I realized the 9 chain, there was a 9 in it, so it had to be over 6.",00:17:41
ijmwqrx,119,background,"Exactly, great. And why did you mark 0.16 here, Thaddeus?",00:17:48
ijmwqrx,120,student,[unclear] Because it had a 1 in it.,00:17:56
ijmwqrx,121,background,"Okay, and between which 2 decimal points it lies?",00:18:00
ijmwqrx,122,tutor,0.1 and 0.2.,00:18:06
ijmwqrx,123,tutor,"Exactly, great. So see, a small tip I can give, you can think which two decimal points this lies between. For example, this is 0.6 and 0.7 between, so it will be easier for us to mark, right?",00:18:09
ijmwqrx,124,student,Yeah.,00:18:24
