session_id,utterance_id,role,content,timestamp
jbozzhn,0,background,[unclear],00:00:00
jbozzhn,1,tutor,Hello.,00:00:00
jbozzhn,2,student,"Hi, Declan.",00:00:04
jbozzhn,3,tutor,Hi.,00:00:06
jbozzhn,4,student,How are you?,00:00:07
jbozzhn,5,tutor,Good.,00:00:09
jbozzhn,6,tutor,"So today we are going to start— actually, you have started with this lesson with your previous tutor. So I am going to continue what you did here. Yes, would you like to try this out?",00:00:11
jbozzhn,7,student,Yeah. Can I get some [unclear] so I can work some of it out?,00:00:33
jbozzhn,8,tutor,Sorry? Can I get a sheet of paper so I can work it out?,00:00:39
jbozzhn,9,student,"Yes, yes, sure. [unclear] [unclear]",00:00:44
jbozzhn,10,student,"So, can I please calculate 1,800 divided by 15? I will first divide 1,800 by 10 and then divide the answer by 5.",00:01:10
jbozzhn,11,tutor,Do you agree? Explain. When why I'm so [UNCLEAR].,00:01:25
jbozzhn,12,student,I am back.,00:01:25
jbozzhn,13,tutor,Okay. Are you ready to start?,00:01:42
jbozzhn,14,student,Yes.,00:01:48
jbozzhn,15,tutor,Okay. So would you like to read this and tell me your plan?,00:01:53
jbozzhn,16,tutor,Shall I read the sentence? [unclear],00:01:57
jbozzhn,17,student,Yeah.,00:02:03
jbozzhn,18,tutor,"Alright, so a bookshop has 1,432 books in the morning. They receive a delivery of 737 more books and sell 686 books. How many books are left at the end of the day?",00:02:07
jbozzhn,19,tutor,Okay. What is your plan?,00:02:25
jbozzhn,20,student,"Add 1,432 and 737.",00:02:31
jbozzhn,21,tutor,Amazing. [unclear],00:02:38
jbozzhn,22,student,And 600......86. [unclear],00:02:44
jbozzhn,23,student,Is the answer 1483?,00:03:00
jbozzhn,24,tutor,It is. Yes.,00:03:04
jbozzhn,25,student,"Okay. So, could you please explain what you did there?",00:03:07
jbozzhn,26,student,Yeah.,00:03:12
jbozzhn,27,student,"So, shall I do step by step what I did?",00:03:17
jbozzhn,28,tutor,Mm-hmm.,00:03:19
jbozzhn,29,student,"So, first step, I did 1,432 take away 730— no, add 737, and that equals 2,169.",00:03:21
jbozzhn,30,tutor,Okay.,00:03:34
jbozzhn,31,student,And then I did— [unclear] And then I did— [unclear],00:03:36
jbozzhn,32,student,"2169 take away 686, and I got 1483.",00:03:44
jbozzhn,33,tutor,"Wow, amazing. So that was a beautiful explanation. Declan, the digits are all right. Aren't we missing something in our answer?",00:03:53
jbozzhn,34,student,A comma.,00:04:04
jbozzhn,35,tutor,"A comma. Oh, okay. Comma. What's my, um, text? Text. Comma. [unclear]",00:04:05
jbozzhn,36,tutor,That would be the perfect answer. Wonderful. Now you're good to go. Now I'm taking you to the slide where you have been working on. Sorry.,00:04:16
jbozzhn,37,student,Yeah.,00:04:27
jbozzhn,38,tutor,Let's go for the slide. Okay. Please read.,00:04:28
jbozzhn,39,student,Sedar and Tara have 546 between them. Tara has 244 more than Sedar. How much money does Sedar have? [unclear],00:04:34
jbozzhn,40,tutor,"All right, what do I need to understand by that? [unclear]",00:04:48
jbozzhn,41,student,"Wait, can you repeat that, please?",00:04:57
jbozzhn,42,tutor,Can you please tell me what you understood by reading the question?,00:05:02
jbozzhn,43,student,I understood that there are 546 between them.,00:05:08
jbozzhn,44,tutor,Okay. So then what do you have to figure out? [unclear],00:05:14
jbozzhn,45,tutor,Work out how much money this should I have?,00:05:27
jbozzhn,46,student,Mm-hmm.,00:05:30
jbozzhn,47,tutor,So what's your plan?,00:05:33
jbozzhn,48,student,"Because I was stuck on— because I did 546 take away 244, what's 302? But I'm stuck on what to else do. I don't know how to actually make it, um— [unclear]",00:05:36
jbozzhn,49,student,"So that is actually, you add the 1 to the 8, which will make it 18. That will be 5 times 12, which is 60. 3, then there'll be 3 left, so then this will be 6.",00:05:52
jbozzhn,50,tutor,Why did you pick 546? [unclear],00:06:13
jbozzhn,51,tutor,"Sorry, 244 from 546.",00:06:20
jbozzhn,52,student,I did 546 take away 244 because I thought—,00:06:31
jbozzhn,53,tutor,And then you divide it by 3.,00:06:37
jbozzhn,54,student,I worked it out before.,00:06:42
jbozzhn,55,student,"So I've tried to work out how much Tara— no, I'm working out how much Siddhartha have. So I did 546 take away 244. [unclear]",00:06:46
jbozzhn,56,tutor,"Okay, would you need some guidance?",00:07:05
jbozzhn,57,student,"Yeah, please.",00:07:12
jbozzhn,58,tutor,"Okay, look at the bar model. Okay, Declan, look at the bar model and the blue color bar. What does that represent? [unclear] So this is the amount Seda has. And what is about this bar?",00:07:14
jbozzhn,59,student,"Um, it's bigger than Seda's.",00:07:38
jbozzhn,60,tutor,"Okay, so that is about Tara has. And this portion, what does it say?",00:07:42
jbozzhn,61,student,"Um, this portion is 244 pounds.",00:07:50
jbozzhn,62,tutor,"Okay, so it says Tara has 244 more than Seda. So that is what they represent here. Okay. Imagine if we cut down, cut off this part. And now observe these two bars. Imagine we took away this amount. Now look at these two bars. What can you say about them?",00:07:54
jbozzhn,63,student,"They're the same, about 244 pounds.",00:08:28
jbozzhn,64,tutor,"Exactly. Without £244, the— like both the amounts— sorry, both the sizes look similar. What does that tell you?",00:08:34
jbozzhn,65,student,"It tells you— it tells you that it was the same, but when the £244 got added on, the [unclear] I know, that's why we need to try and— [unclear]",00:08:48
jbozzhn,66,tutor,"Now you came to one step, okay? You took away 244, and what did you get?",00:09:06
jbozzhn,67,student,302.,00:09:14
jbozzhn,68,tutor,"Amazing, 302. That's an awesome effort, Declan. So you are halfway there. We'll figure this out. Now this blue bar plus the pink bar is 302. Is that clear?",00:09:17
jbozzhn,69,student,Yeah.,00:09:35
jbozzhn,70,tutor,"Okay, now how are we going to figure out what Seda has?",00:09:37
jbozzhn,71,student,"Um, do we, um...",00:09:46
jbozzhn,72,student,"Do we, um... do we take away?",00:09:55
jbozzhn,73,tutor,How much?,00:10:04
jbozzhn,74,student,"Um... [unclear] Do you take away 244? Yeah, you took away 244 from 546 because this is the whole amount. This is the amount that they have. They both have the addition of pink color bar and the blue color bar gives us 546. Is that clear?",00:10:10
jbozzhn,75,student,Yeah.,00:10:39
jbozzhn,76,tutor,"But we have some additional information. We don't know what Seda has, but we know Tara has 244 pounds more than Seda. So that clue helped us to take away that amount. So then both the areas, both the amounts that Seda and Tara has right now is similar. Is that clear?",00:10:41
jbozzhn,77,student,Yeah.,00:11:09
jbozzhn,78,tutor,"Now imagine, um, Now this is Seda has, this is Tara has. If Tara has £1, Seda also has £1 because they both have the similar amount right now because we cut off the excess. Is that clear?",00:11:11
jbozzhn,79,student,Yeah. [unclear],00:11:29
jbozzhn,80,student,"Wait, does, um, Seda have £58?",00:11:30
jbozzhn,81,background,£58. Why do you think so?,00:11:36
jbozzhn,82,student,Because do you know when I did 546 take away 302?,00:11:41
jbozzhn,83,tutor,Uh-huh.,00:11:49
jbozzhn,84,student,"Yeah, and then I carry that on and do 302 take away 254, and that's how I get £58.",00:11:50
jbozzhn,85,tutor,"Okay, that's a good try, but Declan, remember now, Seda has some amount, Katera has also the same same amount right now because we cut off the amount that Tara has more than Seda. So now we— they both have the equal amount. So, uh, now if Seda has, uh, amount like— we don't know, like we'll say Seda has something. [unclear]",00:11:57
jbozzhn,86,tutor,Okay.,00:12:27
jbozzhn,87,student,Okay.,00:12:29
jbozzhn,88,tutor,Plus the same amount Tara has— after removing 244 is equal to 302 pounds. Okay?,00:12:30
jbozzhn,89,student,Okay.,00:12:48
jbozzhn,90,tutor,So how are you going to figure it out?,00:12:49
jbozzhn,91,student,"Um, do we take— we do take 546",00:12:53
jbozzhn,92,student,546 [unclear] 244.,00:13:03
jbozzhn,93,tutor,That sounds good.,00:13:08
jbozzhn,94,student,That we did before.,00:13:09
jbozzhn,95,tutor,Mm-hmm.,00:13:10
jbozzhn,96,student,302.,00:13:11
jbozzhn,97,tutor,"That gave us 302. Yes. Okay, first we did that one. Yes, we got 302 after removing 244 out of 546. First step is done.",00:13:12
jbozzhn,98,student,Yeah.,00:13:24
jbozzhn,99,tutor,Now how to figure out The amount that Seda has. Both of them have the similar amount. Okay. Imagine this as one whole. Yeah.,00:13:25
jbozzhn,100,student,"Do we do, um... Oh, never mind, never mind. Wait, do we do [unclear] too?",00:13:45
jbozzhn,101,tutor,"Right, 302.",00:13:53
jbozzhn,102,student,Mm-hmm. Okay.,00:13:54
jbozzhn,103,tutor,Take away.,00:13:56
jbozzhn,104,student,Mm-hmm. It's not letting me draw.,00:13:57
jbozzhn,105,tutor,Mm-hmm. 302.,00:14:05
jbozzhn,106,student,Do we take away? It's not letting me take away. It's not letting me draw.,00:14:07
jbozzhn,107,tutor,3 take away 204. [unclear],00:14:21
jbozzhn,108,student,"244. No, yeah, 244. 3 take away that. Can you tell me the thinking behind this calculation?",00:14:29
jbozzhn,109,student,Is the answer going to be— [unclear] This is too much.,00:14:50
jbozzhn,110,tutor,"I'm so proud of you trying on the question in different approaches. Keep up, okay? Now imagine, now I'm taking this portion as a new bar model, okay?",00:15:00
jbozzhn,111,tutor,"Okay, so this is one whole, okay? And we'll divide it into two equal parts, right?",00:15:14
jbozzhn,112,student,Right. [unclear],00:15:27
jbozzhn,113,tutor,And the thing that we know is the sum of both these parts is 302 pounds. How are you going to figure out the worth of one part?,00:15:30
jbozzhn,114,student,"Um, do we take away?",00:15:50
jbozzhn,115,tutor,Why do we take away? Take away what?,00:15:53
jbozzhn,116,student,"[unclear] 156. Now imagine we don't have any other information. This is all what we have. Okay, forget all. Now we— what we know is one whole is divided into two parts. Okay, two equal parts. We don't know—",00:15:56
jbozzhn,117,student,"As, um, so they split it into 102 and 200. [unclear]",00:16:23
jbozzhn,118,tutor,Because that makes sense. [unclear],00:16:32
jbozzhn,119,student,I think it's equal.,00:16:34
jbozzhn,120,tutor,"Okay. But they are equal parts, Declan. So what can we do? They should be equal in worth. So you are there. You are there. Okay. Now you are almost there. Yes. So it's equal in worth or size. So how to figure out? [unclear]",00:16:36
jbozzhn,121,student,I don't know.,00:17:05
jbozzhn,122,tutor,"Okay. What if we divide it into two equal parts, or what if we divide this by 2?",00:17:08
jbozzhn,123,student,Do you divide 302 by 2?,00:17:28
jbozzhn,124,tutor,Yeah.,00:17:35
jbozzhn,125,student,"And that's— wait, can I just do it? [unclear]",00:17:37
jbozzhn,126,tutor,Is it 151?,00:17:45
jbozzhn,127,tutor,"Yes. Okay, awesome effort to put that. Now see if it makes sense. [unclear] Now, Seda has 151 pounds. Can you figure out how much Tara has?",00:17:50
jbozzhn,128,student,Tara has— [unclear],00:18:13
jbozzhn,129,student,Does [unclear] have 395?,00:18:29
jbozzhn,130,tutor,"Yes, I'm so proud of you, Declan. Can you tell me the way that you figured it out?",00:18:36
jbozzhn,131,student,"So, you know... wait... wait... wait, I'm... [unclear] I've just met [UNCLEAR].",00:18:43
jbozzhn,132,tutor,Are you tired today?,00:18:43
jbozzhn,133,student,"Um, a bit. Wait, so...",00:18:56
jbozzhn,134,tutor,"Let me know if you want to drink some water or something, okay?",00:18:59
jbozzhn,135,student,"So, 150... we got 151 now.",00:19:03
jbozzhn,136,student,115.,00:19:12
jbozzhn,137,tutor,We got 151.,00:19:13
jbozzhn,138,student,Oh.,00:19:18
jbozzhn,139,tutor,So?,00:19:18
jbozzhn,140,student,"The Tutor has made a mistake, right? [unclear] Sorry.",00:19:19
jbozzhn,141,tutor,So?,00:19:22
jbozzhn,142,student,I'm done.,00:19:23
jbozzhn,143,tutor,So?,00:19:24
jbozzhn,144,student,"So the 151, I took that and added 244 on it.",00:19:24
jbozzhn,145,tutor,Ah.,00:19:30
jbozzhn,146,student,Because Siddharth has 151 and Sarah has 244 more than Siddharth. So I added that on my [unclear] fast.,00:19:31
jbozzhn,147,tutor,Okay. That's a beautiful way of thinking. Here's another praise card for that clear explanation.,00:19:41
jbozzhn,148,student,[UNCLEAR],00:19:41
jbozzhn,149,tutor,"Yes. All right, Declan. Could you explain? Now we have completed our lesson. I want you to summarize what we have done so far. What are the methods that we should use?",00:19:49
