session_id,utterance_id,role,content,timestamp
ioatiyg,0,tutor,Hello.,00:00:00
ioatiyg,1,background,[unclear],00:00:00
ioatiyg,2,student,Hello.,00:00:02
ioatiyg,3,tutor,Hello.,00:00:03
ioatiyg,4,student,Hello.,00:00:04
ioatiyg,5,tutor,Hi.,00:00:06
ioatiyg,6,student,"Hi, how are you, Hilton?",00:00:08
ioatiyg,7,tutor,Good. How has been the day so far for you?,00:00:10
ioatiyg,8,student,Okay.,00:00:14
ioatiyg,9,tutor,"Okay, so did you do anything interesting today?",00:00:16
ioatiyg,10,student,"No, just [UNCLEAR].",00:00:19
ioatiyg,11,tutor,"Mm-hmm, okay. All right, so are you excited for today's session?",00:00:19
ioatiyg,12,student,Yeah.,00:00:26
ioatiyg,13,tutor,Awesome. So we were doing knowing the value of each digit in numbers up to 1 million in our last session. Do you remember?,00:00:27
ioatiyg,14,student,"Yeah, yeah, yeah.",00:00:35
ioatiyg,15,tutor,"Awesome. And we have to start it from this You Do slide. In this, you have already done the first question. We have to start it from the second one.",00:00:36
ioatiyg,16,tutor,"So, could you please read the question now and give it a try? [unclear]",00:00:45
ioatiyg,17,student,"What is the value of one digit, five digit, six digit, nine digit?",00:00:52
ioatiyg,18,tutor,Mm-hmm.,00:01:06
ioatiyg,19,student,"Oh, now I get it, now I get it, now I get it.",00:01:09
ioatiyg,20,tutor,"Yeah, we'll get it. Good job. Well done, [UNCLEAR]. [unclear]",00:01:11
ioatiyg,21,tutor,Good.,00:01:57
ioatiyg,22,student,9 digits.,00:01:59
ioatiyg,23,tutor,"Well done. Can you tell me, there are like two things missing in A and C. What is that thing?",00:02:03
ioatiyg,24,background,Overcomer.,00:02:11
ioatiyg,25,tutor,Very good.,00:02:13
ioatiyg,26,background,[unclear],00:02:14
ioatiyg,27,tutor,"Yes, there you go. Okay, can you show me with the help of your pointer where have you drawn the comma?",00:02:23
ioatiyg,28,tutor,"Yes, good job. Very well done, Hilton. I can see you remembered the questions and how to do it. Here is awesome effort sticker for this question. Can you tell me, how do you get to know that the value of the digit 1 is 1,000?",00:02:38
ioatiyg,29,student,I just— I have—,00:02:54
ioatiyg,30,tutor,"Can you explain me, how did you work it out? [unclear] [Speaker] This digit here. This digit. There's one there, right? 1,000, so 1, 0, 0, 0.",00:02:56
ioatiyg,31,tutor,"Yes, very good. And can you tell me what is the value of digit 2? [Speaker] 2.",00:03:18
ioatiyg,32,tutor,Very good. What is the value of digit 0 here?,00:03:25
ioatiyg,33,background,0.,00:03:29
ioatiyg,34,tutor,"Good job, good answer. Very well done. Let us quickly jump to the last slide of this topic, then we will start something new. Yes, please read the question and give us your answer.",00:03:30
ioatiyg,35,background,Can I just ask why is there a hole in the paper?,00:03:41
ioatiyg,36,tutor,Come again?,00:03:45
ioatiyg,37,background,Can I just ask why is there a hole in the paper?,00:03:46
ioatiyg,38,tutor,"Yes, you have to read the question in order to understand why there is a hole.",00:03:50
ioatiyg,39,background,"Ah, now I get it. That should be a 2 in there.",00:03:54
ioatiyg,40,tutor,"Mm-hmm, good job.",00:03:57
ioatiyg,41,student,So where's the draw pen?,00:03:59
ioatiyg,42,tutor,"Okay, so we have a draw tool just beside the erase one. We have shapes, just beside that we have a draw tool.",00:04:03
ioatiyg,43,student,"Yeah, oh, [UNCLEAR]. I did not know that. That's why I could draw a circle now.",00:04:11
ioatiyg,44,tutor,"Also, we have to write a number. [unclear]",00:04:24
ioatiyg,45,tutor,Good.,00:04:39
ioatiyg,46,tutor,"4, and the comma goes",00:04:39
ioatiyg,47,tutor,"Okay, can you tell me how do you get to know that there will be 2 counters in the hundreds place, like here?",00:04:54
ioatiyg,48,student,Because it's 20.,00:05:02
ioatiyg,49,tutor,Yeah.,00:05:05
ioatiyg,50,student,It says there is a [unclear] in calculator world. [Speaker] He says he brought 20 [UNCLEAR].,00:05:05
ioatiyg,51,tutor,So can you count all the counters?,00:05:05
ioatiyg,52,student,Yes.,00:05:24
ioatiyg,53,tutor,So can you tell me how many counters are shown already?,00:05:24
ioatiyg,54,student,"6,621,200 and...",00:05:27
ioatiyg,55,tutor,Very good. I was asking about the counters. Counters are the dots which are drawn here. Can you count me all the dots and tell me how many dots are drawn?,00:05:42
ioatiyg,56,background,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12.",00:05:57
ioatiyg,57,tutor,"We have to find this. We have to find this. We don't— 15, 16, 17, 18.",00:06:06
ioatiyg,58,tutor,Yes. Now could you count all the dots which is drawn here?,00:06:15
ioatiyg,59,background,[unclear],00:06:24
ioatiyg,60,tutor,"Could you count again, please?",00:06:26
ioatiyg,61,background,"1, 2, 3, 4, 5, 6, 7, 8. 9, 10, 11, 12, 13, 14, 15, 16.",00:06:28
ioatiyg,62,tutor,Mm-hmm. So how many counters are already shown here?,00:06:41
ioatiyg,63,student,16.,00:06:45
ioatiyg,64,tutor,Mm-hmm. And how many total counters does Cedar had? [unclear] How many counters does he say that he drew in total?,00:06:46
ioatiyg,65,student,20.,00:06:59
ioatiyg,66,tutor,20. So how many counters will be there in the hundreds column?,00:07:01
ioatiyg,67,student,20.,00:07:07
ioatiyg,68,tutor,"20 is the total number of counters. Here he has drawn 16 counters and the total number of counters are 20. How many counters this— yes, very good. How do you get to know it will be 4 counters? [unclear]",00:07:08
ioatiyg,69,student,"Because if you add 20, it will be",00:07:25
ioatiyg,70,tutor,18 to 20?,00:07:32
ioatiyg,71,student,"No, before.",00:07:34
ioatiyg,72,tutor,"Yes, 16 to 20. Now could you write the number which is shown here? The original number?",00:07:35
ioatiyg,73,student,Oh yes.,00:07:43
ioatiyg,74,tutor,You can use a text tool for typing. [unclear] Good.,00:07:45
ioatiyg,75,tutor,Remember to put the important thing.,00:07:56
