session_id,utterance_id,role,content,timestamp
fbrtgzq,0,student,Hi.,00:00:00
fbrtgzq,1,background,[unclear],00:00:00
fbrtgzq,2,tutor,Hello. How are you?,00:00:01
fbrtgzq,3,student,I'm good. How are you?,00:00:06
fbrtgzq,4,tutor,I'm great. That's good to hear. So are you ready for today's lesson?,00:00:07
fbrtgzq,5,student,"Yes, I'm ready.",00:00:14
fbrtgzq,6,tutor,"Yes, Linus. So what lesson do we have today?",00:00:16
fbrtgzq,7,student,writing hundreds as decimals.,00:00:16
fbrtgzq,8,tutor,"Yes. So yeah, can you try to work on the first question, please?",00:00:16
fbrtgzq,9,student,Yes. Write the amount stated as a decimal.,00:00:31
fbrtgzq,10,tutor,"So, yes. [unclear]",00:00:38
fbrtgzq,11,student,"So, 22. [unclear]",00:00:44
fbrtgzq,12,tutor,"That's all. Oh, very good. And then fill in the missing numbers.",00:00:55
fbrtgzq,13,student,So I'm going to do this. I think [UNCLEAR].,00:01:03
fbrtgzq,14,tutor,So you have to write it as a decimal.,00:01:03
fbrtgzq,15,student,Yes. [unclear],00:01:25
fbrtgzq,16,student,"So, 22 points. 22 points. [unclear]",00:01:46
fbrtgzq,17,tutor,10? Is it? Or is it 0.22?,00:02:01
fbrtgzq,18,student,0.22.,00:02:07
fbrtgzq,19,tutor,Yes. So shall we move on to the slide which we stopped last week?,00:02:17
fbrtgzq,20,student,Yes.,00:02:26
fbrtgzq,21,tutor,Yes.,00:02:26
fbrtgzq,22,background,Yeah.,00:02:29
fbrtgzq,23,student,Can you read the question?,00:02:29
fbrtgzq,24,background,Tara says 7/10 is equal to 70 hundredths. Heather says 7/10 is equal to 0.07. Are either of them correct? Explain what you're saying. [unclear],00:02:31
fbrtgzq,25,student,Yes. So what are you going to do here?,00:02:46
fbrtgzq,26,student,"Um, we are— wait. Um, I don't know.",00:02:49
fbrtgzq,27,tutor,That's it. So can you write 7/10 as a decimal? [unclear],00:03:05
fbrtgzq,28,student,"Wait, is 7— that's—",00:03:13
fbrtgzq,29,tutor,0.7.,00:03:14
fbrtgzq,30,student,0.7.,00:03:19
fbrtgzq,31,tutor,Yes. So how do you write 7 tenths? So what is this? 70 hundredths. What is 70 hundredths? [unclear],00:03:26
fbrtgzq,32,student,"Wait, I forgot. [unclear]",00:03:37
fbrtgzq,33,tutor,What is 1700s?,00:03:42
fbrtgzq,34,student,I don't know. I forgot.,00:03:48
fbrtgzq,35,student,I don't know. I forgot.,00:03:48
fbrtgzq,36,tutor,So do you remember this?,00:04:02
fbrtgzq,37,student,Yes.,00:04:12
fbrtgzq,38,tutor,Yes?,00:04:13
fbrtgzq,39,student,Yeah.,00:04:17
fbrtgzq,40,tutor,Yes. So can you remember that this place here is the hundreds?,00:04:17
fbrtgzq,41,student,Yeah.,00:04:23
fbrtgzq,42,tutor,So how would you write 700? [unclear] [unclear],00:04:25
fbrtgzq,43,tutor,Mm-hmm.,00:04:45
fbrtgzq,44,student,Zero.,00:04:46
