session_id,utterance_id,role,content,timestamp
dmjeapd,0,background,[unclear],00:00:00
dmjeapd,1,tutor,"Hello. Hi there, Declan. Can you hear me?",00:00:00
dmjeapd,2,tutor,Yeah.,00:00:04
dmjeapd,3,background,"All right. So how have you been, Declan?",00:00:05
dmjeapd,4,tutor,Good.,00:00:08
dmjeapd,5,background,Good. Great to hear. How was school being?,00:00:10
dmjeapd,6,tutor,"Oh, good.",00:00:14
dmjeapd,7,background,Did you have maths today?,00:00:15
dmjeapd,8,tutor,Yes.,00:00:19
dmjeapd,9,background,All right. And what did you learn in maths?,00:00:21
dmjeapd,10,tutor,"We did some worksheets about... [unclear] percentages. Percentages,",00:00:24
dmjeapd,11,tutor,alright. And how did you find it to be? It's,00:00:34
dmjeapd,12,student,"pretty good. I can find 10% in time to make it the right thing. Oh,",00:00:37
dmjeapd,13,tutor,"that's great. Good that you, you know, learned something new and you can, you know, still work things out. That's great, Declan. So, you know,",00:00:44
dmjeapd,14,tutor,Yeah. Shall we get started with our lesson for today?,00:00:53
dmjeapd,15,student,Yeah.,00:00:57
dmjeapd,16,tutor,"Okay. Do you remember working on this lesson on solving real-life problems with bar models, Declan?",00:00:59
dmjeapd,17,student,Yeah.,00:01:09
dmjeapd,18,tutor,"Okay. So let's see where we left off last class to continue from there on. Okay, do you remember this slide, Declan?",00:01:10
dmjeapd,19,student,Yeah.,00:01:20
dmjeapd,20,tutor,"Okay. So this Follow Me slide was completed. And now you can give this Your Turn slide, the questions here, a try, Declan.",00:01:22
dmjeapd,21,student,Okay.,00:01:39
dmjeapd,22,tutor,"Okay. And then let's see how we can, you know, work it out together. Let's just give it a try for now.",00:01:39
dmjeapd,23,tutor,Okay. [unclear] [unclear],00:01:48
dmjeapd,24,background,[unclear],00:02:12
dmjeapd,25,tutor,"Can you hear him? Yes or no? Can you hear? No. Right, okay. We're going to put him there. [unclear] [unclear]",00:02:40
dmjeapd,26,tutor,"You can't hear her at all? Did you allow the microphone when it come up? Yes, okay, yes, of course, yes. Right now, let's just ask. So they can hear you. [unclear] [unclear]",00:03:05
dmjeapd,27,tutor,Come. [unclear],00:03:32
dmjeapd,28,tutor,I know the answer about doing the bar model.,00:03:58
dmjeapd,29,student,"Pardon, what is it, Declan? I know what the answer is, but I'm doing the bar model.",00:04:18
