session_id,utterance_id,role,content,timestamp
asygjth,0,tutor,[unclear],00:00:00
asygjth,1,student,"Well, this is, you know, she's feeling it for her.",00:00:00
asygjth,2,tutor,"Yeah, great. I mean, talk to her. You're an adult, you're all right.",00:00:04
asygjth,3,student,Yeah.,00:00:10
asygjth,4,tutor,"Because Mrs. Gershew is used to it at her job, so I'd expect you'd get used to it. [unclear]",00:00:11
asygjth,5,student,"Yeah, cool. [Speaker] Hello?",00:00:18
asygjth,6,student,Hello? [unclear] [Speaker] Hello? Hello? [unclear],00:00:21
asygjth,7,tutor,Hello?,00:00:32
asygjth,8,student,You okay?,00:00:33
asygjth,9,tutor,Hello? [unclear],00:00:41
asygjth,10,tutor,Hello. [unclear],00:01:08
asygjth,11,student,Yeah. [unclear],00:01:22
asygjth,12,tutor,[unclear] [unclear],00:01:22
asygjth,13,tutor,[unclear] [unclear],00:01:22
asygjth,14,student,Hello? Hello? Hello? Hello? [unclear],00:02:44
asygjth,15,student,9.,00:03:09
asygjth,16,tutor,Yeah. [unclear],00:03:41
asygjth,17,tutor,Good. I am. [unclear] [unclear],00:03:55
asygjth,18,student,[unclear] [unclear],00:03:55
asygjth,19,student,[unclear] [unclear],00:03:55
asygjth,20,tutor,Complete the missing number in this calculation.,00:04:55
asygjth,21,student,Yeah.,00:05:00
asygjth,22,tutor,Okay.,00:05:07
asygjth,23,student,"I'm sorry, I didn't hear you.",00:05:09
asygjth,24,student,[unclear],00:05:14
asygjth,25,tutor,"Hello, hello, 1, 2, 3. [unclear]",00:05:14
asygjth,26,student,[unclear] [unclear],00:05:14
asygjth,27,student,[unclear],00:05:14
asygjth,28,tutor,Yeah.,00:06:31
asygjth,29,tutor,Hello. [unclear] [unclear],00:07:25
asygjth,30,student,[unclear] [unclear],00:07:25
asygjth,31,student,[unclear] [unclear],00:07:25
asygjth,32,student,[unclear] [unclear],00:07:25
asygjth,33,student,[unclear] [unclear],00:07:25
asygjth,34,student,for instance. [unclear] [unclear],00:07:25
asygjth,35,student,Hello. [unclear],00:09:11
asygjth,36,student,Yeah. [unclear],00:09:31
asygjth,37,student,"Right, hello? [unclear]",00:10:08
asygjth,38,tutor,Just a little breathing between each one.,00:10:09
asygjth,39,student,"Yeah, it was pretty easy. I was like, hello, that's it. [unclear]",00:10:13
asygjth,40,student,Yeah. [unclear],00:10:24
asygjth,41,tutor,Yeah.,00:10:53
asygjth,42,student,Hello.,00:10:57
asygjth,43,tutor,Yes. [unclear],00:10:59
asygjth,44,student,"And then one more thing. Missing number in the sequence. How would I do that? 1,000, then 100, and blank, and 1. [unclear]",00:11:03
asygjth,45,tutor,Hello? [unclear],00:11:27
asygjth,46,student,"Before we multiply and divide by a 10 or 100, let's look [unclear]",00:13:09
asygjth,47,student,The pattern that it is in our number system. 3 and 4 would be 6.,00:13:18
asygjth,48,tutor,Finding 4 would be X.,00:13:33
asygjth,49,student,[unclear],00:13:47
asygjth,50,student,[unclear] [unclear],00:13:59
asygjth,51,tutor,Hello?,00:14:17
asygjth,52,student,Yeah.,00:14:32
asygjth,53,tutor,Yes. [unclear] [unclear],00:14:36
asygjth,54,student,Ready? [unclear],00:15:02
asygjth,55,student,[unclear],00:15:02
asygjth,56,tutor,"Yeah. Oh, 6. Yeah, okay. 6, did it? [unclear]",00:15:52
asygjth,57,student,Yeah. [unclear],00:16:24
asygjth,58,tutor,Hello. [unclear] [unclear],00:17:09
asygjth,59,tutor,"Still can't hear her and she's not responding. Yeah, and she's not responding.",00:17:56
asygjth,60,tutor,She's not been on this the whole time we've been here. [unclear],00:18:02
asygjth,61,student,"No, because like she can't hear me and she's not responding anymore.",00:18:09
asygjth,62,tutor,Okay.,00:18:17
asygjth,63,student,"I did, we refreshed a thousand",00:18:17
asygjth,64,tutor,Is it there now? Hello? Hello? [unclear],00:18:26
asygjth,65,student,"Do we need different headphones? We haven't got any. Is there anything wrong with your headphones? I mean, if she was talking, I think her briefing would— [unclear]",00:18:37
asygjth,66,tutor,Hello?,00:18:55
asygjth,67,student,Hello?,00:18:56
asygjth,68,tutor,"Hello, [STUDENT_NAME]? Hello, [STUDENT_NAME], can you hear me now?",00:18:56
asygjth,69,student,"Yeah, I can hear you now.",00:19:00
asygjth,70,tutor,"Okay, I'm really sorry about the audio issue. Actually, I tried refreshing several times and then I logged back again and then I changed my laptop and I'm glad that you can hear me now. Can you hear me well?",00:19:02
asygjth,71,student,Yeah.,00:19:15
asygjth,72,tutor,"Okay, I'm really sorry about what happened, okay?",00:19:16
asygjth,73,student,Okay.,00:19:21
asygjth,74,tutor,"All right. Okay, so before we move to the lesson, can you please tell me what did we— what did you do at school today?",00:19:22
asygjth,75,student,[unclear],00:19:22
asygjth,76,tutor,Did you do swimming today?,00:19:33
asygjth,77,student,Yeah.,00:19:35
asygjth,78,tutor,"Oh, that sounds interesting. So with whom did you go for swimming? With your friends?",00:19:36
asygjth,79,student,The one at my school.,00:19:46
asygjth,80,tutor,"Okay, that's nice to hear. Alright, thank you so much, [STUDENT_NAME], for sharing that with me. Now we are moving to this lesson, Solving Real-Life Problems with Bar Modulus. That is the lesson that we are supposed to do today. And— [unclear] This would be the question that we are supposed to continue from. So can you please give it a try?",00:19:50
asygjth,81,tutor,Hello?,00:20:22
asygjth,82,student,Yeah.,00:20:24
asygjth,83,tutor,Can you please give it a try? [unclear] [unclear],00:20:25
asygjth,84,student,[unclear] [unclear],00:20:25
asygjth,85,student,[unclear],00:20:25
asygjth,86,tutor,"Mm-hmm. So there are 7 go-karts, and how many wheels are there altogether? Okay. So you think that's 28, is it?",00:21:30
asygjth,87,student,Yeah.,00:21:38
asygjth,88,tutor,"Okay, why do you think it's 28?",00:21:39
asygjth,89,student,"Well, because, um, I thought— [unclear] [unclear]",00:21:45
asygjth,90,student,I... I...,00:22:06
asygjth,91,tutor,"Yeah, what did you do to figure out 28? That's what I'm asking you. What did you do to figure out the answer?",00:22:16
asygjth,92,student,I don't know. I just thought it was.,00:22:26
asygjth,93,tutor,So did you do multiplication? Did you do addition?,00:22:34
asygjth,94,student,I think I [UNCLEAR].,00:22:40
asygjth,95,student,Added all 4 sevens together.,00:22:42
asygjth,96,tutor,"Okay, so instead of adding 4 sevens together, what we can do is we can do multiplication. All right, we can do 4 times 7 instead of adding 7, 4 times, because that would be much easier. Okay. [unclear] All right, which gives you 28. Okay, let's move to the second question right here.",00:22:50
asygjth,97,student,"Okay. So is it— Oh no, wait, no. Okay, this one. [unclear]",00:23:21
asygjth,98,student,"Yeah, this is a contraction, which is this way. I'll make 9 shapes, so I'll make 3 times as as many grapes as Tom.",00:23:48
asygjth,99,tutor,How many grapes did Sam eat? Hmm. [unclear],00:24:00
asygjth,100,student,Oh yeah. [unclear],00:24:28
asygjth,101,student,[unclear],00:24:28
asygjth,102,student,[unclear],00:24:28
asygjth,103,student,Are we gonna do the next question as well? Okay.,00:25:46
asygjth,104,tutor,Yeah.,00:25:53
asygjth,105,student,Okay. [unclear],00:25:54
asygjth,106,tutor,What does it mean by he ate 3 times as many grapes as Tom? [unclear],00:26:19
asygjth,107,tutor,Hello?,00:26:37
asygjth,108,student,Hello?,00:26:39
asygjth,109,tutor,"Hello, [STUDENT_NAME]? Can you hear me?",00:26:40
asygjth,110,student,"Yeah, sorry, I can't hear you.",00:26:45
asygjth,111,tutor,"Okay, so [STUDENT_NAME], what I was telling you, since it's times, we know times means you need to—",00:26:48
asygjth,112,student,Times.,00:26:54
asygjth,113,tutor,"Multiply, isn't it?",00:26:58
asygjth,114,student,"Yeah, multiply.",00:27:00
asygjth,115,tutor,"Yeah, multiply. [unclear]",00:27:04
asygjth,116,student,Multiply so that you get the answer. So we do... [unclear],00:27:09
asygjth,117,student,"Yeah. How much charge has your computer got, do you know? [unclear]",00:27:28
asygjth,118,student,Yeah.,00:28:31
asygjth,119,tutor,"So, okay. We have to do multiplication because they are telling us that it has 3 times. So when you have the keyword 'times are we,' we need to keep in mind to use Multiplication. So which means when you have 9 and here 3, here you would have to go for multiplication right here, isn't it?",00:28:32
asygjth,120,student,Yeah.,00:29:03
asygjth,121,tutor,So what is the answer for 9 times 3? [unclear],00:29:05
asygjth,122,student,"9 times 3, so— oh, not the [UNCLEAR]. So 9 times 3 would definitely be—",00:29:14
asygjth,123,student,1... [unclear],00:29:14
asygjth,124,tutor,"Hmm. Okay, do you know your 3 times table?",00:30:08
asygjth,125,student,"Hmm... Oh, why?",00:30:12
asygjth,126,tutor,"Like 3 times 1 is this much, likewise. [unclear]",00:30:17
asygjth,127,student,[unclear],00:30:17
asygjth,128,student,18.,00:30:57
asygjth,129,tutor,"18. Okay, 3 times 5, what is the answer?",00:30:58
asygjth,130,student,"3 times 5, 15.",00:31:04
asygjth,131,tutor,15. 3 times 6 would be?,00:31:08
asygjth,132,student,3 times 6. [unclear] [unclear],00:31:13
asygjth,133,student,Mm-hmm.,00:31:34
asygjth,134,tutor,"Hello, [STUDENT_NAME], can you hear me?",00:31:48
asygjth,135,student,Yeah.,00:31:51
asygjth,136,tutor,"Oh, okay, I couldn't hear you for a minute there. So we were working on this question. Now, 3 times 5, what is the answer?",00:31:52
asygjth,137,student,15.,00:32:01
asygjth,138,tutor,"Okay, 3 times 6? [unclear] It has to increase by 3 each time. 15, and then?",00:32:03
asygjth,139,student,"If not— when 3 is added to 15, that would be— [unclear] [unclear]",00:32:19
asygjth,140,student,I don't know.,00:32:45
asygjth,141,tutor,"Nah, I don't know.",00:33:08
asygjth,142,student,"Mm-hmm. Okay, do you know the answer for 3 times 10?",00:33:09
asygjth,143,tutor,3 times 10? [unclear] 30?,00:33:17
asygjth,144,student,Hmm?,00:33:25
asygjth,145,tutor,"3... uh, 30? [unclear]",00:33:26
asygjth,146,student,[unclear] [unclear],00:33:26
asygjth,147,student,[unclear] [unclear],00:33:26
asygjth,148,student,30.,00:33:26
asygjth,149,tutor,9.,00:33:26
asygjth,150,student,9. [unclear],00:33:26
asygjth,151,student,30.,00:33:26
asygjth,152,tutor,9.,00:33:26
asygjth,153,student,9.,00:33:26
asygjth,154,tutor,Hello? [unclear] [unclear],00:34:22
asygjth,155,tutor,"Hello? Hello? Hello? Okay, [unclear]",00:34:51
asygjth,156,tutor,"[STUDENT_NAME], now we know that 3 times 10 is 30. So when you have to work out 3 times 9, that would be just 3 less than 10. So 10 subtract 3, what would the answer be?",00:35:34
asygjth,157,student,So 10 subtract it— what?,00:35:49
