session_id,utterance_id,role,content,timestamp
mfysjlc,0,background,[unclear],00:00:00
mfysjlc,1,tutor,"Hello? Hello? Look, Callum, can you hear me?",00:00:00
mfysjlc,2,student,Yes.,00:00:05
mfysjlc,3,tutor,"Okay, great. How are you, Callum?",00:00:07
mfysjlc,4,student,Good.,00:00:10
mfysjlc,5,tutor,How did you do today?,00:00:11
mfysjlc,6,student,"Well, we did like tests since it's test week. And this test was maths and GPS. I got a 9 on my GPS. And I don't know about my maths test yet. I'm still looking for [UNCLEAR].",00:00:14
mfysjlc,7,tutor,How was the test? Was it difficult or easy?,00:00:37
mfysjlc,8,student,"It was hard, and [unclear] the first week was spelling. I got 1 out of 24, I think. And then before the GPS test, the last test, the last The highest score that I got was 8, so I beat my highest score on GPS. [unclear]",00:00:42
mfysjlc,9,tutor,"Okay, so I hope that you will score a really good mark this time. Okay, and in our previous week's session, Callum, we started the lesson finding fractions of a set of numbers. So I can remember you worked out these questions and you were able to figure out the answers for these questions. And today we have to start with the Follow Me slide. So first I am going to take you through the Follow Me part by myself, and after that I will let you do the Your Turn part. Okay? [unclear]",00:01:10
mfysjlc,10,student,"Oh yeah, you're going to finish the board.",00:01:53
mfysjlc,11,tutor,"Hello, Callum, can you hear me?",00:02:03
mfysjlc,12,student,Yes.,00:02:06
mfysjlc,13,tutor,"Okay, great. So when I'm going to find 1/8 of 16 tennis balls, Callum, I should divide 16 tennis balls into 8 equal groups. Okay, I have 8 in my denominator, which means it tells me [Speaker:Callum]...into how many groups that I have to divide the amount they have given. Okay, I'm going to take my drawing tool and I'm going to divide [UNCLEAR] into 8 groups. 5, 6, 7, 8.",00:02:07
mfysjlc,14,tutor,"8. Okay, now I have 8 groups. So they have asked me to select only 1 group out of 8. They have asked me to get 1/8 of 16 tennis balls. Okay, we will see. Divide the whole into 8 equal parts because my denominator is 8. Each part of [unclear]",00:02:54
mfysjlc,15,tutor,"For each part is— once I finished dividing it into 8 parts, each part worth 1/8. 1 out of 8 parts. So 1/8 of 16 tennis balls is— so out of 8 parts, I am going to consider only 1 part. It has only 2 tennis balls. 1/8 of 16 tennis balls is 2 tennis balls. Is it clear for you, Callum?",00:03:20
mfysjlc,16,student,"Oh yes, yes, this is very [UNCLEAR]. [Speaker:Tutor] It is your turn to find the answer for this question.",00:03:59
mfysjlc,17,background,"So now we have to find the answer to this one here. What— which isn't going to be easy since it's a hard kind of question that you might be thinking of. So, so good job. [unclear] So, um, all you have to do is split all of these up so they're like",00:04:08
mfysjlc,18,background,"3, 6, 9, 12, 15. 15. So that's 15 apples in whole. And we divide, we divide the whole, we divide the whole. So 15 divided by 3. [unclear]",00:04:33
mfysjlc,19,tutor,"5, right?",00:04:55
mfysjlc,20,student,5. So—,00:04:57
mfysjlc,21,tutor,"Yeah, you divide that into 5 equal parts.",00:04:59
mfysjlc,22,student,"So there'll be 5 here. [unclear] This is the only thing I have right now, and I do not want to change, so— 5 [unclear] apples. Now, you put 5 here. [Speaker] And one here. It looks like a 6, but it's supposed to be a 5.",00:05:01
mfysjlc,23,tutor,Okay. [Speaker] Then one of 5... [unclear] equals 3 apples since there's 3 apples.,00:05:34
mfysjlc,24,tutor,"Actually, in here you should write 1/5 of 15 apples is 3 apples.",00:05:53
mfysjlc,25,student,"So, 1, and here. So in that box there, what do you do?",00:06:01
mfysjlc,26,tutor,"1/5, 15 apples. You have to write 15. [unclear] Okay.",00:06:12
mfysjlc,27,tutor,"Very good, Callum. You showed a really good understanding about finding one part from a fraction. Okay, and you did the division carefully and you figured it out. Keep up the good work like this. [unclear] With that, let's have a look at these 3 questions. In all these 3 questions, they have asked for one part. Okay, out of the given amount. So let's have a look at question A.",00:06:24
mfysjlc,28,student,"So I'm just going to split that up so it's just easier. [unclear] There we go. So the first one is fine, 10 of 20 apples. So We're going to split it like that. So there's 10 in each. And then how much is [unclear] 20? The answer would be 10.",00:06:57
mfysjlc,29,tutor,"Okay, that's a really good thinking, Callum. The denominator tells you How many groups are there in your number of items? So here you have 20 oranges. Yes, you have to divide 20 oranges into 10 equal groups. [unclear]",00:07:38
mfysjlc,30,tutor,"Okay, so in here we have only 2 equal groups. What we have to do is we have to make 10 equal groups. You have to divide 20 by 10 like this. 10 equal groups. Okay.",00:08:01
mfysjlc,31,student,"So that one goes to there like that. [unclear] Oh, so there's 2, 4, 6, 8, 10, 12, 14, 16, 18, 20. But there's 2 in each, so the answer is 2.",00:08:20
mfysjlc,32,tutor,"Very good. When you divide 20 by 10, the answer is 2. Good understanding there. Okay, just like that, try to figure out the answer for the next one as well. Yeah, the first group, second group, third group, and the fourth group. Very good. [unclear] When you divide 12 by 4, the answer is 3.",00:08:37
mfysjlc,33,tutor,"Yes, 4 ducks. So can you take me through your answer for question C? Can you explain it?",00:09:06
mfysjlc,34,student,"Let's do it then. So first off, we need to split it in groups. So let's just make a big thing there. And there's— look, there's already a big split. [unclear] And so on. So that's how many dots are in each line, which is 4. So the answer is 4.",00:09:17
mfysjlc,35,tutor,"Okay, that was a superb explanation given by you, Callum. Well done, keep up the good work. And with that, we are moving to the last question. Of this lesson. So let's have a look at it together.",00:09:46
mfysjlc,36,tutor,"Right, complete the fraction statement. So... [unclear]",00:10:02
mfysjlc,37,student,"So is it, well, 1/2 of 20 is divided by 5. [Speaker:Callum]...which is 20. [Speaker:Tutor] Okay, that's a really good thinking, Callum. So let's have a look at this question together, okay? [unclear] Yeah. Complete the fraction statement. So the first part is equal to the second part, right? So first of all, we'll try to figure out the answer for the first part. Half of 20. What's the answer? Half of 20. [unclear]",00:10:15
mfysjlc,38,student,Equals 10.,00:10:56
mfysjlc,39,tutor,"Very good, it equals 10. So when you divide 40 by something, you should be able to get 10 as the answer. So when you divide 20 by 2, you got 10 as the answer. And when you divide 40 by something, you should be able to get 10 as the answer. [unclear]",00:10:58
mfysjlc,40,tutor,"40 divided by 10 is 4, right? Not 10. So we'll think of the correct number that we can put here. 40 divided by something should equal to 10.",00:11:23
mfysjlc,41,student,Uh... 2?,00:11:44
mfysjlc,42,tutor,"When you divide 40 by 2, the answer is 20, right?",00:11:47
mfysjlc,43,student,Right.,00:11:52
mfysjlc,44,tutor,"Yeah, so just think of another number that will give you 10 when you divide 40 by that number. [unclear]",00:11:54
mfysjlc,45,student,"Hmm... 1? 40 divided by 1 is 40, right? 40 divided by something equals to 10. [unclear]",00:12:04
mfysjlc,46,student,"So if it's 10, would it be 4?",00:12:20
mfysjlc,47,tutor,"Oh, very good! 40 divided by 4 is 10. So what is the most important thing you understood by this question? Because this was a challenging question.",00:12:34
mfysjlc,48,student,"Well, I understand by when you do times tables, you do 4 times 10, 4 times 4 times— so pretend that's the times— 4 times [unclear] 10 equals 40, which is the plus [unclear] times equals 40. So when you model that around and 40 goes, and then 40 goes here, and 10 goes here, the answer it should just— it's just backwards. So 40 divided by 10 equals 4.",00:12:49
mfysjlc,49,tutor,"Wow, what a wonderful understanding about inverse operations. Very good, Callum, that was a wonderful explanation given by you. So with that, we have completed the first lesson of the day. So what skills did you use when figuring out the answers for these questions, Callum?",00:13:40
mfysjlc,50,student,"Well, I used the answer by halving them in that kind of way. So that way. Oh, whoa. I just [unclear] straight across like this.",00:14:02
mfysjlc,51,tutor,"And also I noticed that you used your multiplication skills and divisions. Skills when figuring out the answers for these questions, and I highly appreciate that. So with that, let's have a look at the next lesson that we are going to discuss today. Okay, so in this lesson you will learn about using diagrams to show equivalent fractions. Have you learnt about equivalent fractions, Callum? [unclear]",00:14:23
mfysjlc,52,student,I think so. I don't know.,00:15:00
mfysjlc,53,tutor,"Don't worry. Yeah, it's totally fine. I'm here to help you whenever you get a difficult question. So let's have a look at the learning goal question. Okay, what do you have to do in this question? [unclear]",00:15:04
mfysjlc,54,tutor,Like that?,00:15:28
mfysjlc,55,student,"In this question, Callum, first we have to write shaded amount as a fraction, right?",00:15:33
mfysjlc,56,tutor,Yes. [unclear],00:15:41
mfysjlc,57,student,"Yeah, I am so sorry to disturb you. You have to write the total amount of parts as the denominator and the shaded amount of parts as the numerator. The other way round. Okay. Well done. This is correct. This is also correct. And shall we correct the second one? I'll erase it for you. [unclear] [unclear]",00:15:43
mfysjlc,58,student,"One by [UNCLEAR]. [Speaker:Tutor] So in here, what they have asked us to do is pick the shapes that have half shaded. So you can pick the shapes that have half shaded. I'll take out my 2 ticks, then you can figure out the diagrams for the shapes that have half shaded. Exactly half of the amount.",00:16:27
mfysjlc,59,student,[unclear],00:17:02
mfysjlc,60,tutor,Where?,00:17:02
mfysjlc,61,student,[unclear],00:17:24
mfysjlc,62,tutor,They have only shaded quarter.,00:17:24
mfysjlc,63,student,That one?,00:17:31
mfysjlc,64,tutor,"And they have gone more than half. Can you see in here? We have 4 parts. Yeah, out of 4 parts they have shaded 2 parts, which means exactly half. And what do you think about this one? They have exactly given the answer, 1 over 2. Half, right? Yes, very good understanding there, Callum. [unclear]",00:17:32
mfysjlc,65,tutor,"Yeah, okay. The third and fourth pictures are the shapes that have half shaded.",00:17:58
mfysjlc,66,background,[unclear],00:18:10
mfysjlc,67,tutor,And let's have a look at this learning goal question. Write a fraction that is equivalent 3/5. [unclear],00:18:11
mfysjlc,68,student,So would that— I don't know.,00:18:28
mfysjlc,69,tutor,"Certainly fine. I will help you to get the answer. Okay? So see how we are going to use diagrams to find equivalent fractions. Equivalent fractions means the fractions that are equal to each other. Okay, now I'm going to shade 3/5 of this diagram. Can you see that they have divided the top bar model into 5 equal parts?",00:18:32
mfysjlc,70,student,Mm-hmm.,00:19:02
mfysjlc,71,tutor,"Yeah, so I'm going to shade 3 parts out of these 5 parts. Okay, you can share it, you can share it for me.",00:19:03
mfysjlc,72,tutor,"1, 2, 3. Very good. And then I did this part. Okay, now we have 3 parts shaded. Now we have to find another equal fraction for the shaded amount. Can you see this amount is equal to the shaded amount?",00:19:13
mfysjlc,73,student,[unclear],00:19:34
mfysjlc,74,tutor,"I shaded These 3 parts, right?",00:19:38
mfysjlc,75,student,Right.,00:19:42
mfysjlc,76,tutor,"And this amount is same as the shaded part, isn't it?",00:19:44
mfysjlc,77,student,Yeah.,00:19:50
mfysjlc,78,tutor,Yeah. So how many parts are there inside this red color rectangle? [unclear],00:19:52
mfysjlc,79,tutor,"6. Very good. Out of 10 parts, we have 6 parts there. So it's 6/10.",00:20:05
mfysjlc,80,student,Yeah. [unclear],00:20:15
mfysjlc,81,tutor,We have to write the total number of parts as the denominator. Okay? Yes. Very good.,00:20:17
mfysjlc,82,background,"Yeah, don't be worried.",00:20:28
mfysjlc,83,tutor,"Actually, we are going [Speaker:Tutor]...talk about Christmas like these. [UNCLEAR] We can use diagrams to figure out the answers. Is that a nose?",00:20:32
mfysjlc,84,student,Yes.,00:20:49
mfysjlc,85,tutor,Okay. It looks like the Mickey Mouse nose.,00:20:50
