session_id,utterance_id,role,content,timestamp
nlauuml,0,background,[unclear],00:00:00
nlauuml,1,tutor,"Hi, Callum. Hi, Callum. Can you hear me?",00:00:00
nlauuml,2,student,Yeah.,00:00:06
nlauuml,3,tutor,"Okay, Callum. How are you today?",00:00:08
nlauuml,4,student,Good.,00:00:11
nlauuml,5,tutor,How was your day today?,00:00:11
nlauuml,6,student,Good.,00:00:13
nlauuml,7,tutor,"Great to hear that, Callum. So do you remember what we were learning about?",00:00:14
nlauuml,8,student,Decimals?,00:00:20
nlauuml,9,tutor,"Yes, decimals. Yes, decimals and writing what?",00:00:23
nlauuml,10,student,Writing [unclear] as decimals.,00:00:28
nlauuml,11,student,E.,00:00:28
nlauuml,12,tutor,"Yes, exactly. Writing hundreds as decimals. Yes. Okay, Callum, I'm going to do this slide. Okay, I want you to watch carefully and then do it when you are [UNCLEAR]. Okay?",00:00:36
nlauuml,13,student,Alright.,00:00:48
nlauuml,14,tutor,"Okay, Callum. So let's see how we write hundreds as decimals. If we look at the whole square. Okay, so I know this is a hundred square, right?",00:00:49
nlauuml,15,tutor,"Okay, yes. So now I'm going to count. So 1, 2, 3, 4, 5, 6, 7, 8, 9, 10. Okay, so this one row has 10 hundredths. Okay, so there are 2 rows, so there are 20 hundredths. And 1, 2, 3, so how many totally, Callum?",00:01:01
nlauuml,16,student,[unclear],00:01:20
nlauuml,17,tutor,"Yes, exactly. So there are 23 hundredths total. Okay, so can you read the yellow bubble for me? [unclear]",00:01:22
nlauuml,18,tutor,"Yes, exactly. Okay, so what they try to mean by that is, you know, this row is there, no, this row they have shaded.",00:01:39
nlauuml,19,student,Yeah.,00:01:49
nlauuml,20,tutor,"Yes, so that is one-tenth. So there are 10 hundreds and that one row is one tenth. So can you tell me how many tenths are there?",00:01:49
nlauuml,21,student,So there are two tenths.,00:02:05
nlauuml,22,tutor,"How many, Callum?",00:02:10
nlauuml,23,student,Two.,00:02:11
nlauuml,24,tutor,"Yes, exactly, two tenths. You're right, Callum. Very well done. You understood the [unclear] point. Good job, Callum. Okay, so now write this decimal in the place value chart. Okay, so there are 23 hundredths. Now I'm going to put this in the place value chart. Look carefully how I'm going to do that. So I'm going to put 0.23. Okay, Callum, you got it?",00:02:13
nlauuml,25,student,"Yes. Okay, now can you try your turn? Yes, how do you know there are 3200, Callum? [unclear]",00:02:42
nlauuml,26,student,Because there are.,00:03:06
nlauuml,27,student,[unclear],00:03:06
nlauuml,28,tutor,"Yes, Callum. Yes, exactly. Callum, can you little increase your volume?",00:03:17
nlauuml,29,student,Yeah. [unclear],00:03:26
nlauuml,30,tutor,"Yes, Callum?",00:03:35
nlauuml,31,student,Yeah. [unclear] [unclear],00:03:51
nlauuml,32,tutor,"Yes, exactly, 0.32. How do you know that?",00:04:16
nlauuml,33,student,Because it's a decimal.,00:04:19
nlauuml,34,tutor,"Yes, exactly. And this yellow color bubble, they're asking how many tenths are there in 30 hundredths. So how many tenths, Callum?",00:04:27
nlauuml,35,student,[unclear],00:04:35
nlauuml,36,tutor,"3? Yes, exactly, 3 tenths. Like here you can see in the place value chart also, see, 3 tenths. And do you see like there are 3, correctly 3 rows shaded. Or is there a?",00:04:36
nlauuml,37,student,30 hundredths.,00:04:53
nlauuml,38,tutor,"Okay. Shall we move to our next slide, Callum?",00:04:55
nlauuml,39,student,Yes.,00:05:01
nlauuml,40,tutor,A part. Can you try A part for me?,00:05:02
nlauuml,41,student,Yes. [unclear] [unclear],00:05:07
nlauuml,42,tutor,"Okay, Callum, they are asking you to write as a decimal.",00:05:23
nlauuml,43,tutor,"Yes, exactly. How is that 0.43, Callum?",00:05:45
nlauuml,44,student,"Because, because I write today as a decimal.",00:05:50
