session_id,utterance_id,role,content,timestamp
ckveznx,0,background,[unclear],00:00:00
ckveznx,1,student,"Hello, Kellan, can you hear me?",00:00:00
ckveznx,2,tutor,"Hello? Hello, Kellan, can you hear me? [unclear]",00:00:21
ckveznx,3,tutor,"Hello, Kellan. Can you hear me?",00:00:34
ckveznx,4,student,Hello.,00:00:36
ckveznx,5,tutor,"Okay, so is my audio loud and clear?",00:00:38
ckveznx,6,student,Yeah.,00:00:42
ckveznx,7,tutor,"Alright, so how are you doing today, Kellan?",00:00:44
ckveznx,8,student,I'm okay.,00:00:46
ckveznx,9,tutor,"Okay, so did anything— did you do anything interesting at school? [unclear]",00:00:49
ckveznx,10,student,Not really today.,00:00:56
ckveznx,11,tutor,"Okay, alright, that's alright. So are we ready to start our lesson for today then?",00:00:59
ckveznx,12,student,Yeah.,00:01:03
ckveznx,13,background,Yeah.,00:01:04
ckveznx,14,tutor,"So we were working on comparing fractions using reasoning. So between these two fractions with the same numerator, how will you decide which one is bigger and which is smaller? [unclear]",00:01:06
ckveznx,15,student,I can first look at— [Speaker:Kellan]...the denominator? [Speaker:Tutor] Yes.,00:01:17
ckveznx,16,student,"And I can see that this one is 3/5 and this one is 3/9. And from our last section, or the last time we did it, we did mention that the bigger the fraction,",00:01:32
ckveznx,17,student,"It actually means it's smaller, so 3/5 will be bigger.",00:01:51
ckveznx,18,tutor,"All right, so if that is correct, so can you tell me if it applies to all the fractions? So any fraction you are asked to compare, if you have a bigger denominator, does it mean that the fraction would be actually smaller?",00:01:58
ckveznx,19,student,Not always.,00:02:16
ckveznx,20,tutor,"Okay, and what are the exceptions?",00:02:19
ckveznx,21,student,If... [unclear],00:02:23
ckveznx,22,student,So would it be 3?,00:02:45
ckveznx,23,tutor,"Let me give you 2 examples. So between that, can you tell me where this rule would actually be changed? Meaning where when you have a higher denominator, this fraction is actually still bigger than the other one. So let me give you 2 examples. Let me see which one of that it would apply to.",00:02:47
ckveznx,24,tutor,So we have... [unclear],00:03:10
ckveznx,25,student,"When comparing fractions, we can use our understanding of how close the fraction is to 1 whole. You don't always have to be... [unclear]",00:03:19
ckveznx,26,student,"Well, it's like, it's empty, that's one part. Maybe we can even run it without one part and add it in.",00:03:42
ckveznx,27,tutor,"So, yes.",00:03:50
ckveznx,28,student,"I did 2, 4, 7, 6. You could like change it into a mixed number.",00:03:51
ckveznx,29,tutor,"Oh, you could do—",00:03:59
ckveznx,30,student,Half of it. Half of it. [unclear],00:04:02
ckveznx,31,tutor,"Okay, so can you tell me if that rule applies to this fraction here as well? These two fractions here.",00:04:17
ckveznx,32,student,I think it does.,00:04:34
ckveznx,33,tutor,"Okay, so between these two fractions, which do you think is bigger?",00:04:37
ckveznx,34,student,I think it's bigger. I think [UNCLEAR].,00:04:45
ckveznx,35,student,7/8.,00:04:54
ckveznx,36,tutor,"Amazing! So although you have a higher denominator here, still this fraction is much closer to the whole. So 7/8 is very closer to one whole than 3/6, which is actually half of the whole. So even though your denominator is big like in this, In here, the bigger denominator still has a higher value than the one with the smaller denominator. So this is one instance where your— where that rule would not apply. So was this clear, Kellan?",00:04:55
ckveznx,37,student,Yeah.,00:05:35
ckveznx,38,tutor,"Okay, but when you have a same numerator, so you have a 3 in here and a 3 in here as well. In cases like that, you can easily compare the denominator, and the one with the less denominator would be a smaller piece. Was that clear?",00:05:37
ckveznx,39,student,"Okay, yeah.",00:05:56
ckveznx,40,tutor,"Okay, all right. So can we try this question here?",00:05:57
ckveznx,41,background,Tutor is comparing the fractions 7/8 and 6/7. Can you help explain which one is greater?,00:06:01
ckveznx,42,tutor,"Okay, so how far away from one whole is each of these fractions?",00:06:14
ckveznx,43,student,"Yeah, it's— [unclear]",00:06:19
ckveznx,44,background,"So this one, so 7/8 is only one away.",00:06:20
ckveznx,45,tutor,"One, is it just one whole?",00:06:33
ckveznx,46,background,One— one—,00:06:35
ckveznx,47,student,8.,00:06:43
ckveznx,48,tutor,"Yeah, exactly. So that's going to be 1/8. We're dealing with fractions here. It's going to be 1/8 away from 1 whole. How about 6/7?",00:06:44
ckveznx,49,student,6/7 is going to be [UNCLEAR].,00:06:56
ckveznx,50,student,"7 is going to be on the bottom, but actually 1 is also going to be on the top.",00:07:05
ckveznx,51,tutor,"Exactly. So you need 1/7 more to get to 1 whole, and in here you need 1/8 more to get to 1 whole. So which one do you think needs a smaller piece to get to 1 whole?",00:07:13
ckveznx,52,student,I think— [unclear],00:07:30
ckveznx,53,student,It is the 1/7.,00:07:32
ckveznx,54,tutor,"Okay, so is 1/7 smaller than 1/8?",00:07:38
ckveznx,55,student,Yes. [unclear],00:07:44
ckveznx,56,tutor,"What? The numerator is same here. In that case, which fraction would be bigger? 1/8.",00:07:46
