session_id,utterance_id,role,content,timestamp
cjgbvdq,0,background,[unclear],00:00:00
cjgbvdq,1,tutor,You hear that?,00:00:00
cjgbvdq,2,student,Hello?,00:00:02
cjgbvdq,3,tutor,Hi.,00:00:08
cjgbvdq,4,student,Good.,00:00:09
cjgbvdq,5,tutor,"Sorry, Daze, have a little play and then see what you can come up with, what happens. [unclear]",00:00:10
cjgbvdq,6,tutor,What about now?,00:00:20
cjgbvdq,7,student,Hello? Hello? I don't know what to do.,00:00:30
cjgbvdq,8,tutor,Hello? Hello? [unclear],00:00:53
cjgbvdq,9,tutor,"If you do, then go for it. There we go.",00:00:57
cjgbvdq,10,tutor,Yes? [unclear],00:01:08
cjgbvdq,11,student,Hello? Hello? [unclear],00:01:12
cjgbvdq,12,tutor,Hello? Can you hear me? [unclear],00:01:17
cjgbvdq,13,student,Hello? [unclear],00:01:22
cjgbvdq,14,tutor,Hello? [unclear],00:01:24
cjgbvdq,15,student,Hello? Can you hear me? [unclear],00:01:27
cjgbvdq,16,tutor,What was wrong with the mouse? [unclear],00:01:36
cjgbvdq,17,tutor,That's fine.,00:01:41
cjgbvdq,18,student,Hello?,00:01:45
cjgbvdq,19,tutor,"Yeah, just grab— hold them out like that now. Just grab a set and then let's get going.",00:01:48
cjgbvdq,20,background,Hello? Hello? Hello? Can you hear me? [unclear],00:01:54
cjgbvdq,21,tutor,about your thing yet?,00:01:54
cjgbvdq,22,student,What?,00:01:54
cjgbvdq,23,tutor,About your session later. [unclear],00:02:21
cjgbvdq,24,tutor,"What's this? You need to pay attention, Calliope. [unclear]",00:02:39
cjgbvdq,25,tutor,Hello? I think I cannot hear you.,00:03:10
cjgbvdq,26,student,"Hi, Calliope's teacher.",00:03:17
cjgbvdq,27,tutor,There's no audio from your end.,00:03:18
cjgbvdq,28,tutor,I don't know if you can hear me. [unclear],00:03:22
cjgbvdq,29,student,Hello?,00:03:23
cjgbvdq,30,tutor,Hello? Can you hear me?,00:04:21
cjgbvdq,31,student,Hello? Can you hear me now? [unclear],00:04:27
cjgbvdq,32,tutor,Hello?,00:04:39
cjgbvdq,33,background,"Hello, hello, hello?",00:04:40
cjgbvdq,34,tutor,Can you hear me now?,00:04:42
cjgbvdq,35,background,No. [unclear] Hello?,00:04:43
cjgbvdq,36,tutor,"Hello, can you hear me now?",00:04:50
cjgbvdq,37,background,"No. Yeah, well, kind of. Can you hear me?",00:04:53
cjgbvdq,38,tutor,"Yes, I can hear you. [unclear]",00:04:57
cjgbvdq,39,tutor,Hello?,00:05:27
cjgbvdq,40,student,"Hello, can you hear me now?",00:05:28
cjgbvdq,41,student,Hello?,00:05:32
