session_id,utterance_id,role,content,timestamp
jyzcsed,0,background,[unclear],00:00:00
jyzcsed,1,tutor,Hello? [unclear] [unclear],00:00:00
jyzcsed,2,tutor,"Hello, Linus, can you hear me?",00:00:28
jyzcsed,3,student,So basically—,00:00:40
jyzcsed,4,tutor,"Yes, I can.",00:00:41
jyzcsed,5,student,Okay.,00:00:42
jyzcsed,6,tutor,"Okay, so how was your day, Linus, so far?",00:00:44
jyzcsed,7,student,"Yeah, good.",00:00:48
jyzcsed,8,tutor,"Was it good? Okay, so we are going to start with a new lesson today. So can you read the topic here? What's written?",00:00:50
jyzcsed,9,background,Finding equivalent fractions.,00:01:01
jyzcsed,10,tutor,"Okay, so can you try out this learning goal question here? [unclear]",00:01:03
jyzcsed,11,tutor,You can read it aloud and try the question.,00:01:18
jyzcsed,12,student,Write each... [unclear],00:01:24
jyzcsed,13,tutor,Mm-hmm.,00:01:27
jyzcsed,14,student,number.,00:01:27
jyzcsed,15,tutor,Okay.,00:01:29
jyzcsed,16,student,"Write each set of fractions so that we common denominator them, putting them in order from smallest to largest.",00:01:32
jyzcsed,17,tutor,"Yes, that's correct. So Linus, how did you notice that it was 18?",00:01:38
jyzcsed,18,student,"Because 5... 3 times 5 equals 15, and 6... 6 times— by 3 times 6 equals 18.",00:01:46
jyzcsed,19,tutor,"So we need to do the same thing for both the numerator and denominator, right? That's what's happening in equivalent fractions. Great. [unclear]",00:02:12
jyzcsed,20,background,"Since you know the basics, we'll be just directing towards the You Do slide.",00:02:24
jyzcsed,21,tutor,"So try doing this question, Linus. First part A and part B.",00:02:30
jyzcsed,22,student,"Greater than or less than. So say that little corner bit, that is the less than. Less than, that would be greater than, that would be greater than. But when we rule, we have to remember there used to be a property [unclear] and we had to do [UNCLEAR].",00:02:38
jyzcsed,23,background,20 times 4.,00:02:52
jyzcsed,24,tutor,"Yeah, that's how they described them when we were younger.",00:02:59
jyzcsed,25,background,"So, not sure what to do with the 10.",00:03:02
jyzcsed,26,tutor,So I'm ready for the next slide.,00:03:09
jyzcsed,27,background,"Yeah, I'm ready for the next slide. [unclear] [unclear]",00:03:13
jyzcsed,28,tutor,"But you need to do the layout part A first. So you have to count the shaded parts first and the unshaded parts next, and you can write a fraction there. And just write a similar equivalent fraction. [unclear]",00:03:25
jyzcsed,29,tutor,"Linus, can you answer the first question? Do you need any help from me?",00:03:54
jyzcsed,30,student,"Yes, I do.",00:03:59
jyzcsed,31,tutor,"Okay, so how many small squares are there in this shape?",00:04:02
jyzcsed,32,student,16.,00:04:10
jyzcsed,33,tutor,"Okay. So altogether there are 16 small squares, right? So we can write 16 in the denominator, right? So you know the numerator and denominator, right, Linus? [unclear] So do you know about numerator and denominator?",00:04:13
jyzcsed,34,student,Yes.,00:04:33
jyzcsed,35,tutor,"Okay, so we are going to write the whole amount of squares in the denominator, right? Okay.",00:04:35
jyzcsed,36,tutor,So next we need to write how many shaded parts are there.,00:04:41
jyzcsed,37,student,[unclear],00:04:46
jyzcsed,38,tutor,"Okay, so we have to write 12 as the numerator, right? So the total number of squares should be in the denominator and the ones which are shaded should be the numerator, right? Okay, so one write one fraction as 12/16. So can you write an equivalent fraction for this fraction? Write an equivalent fraction to this fraction.",00:04:50
jyzcsed,39,student,"3/10 needs to be times by 2, so... [unclear]",00:04:50
jyzcsed,40,tutor,I'll write it on the last one.,00:05:28
jyzcsed,41,student,That would say... [unclear],00:05:30
jyzcsed,42,tutor,"Okay, that's correct too. So you can even divide with the same number. [unclear] All right, so if you divide both the numerator and denominator by 4, it's 3/4, right? That's correct too, right? Got it?",00:05:34
jyzcsed,43,student,Yeah.,00:05:52
jyzcsed,44,tutor,"So you have multiplied by 2 both the numerator and denominator, so you can use division too.",00:05:53
jyzcsed,45,tutor,"So I have divided both the numerator and denominator by 4, so I have got this fraction. That's also correct, right? Okay, Linus, move to the part B here. [unclear] The same thing is happening there also. So try doing it now.",00:06:01
jyzcsed,46,student,One fourth is the smallest.,00:06:30
jyzcsed,47,tutor,"So yeah, it starts with the 1, then it goes to 1/10, 1/100, 1/20, and it goes to 1/1000.",00:06:33
jyzcsed,48,student,And then 5/20 is the second smallest. [unclear],00:06:42
jyzcsed,49,tutor,"Okay, so can you divide that fraction and write something?",00:06:51
jyzcsed,50,tutor,"Divide me the number. Divide— okay, that's correct.",00:06:56
jyzcsed,51,student,It's 1.,00:07:10
jyzcsed,52,tutor,"Yes. [unclear] Okay, well done. [unclear]",00:07:12
jyzcsed,53,tutor,Write the decimal number shown. [unclear],00:07:25
jyzcsed,54,student,I've already spotted which was greater. I've not met Teacher yet.,00:07:41
jyzcsed,55,tutor,"So I'm just going to get a colour code. So this number would be— so when I try to type it again, you get a [UNCLEAR].",00:07:48
jyzcsed,56,student,"Basically, 2 divided by 2 equals 1, so 8 divided by 2 equals 4. [unclear]",00:08:15
jyzcsed,57,tutor,Yeah? [unclear],00:08:27
jyzcsed,58,tutor,And here is that final answer. [unclear],00:08:40
jyzcsed,59,student,bigger.,00:08:40
jyzcsed,60,tutor,bigger.,00:08:40
jyzcsed,61,student,one-sixth is the smallest. And then two-ninths is the second smallest.,00:08:40
jyzcsed,62,tutor,five-eighteenths is the third smallest.,00:08:40
jyzcsed,63,student,"is the third smallest and one-third is the fourth smallest. No, biggest.",00:08:40
jyzcsed,64,tutor,Yeah.,00:09:19
jyzcsed,65,student,But it's [UNCLEAR]...,00:09:23
jyzcsed,66,tutor,hard to beat. [unclear],00:09:23
jyzcsed,67,tutor,I'm just figuring something out.,00:09:45
jyzcsed,68,student,"Oh, so that's 2 tens. [unclear]",00:09:56
jyzcsed,69,student,And then you need another 5 to get... [unclear],00:10:00
jyzcsed,70,student,"Um, 5 times 8 equals 40, so times 3 by 8 to make 24.",00:10:12
jyzcsed,71,tutor,"Okay, that's how you got 24.",00:10:21
jyzcsed,72,tutor,Right? Great.,00:10:25
jyzcsed,73,student,Mm-hmm.,00:10:27
jyzcsed,74,tutor,"Okay, Linus, this is the last slide. So try doing this. [unclear]",00:10:27
jyzcsed,75,background,this is... these are the two tenths.,00:10:27
jyzcsed,76,background,"Basically, say there was one tenth.",00:10:48
jyzcsed,77,tutor,"There's 1, 2, 3. It would be 3 to include 3.",00:10:51
jyzcsed,78,student,"Yeah, I can. [unclear]",00:10:57
jyzcsed,79,tutor,"10. So that would be a tenth. We say ten because we're past the decimal point, so it's a tenth.",00:11:05
jyzcsed,80,background,"Uh, I'm gonna need more ones. [unclear]",00:11:14
jyzcsed,81,tutor,It's not 10.,00:11:35
jyzcsed,82,background,"5, 7, and 5 here. And check whether... [unclear]",00:11:36
jyzcsed,83,student,Sorry.,00:12:00
jyzcsed,84,tutor,"Oh, wait, the final answer? [unclear]",00:12:06
jyzcsed,85,tutor,Mm-hmm. [unclear],00:12:11
jyzcsed,86,tutor,"Oh, I will wear it. I know where it comes from.",00:12:43
jyzcsed,87,background,get my rings.,00:12:43
jyzcsed,88,tutor,"Um, it would be nice to get to— it would be nice to—",00:12:52
jyzcsed,89,background,free time.,00:12:52
jyzcsed,90,tutor,15.,00:12:52
jyzcsed,91,student,5 times 2 is 10. [unclear] [unclear],00:13:03
jyzcsed,92,student,I'm trying to figure it out.,00:13:35
jyzcsed,93,tutor,You can set a picture here by writing the number here.,00:13:45
jyzcsed,94,student,Yes.,00:13:53
jyzcsed,95,tutor,So what's the purple line? [unclear],00:13:55
jyzcsed,96,student,of water.,00:13:55
jyzcsed,97,tutor,There are 3 bits of it. [unclear],00:14:11
jyzcsed,98,background,of water.,00:14:11
jyzcsed,99,tutor,"Okay, that's 7.",00:14:15
jyzcsed,100,tutor,"Linus, how did you get these 3 answers? [unclear]",00:14:21
jyzcsed,101,student,"3 times 5 equals 15, and add on 5 equals 20. But then 9",00:14:26
jyzcsed,102,student,9 adds 3. [unclear],00:14:48
jyzcsed,103,tutor,"9 is the 15 and 3 is the— and 3 is 5. And add them both together, you get 12. [unclear]",00:14:55
jyzcsed,104,tutor,"Okay, so you can recheck your answers by writing the measurement 1/10 first, right? Good.",00:15:13
jyzcsed,105,student,Mm-hmm.,00:15:22
jyzcsed,106,tutor,"Okay, so what did you learn in this lesson, Linus?",00:15:23
jyzcsed,107,student,Finding equivalent fractions.,00:15:29
jyzcsed,108,tutor,"Okay, so you really did a great job throughout the lesson, Linus. So, you can Great job! And you know your basic [UNCLEAR]. Only thing with this slide— I have to go forward. This side you did a very great job also. Okay, let's show them what's the next question? Yeah. If I had 5... But same as it happens outside, we have one pole but we need to attach two lines around that pole. So how many poles do we need to add?",00:15:32
jyzcsed,109,tutor,Comparing and ordering fractions. [unclear],00:16:15
jyzcsed,110,student,Yes. [unclear] [unclear],00:16:25
jyzcsed,111,tutor,"Because basically, if you had to make, say, this and it was only like 5 of them, 5 times 2 is 10, so then 10 times 2 is 20, but 4, and same thing if you had 7 of one type, [unclear]",00:16:36
jyzcsed,112,tutor,"That would be 0.15. Yes, that's what I'm trying to say. [unclear]",00:17:02
jyzcsed,113,tutor,may be the order. Some scholars [UNCLEAR].,00:17:02
jyzcsed,114,student,"It's mainly about the denominator. The smaller it is, the larger the fraction is. But then if the fraction is...",00:17:29
jyzcsed,115,tutor,[unclear],00:17:29
jyzcsed,116,student,"But then if the numerator is... I don't really know how to explain. I'm finding it's hard to explain it, but basically...",00:17:54
jyzcsed,117,tutor,Yes. [unclear],00:18:19
jyzcsed,118,background,Yeah. [unclear],00:18:28
jyzcsed,119,tutor,So what did you control in the [UNCLEAR]?,00:18:47
jyzcsed,120,student,"Yeah, I was putting down a score.",00:18:53
jyzcsed,121,tutor,What is a point?,00:18:57
jyzcsed,122,student,"So it could be one, or it could be 10 points. [unclear]",00:19:00
jyzcsed,123,student,"2, 3, 3, uh, 3, 2, uh, 3, 4, 2, 5. So it's 'cause that's a zero, but 1.15 is greater than 1.082.",00:19:08
jyzcsed,124,tutor,But if I just had one [unclear],00:19:33
jyzcsed,125,student,"Yeah, I'm just trying to find [UNCLEAR].",00:19:42
jyzcsed,126,tutor,Add 2 is times 1.,00:19:47
jyzcsed,127,tutor,"Um, I can't hear you.",00:20:07
jyzcsed,128,background,"Okay, um, yeah. [unclear]",00:20:11
jyzcsed,129,tutor,"Um, I can't hear you.",00:20:19
jyzcsed,130,background,"Hello, Linus?",00:20:28
jyzcsed,131,tutor,Hello?,00:20:30
jyzcsed,132,background,That's correct. How did you notice that both the fractions are equal in size?,00:20:31
jyzcsed,133,student,"3 times 2 equals 6, and 5 times 2 equals 10.",00:20:40
jyzcsed,134,background,"Okay. So you can see that 3/5 is the equivalent fraction of 6/10. Them as well, right? So those two are equal. Got it?",00:20:50
jyzcsed,135,student,Yeah.,00:21:01
jyzcsed,136,tutor,"Okay, now move on to the part B thing. It would be this one. [unclear] [unclear]",00:21:03
jyzcsed,137,student,"So, the TV shows how fast their children—",00:21:36
jyzcsed,138,tutor,"Okay, Linus, can you check that as well?",00:21:40
jyzcsed,139,student,"So, it says their",00:21:44
jyzcsed,140,background,"Stan, Max, Jamal, Lucy, Charlie, and Ronald.",00:21:45
jyzcsed,141,tutor,So just find a common multiple of the denominator and try doing it.,00:21:50
jyzcsed,142,student,Jamal jumped 2.84. Lucy jumped 3.19. Charlie jumped 3.09. And [unclear] jumped 2.93.,00:21:58
jyzcsed,143,student,In previous questions—,00:22:18
jyzcsed,144,tutor,"Linus, can you make the denominator 9 in this fraction also? Tutor, can you make the denominator 9 in this chart? [unclear] [unclear]",00:22:21
jyzcsed,145,tutor,So how did you get the answer? What's your answer?,00:22:43
jyzcsed,146,student,3 times 9 equals— 3 times— 2 times 3 equals 6. And 3 times 3 equals 9. [unclear],00:22:50
jyzcsed,147,tutor,"5.9 is smaller than 7.9, right?",00:23:11
jyzcsed,148,student,Mm-hmm.,00:23:15
jyzcsed,149,tutor,"Okay. Okay, Linus, great.",00:23:17
jyzcsed,150,background,move on to this one.,00:23:17
jyzcsed,151,tutor,Yeah.,00:23:22
jyzcsed,152,background,Read the question and find me the proportion. [unclear],00:23:23
jyzcsed,153,tutor,"3. The longest, and that's how I work things out instead of using a grid that says max jump 3, 4, 3, 4, and then we add new [unclear] jumps, 3, 9, 1, 12, 8, and so on and so forth because I can't work it out that way. I don't like working it out that way. Well, I can actually work it out that way, I just don't like working it out that way.",00:23:27
jyzcsed,154,tutor,"Right, okay.",00:24:01
jyzcsed,155,tutor,Because it takes longer doing that [unclear] instead of actually watching what I just did. So say if I erase everything. So say I have 3 new thoughts. [unclear],00:24:04
jyzcsed,156,tutor,"So you have various denominators, but you can't convert them all into one denominator. So it's easy to compare all of the fractions. [unclear]",00:24:32
jyzcsed,157,tutor,So make all the denominators just 20. [unclear],00:25:01
jyzcsed,158,student,"So we did 4 times 3 is 12, so that's the common denominator.",00:25:30
jyzcsed,159,student,"And then you have to times 3 by 4 to get— no, 3 by 3 to get 9, and then you add [unclear] by 5 to get to the 9. So that's multiplying and dividing whole numbers by 10 and 100.",00:25:44
jyzcsed,160,tutor,I'm done. I'm really good at stupid calculations.,00:26:05
jyzcsed,161,tutor,"So you can write the fraction here. 2/5, convert it into a denominator 20 and write the relevant fraction here. Convert this into denominator as 20 and write the fraction here. Convert [unclear] as 20 and write the fraction here.",00:26:11
jyzcsed,162,student,"You will have 0, no, 0.0207.",00:26:30
jyzcsed,163,student,But it's 206 if you times it.,00:26:39
jyzcsed,164,tutor,And the prior learning says write the number shown.,00:26:48
jyzcsed,165,student,"Ooh, I can do that.",00:26:51
jyzcsed,166,tutor,"You alright, Sid? What's the matter? [unclear] What's the matter? [unclear]",00:26:53
jyzcsed,167,tutor,"You are there to learn, okay? Now, Sister might divide the numbers into 2 groups. [unclear] This isn't a test or anything like that, this is just to help you. There you go. [unclear]",00:27:03
jyzcsed,168,student,Yes.,00:27:26
jyzcsed,169,tutor,Very good.,00:27:28
jyzcsed,170,tutor,"Ooh, that's it. [unclear]",00:27:29
jyzcsed,171,tutor,"So what was the mistake you did earlier, Linus?",00:27:31
jyzcsed,172,student,Um...,00:27:43
jyzcsed,173,tutor,I know you fixed it soon.,00:27:46
jyzcsed,174,student,Um...,00:27:48
jyzcsed,175,tutor,"Because it's got a text point, same as any blank. [unclear]",00:27:50
jyzcsed,176,tutor,"You know it, but you got wrong.",00:27:58
jyzcsed,177,student,Mm-hmm.,00:28:03
jyzcsed,178,tutor,"Okay, it's okay. So make sure you make the denominators the same number, so it's easier for you to compare, right?",00:28:07
jyzcsed,179,student,Divide by—,00:28:15
jyzcsed,180,tutor,"Okay, Linus, try the part B here. [unclear]",00:28:16
jyzcsed,181,tutor,"You'll get A, B, C, O.",00:28:21
jyzcsed,182,student,I did that one. [unclear],00:28:42
jyzcsed,183,student,"So my brain wasn't working properly, so I did [unclear] instead of 0.8, which should be 0.48. I know that because we did decimals in, um, maths today.",00:28:47
jyzcsed,184,tutor,Yeah. [unclear],00:29:03
jyzcsed,185,tutor,"Linus, please read the answers, please.",00:29:21
jyzcsed,186,background,"To make them a common denominator, right?",00:29:25
jyzcsed,187,tutor,So what's the easiest number you can make the denominators all one thing? What's the easiest number? [unclear],00:29:30
jyzcsed,188,tutor,Yes.,00:29:39
jyzcsed,189,background,"please, one line per turn as `Tutor:...`",00:29:39
jyzcsed,190,background,you can make all the number sections too.,00:29:39
jyzcsed,191,student,I'm just figuring how to do it. I don't know how to do it.,00:29:52
jyzcsed,192,background,Linus? So what's the easiest denominator?,00:29:52
jyzcsed,193,student,9. [unclear],00:30:03
jyzcsed,194,tutor,This one.,00:30:09
jyzcsed,195,student,"Okay, that's correct.",00:30:18
jyzcsed,196,tutor,This one is correct.,00:30:21
jyzcsed,197,tutor,I know it now. I figured it out. I figured it out. Okay. [unclear],00:30:32
jyzcsed,198,student,"So 543. Okay, it says divide by 100. So basically it says take away [unclear]",00:30:46
jyzcsed,199,tutor,"But say you have to times it, you have to times it by 3.",00:30:57
jyzcsed,200,background,"So how did you work out this one, Linus?",00:31:05
jyzcsed,201,student,"Like, there's 2 zeros.",00:31:08
jyzcsed,202,tutor,"It's because I made all of these denominators 18, it's again 3, 4, 5, then 18. [unclear]",00:31:10
jyzcsed,203,tutor,"Okay, so you can convert all the fractions into a common denominator. So as an example, it's 18 here, so it's [unclear] all the fractions, right? Got it?",00:31:25
jyzcsed,204,student,Yes.,00:31:41
jyzcsed,205,tutor,"Okay, shall we move on to the next slide?",00:31:41
jyzcsed,206,student,Yeah. [unclear],00:31:46
jyzcsed,207,student,"But... so but, because it's asking us to try and do add-on",00:32:07
jyzcsed,208,tutor,"Like, say, the NBC, bro, you put it's 5,100 [unclear]",00:32:13
jyzcsed,209,background,Yeah.,00:32:24
jyzcsed,210,tutor,Yeah.,00:32:28
jyzcsed,211,background,"Because basically it's bigger, it's basically bigger than people.",00:32:37
jyzcsed,212,tutor,"because of one of the previous questions with it being... [UNCLEAR]...which is bigger, 7/10 or 3/5?",00:32:37
jyzcsed,213,student,"it's because one of the questions questions earlier was basically the same with it being which one is bigger, 7/10 or 3/5? [unclear]",00:32:37
jyzcsed,214,tutor,"Good. That's how you notice that hockey has the most water, right? Hockey's done.",00:33:26
jyzcsed,215,student,Mm-hmm.,00:33:33
jyzcsed,216,tutor,"Okay, good. Shall we move on to the next lesson quickly without wasting time?",00:33:36
jyzcsed,217,student,Yeah. [unclear],00:33:52
jyzcsed,218,background,Because adding and subtracting...,00:33:53
jyzcsed,219,student,[unclear],00:34:10
jyzcsed,220,tutor,"Yes, but not that much.",00:34:10
jyzcsed,221,background,"Okay, so you are not confident enough, right? It's okay. It's a learning world which we are in. Can we try that one? Try that one.",00:34:14
jyzcsed,222,tutor,So make a common denominator so it's easy. Look at the question properly.,00:34:32
jyzcsed,223,student,I do that a lot in maths because we have [unclear] where you have to do [unclear],00:34:48
jyzcsed,224,student,and it says... [unclear],00:34:48
jyzcsed,225,student,"We can make 5, 10 in this sum, so the numerator changes too. So after that, you can just add it.",00:35:21
jyzcsed,226,tutor,"Minus, say, whatever.",00:35:38
jyzcsed,227,tutor,So can you make the denominator 10 here?,00:35:45
jyzcsed,228,student,I'm just—,00:35:52
jyzcsed,229,tutor,What do you need to do?,00:35:53
jyzcsed,230,student,"I often just look at— I'm like, thing that says [unclear] and I look at things and I'm like—",00:35:55
jyzcsed,231,tutor,Denominator 10. What should you do to this fraction?,00:35:59
jyzcsed,232,student,I don't know. Yeah? [unclear],00:36:05
jyzcsed,233,tutor,"We need to multiply by 2, right?",00:36:10
jyzcsed,234,student,Yeah.,00:36:13
jyzcsed,235,tutor,"Both the denominator and numerator. So here, after that you are getting 4/10, right?",00:36:15
jyzcsed,236,student,Mm-hmm.,00:36:24
jyzcsed,237,tutor,Here?,00:36:26
jyzcsed,238,student,Yeah.,00:36:27
jyzcsed,239,tutor,"Okay, if it's not here, it's coming 4/10, it's here. So you have to add 3 here.",00:36:29
jyzcsed,240,tutor,"Now, so adding 3/10 is now 1/8. [unclear]",00:36:36
jyzcsed,241,student,"The denominator is 8, so we can write the same denominator here as 10. [unclear]",00:36:40
jyzcsed,242,tutor,"4 and 3, what's the answer? [unclear]",00:37:02
jyzcsed,243,student,4 and 3.,00:37:13
jyzcsed,244,tutor,"5. Look at it, please.",00:37:15
jyzcsed,245,student,"Yeah, sorry. Hello?",00:37:21
jyzcsed,246,tutor,I'm just—,00:37:25
jyzcsed,247,background,"Okay, I'll just catch you later. [unclear]",00:37:27
jyzcsed,248,tutor,"Now that's correct. Did you got it? Is it clear for you? Is that clear for you, Linus?",00:37:33
jyzcsed,249,student,Mm-hmm.,00:37:46
jyzcsed,250,tutor,"Okay. Since the time is coming up, Linus, so you will come here in our next week, right?",00:37:49
jyzcsed,251,tutor,Mm-hmm.,00:37:58
jyzcsed,252,background,"Okay, so thank you for focusing on the letter Linus.",00:38:00
jyzcsed,253,tutor,Yeah.,00:38:05
jyzcsed,254,background,Have a nice day. Bye-bye.,00:38:05
jyzcsed,255,tutor,Bye. Bye.,00:38:08
