session_id,utterance_id,role,content,timestamp
fbsqlbk,0,background,[unclear],00:00:00
fbsqlbk,1,tutor,"Hello. How are you, Tobias?",00:00:00
fbsqlbk,2,student,"Yeah, yeah.",00:00:07
fbsqlbk,3,tutor,How are you?,00:00:09
fbsqlbk,4,student,I'm good.,00:00:10
fbsqlbk,5,tutor,You're good. How was your New Year?,00:00:12
fbsqlbk,6,student,Good.,00:00:19
fbsqlbk,7,tutor,Good. So how was your holidays? What did you do during the holidays? What did you do?,00:00:21
fbsqlbk,8,student,Good.,00:00:28
fbsqlbk,9,tutor,"Okay, did you go somewhere? What did you do? [Speaker:Tobias]... [UNCLEAR]",00:00:29
fbsqlbk,10,tutor,What else did you do? [unclear],00:00:39
fbsqlbk,11,student,I don't know.,00:00:44
fbsqlbk,12,tutor,"You don't know, okay. So can you remember what we did last time, last lesson?",00:00:55
fbsqlbk,13,student,Like...,00:01:00
fbsqlbk,14,student,"Like, don't know.",00:01:07
fbsqlbk,15,tutor,"You can't remember. Okay, it's okay. So we were doing about the times tables of 2, 5, and 10. So do you— can you remember? We were talking about 2 times table, 5 times table, and 10 times table. [unclear]",00:01:09
fbsqlbk,16,student,You know everything.,00:01:26
fbsqlbk,17,tutor,"Very good. You know the times table. Okay, so we have this last question, right? Last slide of this lesson. Okay, so I will read it for you. Listen carefully. [unclear] I will read this question, you listen carefully and tell me how you can— how you will do this question. Okay?",00:01:27
fbsqlbk,18,student,Yeah.,00:01:51
fbsqlbk,19,tutor,"Okay, so can you try reading this?",00:01:53
fbsqlbk,20,student,"Yeah. 1, 2, 3, 4, 5, 6, 7, 8, 9, 10. Tobias? [unclear]",00:01:56
fbsqlbk,21,tutor,"Yes, [Speaker:Tobias]... [UNCLEAR]",00:02:17
fbsqlbk,22,tutor,"I will read the question, okay? You listen to me. I will read the question. After that, you tell me how you will do it, okay? So which has the most biscuits? Now we have to find out which has the most biscuits, okay? So there are 4 bags of biscuits in the first line. There are 4 bags of biscuits in this, right? With 5 in each packet, right? In each packet there are 5 biscuits. There are 4 bags, in each there are 5 biscuits, right? [unclear] 3 bags of biscuits which have 10 each in packets, right? So they are asking which has most.",00:02:18
fbsqlbk,23,tutor,You have to find out whether this one has most or this one. [unclear],00:02:58
