session_id,utterance_id,role,content,timestamp
bkcxsow,0,tutor,Hello?,00:00:00
bkcxsow,1,background,[unclear],00:00:00
bkcxsow,2,student,"Hi, Kaelen. Very warm welcome to the session. Can you hear me?",00:00:01
bkcxsow,3,tutor,Kind of.,00:00:07
bkcxsow,4,student,Hello.,00:00:08
bkcxsow,5,tutor,"Hello, can you hear me? [unclear] [unclear]",00:00:16
bkcxsow,6,tutor,Hello?,00:00:54
bkcxsow,7,student,Hello.,00:00:57
bkcxsow,8,background,Hello.,00:00:59
bkcxsow,9,tutor,Hello.,00:01:01
bkcxsow,10,background,Hello. Can you hear me now?,00:01:01
bkcxsow,11,tutor,Yes.,00:01:03
bkcxsow,12,tutor,"Okay, a very warm welcome to the session. Kaelen, am I pronouncing your name correct? [Speaker:Kaelen]...yes. [Speaker:Tutor] Okay, so today we will be continuing using mental strategies to divide. So, can you take me through what you remember from your previous session? [unclear]",00:01:04
bkcxsow,13,student,I can't.,00:01:31
bkcxsow,14,tutor,"Okay, that's absolutely fine, Kaelen. Okay, so here you need to continue from question 2 here. Go through [UNCLEAR]. So I'm sure that you were told there are 2 methods to divide mentally. [Speaker:Kaelen] Yeah.",00:01:34
bkcxsow,15,tutor,"So the first method being partitioning. And partitioning was done in the previous week. So in partitioning, as you can see, 84 has been partitioned to 2 parts, and then each part is divided by 7. Okay?",00:01:48
bkcxsow,16,student,Yes.,00:02:21
bkcxsow,17,tutor,"Yes, so 70 divided by 7. Is going to give you a 10. And then what do you do next?",00:02:22
bkcxsow,18,student,I do— I put 10 here.,00:02:36
bkcxsow,19,tutor,"Yes. And then you do 14 divided by 7, which is the second part. That is a 2, and 2 times 7 is 14. Okay. And what do you have to do next?",00:02:39
bkcxsow,20,student,[unclear] 84 divided by 7.,00:02:54
bkcxsow,21,tutor,"Yes, but before that, we're going to add these two numbers together, which is 12. 84 divided by 7 will be giving you 12. Okay, is that clear to you?",00:03:00
bkcxsow,22,student,[unclear],00:03:20
bkcxsow,23,tutor,"Yeah, 10, 2 here. Yes, so that's partitioning, and now we move on to the second method to divide mentally. Okay, all right, so can you read the question and try working it out?",00:03:20
bkcxsow,24,student,180 divided by 12.,00:03:39
bkcxsow,25,student,"It's... So 180 plus... [UNCLEAR]...partitions 120 plus 60 divided by 12, then 420 divided by 12 is... [Speaker:Tutor]...yes? [unclear]",00:03:47
bkcxsow,26,tutor,"Okay. Fantastic job putting in effort and completing the questions over here. Kaelen, before moving on, can you give me a quick summary of the steps you followed to partition the division calculation?",00:04:17
bkcxsow,27,student,"First, if you want to do 180 divided by— so if you want to do 80 divided by 12.",00:04:36
bkcxsow,28,tutor,Yes.,00:04:43
bkcxsow,29,student,Or you can do 96 divided by 12. You have to do— [unclear],00:04:44
bkcxsow,30,background,"We have to first partition the number, yeah?",00:04:54
bkcxsow,31,student,"Yes, then you can divide the numbers. [Speaker:Kaelen]...by the one of the [UNCLEAR] numbers, then do the other, then you can add them up.",00:04:58
bkcxsow,32,tutor,"Yes, there you go. So very well done recalling the steps. So now I will be talking you through the working of the question here. So let's look at using factors as another way to divide in our heads or with jottings. So as I said, we're looking at two methods. The first was using partitioning, and now we will be learning using factors. So are you familiar with factors, Kaelen?",00:05:06
bkcxsow,33,student,Not really.,00:05:37
bkcxsow,34,tutor,"Okay, that's absolutely fine. Let me tell you what factors are. Okay, so factors. So when you multiply, 2 numbers together to get a product. Example, you multiply 2 digits together here, and this gives you a product which is 12. So here, 3 and 4 are the factors of 12. [unclear]",00:05:39
bkcxsow,35,tutor,"Yes. Similarly, let's say you're going to find the factors of 6. So you do 4 times 4 is 16. So here the factors of 16 are 4 and 4. Since it is the same number, you can just say that the factor of 16 is 4. Is that clear to you? [Speaker:Kaelen]...yes. [Speaker:Tutor] Okay. So similarly, here we're looking at the factors of 6.",00:06:15
