session_id,utterance_id,role,content,timestamp
hdruugm,0,background,[unclear],00:00:00
hdruugm,1,tutor,"Hi, Tobias.",00:00:00
hdruugm,2,student,Hello. [unclear],00:00:01
hdruugm,3,tutor,"Tobias, can you hear me?",00:00:09
hdruugm,4,student,Yes.,00:00:11
hdruugm,5,tutor,"All right, so how has your day been so far, Tobias? Was it good?",00:00:13
hdruugm,6,student,Yes.,00:00:19
hdruugm,7,tutor,"Okay, so did you do something interesting at your school today?",00:00:21
hdruugm,8,background,Really?,00:00:31
hdruugm,9,tutor,"All right, so shall we start our today's session? [unclear]",00:00:32
hdruugm,10,background,"Yeah, we should.",00:00:36
hdruugm,11,tutor,"Okay, yes. So today we are going to start a new lesson, comparing numbers up to 2 decimal places using money. So in this lesson, we will be using pounds and pence to help with the comparing numbers with up to 2 decimal places. [unclear]",00:00:42
hdruugm,12,tutor,"Right, so I could see that you have already gone through the learning goal question over here, right? So can you tell me, Tobias, what does this question ask you to do? The correct symbol or equal to each of the statements.",00:01:07
hdruugm,13,tutor,"All right, so you have selected this symbol, right? So what does that mean, Tobias? Can you tell me?",00:01:26
hdruugm,14,student,That the number that I've picked has more than the number that [unclear] picked.,00:01:33
hdruugm,15,tutor,"All right, so this says 5.4 that is greater than 5.25. So that's the correct answer for this question, Tobias. I really appreciate your independent working out in the learning goal question. So can you tell me, Tobias, why do you think that 5.4 is greater than 5.25?",00:01:41
hdruugm,16,student,[unclear] [Speaker:Tutor]...is less than tenths. [Speaker:Tobias] Mm-hmm. Okay. [unclear],00:02:04
hdruugm,17,tutor,"Right, so in 5.4, we have 5 ones, and this number 5.25 also, we have 5 ones. But when it comes to the tenths, We do have 4 tenths in this question, but in this one we do have only 2 tenths, right? So now we can say 4 tenths is greater than 2 tenths. That is why 5.4 is greater than 5.25, right?",00:02:24
hdruugm,18,tutor,"So, um, you have done the prior learning question as well. We don't have to go through the prior learning question because you have done independent working out in the learning goal question over here. Therefore, we can directly go in to the You Do side over here to practice more about comparing numbers with up to 2 decimal places. Right, so shall we go through this one as well, Tobias? What does it say?",00:02:56
hdruugm,19,student,"It says complete the following using the symbols. You can write the [unclear] as amount of money, if it helps.",00:03:26
hdruugm,20,tutor,"Okay, so you have done the Part A over here. And what are the, uh, two monies they have represent in pounds in Part A, Tobias?",00:03:43
hdruugm,21,student,So they represent [unclear],00:03:58
hdruugm,22,tutor,"Right, so what is the number over here? How do we say that out loud?",00:04:05
hdruugm,23,student,£4.05.,00:04:11
hdruugm,24,tutor,Exactly. And what is this number?,00:04:15
hdruugm,25,student,£4.50.,00:04:18
hdruugm,26,tutor,"Yeah, so that is £4.50, and you have decided that £4.50 is greater than £4. 5 pets, right? So that is the correct answer over here. And moving on to Part B. So, uh, what does this symbol show to us, Tobias? Can you explain me?",00:04:21
hdruugm,27,student,"So it shows like the numbers, so you can put this in [UNCLEAR].",00:04:44
hdruugm,28,tutor,Yes. And what are the two numbers we do have in this Part B?,00:05:00
hdruugm,29,student,6.3 and 6.75. [unclear],00:05:05
hdruugm,30,tutor,"Okay. So we do have the numbers 6.3 and 6.75. So I want you to recheck your answer over here, Tobias. Yeah, shall we go through Part B again? [unclear] Okay, so I'm talking about Part B over here. Shall I erase that for you?",00:05:15
hdruugm,31,student,Yes.,00:05:45
hdruugm,32,tutor,All right. [unclear],00:05:48
hdruugm,33,tutor,"Okay, so I could see that you have changed your answer in Part B, right? So can you tell me the reason? Why did you change your answer over there, Tobias?",00:05:59
hdruugm,34,student,"Because there's two of the hundreds. Well, I believe makes it [unclear] And if it did, it would be 6.7 and then 5 hundredths. And that is bigger than 6.3.",00:06:11
hdruugm,35,tutor,"OK, so when it comes to comparing numbers, we're going to go through place value chart, place values in the numbers, isn't it, Tobias? So in which place value do we have to start comparing?",00:06:30
hdruugm,36,tutor,"Yeah, we do have to start comparing the highest place value, isn't it? [unclear] Right, so in this number, what is the highest place value? We do have ones and tenths in number 6.3, and what is the highest place value?",00:06:47
hdruugm,37,tutor,"No, Tobias, I cannot hear you. How about you? Can you hear me? [unclear] Okay, so I cannot hear you from your end. That's the issue, Tobias. So shall we Try to refresh your page. I think that's going to be all right once you have refreshed your page. Yeah, can I have a yes if you're doing that? [unclear]",00:07:16
hdruugm,38,tutor,"Okay, so I think you didn't do that properly, Tobias, because if you have done that properly, you have to disconnect and then connect to the session again. [unclear]",00:07:52
hdruugm,39,tutor,"Okay, so I think it's now all good. Can you hear me, Tobias?",00:08:09
hdruugm,40,student,Yes. Can you hear me?,00:08:14
hdruugm,41,tutor,"Yes, I can hear you out loud. And we were on Part B over here, right? So my question was, which column is the highest value in this number? So would it be ones or tenths?",00:08:17
hdruugm,42,student,Ones.,00:08:35
hdruugm,43,tutor,"Exactly right. So we're going to start comparing these two numbers from the ones column, right? So what is the number we have in the ones column over this num— over this one, number 6.3? [unclear] In the ones column.",00:08:36
hdruugm,44,student,6.,00:08:55
hdruugm,45,tutor,"Okay, so what is the digit we have in the ones column in this number?",00:08:56
hdruugm,46,student,6.,00:09:01
hdruugm,47,tutor,"Right, so that is the same, right? So this number has 6 [unclear] ones, and this number also has 6 ones. So we are not going to compare by looking at the ones, these two numbers, right? So therefore, we have to go to the tenths as well. Right, so how many tenths do we have in this one? [unclear] Yes, and how many tenths do we have in this one?",00:09:03
hdruugm,48,student,"7. Okay, so now we can decide. This number we have only 3 tenths, and this number we have 7 tenths. So what— which one would be the greatest? [unclear]",00:09:32
hdruugm,49,tutor,"Yes, so that is 6.75, right? So that is how we are going to compare numbers with 2 decimal places, right? Are we clear on that, Tobias?",00:09:50
hdruugm,50,student,Yes.,00:10:05
hdruugm,51,tutor,"Right, so we are moving on to Part C. And could you explain me, how did you find out This symbol should come here.",00:10:07
hdruugm,52,student,I've just realized this is wrong.,00:10:19
hdruugm,53,tutor,"Mm-hmm. Okay, so in that case, shall we change your answer?",00:10:22
hdruugm,54,student,Yes. [unclear],00:10:26
hdruugm,55,tutor,"All right, so, um, can you explain me why do you think that 0.56 is greater than 0.3, as I have explained in Part B over here?",00:10:43
hdruugm,56,student,"Because 5 is more [unclear] than 3, and it also has a [unclear]",00:10:58
hdruugm,57,tutor,"Exactly right. So when it comes to the ones, we don't have any ones in this number, and also we don't have any ones in this number, right? Therefore, we are going to look at the tenths. So with this number, we have 5 tenths, and in this number, we have 3 tenths. So that is why we have decided 0.56 is greater than 0.3. Okay, right. So moving on to Part D as well. So you have got the correct answer for this one. So can you tell me, Tobias, how did you find out your answer?",00:11:07
hdruugm,58,student,"So because the both put a 1 to start with, and then they both observe [UNCLEAR], then it goes on to It has two tenths and one hundredth, but four tenths is better than two tenths and one hundredth.",00:11:49
