session_id,utterance_id,role,content,timestamp
lhoumlw,0,background,[unclear],00:00:00
lhoumlw,1,student,Hello? Hello? Hello? Hello?,00:00:00
lhoumlw,2,tutor,Hello?,00:00:17
lhoumlw,3,student,Hello?,00:00:20
lhoumlw,4,tutor,Can you hear me? Hello?,00:00:21
lhoumlw,5,student,"Yes, I can.",00:00:23
lhoumlw,6,tutor,"Okay. Hi, Althea, how are you?",00:00:25
lhoumlw,7,student,Good.,00:00:28
lhoumlw,8,tutor,And how has your day been so far?,00:00:30
lhoumlw,9,student,Good.,00:00:32
lhoumlw,10,tutor,Mm-hmm. So what were you doing before coming here?,00:00:33
lhoumlw,11,student,Just learning.,00:00:38
lhoumlw,12,tutor,Mm-hmm. So what were you learning? [unclear],00:00:39
lhoumlw,13,student,I'm just— so right now I'm learning maths.,00:00:46
lhoumlw,14,tutor,"Okay, so are you ready to start with the session?",00:00:51
lhoumlw,15,student,Yes.,00:00:55
lhoumlw,16,tutor,Can you please read the name of the lesson?,00:00:56
lhoumlw,17,student,"Comparing numbers up to 10,000.",00:00:59
lhoumlw,18,tutor,Do you remember we have been doing this topic in our previous session as well?,00:01:03
lhoumlw,19,student,Yes.,00:01:09
lhoumlw,20,tutor,"Okay, great. So I would like to remind you that only the last question of this lesson was left, which we'll be completing today, okay?",00:01:09
lhoumlw,21,student,Okay.,00:01:19
lhoumlw,22,tutor,Can you read the lines here?,00:01:21
lhoumlw,23,background,Use the digit cards below to correctly complete the comparisons by writing one digit in each empty place.,00:01:23
lhoumlw,24,tutor,"So here, are you able to see these digit cards?",00:01:34
lhoumlw,25,student,Yes.,00:01:37
lhoumlw,26,tutor,"So you have to choose the digit cards and you have to place them in these missing columns. So to make these statements true, okay?",00:01:39
lhoumlw,27,student,Okay.,00:01:47
lhoumlw,28,tutor,"And it says you can only use each digit card only once. You cannot repeat the cards, okay?",00:01:49
lhoumlw,29,student,Okay.,00:01:56
lhoumlw,30,tutor,"Yeah, you can start working it out and let me know if you need any help.",00:01:57
lhoumlw,31,tutor,Okay. [unclear] [unclear],00:02:06
lhoumlw,32,tutor,Is that right? How did you work this out?,00:02:36
lhoumlw,33,student,"Basically, I used the 5 for the bars in this column, then I used 4 because 4 is bigger than 2.",00:02:44
