session_id,utterance_id,role,content,timestamp
khipttg,0,tutor,"Hello, can you hear me?",00:00:00
khipttg,1,student,Yes.,00:00:02
khipttg,2,background,Yes.,00:00:02
khipttg,3,tutor,"Hi Lachlan, how are you?",00:00:03
khipttg,4,background,Hi.,00:00:05
khipttg,5,student,Hi.,00:00:05
khipttg,6,tutor,"I'm good, thank you for asking. How was your day?",00:00:06
khipttg,7,background,All good. [unclear],00:00:11
khipttg,8,tutor,"All good, all right. So we will be learning about a new lesson that's comparing numbers with up to 2 decimal places using money.",00:00:12
khipttg,9,tutor,"Alright, we'll start. Can you answer these two questions? Can you give it a try? [unclear]",00:00:25
khipttg,10,student,Yeah. Yeah. [unclear],00:00:37
khipttg,11,student,"Right, the upload should use... [unclear]",00:00:54
khipttg,12,tutor,"Okay, 2 pounds is correct. How many pens are there? There are 6, right? 2 2 2.",00:01:30
khipttg,13,tutor,"So your answer is 2.06, not 6.06, because there is only 6 pence. [unclear] [unclear]",00:01:44
khipttg,14,tutor,"Okay, right.",00:02:09
khipttg,15,tutor,"Now, okay, first of all, you are going to write the value of each money they have given, and then you are going to write values right in this blank altogether, and you are going to [UNCLEAR]. Shall we start?",00:02:37
khipttg,16,student,Yes. [unclear],00:02:52
khipttg,17,tutor,Okay. [unclear],00:03:07
khipttg,18,student,"Hi, guys. [unclear]",00:03:25
khipttg,19,tutor,Mm-hmm.,00:03:55
khipttg,20,student,[unclear] [unclear],00:04:01
khipttg,21,tutor,"Okay. So which is greater, £1.40 or £1.32? [unclear]",00:04:29
khipttg,22,tutor,£1.40 is great. Yes. Right. Now let's try this.,00:04:55
khipttg,23,tutor,You can write the other symbol as [unclear] if— [unclear],00:05:08
khipttg,24,tutor,"Okay, that was quite fast. [Speaker:Background]... [unclear]",00:05:46
khipttg,25,tutor,"Okay. Now we got a question, our last question. Read the question carefully and give it a try. [unclear]",00:05:55
khipttg,26,student,"If you have 6 pence for 23 pence, which would you— which is the greatest amount? Write the two amounts once and circle the greatest amount. [unclear] [Speaker:Tutor]... [unclear] [unclear] [Speaker:Tutor]... [unclear] [unclear]",00:06:04
khipttg,27,tutor,"Okay, so would you rather have 6 20-piece or 23 5-piece?",00:07:13
khipttg,28,tutor,620 piece means 6 20 piece. 23 5 piece. Do you understand the question now? [unclear],00:07:21
khipttg,29,tutor,"Okay, so how much is [UNCLEAR]? Can you find it out?",00:07:55
khipttg,30,student,"Oh, okay. [unclear]",00:08:03
khipttg,31,tutor,Yeah. [unclear],00:08:04
khipttg,32,tutor,"Okay, so it's like this. 6 20p means 6 times 20, that's 120, right? 120 is £1.20. 23 5p is 23 times 5, which is £1.15. Is greater? £1.20 or £1?",00:08:45
khipttg,33,student,£1.20.,00:09:10
khipttg,34,tutor,"Yes, £1.20 is greater. So 6 20p are bigger. [unclear]",00:09:13
khipttg,35,tutor,Did you understand how to do it?,00:09:37
khipttg,36,student,No.,00:09:58
khipttg,37,tutor,"Okay, right. That was really honest. Thank you so much. Now can you read the question again and go through what I have done here? Then I think you'll get an idea. Can you read the question again?",00:09:59
khipttg,38,student,Would you rather have 6 [unclear] or 23 [UNCLEAR]? Which would be better? Give you the greatest amount. Write the amount in pounds each and circle the greatest amount. [unclear],00:10:10
khipttg,39,tutor,Did you get an idea?,00:10:33
khipttg,40,student,Yeah.,00:10:40
khipttg,41,tutor,"Okay, that's great. 6 20-pence or 23 5-pence. Now you have to count 20p 6 times and 5p 23 times to find the total. So we can easily multiply and get them. You can just compare. [unclear]",00:10:41
khipttg,42,tutor,Okay. Now let's check our next lesson.,00:11:01
khipttg,43,student,[unclear],00:11:05
khipttg,44,tutor,"Okay, so it's multiplying and dividing whole numbers and [unclear] and 100. That's our new lesson. Thaddeus, can you try these two questions? [unclear]",00:11:14
khipttg,45,tutor,[unclear] [unclear],00:11:42
khipttg,46,tutor,[unclear] [unclear],00:11:58
khipttg,47,student,[unclear] [unclear],00:12:04
khipttg,48,student,[unclear] [unclear],00:12:22
khipttg,49,tutor,"Okay, how did you get 412? This is 4, 1, and there's a decimal point, and then 2. So it's 41.2. There should be a point here. And yeah, this answer is correct. Right, right. Okay, so do you know how to use a Gantt chart?",00:13:01
khipttg,50,student,No.,00:13:27
khipttg,51,tutor,"No? Okay, I'll help you with that. Right, so can you just guess what the value they have marked in orange?",00:13:29
khipttg,52,student,[unclear] So 3 is once under 6.,00:13:36
khipttg,53,background,0.6 is once. How do you write them together?,00:13:47
khipttg,54,student,3.06.,00:14:03
