session_id,utterance_id,role,content,timestamp
guardgp,0,tutor,Hi.,00:00:00
guardgp,1,background,[unclear],00:00:00
guardgp,2,student,Hi.,00:00:01
guardgp,3,tutor,"A very good morning to you, Gideon.",00:00:01
guardgp,4,student,Good morning.,00:00:04
guardgp,5,tutor,How are you doing today?,00:00:07
guardgp,6,student,Good.,00:00:09
guardgp,7,tutor,Good. All right. The weekend is here. Are you [unclear] for it?,00:00:11
guardgp,8,student,Yeah.,00:00:15
guardgp,9,tutor,Okay. And how was the day today?,00:00:17
guardgp,10,student,Okay.,00:00:20
guardgp,11,tutor,"So far so good, right? It's 12 in the morning. Okay then. Are we all ready to start the lesson today? [unclear]",00:00:22
guardgp,12,student,Yeah.,00:00:32
guardgp,13,tutor,"Okay, what are we doing? Can you read the heading for us, please?",00:00:34
guardgp,14,student,Comparing and ordering fractions by finding a common denominator.,00:00:42
guardgp,15,tutor,"Yes, so we have a couple of fractions here and we are going to compare and order fractions To do that, we need to have a common denominator, right? Can you remember doing these questions on the last day?",00:00:49
guardgp,16,student,Yeah.,00:01:07
guardgp,17,tutor,Yes. So are the denominators here common? [unclear] Is 3 and 12 the same number?,00:01:09
guardgp,18,student,Yeah.,00:01:20
guardgp,19,background,"Uh, yeah.",00:01:22
guardgp,20,tutor,"Are the denominators common here, Gideon?",00:01:24
guardgp,21,student,Yeah.,00:01:30
guardgp,22,tutor,"Okay, we have a 3 here and a 12 here. Are they the same number? [unclear] Okay, so in the fraction, we have 2 parts of a fraction, right? The number on top, you call it the numerator, And the number below, you call it the denominator. All good?",00:01:31
guardgp,23,student,Yeah.,00:01:59
guardgp,24,tutor,Yes. So what is the denominator in this fraction?,00:02:00
guardgp,25,student,[unclear],00:02:04
guardgp,26,tutor,"Very good, 6. Now, we always have to have the same number of denominator when comparing fractions. Now tell me, Gideon, is it easy for you to compare the big fraction here?",00:02:07
guardgp,27,student,[unclear] Yeah.,00:02:23
guardgp,28,tutor,"Yes, you now easily know that 2/6 is the bigger fraction. But in this question, we have to think a lot, right? As to which is the bigger fraction. Do you think so?",00:02:27
guardgp,29,background,Sure.,00:02:40
guardgp,30,tutor,"Yes, we need to work around to find the bigger fraction because The denominators are not different— are different. We have 3 here and 12 here, which are not same. Do you agree, Gideon?",00:02:43
guardgp,31,student,Yeah.,00:03:01
guardgp,32,tutor,Any questions so far? All good?,00:03:02
guardgp,33,student,Yeah.,00:03:05
guardgp,34,tutor,"Okay, so what is it that they're saying? That to compare and order fractions, we always need to have the same denominator like this. All right? [unclear] Begin with our learning today.",00:03:06
guardgp,35,student,Okay.,00:03:26
guardgp,36,tutor,"Okay, so let's begin with this. Now I will be taking you through the follow-me slide, and when you are comfortable with it, You can try your turn afterwards. All right?",00:03:28
guardgp,37,student,Okay.,00:03:44
guardgp,38,tutor,"Okay. Now I have 3 different fractions. Do you see them, Gideon?",00:03:46
guardgp,39,student,Yeah.,00:03:53
guardgp,40,tutor,"Okay, they're telling me let's order a set of fractions, but I cannot order them straight away because the denominators are quite different to each other. I have 2, 8, and 4. Which are not same, which are not common. So I can't order them, right? [unclear] Can I order them? [unclear]",00:03:54
guardgp,41,tutor,Did you say?,00:04:25
guardgp,42,student,"Okay, now I have 3 different denominators, right? I cannot order them.",00:04:27
guardgp,43,tutor,So they tell me to— [unclear],00:04:35
guardgp,44,student,"To compare fractions, let's make denominators the same.",00:04:38
guardgp,45,tutor,"Now they are telling, let's make the denominators the same by finding the common multiple. Now Gideon, if you notice these fractions, They do not have same denominator, right?",00:04:46
guardgp,46,student,Yeah.,00:05:04
guardgp,47,tutor,"Now I am going to find the same denominator by finding the common multiple. Now tell me, can 2 become an 8?",00:05:06
guardgp,48,student,"Yes, if you times it by 4.",00:05:20
guardgp,49,tutor,"Okay, thank you so much. So 2 times 4, as you said, can be times by 8. Times by 4 to get 8. Can you times 4 to get 8?",00:05:23
guardgp,50,student,"Yes, if you times 2 by 4, [UNCLEAR].",00:05:35
guardgp,51,tutor,"8, right. 2 by 4. And I've done exactly as you said. Now, do I have the same denominator over here?",00:05:35
guardgp,52,student,Yeah.,00:05:50
guardgp,53,tutor,"Right, I have same denominator.",00:05:51
guardgp,54,tutor,"Now, do you remember that when I times the new denominator, I have to do the same for the numerator as well, right?",00:05:55
guardgp,55,student,Yeah.,00:06:06
