session_id,utterance_id,role,content,timestamp
lbycqfh,0,tutor,[unclear],00:00:00
lbycqfh,1,tutor,"[unclear] [unclear] [Speaker:Tutor]... [UNCLEAR] [unclear] [Speaker:Tutor]... [unclear] [unclear] [Speaker:Tutor]... [UNCLEAR] [unclear] [Speaker:Tutor]... [unclear] [unclear] Hello? Hello, Miss? Hi, Elara, how are you? Good, thank you. Good. How was the day today? Good. All right, so Elara, what happened today? I see you're a little late than usual. Is there anything that happened? [unclear]",00:00:05
lbycqfh,2,tutor,"None of the computers were working, so I couldn't log on. So now I finally found one that works.",00:01:51
lbycqfh,3,student,"Oh, I see. That must be it. Okay, anyways, we do have another 15 minutes in our time, so we'll work out with that, okay? Let's see how much we can work it today within the given time. Okay, so today We are writing money as pounds and pence. Do you know how to write money as pounds and pence? Hmm? Do you know how to write money as pounds and pence?",00:01:58
lbycqfh,4,student,Yes.,00:02:23
lbycqfh,5,tutor,"All right. So I think we can work this out real quick then. So I want you to do the learning goal question. I want you to count up, add up the money, and write it down here. [unclear] [unclear] [Speaker] I know.",00:02:24
lbycqfh,6,tutor,Okay. [Speaker] £2.72p.,00:02:58
lbycqfh,7,tutor,Absolutely. Can you write your answer here?,00:03:02
lbycqfh,8,tutor,"Exactly, well done. Excellent working out. Wonderful. So since you've worked out this one, I am now getting you to do the prior learning question. You've worked out the first question out here, so here you go, deserving tick mark for that. Now I want you to do the 'you do' questions. Okay, so if you feel like you need a little bit more support, you can try using the place value chart given here. You can use it if you want to, but it's optional. All right, so you have 2 questions to work with. Let's start from question number 1.",00:03:18
lbycqfh,9,background,[unclear] [unclear],00:03:51
lbycqfh,10,tutor,"Let me know if you need any help. Okay. So far, so good?",00:04:01
lbycqfh,11,tutor,"All right. I think the pounds is correct, but the pins is really close, but I feel like you missed a point. [unclear] Close to 62. It's not 60. It's not 62.",00:04:24
lbycqfh,12,tutor,"Absolutely, it's 633.",00:04:51
lbycqfh,13,student,"I forgot the [UNCLEAR]. [Speaker:Tutor] Okay, that happens. You might have forgotten this part, right? So that you have completed the first one. Now we've got the second one to do. I think this is really easy. It's like matching. So we've got to match the correct one. You can use the draw tool or the shapes Well, there's a line option where you can draw a line like this. [unclear]",00:04:55
lbycqfh,14,tutor,"So, 3 [UNCLEAR]. [Speaker:Elara] Oh, is that— is that a 2 or 1?",00:05:24
lbycqfh,15,tutor,That's a wonderful start.,00:05:36
lbycqfh,16,student,This one? [unclear],00:05:41
lbycqfh,17,tutor,"Well done, excellent. Alright, so before I correct this out, Elara, can you tell me in this number here, how many pounds are there?",00:05:47
lbycqfh,18,student,There's 4 pounds.,00:05:57
lbycqfh,19,tutor,And how many pence are there?,00:05:59
lbycqfh,20,student,"Yeah, 32, 30, no, 63. Okay, and I have another question. How pence will make £1?",00:06:01
lbycqfh,21,student,How many pence would make £1?,00:06:14
lbycqfh,22,tutor,How many pence? How many pence will make £1?,00:06:18
lbycqfh,23,student,10 pence.,00:06:21
lbycqfh,24,tutor,10? How many— let me write it down again for you. So if I ask you Hold on. How many pence is equal to one pound?,00:06:24
lbycqfh,25,tutor,One pound. Do you know this answer?,00:06:46
lbycqfh,26,student,[unclear] Ten of ten.,00:06:48
lbycqfh,27,tutor,Ten of?,00:06:56
lbycqfh,28,student,Two fifty pence.,00:06:58
lbycqfh,29,tutor,10 of 250ps.,00:07:01
lbycqfh,30,student,"No, 250ps.",00:07:03
lbycqfh,31,tutor,250— 250ps will make £1.,00:07:07
lbycqfh,32,student,Not 250ps.,00:07:11
lbycqfh,33,tutor,Is it like this?,00:07:15
lbycqfh,34,student,"No, it's just the [UNCLEAR]. [Speaker:Tutor] Oh, it's 50. Is it like this?",00:07:17
lbycqfh,35,student,250s.,00:07:24
lbycqfh,36,tutor,"Oh, 2 50s. What is 2 50s?",00:07:26
lbycqfh,37,student,2 50s would make 1 pound.,00:07:30
lbycqfh,38,tutor,"Yes, so 2 50s is 100. Don't you agree?",00:07:34
lbycqfh,39,student,[unclear],00:07:39
lbycqfh,40,tutor,"That is correct, that is correct. 2 50s is also 100, so you got it. So now let me correct your answer here. You've got the first one correct, this one correct as well, this is correct as well. This is correct as well, and the last is correct as well. Well done! Here you go, a deserving star for that. Well done. So tell me, Elara, which question was the easiest, the first one or the second one? [unclear] Sorry, I couldn't hear you. Which one was it?",00:07:41
lbycqfh,41,student,This one.,00:08:17
lbycqfh,42,tutor,"This one? Oh, I see. It could be easy, right? Okay, so Elara, I have a little bit of a challenge for you, okay? I have a Go Further question and I want you to read it out and tell me the answer, okay? And after that, I want you to explain me how you did it. Can you do that for me?",00:08:17
lbycqfh,43,student,Yes.,00:08:39
lbycqfh,44,tutor,Okay. [unclear],00:08:41
lbycqfh,45,tutor,Pep has the coins in the money box. How much coins can he [UNCLEAR]? [Speaker:Elara] Mm-hmm.,00:08:45
lbycqfh,46,tutor,"How much does Pep have altogether? All together. Okay, what are they asking us? [unclear]",00:09:04
lbycqfh,47,student,"How much money is this all together? So I need to use my drawing tool to like cross out the ones I already did. So, one pound.",00:09:16
lbycqfh,48,tutor,Okay.,00:09:31
lbycqfh,49,student,Then we do this one. [unclear],00:09:34
lbycqfh,50,student,And then now 10.,00:09:40
lbycqfh,51,tutor,Yeah.,00:09:48
lbycqfh,52,student,So we have £2.40.,00:09:49
lbycqfh,53,tutor,Yeah. Can you write it for me here?,00:09:53
lbycqfh,54,tutor,"Oh. So Elara, you are correct. You're correct here when you said it's 2 pounds and 40 pence. You're correct. Okay. But there is something teeny tiny mistake we made. Okay, so it's 2 pounds and 40 pence. Okay, that's 2 pounds and 4 pence. [unclear]",00:10:06
lbycqfh,55,tutor,"4 pence. Okay, but is it 4 here? Does it look like it's 4? What does it look like? Does it look like 2 pounds 40 pence? 4 pence?",00:10:30
lbycqfh,56,student,[unclear],00:10:48
lbycqfh,57,tutor,"It does look like, right? But when we write money, we always make sure we add— make sure that, that, um, we read the numbers, two numbers together. For example, if it's like",00:10:50
lbycqfh,58,background,"£4.50, right? Or £6.32. Okay.",00:11:04
lbycqfh,59,student,[unclear],00:11:13
lbycqfh,60,tutor,"But yours, it's not £2.44, it's £2.44. 40. Okay? Because it's written like this. If you just add the placeholder there, it looks like 40, right? If you add a placeholder. But to make it 4, what do you think we can do? We don't want 40, we want 4. What do you think we can do?",00:11:16
lbycqfh,61,student,[unclear],00:11:42
lbycqfh,62,student,[unclear],00:11:47
lbycqfh,63,tutor,"4 is here. Yeah, what we can do here, Elara, is that we can— we have to write a placeholder and write 4. Okay, then it looks like 4. It's not 40. Got it? This is the difference. If you write it like this, it's 40. If you write it like this, it's 4. Now you get it?",00:11:47
lbycqfh,64,tutor,"Okay, so when you read numbers, always look into 2 digits. Okay, and you can just look at",00:12:15
