session_id,utterance_id,role,content,timestamp
kgeoeov,0,tutor,Hello?,00:00:00
kgeoeov,1,background,[unclear],00:00:00
kgeoeov,2,student,What?,00:00:00
kgeoeov,3,tutor,I'm saying hello because I'm in.,00:00:00
kgeoeov,4,tutor,"Hello? Hello? I'mma say, can you hear? [unclear] Oh no, it's not working. [unclear] [unclear] [unclear]",00:00:04
kgeoeov,5,tutor,"Hello? You're there? Hi, Sylas? Are you there? Can you hear me? I heard her, but I heard her for a second.",00:01:52
kgeoeov,6,student,Hello?,00:02:04
kgeoeov,7,tutor,Hello. [unclear],00:02:13
kgeoeov,8,tutor,Are you sure it's AI? Are you sure it's AI? Because I can hear a Background. [unclear] [unclear],00:02:40
kgeoeov,9,tutor,Hello? Hello? Hello? Hello? Hello? Hello?,00:03:19
kgeoeov,10,tutor,Hello? Hello? Hello? [unclear] [unclear] [unclear] [unclear] [Speaker:Tutor]... [UNCLEAR] [unclear] [Speaker:Tutor]... [unclear] [unclear],00:03:30
kgeoeov,11,student,[unclear] [unclear],00:05:12
kgeoeov,12,student,[unclear] [unclear] [Speaker:Gideon]... [UNCLEAR] [unclear] [Speaker:Gideon]... [unclear] [unclear] [Speaker:Gideon]... [UNCLEAR] [unclear] [Speaker:Gideon]... [unclear],00:05:37
kgeoeov,13,tutor,Hello? [unclear],00:07:27
kgeoeov,14,tutor,"Hello, can you hear me?",00:07:31
kgeoeov,15,student,"Yeah, wait, why is it going out?",00:07:44
kgeoeov,16,tutor,"I can't hear you, can you hear me? It's weird AI math. [unclear] Why did they leave? Like, you can hear me, right? But I can't hear you. [unclear]",00:07:46
kgeoeov,17,tutor,Can you hear me?,00:08:06
kgeoeov,18,background,Okay.,00:08:12
kgeoeov,19,tutor,Okay. Yes. All right.,00:08:13
kgeoeov,20,tutor,Maybe could you please check whether you have enabled permission because— can you check your mic? [unclear] [unclear],00:08:16
kgeoeov,21,tutor,Turn up the volume and check. [unclear],00:08:42
kgeoeov,22,student,Hello?,00:08:44
kgeoeov,23,tutor,Can you hear me now?,00:08:47
kgeoeov,24,student,Hello?,00:08:54
kgeoeov,25,tutor,I can't hear you now.,00:08:58
kgeoeov,26,student,Don't—,00:09:02
kgeoeov,27,tutor,Okay. I've already done that 20 times. [unclear],00:09:04
kgeoeov,28,tutor,"Okay, so let's continue the chat. So I will be talking because since you can hear me, I'll be continuing the lesson through chat, but you have to type the answers because I can't hear you. All right, so could you please tell me what do you remember from your last time? From the last time? [unclear]",00:09:11
kgeoeov,29,tutor,I don't remember nothing.,00:09:41
kgeoeov,30,background,"You don't remember? No problem. On the last class, we started ordering numbers up to 1 million. All right, and we learned how to do the [unclear] and how to arrange the number in the descending order.",00:09:53
kgeoeov,31,tutor,"Hello, can you hear me?",00:10:11
kgeoeov,32,background,Then you have to start with this. So could you please try this question? [unclear],00:10:14
kgeoeov,33,tutor,What do I do? What do I do? What do I do? What do I do?,00:10:33
kgeoeov,34,background,[unclear],00:10:44
kgeoeov,35,tutor,"Yeah, yeah, it's in case one—",00:10:51
kgeoeov,36,background,"Yeah, in case one does.",00:10:53
kgeoeov,37,tutor,"Yeah. [unclear] [Speaker:Background]...she take— [Speaker:Tutor] No, Barnaby, come sit next to me. Barnaby! No! Can Barnaby sit next to me? Whee! [unclear]",00:10:54
kgeoeov,38,tutor,You want to try this question?,00:11:21
kgeoeov,39,student,Yeah.,00:11:26
kgeoeov,40,tutor,"You have to try this question and you have to arrange. Okay, it says a planet has 4 moons that orbit it. So this is the planet and there are 4 moons which rotate it. So the distance are shown. You can see where, for an example, which would be the— okay, you can see from this to this, the purple moon is closer, and then this moon is bit, you know, far away, and this one is far, this one is very far. So it means we are going in the ascending order. And here you have been given with 4",00:11:29
kgeoeov,41,background,"A, B, C, D. So you have to arrange them in the ascending order. So can you arrange A, B, C, D in the ascending order?",00:12:02
kgeoeov,42,student,"[unclear] ABCDEFGHIJKLMNOPQRSUVWXYZ. I don't want to be [UNCLEAR]. [Speaker:Tutor] She gone? Wait, can you hear me?",00:12:08
kgeoeov,43,background,Nothing.,00:12:25
kgeoeov,44,tutor,"Can you hear me? Can you hear me? Can you hear me? Can you hear me? So, A. [unclear]",00:12:26
kgeoeov,45,tutor,"It's gonna be C, C, then it's gonna be [UNCLEAR], A, [UNCLEAR], E, and finally V. Done! [unclear]",00:12:37
kgeoeov,46,tutor,Why can she never hear me though? It's not fair. [unclear],00:13:16
kgeoeov,47,student,"Oh, Linnea! Oh, Linnea! [unclear]",00:13:24
