session_id,utterance_id,role,content,timestamp
istpbcq,0,tutor,"Hi, Desmond. Hope you can hear me. Hello? [unclear] Hi. Can you hear me?",00:00:00
istpbcq,1,tutor,"Okay, Desmond, I can hear you. Very good morning. [unclear] Okay, so let me put up the slide. I can hear you, Desmond. Can you hear me? Okay, I can hear you. [unclear]",00:00:17
istpbcq,2,tutor,Please refresh the page.,00:00:45
istpbcq,3,student,[unclear] [unclear],00:01:06
istpbcq,4,tutor,Hello?,00:01:24
istpbcq,5,student,"Yes, can you hear me now?",00:01:25
istpbcq,6,tutor,Hello?,00:01:32
istpbcq,7,tutor,"Okay, you can talk to me and I will be texting you too, okay? Is it all good, Desmond? Okay, perfect. [unclear] [unclear]",00:02:05
istpbcq,8,tutor,"Before that, how are you doing? How are you doing, Desmond?",00:02:36
istpbcq,9,student,I'm doing good.,00:02:55
istpbcq,10,tutor,"Okay, awesome. All right, so now Desmond, can you read this question, learning goal question? [unclear]",00:03:03
istpbcq,11,tutor,"Yes, Desmond, can you do the learning goal?",00:03:11
istpbcq,12,student,"Complete a calculation, 6/8.",00:03:26
istpbcq,13,tutor,"Very good, exactly. Can you type the answer there, Desmond? [unclear]",00:03:32
istpbcq,14,tutor,"Desmond, can you type the answer here? [unclear]",00:03:51
istpbcq,15,tutor,"Fantastic walking [UNCLEAR], Desmond. Now can you try the prior line? Can you do this one? Yes, Desmond, can you do the prior line? [unclear]",00:04:02
istpbcq,16,student,Would it be one quarter? [unclear],00:04:29
istpbcq,17,student,"Because the 1 at the top would equal a whole, which is 4 quarters, and there's only 3 quarters there, so I found out the [unclear] would have been 1 quarter. [unclear]",00:05:03
istpbcq,18,student,Kilograms. [unclear],00:05:29
istpbcq,19,tutor,point.,00:05:29
istpbcq,20,student,"Yeah, yeah.",00:05:29
istpbcq,21,background,point.,00:05:29
istpbcq,22,student,point.,00:05:29
istpbcq,23,background,point.,00:05:29
istpbcq,24,student,point.,00:05:29
istpbcq,25,background,point.,00:05:29
istpbcq,26,student,point.,00:05:29
istpbcq,27,background,point. [unclear],00:05:29
istpbcq,28,tutor,Hello.,00:06:55
istpbcq,29,student,"We started by converting ideas that came to us from the background of my grants, and then we added them on. And then we took 2 of them [unclear]",00:06:55
istpbcq,30,tutor,"So I saw that it was one... So I saw that the 4 was one hole, and I realized that 5/4 is one number past the hole, so it's like one and one quarter.",00:07:14
istpbcq,31,tutor,"Okay, yes, I can hear you now. All right, this will be the perfect sound. [unclear] Desmond, off. [unclear]",00:07:46
istpbcq,32,student,"Yeah, how much?",00:07:54
istpbcq,33,tutor,"It's working out? Okay, so now we can move to the you-do section. Can you complete these calculations? Can you complete these calculations, Desmond? Question, please. How do you do that? [unclear]",00:08:02
istpbcq,34,student,"You've got to do 5 and 3, which equals 8.",00:08:15
istpbcq,35,tutor,Yes.,00:08:23
istpbcq,36,student,And then you don't add the denominators together.,00:08:24
