session_id,utterance_id,role,content,timestamp
keeyfzd,0,background,[unclear],00:00:00
keeyfzd,1,tutor,Hello? Hello?,00:00:00
keeyfzd,2,background,"Hello, I can hear you. Can you hear me?",00:00:02
keeyfzd,3,tutor,Hello?,00:00:05
keeyfzd,4,background,"Hello, can you hear me?",00:00:06
keeyfzd,5,tutor,Hello?,00:00:12
keeyfzd,6,background,"Hello, Gideon? Hello, I'm speaking, Gideon, can you hear me?",00:00:13
keeyfzd,7,tutor,Hello?,00:00:17
keeyfzd,8,background,Hello? [unclear],00:00:19
keeyfzd,9,tutor,Hello?,00:01:08
keeyfzd,10,student,Hello?,00:01:12
keeyfzd,11,tutor,Hello? [unclear],00:01:13
keeyfzd,12,background,Hello? Hello? [unclear],00:01:16
keeyfzd,13,tutor,Hello?,00:02:45
keeyfzd,14,student,Hello?,00:02:46
keeyfzd,15,tutor,Can you hear me? [unclear],00:02:48
keeyfzd,16,student,"No, still not. Oh, yeah, now we're okay. [unclear]",00:03:03
keeyfzd,17,tutor,Check.,00:03:38
keeyfzd,18,student,No.,00:03:40
keeyfzd,19,tutor,Okay. [unclear],00:03:41
keeyfzd,20,student,[UNCLEAR] [unclear],00:03:41
keeyfzd,21,student,[unclear] [unclear],00:03:41
keeyfzd,22,tutor,Hello?,00:04:29
keeyfzd,23,background,Hello?,00:04:33
keeyfzd,24,tutor,Can you try a different headphone?,00:04:35
keeyfzd,25,tutor,I said I can't hear her.,00:04:43
keeyfzd,26,background,Hello? [unclear],00:04:46
keeyfzd,27,tutor,I've refreshed it once. Let me try. Right. Let me try now. [unclear],00:04:58
keeyfzd,28,tutor,"Hello? How is it now? Gideon, how is it now?",00:05:50
keeyfzd,29,student,"Yeah, it's because the high [UNCLEAR].",00:05:54
keeyfzd,30,tutor,Which one? Can you hear me?,00:05:54
keeyfzd,31,tutor,"All right, great. [unclear]",00:06:00
keeyfzd,32,background,Yeah.,00:06:02
keeyfzd,33,tutor,Yeah.,00:06:03
keeyfzd,34,background,"Okay, what was the issue?",00:06:04
keeyfzd,35,tutor,Headphones.,00:06:08
keeyfzd,36,background,"Okay, so can you see that whenever this happens, we just need to try a different platform. We shall try refreshing the page and everything.",00:06:10
keeyfzd,37,tutor,Yeah.,00:06:21
keeyfzd,38,background,"Even I just tried launching it from a new tab, but— it didn't work. So whenever we have such issues, it's better to try a different platform. All right? [unclear]",00:06:21
keeyfzd,39,tutor,Fine.,00:06:36
keeyfzd,40,background,Great to hear. How was the weekend?,00:06:38
keeyfzd,41,tutor,"Gideon, how was the weekend?",00:06:44
keeyfzd,42,student,Fun. [unclear],00:06:48
keeyfzd,43,tutor,That's nice. Was it fun?,00:06:51
keeyfzd,44,student,Yes.,00:07:00
keeyfzd,45,tutor,"Yeah, and with whom do you usually play your PlayStation?",00:07:03
keeyfzd,46,student,FIFA.,00:07:08
keeyfzd,47,tutor,"Okay, so do you have anyone joining you?",00:07:10
keeyfzd,48,background,No.,00:07:15
keeyfzd,49,tutor,"Okay, all right.",00:07:15
keeyfzd,50,tutor,So I hope it was fun. So shall we move on to the lesson?,00:07:18
keeyfzd,51,student,Yes. [unclear],00:07:24
keeyfzd,52,tutor,Yes. All right. What do you remember here?,00:07:31
keeyfzd,53,student,Sorry about that.,00:07:36
keeyfzd,54,tutor,"Gideon, can you read out the title first?",00:07:44
keeyfzd,55,student,Solving multi-step addition and subtraction problems.,00:07:50
keeyfzd,56,tutor,"Yeah, so we started this lesson last week and we also had an [unclear] first week and this is the third week of this lesson. What do you remember?",00:07:55
keeyfzd,57,student,"Miss 1. She's flushing out a bit. I can hear some of the words, but I can't hear them all.",00:08:11
keeyfzd,58,tutor,"How is it now, Gideon? [unclear]",00:08:19
keeyfzd,59,student,Hello?,00:08:33
keeyfzd,60,tutor,Hello? [unclear],00:08:36
keeyfzd,61,student,"to not want to hit the floor. [UNCLEAR] So it made it a smaller fraction. Gideon, how is it now? [unclear] Am I still breaking?",00:08:36
keeyfzd,62,tutor,No.,00:09:21
keeyfzd,63,student,"Okay, is it good?",00:09:21
keeyfzd,64,tutor,Yeah.,00:09:23
keeyfzd,65,background,"All right, so could you tell me what you remember in this lesson?",00:09:24
keeyfzd,66,background,That you have to read the question and solve the answer and don't make a mistake and how you do the addition [unclear],00:09:31
keeyfzd,67,tutor,You have to read the question carefully.,00:09:50
keeyfzd,68,background,"Alright, and?",00:09:57
keeyfzd,69,tutor,Make sure you've got the correct answer.,00:09:59
keeyfzd,70,tutor,"So we don't usually come with the correct answer, we go with the correct method, which automatically leads to correct answer, all right?",00:10:06
keeyfzd,71,background,Good.,00:10:17
keeyfzd,72,tutor,"Gideon, tell me how many steps we might need to go through when working out this type of question. [unclear]",00:10:17
keeyfzd,73,background,"All right, okay. So would it be 2 steps or more than that? Is there a possibility of going more than that?",00:10:30
keeyfzd,74,student,"He could, yes.",00:10:37
keeyfzd,75,tutor,"All right, great, yes. So that's about a quick recap. So let's move on to where we need to continue from. I hope you remember this slide now. So today we need to continue from the Go Further. Yes. Can you explain it,",00:10:39
keeyfzd,76,tutor,Okay. [unclear] [unclear],00:11:23
keeyfzd,77,tutor,Are we done?,00:11:54
keeyfzd,78,student,Yeah. [unclear],00:12:13
keeyfzd,79,student,"Yes, I do.",00:12:17
keeyfzd,80,tutor,"What happened, Gideon? Hello? Hello?",00:12:47
keeyfzd,81,student,Hello?,00:12:55
keeyfzd,82,tutor,"Yeah, what happened?",00:12:56
keeyfzd,83,student,I was trying to work out the question.,00:12:58
keeyfzd,84,tutor,"Okay, I think you went out of the slide. [unclear]",00:13:05
keeyfzd,85,tutor,Okay. [unclear],00:13:18
keeyfzd,86,background,"So you can't do that, so you get— that's what, 7, 1?",00:13:23
keeyfzd,87,tutor,Yes.,00:13:31
keeyfzd,88,background,"So 3, 8.",00:13:32
keeyfzd,89,tutor,7.,00:13:34
keeyfzd,90,background,You need 5. [unclear],00:13:35
keeyfzd,91,tutor,"3, then that would be a 2. 2, 7. So that would be a 9. 7, 8, 9. 8, 9, 10, 11, 12, 13, 14, 15, 16, 17. [unclear] [unclear]",00:13:38
keeyfzd,92,tutor,Are you done?,00:14:09
keeyfzd,93,student,Yeah.,00:14:16
keeyfzd,94,tutor,Can you explain me?,00:14:17
keeyfzd,95,student,So I did 546 add 244 to get 780.,00:14:21
keeyfzd,96,student,So how much money does Seda have? [unclear],00:14:32
keeyfzd,97,tutor,"Okay, but what made you think that we need to add those two numbers together? [unclear]",00:14:34
keeyfzd,98,student,"You have to add them together to get the answer, so that equals 780, so then you take away 546 for me to get.",00:15:14
keeyfzd,99,tutor,"Okay, can you first underline the keywords?",00:15:27
keeyfzd,100,student,On the keywords?,00:15:37
keeyfzd,101,tutor,Yeah.,00:15:38
keeyfzd,102,student,Between them?,00:15:39
keeyfzd,103,tutor,Mm-hmm.,00:15:44
keeyfzd,104,background,Oh!,00:15:45
keeyfzd,105,tutor,"Okay, I think that you realized something. What is that?",00:15:46
keeyfzd,106,student,"They have £546 between them, so you have to have 546, then you add 244.",00:15:57
keeyfzd,107,tutor,"Okay, so that's what you have already done here. Yeah? So do you still say that is the method?",00:16:07
keeyfzd,108,tutor,"Okay, let's just finish underlining the keywords. Can you do that?",00:16:24
keeyfzd,109,student,Yeah.,00:16:29
keeyfzd,110,tutor,"Okay, and then let me know. [unclear]",00:16:32
keeyfzd,111,tutor,"Yeah, 10. Okay. [unclear] So now it says that if both have, this is the total amount of money. So can they have anything more than this?",00:16:45
keeyfzd,112,student,No.,00:17:04
keeyfzd,113,tutor,"They have clearly mentioned that this is the amount they both have. I mean, This is the amount shared between them. So can we have more than that?",00:17:05
keeyfzd,114,tutor,No.,00:17:15
keeyfzd,115,background,Yes.,00:17:17
keeyfzd,116,tutor,"So the share of each person, would it be more or less than this amount here?",00:17:18
keeyfzd,117,background,Less.,00:17:25
keeyfzd,118,tutor,Less. Awesome. Yeah. So now can you look at the bar model and tell me what needs to be done? [unclear],00:17:27
keeyfzd,119,tutor,"250, 270, 273.",00:17:50
keeyfzd,120,tutor,273. [unclear],00:18:04
keeyfzd,121,tutor,273 add 244. [unclear],00:18:09
keeyfzd,122,background,[unclear] [unclear],00:18:29
keeyfzd,123,background,[unclear] [unclear],00:18:56
keeyfzd,124,tutor,I'm done.,00:18:58
keeyfzd,125,student,"62 and 40. So, you need to do the following. Please add 40.",00:18:58
keeyfzd,126,tutor,"Oh, okay. Yeah, Gideon, I'm here.",00:18:58
keeyfzd,127,student,So now...,00:19:09
keeyfzd,128,tutor,The next thing.,00:19:10
keeyfzd,129,student,"Yeah, can you tell me what made you think that this needs to be divided by 2? [unclear]",00:19:12
keeyfzd,130,tutor,Hello?,00:19:29
keeyfzd,131,student,Yeah?,00:19:29
keeyfzd,132,tutor,"Hello? Gideon, can you hear me? Hello? Can you hear me? Hello? Gideon, can you hear me? Hello?",00:19:31
keeyfzd,133,tutor,"Hello, can you hear me? [unclear] Gideon, can you hear me? Hello?",00:19:49
keeyfzd,134,tutor,speaking.,00:19:49
keeyfzd,135,student,"So the left, right side is going to be [unclear] and then the path is going to be 1 meter to 10 meters, which equals 60. [unclear]",00:19:49
keeyfzd,136,tutor,Let me try refresh. [unclear],00:20:41
keeyfzd,137,tutor,Oh.,00:21:07
keeyfzd,138,tutor,"Yes, Gideon, can you hear me now? Hello, can you hear me now? Hello, can you hear me now? [unclear] [unclear]",00:21:32
keeyfzd,139,tutor,"Hello? Can you hear me now? Gideon, can you hear me now? Hello? [unclear]",00:22:04
keeyfzd,140,tutor,"Hello? Yeah, my wire was coming out.",00:23:02
keeyfzd,141,background,"All right, is it better now?",00:23:05
keeyfzd,142,tutor,Yeah.,00:23:08
keeyfzd,143,background,"Okay, so see, when we have any issues, we just need to check the headphones.",00:23:09
keeyfzd,144,tutor,"Correct. Let's get back to the slide, the question we were working out. [unclear] So what made you think that it should be divided into 2 equally?",00:23:14
keeyfzd,145,student,"Because there's 2 people on it and there's 500 between them, so I halved 546 to get 273. Then I added 244 to get 517. [Speaker] So, [unclear] has £517.",00:23:29
keeyfzd,146,tutor,540. Okay. So here it says that 546 between them. So does it say that it's equally shared between them? No?,00:23:49
keeyfzd,147,student,No.,00:24:00
keeyfzd,148,tutor,No. So anyone could have a large amount and anyone could have a small amount. Is that possible?,00:24:01
keeyfzd,149,background,Yeah.,00:24:10
keeyfzd,150,tutor,"Yes. Also, it says that Sarah has 244 more than [UNCLEAR]. So that's something important. Okay? So one person has more than the other. So it's not equally shared. One has larger and one has smaller portion. So who has the larger amount?",00:24:10
keeyfzd,151,tutor,Tara?,00:24:36
keeyfzd,152,background,Tara.,00:24:36
keeyfzd,153,tutor,"Okay, why do you say Tara?",00:24:38
keeyfzd,154,background,"Well, it says Tara has 244 more [UNCLEAR].",00:24:41
keeyfzd,155,tutor,"Exactly, it says that this girl has more amounts. So that means it's not equal, one person has larger amounts. So can you look at the bar model here? What does it describe?",00:24:41
keeyfzd,156,background,That [unclear] has 546 and Tara has had another 244,00:24:59
keeyfzd,157,tutor,[unclear],00:25:04
keeyfzd,158,student,So what do we need to do?,00:25:04
keeyfzd,159,tutor,546 add 244? Or take away 244?,00:25:09
keeyfzd,160,student,"Okay, why did you shift from addition to subtraction now?",00:25:15
keeyfzd,161,tutor,"Because she has more, then you would take away that from 244 to get 5.",00:25:19
keeyfzd,162,student,No.,00:25:29
keeyfzd,163,tutor,Mm-hmm.,00:25:30
keeyfzd,164,student,"You take away because she has more than him, so you take away that bit from 246, 546 away from 244 to find his amount.",00:25:34
keeyfzd,165,tutor,I didn't hear you properly. Could you repeat that?,00:25:48
keeyfzd,166,student,"So you would take away because he has less than her, so you take away that. To find out his amount. So you take away 244 from 546 to find out his amount?",00:25:52
keeyfzd,167,tutor,"Exactly, yes, Gideon. So this [unclear] says that this is the total amount which both of them have, 546. And this [unclear] has this amount larger than that, so we need to subtract this to find out what is Siddharth's amount. Was it clear?",00:26:03
keeyfzd,168,student,Yes.,00:26:21
keeyfzd,169,tutor,"Okay, can you then work it out?",00:26:22
keeyfzd,170,tutor,"I'm sorry, my mic was on mute and I was speaking. So Gideon, good job on working this out, but we also need to make sure that we put the symbol and the line so that it is very clear to someone who sees. Okay?",00:27:18
keeyfzd,171,student,Okay. [unclear] [unclear],00:27:34
keeyfzd,172,tutor,Yeah.,00:27:57
keeyfzd,173,background,"All right, awesome. So now, can you quickly take me through the things that we did and the conclusions which made you think was that we went with the first one? And then what made you think should be different? [unclear]",00:27:58
keeyfzd,174,student,"So you have to read the question carefully because they could not have the same amount, they could be different amounts. So you have to look at the chart to work out the question.",00:28:18
keeyfzd,175,tutor,"Gideon, just a second. So do you think that this is the final answer?",00:28:31
keeyfzd,176,student,Yes.,00:28:36
keeyfzd,177,tutor,"It also says that Tara has more than [UNCLEAR]. Okay, so this is the amount from here to here. So what we need to do, we have to divide 302 by 2. Then on We can find out how much each person gets, all right? [unclear]",00:28:40
keeyfzd,178,student,[UNCLEAR] [unclear],00:28:40
keeyfzd,179,tutor,9. [unclear],00:29:33
