session_id,utterance_id,role,content,timestamp
bdoshcr,0,background,[unclear],00:00:00
bdoshcr,1,tutor,"Hi Lachlan, can you hear me?",00:00:00
bdoshcr,2,student,Hello.,00:00:03
bdoshcr,3,tutor,"Yes Lachlan, can you hear me?",00:00:05
bdoshcr,4,student,Yeah.,00:00:07
bdoshcr,5,tutor,"Okay, so how are you doing today? Good.",00:00:09
bdoshcr,6,tutor,"Mm-hmm. And how was your day, Lachlan?",00:00:13
bdoshcr,7,student,Good.,00:00:16
bdoshcr,8,tutor,"Great job. So I'm really happy to hear that it was all good, Lachlan. So I think it was a really good start to go with this session, isn't it, Lachlan?",00:00:18
bdoshcr,9,student,Mm-hmm.,00:00:27
bdoshcr,10,tutor,"Well, so today it has to be a continuation of our last week's session, Lachlan, and it's regarding multiplying two-digit numbers using long [UNCLEAR]. And we have mostly done the parts of this lesson on our last week session. So we have went through all of these slides and we have been through the prior learning, the [unclear] slide, and we are about to start with the Go for the Star question on today's lesson. Okay?",00:00:29
bdoshcr,11,student,Okay.,00:01:00
bdoshcr,12,tutor,"Yeah, well done. [unclear]",00:01:02
bdoshcr,13,background,"It's 33 times 36, and it's saying explain the error. They didn't put the zero.",00:01:07
bdoshcr,14,tutor,"Wow, fantastic. So why do you think that we have to put a zero on the tens place there?",00:01:20
bdoshcr,15,background,Because in,00:01:25
bdoshcr,16,student,I'm not sure because it's meant to be to show that it's the 100 column.,00:01:32
bdoshcr,17,tutor,"Well, okay.",00:01:41
bdoshcr,18,student,So now [unclear] numbers even.,00:01:42
bdoshcr,19,tutor,"All right, Lachlan. So first, what are we going to do here is we will be multiplying 33 by 6, isn't it? Which has been done already. And the next thing that you are going to do is we will be multiplying this 33 by 30, and has to be 30 and not 3. So that's the reason why we are putting a 0 right here. So now, Lachlan, I just want you to do this question once again correctly. So can you find out the answer? What if you multiply 33 by 36. Can you find it out?",00:01:48
bdoshcr,20,student,"1,188.",00:02:30
bdoshcr,21,tutor,"Okay, how do you know that would be the answer?",00:02:35
bdoshcr,22,student,Because of the zero. [unclear],00:02:38
bdoshcr,23,tutor,"Can you explain me how you got that answer, please?",00:02:43
bdoshcr,24,student,Because zero goes with the nines originally. [unclear],00:02:46
bdoshcr,25,student,"Then that becomes an 8 because you can't do 8 add 0. So 8 add 0 is 8. Then 9 add 9 is 18, so 8, carry over the 1. This 9 here was moved here. 9 add 1 is 10. [Speaker:Lachlan]...is 10, the other one it's 11. [Speaker:Tutor] So what should be the answer then? [unclear]",00:02:58
bdoshcr,26,student,"What? 4,188.",00:03:27
bdoshcr,27,tutor,"Well done, well done. So that was a really good explanation, Lachlan. Well done. I would really love to give you 2 stars. Good job.",00:03:31
bdoshcr,28,student,Yay!,00:03:39
bdoshcr,29,tutor,"So, and there we go with the praise card. So that was really good working out, Lachlan, and I really liked your explanation. Explanation as well. So well done, Lachlan. So as we are left with so much of time, I think we can carry on with one more lesson. Lachlan, what do you think?",00:03:40
bdoshcr,30,background,Yeah.,00:03:56
bdoshcr,31,tutor,"Okay, I really like this cute smiley face. Good job, Lachlan. So I'm just taking you to the next slide.",00:03:58
bdoshcr,32,background,Yay!,00:04:04
bdoshcr,33,tutor,"And yeah, so here we are coming up with a new lesson, and it's regarding— can you guess what it is? [unclear]",00:04:05
bdoshcr,34,tutor,Can you guess what are we going to learn today?,00:04:13
bdoshcr,35,student,Dividing using short division with exchange.,00:04:22
bdoshcr,36,tutor,"Yes, so we will be learning about dividing using short division with exchange. And as the first thing, we are about to do the learning goal question. So can you give it a try, Lachlan?",00:04:26
bdoshcr,37,student,Yeah.,00:04:37
bdoshcr,38,tutor,"So basically, you can't do 6 into 1, so that is a 0. Then you carry over your 1, that becomes 12, that becomes 6. No, it doesn't, that becomes a 2. 6 goes into 12 twice. 6 goes into 8 once, carry over 2 because 2 is left over. 6 goes into 24 4 times, so 214.",00:04:41
bdoshcr,39,tutor,"Wow, Lachlan, excellent! Yes, you did it! So there we go with a very big [unclear] and there we go with a smiley face as well. Good job! Yes, you did that question correct as well. 10,000 equals 10 hundreds. So that was a really good, awesome effort on this side, and we are going to try some other questions just like this. So here we are coming up with the [unclear] part. So can you read me the question and give a try on the question A?",00:05:19
bdoshcr,40,student,"Mm-hmm. 6,613 divided by 5. So 6613.",00:05:47
bdoshcr,41,tutor,"There we go. Yeah, good job. [unclear]",00:06:06
bdoshcr,42,tutor,By 3264. [unclear],00:06:31
bdoshcr,43,tutor,"Okay, so 5 goes into 6 once, you carry over 1 left over. So 16 goes into 5 3 times, carry over the 1. So 11 goes into 5 2 times, carry over the 1. And 13 goes into 5... [unclear] [Speaker:Lachlan]...2 times.",00:06:49
bdoshcr,44,student,So with the remainder of 3.,00:07:20
bdoshcr,45,tutor,Good job. So do we say 13 goes into 5 or 5 goes into 13?,00:07:24
bdoshcr,46,student,5 goes into 13.,00:07:29
bdoshcr,47,tutor,"Perfect, yes. So the answer is 1,322 remainder 3.",00:07:31
bdoshcr,48,student,"1,322 remainder 3.",00:07:36
bdoshcr,49,tutor,"3. Good job. So can you just give me the answer on this exact place, Lachlan? Will you be able to do that?",00:07:39
bdoshcr,50,tutor,"Yep. Good job. Yeah. [unclear] Well done. Okay, so we'll try the question B now.",00:07:46
bdoshcr,51,student,Okay. So 4 goes into 3...,00:08:07
bdoshcr,52,tutor,"Nothing. So 3 left over, carried that. 4 goes into 32 8 times. None left over. 4 goes into 6 once. So there's 2 left over. So then— [unclear]",00:08:13
bdoshcr,53,student,4 goes into 24 6 times.,00:08:38
bdoshcr,54,tutor,"Yes. So the answer is 816, isn't it? So well done on that awesome effort on both of these questions, Lachlan. So will you be able to give me the answer on that exact place? [unclear] [unclear]",00:08:43
bdoshcr,55,tutor,"Perfect, yes. Good job on all of these questions because you did all these questions without any help of mine. So that was really good working out. And here we are coming up with the next part, which is the Go for the Site. So let's read this question first, but what they're asking for us to do.",00:09:15
bdoshcr,56,student,"Mrs. Jones has saved $7,000 £7,284. She shares it equally between her 3 grandchildren. How much do they each [unclear] each receive?",00:09:31
bdoshcr,57,tutor,"Hmm, so what calculation do you need to do here?",00:09:48
bdoshcr,58,student,"£7,284 divided by 3.",00:09:52
bdoshcr,59,tutor,"Wow, fantastic. Yeah.",00:09:56
bdoshcr,60,tutor,"7,280. Is it 83 or 84?",00:10:06
bdoshcr,61,student,84.,00:10:09
bdoshcr,62,tutor,"Well, yes, it has to be 84.",00:10:11
bdoshcr,63,tutor,"Okay, so 7, 284, 7,284 [unclear] 3.",00:10:27
bdoshcr,64,student,Yeah.,00:10:45
bdoshcr,65,tutor,"Okay, so basically 3 goes into 7",00:10:48
bdoshcr,66,student,"Twice and remainder of 1. 3 goes into 12... 3 times? Wait, no. 4 times? [Speaker:Tutor]...yes, exactly. [Speaker:Lachlan] 3 goes into 8... twice? Unless... yeah.",00:10:52
bdoshcr,67,background,2 left over.,00:11:20
bdoshcr,68,tutor,Exactly.,00:11:23
bdoshcr,69,background,3 goes into 24... [unclear],00:11:24
bdoshcr,70,background,8 times.,00:11:38
bdoshcr,71,tutor,8 times.,00:11:40
bdoshcr,72,background,"So as you have given me the answer, Lachlan, so if you need to check your answer with its",00:11:43
bdoshcr,73,tutor,Correct. How do you check it out?,00:11:48
bdoshcr,74,student,Uh... [unclear],00:11:53
bdoshcr,75,tutor,What do you do there?,00:11:55
bdoshcr,76,student,"So, well, so you have given me the answer.",00:11:59
bdoshcr,77,tutor,Use a calculator.,00:12:00
bdoshcr,78,student,"Okay. Instead of doing using a calculator, what if you're supposed to have a question on your paper and you have to check it whether the answer is correct or not? So do you have any ideas about how you could check it? By using a sheet.",00:12:04
bdoshcr,79,tutor,"Yes, yeah, you could use a sheet. And as you have done the division and you have given the answers 2428, but still you are [UNCLEAR]. [Speaker:Lachlan] Can I do it again?",00:12:20
bdoshcr,80,tutor,"Yeah. Okay, so yeah, okay, you can try out once again, but still you are still confused about doing with the division part. So do you have any other ideas? [unclear] What else you can do? What is the opposite of division, Lachlan?",00:12:30
bdoshcr,81,student,Subtraction.,00:12:54
bdoshcr,82,tutor,Division?,00:12:57
bdoshcr,83,student,Addition.,00:12:58
bdoshcr,84,tutor,Addition?,00:13:01
bdoshcr,85,student,Is times.,00:13:02
bdoshcr,86,tutor,"Is the opposite of subtraction. Exactly, yes, that's times, or we could say multiply. So we can get the help of multiplication. So what you can do right here is you can check your answer by",00:13:02
bdoshcr,87,student,Multiply it by 3.,00:13:13
bdoshcr,88,tutor,"Exactly, exactly. So you can do it.",00:13:17
bdoshcr,89,student,"28. Oh, I got 28, yeah. By 3.",00:13:20
bdoshcr,90,tutor,"By 3, yes. Okay, you can multiply it by 3 and check it whether your answer is correct or not, isn't it, Lachlan?",00:13:25
bdoshcr,91,student,Yeah.,00:13:34
bdoshcr,92,tutor,"Wow, so when it gives you the same answer, that means your answer is perfectly all right. So shall we check and see whether the answer that you have given is correct?",00:13:36
bdoshcr,93,student,"Yeah, so 8 times 3 is 24, so we do the 4 here, we carry over the 2. 2 times 3 is 6, 6 add the 2 is 8. 3 times 4 is 12, so we get the 2, carry over the 1. 3 times 2 is 6, count up the 1, 7. 7,284.",00:13:45
bdoshcr,94,tutor,Exactly. So what do you think about the answer?,00:14:19
bdoshcr,95,student,I got it right.,00:14:22
bdoshcr,96,tutor,"Exactly, yes, you got it right. So I'm going to give you 3 stars because you did the question and you checked it out whether it's correct or not, isn't it, Lachlan?",00:14:23
bdoshcr,97,student,Yeah.,00:14:33
bdoshcr,98,tutor,"Wow, so you found out how much do they receive for each grandchildren. From their grandmas. Wow, so that was really good working out once again, Lachlan. And we are still left with time, and I hope we can start one more new lesson. So what do you think, Lachlan?",00:14:34
bdoshcr,99,background,"Uh, sure.",00:14:55
bdoshcr,100,tutor,"Okay, great. I think you are drawing a beautiful smiley face. Good job! Oh, that was really good smiley one. So well done on that, Lachlan. So thank you so much for that. Smiley face as well. I'm going to take you to a new lesson and let's see what it is about. So here we are about to start a new lesson. So what is it about?",00:14:57
bdoshcr,101,student,Solving multi-step addition subtraction problems.,00:15:19
bdoshcr,102,tutor,"Hmm, yes, you guessed it right. So we are about to start a new part and it's regarding solving multi-step addition and subtraction problems. So here we are starting with the learning goal question. Lachlan, so shall we read the question first? [unclear]",00:15:24
bdoshcr,103,tutor,"Hello, Lachlan, can you hear me? Hello, can you hear me?",00:15:47
bdoshcr,104,tutor,"Well, unfortunately I couldn't hear you, Lachlan. Just give me a second to reload my page, okay? Hello, Lachlan? Can you hear me?",00:16:05
bdoshcr,105,tutor,"Hello, can you hear me, Lachlan? Okay, great. But unfortunately, Lachlan, I can't hear you. So would you be able to refresh your slide or check your connection over there? Yeah, good job. [unclear]",00:16:37
bdoshcr,106,student,Hello.,00:17:16
bdoshcr,107,tutor,"Yes, Lachlan. Yes, you did a great job. Yeah, I can hear you right now. So, well done. So, shall we give a try on the question 2?",00:17:17
bdoshcr,108,tutor,On the learning book— what?,00:17:26
bdoshcr,109,student,Yeah. [unclear],00:17:28
bdoshcr,110,tutor,Mm-hmm.,00:17:28
bdoshcr,111,student,"Okay, so a bookshop has 1,432 books in the morning. They receive a delivery of 737 more books and sell 686 books. How many books will— okay, so number 1, we need to do 1,432 add 737.",00:17:31
bdoshcr,112,tutor,Okay. [unclear],00:18:02
bdoshcr,113,student,"737. Okay, now we're doing add. Okay, so then, so 7 and 2 is 9. 3 and 3 is 6.",00:18:04
bdoshcr,114,student,4 and 7 is 11. So 1 and carry over the 1 to the next number. 1 and 1 is 2. So 2169. So now we've got to do 2169 taking away 686.,00:18:22
bdoshcr,115,tutor,"So 9 take away 6 is 3. And so 6 take away 9 you can't do, so you knock next door. That becomes— the 1 becomes a 0. The 6 becomes 16. So 16 take away 8 is 8.",00:18:50
bdoshcr,116,student,"0 take away 6, can't do, not next door. 2 becomes a 1. That becomes a 10. So 10 take away 6 is 4. [unclear]",00:19:14
bdoshcr,117,tutor,Yeah. And then 1 take away nothing is 1. So the total books they have,00:19:31
bdoshcr,118,student,[unclear] is 1483.,00:19:40
bdoshcr,119,tutor,"Fantastic, well done. Yes, that was the great answer. Good job. And I really like the way how you explained me, Lachlan. Good job on that part. So well done once again, Lachlan. I think you are gained so many stars for the day today, isn't it? Good job on all of them. So now we are about to try some other questions just like that, Lachlan. So we are just coming up with a YouTube part, and yeah, let's give it",00:19:43
bdoshcr,120,tutor,"Okay, let's try on the question A.",00:20:11
bdoshcr,121,student,"Okay, got it. Draw bar models to help you solve this problem. No, I don't want bar models. I am using [unclear] method. There are 496 cupcakes in a shop. 137 more cupcakes get delivered, and then after they've all added up, 3,138 cupcakes are sold. Okay, step 1.",00:20:13
bdoshcr,122,tutor,"Is 486. Add 137. So, okay, so 7 6 is 13, so 3, carry over the 1. 9 3 is 12, add the 1, is 13. So 3, add the 1 over again. 4, add 1 and 1, is 6. So 633. Now we're going to do 633 take away 338. [unclear]",00:20:37
bdoshcr,123,tutor,"So now, you can't do 3 take away 8, so that 3 becomes a 2, that 3 there becomes 13. So 13 take away 8 is 5. 3 take away 3 is 0.",00:21:32
bdoshcr,124,student,"No, 2 take away 3, can't do. Knock next door. The 6 becomes a 5. The 2 becomes a 12. So 12 take away 3 is 4. Oh no, no, it's not. So 3 take away 3 is 0. [unclear]",00:21:57
bdoshcr,125,tutor,"Yes, Lachlan, go ahead.",00:22:25
bdoshcr,126,student,"12, 11, 10, 9. So 9. And then 5 take away 3 is 2. So 295.",00:22:28
bdoshcr,127,tutor,Exactly. So they are left with 295 cupcakes. Good job. And now it's time to try out the question B. [unclear],00:22:39
bdoshcr,128,background,"Okay, clear up space. Okay, so it says a garden centre has 1,745 plants on Monday morning. 889 plants are sold by lunchtime on Monday.",00:22:53
bdoshcr,129,tutor,"558 plants have been delivered on Monday afternoon. How many plants are there in the delivery? After delivery, right? So number 1 is... So 1,745 take away 889.",00:23:13
bdoshcr,130,student,"Yes. [unclear] Then we're going to take away 338. Okay, so basically 5 take away 8 cannot do, so you've got a knot next door. The 1 becomes a [UNCLEAR]. [Speaker:Lachlan] So can I have the reason why you are taking away a 338, Lachlan?",00:23:32
bdoshcr,131,student,Uh... [unclear],00:24:09
bdoshcr,132,tutor,"Okay, that's fine. [Speaker:Lachlan]...189. [Speaker:Tutor] Okay, yeah, let's try to recorrect it. That's okay.",00:24:12
bdoshcr,133,student,"Alright, so if I add that to this...",00:24:22
bdoshcr,134,tutor,"Okay, so, 1,745 take away— no, no, take away— no, take away 889.",00:24:33
bdoshcr,135,student,Yes?,00:24:50
bdoshcr,136,tutor,"So 5 take away 9 is— can't do, see, not next door. The 4 becomes 3.",00:24:51
bdoshcr,137,student,The 5 becomes 15. 15 take away 9 is 6.,00:25:03
bdoshcr,138,tutor,Mm-hmm.,00:25:12
bdoshcr,139,student,"So then 3 take away 8, can't do, so you knock next door. The 7 becomes a 6. Then the 13, then the 3 becomes a 13. And then... 13 take away 4 is 9.",00:25:15
bdoshcr,140,tutor,Is that 13 take away 4 or—,00:25:36
bdoshcr,141,student,13.,00:25:41
bdoshcr,142,tutor,"Yes, 13 take away a 4 or 13 take away 8?",00:25:43
bdoshcr,143,student,"Oh, 13 take away 8.",00:25:51
bdoshcr,144,tutor,Yeah.,00:25:55
bdoshcr,145,student,"Okay, so 13 take away 8 is... 5.",00:25:56
bdoshcr,146,tutor,"Great, yes.",00:26:08
