session_id,utterance_id,role,content,timestamp
npyrigw,0,tutor,Hello.,00:00:00
npyrigw,1,background,[unclear],00:00:00
npyrigw,2,background,"Hi, Callum.",00:00:00
npyrigw,3,tutor,"Hi, Callum.",00:00:04
npyrigw,4,student,Hello.,00:00:06
npyrigw,5,tutor,Can you hear me? I can hear you. [unclear],00:00:06
npyrigw,6,tutor,Huh? I can't hear you.,00:00:13
npyrigw,7,student,Huh?,00:00:18
npyrigw,8,tutor,Can you hear me?,00:00:19
npyrigw,9,student,"Yes, I can hear you.",00:00:21
npyrigw,10,tutor,"Okay, so yes, how are you?",00:00:23
npyrigw,11,student,I'm good.,00:00:26
npyrigw,12,tutor,"Okay, so yes, shall we start the lesson for today, today? Huh? Shall we start the lesson for today? [Speaker] Okay.",00:00:27
npyrigw,13,tutor,"Yeah, so today we have to start from a new lesson, knowing the value of each digit in numbers up to 10 million. So yeah, okay, if it is a 1 million, how many zeros we will get? Huh? This is 1 million, how many zeros we will get? [unclear]",00:00:40
npyrigw,14,student,1 million.,00:01:04
npyrigw,15,student,Yeah.,00:01:06
npyrigw,16,student,How many zeros we get?,00:01:07
npyrigw,17,student,For 1 million?,00:01:14
npyrigw,18,student,Yeah.,00:01:15
npyrigw,19,student,We would get 6.,00:01:18
npyrigw,20,student,"Yes, exactly. Very good. So if it is 1 million, we will get 6 zeros with the 1 here. As it is a 10 million, we have 10 there, right? For 10 billion, we got 7 zeros. 7 zeros. Okay, yeah, so yeah, that is a very good answer. So let's start with learning goal question first. Shall we read it? [unclear]",00:01:23
npyrigw,21,tutor,Shall we do the learning goal question?,00:01:51
npyrigw,22,student,Okay.,00:01:56
npyrigw,23,tutor,"Yeah, can you read the question for me? [unclear]",00:01:57
npyrigw,24,tutor,How do you say?,00:02:00
npyrigw,25,background,"Yes, can you read the question for me? Learning goal question.",00:02:04
npyrigw,26,tutor,Which one?,00:02:07
npyrigw,27,background,"Learning goal, first one here.",00:02:09
npyrigw,28,tutor,What is the value of a 6— of the 6-digit number in this number?,00:02:11
npyrigw,29,background,What is the value of the digit 6 in this number?,00:02:18
npyrigw,30,tutor,"It's 10,000.",00:02:23
npyrigw,31,tutor,Mm-hmm.,00:02:27
npyrigw,32,background,"It's 10,000.",00:02:28
npyrigw,33,tutor,"Yeah. Okay, so it is the place value. Okay, and they are asking the value of the digit 6. So we have 6 10,000s.",00:02:31
npyrigw,34,background,Trying to connect. [unclear],00:02:43
npyrigw,35,tutor,"Okay, Callum.",00:02:45
npyrigw,36,background,I'm trying.,00:02:46
npyrigw,37,tutor,"Yeah, so the place value is 10,000. We got 6 10,000s.",00:02:47
npyrigw,38,tutor,"So what is 6 times 10,000?",00:02:52
npyrigw,39,student,"6 times 10,000?",00:02:57
npyrigw,40,tutor,Yeah.,00:03:00
npyrigw,41,student,"60,000.",00:03:01
npyrigw,42,tutor,"Yeah, so that is the value of that digit there, right? So it should be 60,000. Okay.",00:03:03
npyrigw,43,student,Okay.,00:03:11
npyrigw,44,tutor,"Yeah, let's make it correct. [unclear] [unclear]",00:03:12
npyrigw,45,tutor,"Okay, so yeah, did you understand the meaning of the value of digit 6 there, Callum?",00:03:25
npyrigw,46,student,Yes.,00:03:33
npyrigw,47,tutor,"Okay, so now let's move to prior learning question. Yeah, try to answer this question now.",00:03:34
npyrigw,48,background,Okay.,00:03:43
npyrigw,49,tutor,Can you read the question again for me?,00:03:45
npyrigw,50,student,"Write the number 1,500— write number below in numerals 1,580,225.",00:03:51
npyrigw,51,tutor,"Try to write the number with the grouping. You have to write it using the numbers. Okay, Callum?",00:04:04
npyrigw,52,student,"Okay. [unclear] 1,000,000, 1,500, 580.",00:04:18
npyrigw,53,tutor,Is it 80 or 8?,00:04:32
npyrigw,54,background,"Is 80... 80... A, or 8,000? [unclear]",00:04:35
npyrigw,55,background,Wrong number. [unclear],00:04:45
npyrigw,56,background,225.,00:04:49
npyrigw,57,tutor,"Okay. As you did that question correctly, So we can move to our Let's Learn slide to learn more about the values of the digits, right?",00:04:58
npyrigw,58,student,[unclear],00:05:10
npyrigw,59,tutor,"Good working out, Callum. We're moving to our Let's Learn slide. Okay, so yes, here you have to help me. I'll teach you this slide, right? But I need your help there. Yes, can you read this one for me?",00:05:12
npyrigw,60,student,A place value chart shows the value of each digit in number.,00:05:30
npyrigw,61,tutor,"Now we have the place value chart over here and we have some counters. Okay, so yes, let's count them and write the digits, the number they are below. Okay, so yes, how many you can see in 100 million? Do we have any? [unclear]",00:05:37
npyrigw,62,tutor,"No, we don't have any hundred million.",00:05:59
npyrigw,63,background,"Yes, let's identify the place that you shot first.",00:06:04
npyrigw,64,tutor,We only have millions. We have 5 million.,00:06:06
npyrigw,65,background,"5 million, and?",00:06:11
npyrigw,66,tutor,"That's the whole number, 5 million.",00:06:12
npyrigw,67,background,"No, 5 million.",00:06:16
npyrigw,68,tutor,And then? How many hundred thousands?,00:06:17
npyrigw,69,tutor,How many hundred thousand?,00:06:21
npyrigw,70,student,12.,00:06:24
npyrigw,71,tutor,There's no hundred thousand.,00:06:25
npyrigw,72,background,Yeah.,00:06:28
npyrigw,73,tutor,"Okay, let's start. Identify the [UNCLEAR].",00:06:29
npyrigw,74,background,"It's a hundred thousand. It's 5 million. There's no hundred thousand. No, there's 200,000.",00:06:31
npyrigw,75,tutor,Okay.,00:06:41
npyrigw,76,background,"And then there's 9, 10,000.",00:06:42
npyrigw,77,tutor,Okay.,00:06:49
npyrigw,78,student,There is no thousands.,00:06:50
npyrigw,79,tutor,So we better see where to place all that.,00:06:53
npyrigw,80,student,Two hundreds. There is one tenth.,00:06:55
npyrigw,81,tutor,Sorry.,00:07:03
npyrigw,82,student,One tenth. And there is [UNCLEAR].,00:07:04
npyrigw,83,tutor,"Four ones, right?",00:07:10
npyrigw,84,student,"Yes. So can you write this number for me in this blank? [unclear] How we are going to write this one? All together. Yes, can you write this number?",00:07:11
npyrigw,85,student,What do you say? I can't hear you. I can't hear you.,00:07:27
npyrigw,86,tutor,Can you write the number in the blank? Can you just give it a try? Yeah.,00:07:30
npyrigw,87,student,Okay. [Speaker] What is the value of—,00:07:36
npyrigw,88,tutor,"Okay, now the number is here. You have to write the number. Yeah. [Speaker] 5, 2, 9, 0, 2, 1, 4.",00:07:41
npyrigw,89,tutor,"Are we going to write these together in this way? [Speaker] Nope, I forgot one thing. [unclear] [unclear] So yeah, how we are going to read this number, Callum?",00:07:54
npyrigw,90,student,"5,209,214.",00:08:27
npyrigw,91,tutor,"Okay, very good. So that was a really good answer there. So yeah, now we can see the groups there, right? So we separated the groups using the commas. Okay, Callum? We have thousands, ten thousands, and hundred thousands. That is in the thousands group. And then we got millions, ten millions, and hundred millions. That is what we call the millions group. Okay? As we had only in millions, that is going to be a 5 million. Okay? Now let's see what they say here in this line.",00:08:30
npyrigw,92,student,[unclear],00:09:01
npyrigw,93,tutor,"Yeah. Yeah, can you see? Okay, so what— so I know that Callum— can you read this line here? Yes. Can you read this one? I can't hear you. Can you read the line? This one? Oh, a zero in a number is called a placeholder. Yes. Can you show me the placeholder here? Where did we put the placeholder?",00:09:02
npyrigw,94,tutor,In thousands.,00:09:32
npyrigw,95,background,In thousands.,00:09:33
npyrigw,96,tutor,"So it puts the zero as we have no numbers there, right? Okay, so yes. So can you read this one again? Which one? This one. This whole thing?",00:09:35
npyrigw,97,background,"Here there are no thousands, so we write a zero as it gives this position and therefore the value of the",00:09:48
npyrigw,98,tutor,"Okay, right. Yes, so it is a 0. So why we put a 0? As we had no values there, we put 0 as a placeholder. Okay, so yes. And question B. [unclear]",00:09:58
npyrigw,99,tutor,"Okay, well done. Now you know what you call the value there, right?",00:10:16
npyrigw,100,tutor,So what is the value of 2 here? [unclear] What is the value of 2 there?,00:10:26
npyrigw,101,student,"The value of 2 there is 100, 200.",00:10:37
npyrigw,102,tutor,"Okay, very good. But what they ask in the question, Callum, how many 10,000s are there? So I was just talking about here, like",00:10:41
npyrigw,103,tutor,"It's not [unclear] slide, is it?",00:10:53
npyrigw,104,background,"29,000.",00:10:55
npyrigw,105,tutor,"29,000. Yeah. Let's read the question again. Yeah, what they're asking the question. Forget about the whole thing there, right?",00:10:58
npyrigw,106,background,Okay.,00:11:09
npyrigw,107,tutor,"Erase that answer and read the question again. Here's the answer first, Callum.",00:11:09
npyrigw,108,student,"How many 10,000s are there? How many 10,000s are there?",00:11:13
npyrigw,109,tutor,Yeah.,00:11:23
npyrigw,110,background,"How many 10,000s?",00:11:23
npyrigw,111,tutor,"There are 9 10,000s.",00:11:26
npyrigw,112,background,"Yeah, so the answer should be 90,000.",00:11:29
npyrigw,113,tutor,"No, they asked how many 10,000s. [unclear] Right? They are asking how many 10,000s are there?",00:11:36
npyrigw,114,student,"There are 9 10,000s.",00:11:52
npyrigw,115,tutor,"Yes, you just have to type 9 there. Okay? Not the value, right? You just have to type 9 only. Did you understand it? Callum, did you understand the question?",00:11:53
npyrigw,116,background,Yeah.,00:12:09
