session_id,utterance_id,role,content,timestamp
cmfqwjr,0,background,[unclear] [Speaker:Tutor]... [UNCLEAR] [Speaker:Elian]... [UNCLEAR] [unclear] [Speaker:Tutor]... [unclear] [Speaker:Elian]... [unclear] [unclear] [Speaker:Tutor]... [UNCLEAR] [unclear] [Speaker:Tutor]... [unclear] [unclear] [Speaker:Tutor]... [UNCLEAR] [unclear] [Speaker:Tutor]... [unclear] [unclear] [Speaker:Tutor]... [UNCLEAR] [unclear] [Speaker:Tutor]... [unclear] [unclear] [Speaker:Tutor]... [UNCLEAR] [unclear] [Speaker:Tutor]... [unclear] [unclear] [Speaker:Tutor]... [UNCLEAR] [Speaker:Elian]... [UNCLEAR] [unclear] [Speaker:Tutor]... [unclear] [Speaker:Elian]... [unclear] [unclear],00:00:00
cmfqwjr,1,student,Hello?,00:02:48
cmfqwjr,2,tutor,"Hello, hi, how are you? How's your day been?",00:02:49
cmfqwjr,3,tutor,Hello? Hello? Can you hear me?,00:02:59
cmfqwjr,4,student,Hello?,00:03:09
cmfqwjr,5,tutor,"Yeah, I can hear you, Elian. Can you hear me?",00:03:11
cmfqwjr,6,tutor,"Hello? Okay, you can't. I can hear you. Hello? Let me see. Okay, hi, how about now? [unclear]",00:03:25
cmfqwjr,7,tutor,"Elian, can you hear me?",00:03:52
cmfqwjr,8,student,"Yes, just can't hear me. [unclear]",00:03:55
cmfqwjr,9,tutor,Could you please double-check if the volume is up or down?,00:04:05
cmfqwjr,10,tutor,"Hello? Hello? [unclear] Hi, I can hear you. Can you hear me? Volume's up. Okay. Okay. [unclear]",00:04:23
cmfqwjr,11,tutor,All right. Could you please check these?,00:04:41
cmfqwjr,12,student,Right.,00:04:48
cmfqwjr,13,tutor,Hello? [unclear],00:04:51
cmfqwjr,14,student,Hello?,00:05:20
cmfqwjr,15,tutor,"Hi, can you hear me?",00:05:20
cmfqwjr,16,student,Yeah.,00:05:22
cmfqwjr,17,tutor,"Okay, there you go, great. How are you? How's the day been?",00:05:23
cmfqwjr,18,tutor,"And I can't hear you anymore. Hello? Hello? You can— okay, now you can, but I cannot. Okay.",00:05:35
