session_id,utterance_id,role,content,timestamp
hjihnpe,0,tutor,Hello.,00:00:00
hjihnpe,1,background,[unclear],00:00:00
hjihnpe,2,student,Hi.,00:00:01
hjihnpe,3,tutor,"Hi, how are you, Toby?",00:00:01
hjihnpe,4,student,Good.,00:00:05
hjihnpe,5,tutor,"Mm-hmm, okay, so what did you do at school today?",00:00:07
hjihnpe,6,student,Math.,00:00:18
hjihnpe,7,tutor,"Okay, what did you do in math? [unclear]",00:00:18
hjihnpe,8,student,Percentages. [unclear],00:00:20
hjihnpe,9,tutor,"Okay, that's really great.",00:00:36
hjihnpe,10,tutor,"Okay, so Toby, what's the topic we have today?",00:00:39
hjihnpe,11,student,Rounding numbers to the nearest 100 and 1000.,00:00:43
hjihnpe,12,tutor,"Uh-huh, okay. So have you heard of this topic anywhere before?",00:00:49
hjihnpe,13,student,"Um, yeah.",00:00:54
hjihnpe,14,tutor,"Okay, where have you done this?",00:00:58
hjihnpe,15,student,"Um, in [UNCLEAR].",00:01:00
hjihnpe,16,student,I'll just type here 6.,00:01:04
hjihnpe,17,tutor,Mm-hmm. Okay. So do you know what we have to actually do here? What do you mean by rounding numbers?,00:01:06
hjihnpe,18,student,Rounding numbers is... [unclear] I don't know.,00:01:16
hjihnpe,19,tutor,"Okay, no problem. Okay, rounding numbers is something making it closer to the nearest 10, 100, or 1,000. Okay, so can we try the first question here, Toby?",00:01:26
hjihnpe,20,student,"Yeah, round 5,391 to the nearest 100.",00:01:40
hjihnpe,21,tutor,"Okay, so can you try it? Do you know how to do it? [unclear]",00:01:51
hjihnpe,22,tutor,No.,00:02:01
hjihnpe,23,student,Yeah.,00:02:01
hjihnpe,24,tutor,"Okay. I can just help you out. Can you tell me, can you read the number from the hundreds place? [unclear]",00:02:01
hjihnpe,25,student,3.,00:02:12
hjihnpe,26,tutor,Yeah. Can you read that number from the hundreds place?,00:02:14
hjihnpe,27,student,300.,00:02:17
hjihnpe,28,tutor,"Yes. It's 391, right?",00:02:21
hjihnpe,29,student,Yeah.,00:02:23
hjihnpe,30,tutor,"Okay, so when it's 391, we have to make it the nearest hundred. It's between 300 and 400, right? 200s are there. [unclear] 300 and 400. I'm writing 300 here and I'm writing 400 here. Okay, now can you tell me, this 391 is closer to 300 or 400? [Speaker] Um, 300.",00:02:25
hjihnpe,31,tutor,"Closer to, closer. Which is closer? [Speaker] 300.",00:02:56
hjihnpe,32,tutor,"Are you sure? It's 391. [Speaker] Oh, 400.",00:03:05
hjihnpe,33,tutor,"400, right? So you have to write the new numbers, 5400, here.",00:03:09
hjihnpe,34,tutor,Okay.,00:03:20
hjihnpe,35,student,"I think they say it's hundreds place, nearest hundreds. So think about the last 3 digits, which is 391, and think which is closest. That is, 100 is the closest, so you write it as 5,200 here. [unclear]",00:03:20
hjihnpe,36,tutor,"Okay, good job. Now can you read this here?",00:03:40
hjihnpe,37,student,Round 8... 812 to the nearest 10.,00:03:45
hjihnpe,38,tutor,812 to the nearest 10. So now what are the 2 digits which is in the tenths place? [unclear],00:04:00
hjihnpe,39,student,1 and 12... 2.,00:04:07
hjihnpe,40,tutor,"Yes, so it's 2. 12, right?",00:04:10
hjihnpe,41,student,Yeah.,00:04:12
hjihnpe,42,tutor,"Yeah, so 12 is between 10 and 20, right?",00:04:13
hjihnpe,43,student,Yes.,00:04:17
hjihnpe,44,tutor,Which is closer? Is it 10 or 20 is the closest?,00:04:19
hjihnpe,45,student,10. [unclear],00:04:23
hjihnpe,46,tutor,"So it should be 800. Yes, okay, good job there. Okay, I hope you can do that now.",00:04:24
hjihnpe,47,student,"Okay, yeah.",00:04:33
hjihnpe,48,tutor,"Okay, can you please read this?",00:04:34
hjihnpe,49,student,"Before rounding numbers to the nearest hundred and thousand, you need to be able to round to the nearest ten.",00:04:40
hjihnpe,50,tutor,"Okay, so it's— that's what we did now. Okay, can you count the numbers here and write it down here? [unclear]",00:04:55
hjihnpe,51,tutor,What's the number shown on this chart?,00:05:08
hjihnpe,52,student,34.,00:05:10
hjihnpe,53,tutor,"Yes, good job. The number 34 is closest to 30 or 40? [unclear] Where will 34 be? [unclear]",00:05:13
hjihnpe,54,tutor,Is it closest to 30 or 40?,00:05:40
hjihnpe,55,student,30.,00:05:46
hjihnpe,56,tutor,"30, yes, you're correct. Okay, let's put 30 here.",00:05:49
hjihnpe,57,tutor,Now can you write the number which is shown here on this slide? [unclear],00:06:02
hjihnpe,58,tutor,Okay.,00:06:20
hjihnpe,59,student,Yes.,00:06:22
hjihnpe,60,tutor,226.,00:06:23
hjihnpe,61,tutor,"Good job. Okay, now can you write— this is 420. What will be the next number here?",00:06:25
hjihnpe,62,student,"Um, the next number would be— [unclear]",00:06:34
hjihnpe,63,tutor,"We have 420, 425, and what would be this?",00:06:38
hjihnpe,64,student,"Maybe 10,000.",00:06:44
hjihnpe,65,student,[unclear],00:06:53
hjihnpe,66,tutor,"Yes, okay, that's really great. Now can you mark 226 on your number line? Okay. Yes, now can you tell where is it closest to? Is it closest to 420 or 430? [unclear]",00:06:53
hjihnpe,67,tutor,Why did you put it as closest to 430?,00:07:32
hjihnpe,68,student,"Because if you have 5, so if you have anything above 5 is",00:07:39
hjihnpe,69,student,It's 5 and above to the higher one and 4 and below to the lower.,00:07:47
hjihnpe,70,tutor,"Yes, 5 and lower one, so we had round down. Okay, so you know that there. Okay, so that's a really good working out. We are moving on to the next one. Okay, can you please read this? [unclear]",00:07:54
hjihnpe,71,student,Rounding a number to the nearest hundred means,00:08:09
hjihnpe,72,student,I'm thinking about which multiple of 100.,00:08:12
hjihnpe,73,student,"No, but it's closest to.",00:08:16
