session_id,utterance_id,role,content,timestamp
hgayfsd,0,tutor,Hello?,00:00:00
hgayfsd,1,background,[unclear],00:00:00
hgayfsd,2,student,Hello?,00:00:05
hgayfsd,3,tutor,Can you hear me?,00:00:07
hgayfsd,4,student,"Yes, I can hear you.",00:00:08
hgayfsd,5,student,I'm good.,00:00:13
hgayfsd,6,tutor,"Amazing. Okay, so let's start off with the lesson that we studied last week. So we are going to continue on using multiplication and division facts up to 12 times 12. Okay, so let's start from this slide. So I will be working on the follow-me slide, Linnea, right? So you can pay attention, and if you do have any questions, you can ask me then and there. Is that good to start with?",00:00:15
hgayfsd,7,student,Yes.,00:00:38
hgayfsd,8,tutor,"Okay, so 8th question says, we can use multiplication table facts to solve division problems. So the problem that they've given us is 35 divided by 7. So we know something times 7 is going to give us 35. So we know 7 times 5 is equal to 35. So the answer is going to be 5. [unclear]",00:00:40
hgayfsd,9,student,"And also, if we divide 35 by 7, it is still going to give us 5. Because we know 7 times 5 is 35. So if 35 divided by 7 would give us 5. So here they are saying, let's solve a problem using our multiplication and division facts. A regular octagon has a perimeter of 48 centimeters. What is the length of each of the sides? So we know octagon means that has 8 sides. So we need to divide 48 by 8. So we can use our 8 times table and we can use the knowledge of it to work on this. So we know to find one side, 48 should be divided [unclear] by 8 because we know octagon has 8 sides. Okay, so let's put it over here. And yeah, yeah, okay, so we have to use 8 times table. So we should see 8 times something gives us 48. So in the times table, 8 times 6 gives us 48. Therefore, it is going to be 6. So one side is going to be equal to 6 centimeters. Let me type that in. I have not written the unit, so units is very important. And then we know one side is 8 centimeters— sorry, one side is 6 centimeters, and we have 8 sides, so that is equal to 48 centimeters. Is that clear to you, Linnea?",00:01:08
hgayfsd,10,student,[unclear],00:02:48
hgayfsd,11,tutor,"Yes. Okay, can you start working out loud? On your turn, [UNCLEAR]. [Speaker:Linnea] Yeah, so use your table facts to solve the following",00:02:49
hgayfsd,12,background,"108 divided by 9. So 108 divided by 9, I already know my 9 times table, so I'll just go all the way up to 12 times 9. So it's 12 because I know 9, 18, 27, 36, 45, 54, 63, 72, 81, 99, 19— [unclear] 99, and 108.",00:03:02
hgayfsd,13,student,"So, yeah, so 9 times 12 here equals 108.",00:03:43
hgayfsd,14,tutor,"Solve the following problem. 8 children spend a day washing [unclear] cars and earn £40 altogether. If they share the money equally, How much do they each get? So I know that half— well, 5 times 8 is 40. So here you would write 5 times 8 is 40. [unclear] [Speaker:Linnea]... [UNCLEAR] [unclear]",00:03:54
hgayfsd,15,tutor,5 times 8.,00:04:38
