session_id,utterance_id,role,content,timestamp
iklaiak,0,tutor,"Hi, can you hear me?",00:00:00
iklaiak,1,student,Hello?,00:00:02
iklaiak,2,tutor,Hello?,00:00:04
iklaiak,3,student,Hello.,00:00:05
iklaiak,4,tutor,"Hi, [STUDENT_NAME], can you hear me now?",00:00:06
iklaiak,5,student,Yeah.,00:00:08
iklaiak,6,tutor,"Okay, all right. So I didn't hear you earlier, that's why. So how are you, [STUDENT_NAME]?",00:00:09
iklaiak,7,student,"Good, thank you. How are you?",00:00:15
iklaiak,8,tutor,I'm doing great as well. Thanks for checking on me. So how is December?,00:00:17
iklaiak,9,student,"Good, thank you.",00:00:23
iklaiak,10,tutor,Are you excited for Christmas?,00:00:24
iklaiak,11,student,"Yeah, I'm also excited because I'm going camping on Friday.",00:00:26
iklaiak,12,tutor,"Oh, is it this Friday?",00:00:33
iklaiak,13,student,Yeah.,00:00:34
iklaiak,14,tutor,"Oh, that's amazing. So are you going with your friends?",00:00:35
iklaiak,15,student,With Scouts.,00:00:41
iklaiak,16,tutor,"Scouts, oh, okay, that's nice, that's interesting. So you're excited for it?",00:00:43
iklaiak,17,student,Yeah. [unclear],00:00:48
iklaiak,18,tutor,"Alright, that's amazing. So have you put up the tree and started decorating for Christmas?",00:00:50
iklaiak,19,student,"Not yet, but like, but soon.",00:00:56
iklaiak,20,tutor,"Soon, okay, that's nice. Alright, so that's really nice talking to you about that. And shall we move on to the lesson today?",00:00:59
iklaiak,21,student,Okay.,00:01:07
iklaiak,22,tutor,"Okay, great. So today we're going to start with a new lesson. So that's comparing and ordering fractions. Okay?",00:01:08
iklaiak,23,student,Okay. [unclear],00:01:15
iklaiak,24,tutor,So can you just try on the first question here?,00:01:15
iklaiak,25,student,Okay. Write the fractions in order from smallest to largest. Okay. [unclear],00:01:22
iklaiak,26,student,So when it comes to [unclear] like [unclear],00:01:45
iklaiak,27,tutor,"Okay, that's a really nice try. So could you tell me how did you get to the answer?",00:01:49
iklaiak,28,student,"Okay, so I looked at the denominators and I saw that 2 was smaller than 5 and 10, so I put 1/2 and then 3/10 and 2/10.",00:01:55
iklaiak,29,tutor,"Okay, okay, alright. I see the reasoning there. Okay, thank you so much for explaining that out. So you're almost there. So let's learn how to do that in our upcoming slides, okay? But before that, could you give it a try on this one as well?",00:02:13
iklaiak,30,student,"Okay, find a common multiple of 4, 5, and 10.",00:02:27
iklaiak,31,tutor,"Yeah, common multiple, right?",00:02:31
iklaiak,32,student,"Yeah. So... [unclear] It's a common multiple, like, um, uh, oh wait.",00:02:33
iklaiak,33,tutor,"What is a multiple, [STUDENT_NAME]? What do you understand by a multiple of 4? What would you say?",00:02:47
iklaiak,34,student,"Would it be like 4, 8, 12?",00:02:53
iklaiak,35,tutor,There you go.,00:02:55
iklaiak,36,student,"Okay. Okay, so 4... [unclear]",00:02:57
iklaiak,37,student,Would it be 20?,00:03:06
iklaiak,38,tutor,"Alright, okay, how did you get to that answer?",00:03:08
iklaiak,39,student,"So, I didn't really even use the 4, but I counted 5, 10, 10, 20, sorry, and then 5, 10, 15, 20, and then I did it quite slowly with 4 and it got me to 20.",00:03:11
iklaiak,40,tutor,"There you go. Yes, that was a really fantastic effort from you, and that's a great explanation as well. Keep up that amazing work. Okay, and let's look at it, how we could do this in an easier way. Okay, so I'm going to take you to this slide. So could you give it a try on reading all this?",00:03:30
iklaiak,41,student,"Okay. When comparing or ordering a set of fractions, it is easy to compare them if the denominators are the same.",00:03:48
iklaiak,42,student,"Let's compare 1/5 and 4/15. 15 is a multiple of 5, so we can use 15 as the common denominator.",00:03:58
iklaiak,43,tutor,"Okay, so far what did you understand? Like maybe the green highlighted box from that, what did you understand?",00:04:08
iklaiak,44,student,Yeah.,00:04:20
iklaiak,45,tutor,What did you understand from that? [unclear],00:04:21
iklaiak,46,student,"So I understood that when comparing or ordering a set of fractions, it's like when you compare two— it's like with these two, you go, how many 5s go into 15? And that will be 3. So you have to do the same to the 1. So that will be 3/15.",00:04:25
iklaiak,47,tutor,"Uh-huh, there you go. Okay, now why are we converting it to a denominator of 15? Why are we converting 1/5 to denominator of 15?",00:04:49
iklaiak,48,student,"Um, because, um, um, I think because the denominators always have to be the same.",00:04:59
iklaiak,49,background,[unclear],00:04:59
iklaiak,50,tutor,Why? Why does it have to be the same?,00:05:12
iklaiak,51,tutor,Could you read the green part once again a bit louder so that maybe let's see if we are getting something from that.,00:05:18
iklaiak,52,student,"When comparing or ordering a set of fractions, it's easier to compare when if the denominators are the same.",00:05:25
iklaiak,53,tutor,"Mm-hmm. Does it ring a bell any— why do we have to have a denominator, a common denominator?",00:05:32
iklaiak,54,student,[unclear],00:05:43
iklaiak,55,tutor,Because it's easier to compare them.,00:05:43
iklaiak,56,student,"Exactly right. Now for an example, when I say I shared something with one of my friends and I got half of something, and then I'm saying in another instance I got, let's say, 2/5 of something. Now how would you know which is a greater portion, 1/2 or 2/5? How can you figure it out when I say it that way? Or what do you think if I say I got 2/5 of chocolate and my friend got 3/5 of the chocolate? Now, which is easy for you to compare? [unclear]",00:05:46
iklaiak,57,tutor,Is it with the same denominator or with a different denominator?,00:06:24
iklaiak,58,student,Is it with the same denominator?,00:06:28
iklaiak,59,tutor,"Yeah. So now, like I told you, let's say I got 1/2. [unclear] And my friend got 2/5. Okay, that's one scenario. And the other scenario, I got 2/5 and my friend got 3/5. Now, out of these 4 fractions, like, let's take the first 2 as one set and the second— the last 2 as another set. Now, out of these, which is more easy for you to compare? And tell me which has the greater portion.",00:06:30
iklaiak,60,student,This one.,00:07:02
iklaiak,61,tutor,There you go. So how do you know that it's easy? These Why do you think 3/5 is greater than 2/5?,00:07:03
iklaiak,62,student,"Because the denominators are the same, so 3/5 would be bigger than 2/5.",00:07:08
iklaiak,63,tutor,"Exactly. Now when you are just giving a glance of this particular fraction here, do you think it's easier for you to figure out which is the greater fraction?",00:07:14
iklaiak,64,student,Would it be 1/3?,00:07:28
iklaiak,65,tutor,Okay. Do you think that's the greatest fraction?,00:07:30
iklaiak,66,student,"Uh, yeah.",00:07:35
iklaiak,67,tutor,"Mm-hmm. Okay, are you sure or do you think you're taking a guess?",00:07:37
iklaiak,68,student,"Uh, probably taking a guess.",00:07:41
iklaiak,69,tutor,"A guess, right? Now, now do you see, um, like comparing with same denominator and comparing with different denominators, that itself tells you that having a common denominator is easier to compare, right? So that's the reason when you have different denominators like this, we are making it to a common denominator. Are you clear? Yeah, it's just like... [unclear] It's just because I think it's quite hard just to like do like this bit. I'm like... because I think... yeah.",00:07:43
iklaiak,70,tutor,So do you think this is harder for you to do?,00:08:21
iklaiak,71,student,"Like this, like try and find the denominators.",00:08:25
iklaiak,72,background,"Exactly. So now do you remember in the first question that you found a common multiple? For all these 3 numbers, right? So same way, whatever the denominators you have, you had to find the least common multiple and then try to find what would be the numerator. Isn't that easy?",00:08:29
iklaiak,73,student,"Yeah, so say 5— how many 5s? So this would be 3.",00:08:49
iklaiak,74,tutor,Mm-hmm.,00:08:54
iklaiak,75,student,And then this would be 3. So it would be 3/15. [unclear],00:08:55
iklaiak,76,student,Okay.,00:09:04
iklaiak,77,background,"And then 1/15 is the same as— 1/15, 1/5 is the same. Is it 3/15?",00:09:11
iklaiak,78,tutor,"Yeah, so this is what it says equal, right?",00:09:24
iklaiak,79,tutor,So that is same as?,00:09:28
iklaiak,80,student,3/5.,00:09:29
iklaiak,81,tutor,"Okay, now shall we try to compare? Yeah, so you can write the fraction that you got here.",00:09:31
iklaiak,82,student,"Okay. And, um...",00:09:38
iklaiak,83,tutor,"Which is bigger now? [unclear] There you go. It's the same question once again, but with the original fraction. Do you see? 1/4 and 4/5.",00:09:45
iklaiak,84,student,Oh yeah.,00:09:57
iklaiak,85,tutor,Now what do you think the answer is?,00:09:58
iklaiak,86,student,I keep struggling on this question.,00:09:59
iklaiak,87,tutor,"OK, this is the same thing. 1/5 is equal to 3/15.",00:10:08
iklaiak,88,student,"Oh, so that will actually be 3/15. [unclear]",00:10:15
iklaiak,89,tutor,"Yeah, yeah.",00:10:17
iklaiak,90,student,3/15. So it would be that.,00:10:20
iklaiak,91,tutor,"Exactly, it's gonna be the same thing, right? Do you see that? Now this is the reason that we have to find a common denominator, right? So I think you did a fantastic effort on this question, so there's a sticker for that. Right, now if I'm going to take you to this [UNCLEAR], I'm gonna show you how we can work out this question. So I want you to carefully listen to this so that it will make it more easy for you to understand. Okay?",00:10:25
iklaiak,92,student,Okay.,00:10:57
iklaiak,93,tutor,"Okay, first and foremost thing when you get fractions like this, I won't say don't get nervous or don't think that it's going to be a hard question. Okay? Take your time. Let's gonna do step by step. So we have 3 fractions with different denominators. So what is my first step? I need to find a common denominator. Okay?",00:10:58
iklaiak,94,student,Yeah.,00:11:20
iklaiak,95,tutor,"That's the first step. So remember that. So I have 1/3, 4/15, 2/5. So now, when I look at 3, 15, and 5, I know that 3 has 3, 6, 9, 12, 15, and there's 15 here, and then 5, 10, 15. And I see that 15 is common in all these 3 multiples.",00:11:21
iklaiak,96,student,Yeah.,00:11:43
iklaiak,97,tutor,"So I'm gonna write— so I'm gonna write here, 15 is a multiple of 3 and 5. Okay, is that [unclear] so far?",00:11:43
iklaiak,98,student,"Uh, yeah.",00:11:52
iklaiak,99,tutor,"Right. So let's move to the second one. So now what I'm going to do, my second step, is write the fractions so that they have the same denominator. Now I'm going to make this 1/3 to a fraction that equals to 15. [unclear] Equals to a denominator of 15, right?",00:11:53
iklaiak,100,student,Yeah.,00:12:10
iklaiak,101,tutor,So let me do the denominator first because I know the common denominator.,00:12:10
iklaiak,102,student,"So would it be 3/15? Okay, I think you're almost there. So how do I make 3 into 15? Oh, sorry, 3 to 15. [unclear] Times it by 5. There you go. So whatever you do to the bottom number, you do it to the top number. So that's also times by 5.",00:12:14
iklaiak,103,student,That'll be 5.,00:12:38
iklaiak,104,tutor,"5. Amazing. Yeah, thanks for helping me. Okay, and the second part. So now 5 times 15. So what do I do?",00:12:39
iklaiak,105,student,[unclear],00:12:52
iklaiak,106,tutor,So would it be 6 here?,00:12:53
iklaiak,107,student,"Yes, 2 times— oh, thank you for that. Yes, now I see this 1/3 equals to 5/15 and this 2/5 equals to 6/15. Okay, now see, this is 5 and this is 4 and this is 6. I obviously know now 4 is the smallest and 5 is the second smallest and 6 is the largest, right?",00:12:56
iklaiak,108,student,Yeah.,00:13:18
iklaiak,109,tutor,"But when I write the fractions in order, I need to make sure that I write the original fraction, not the fraction that I converted. Okay? So I'm going to go with the smallest because it says smallest, not just— [unclear]",00:13:18
iklaiak,110,student,and 1/3.,00:13:18
iklaiak,111,tutor,"Yes, and 15. And the second one is 1/3. Because that's 5/15, so that's 1/3. And the last one, the largest one would be 2/5. Oh, remember I said we can't write the fraction that we created.",00:13:35
iklaiak,112,student,Yeah.,00:13:54
iklaiak,113,tutor,"Okay, so you had to go with the original fraction. That is 2, there you go, yes, thank you. Yes, go on.",00:13:55
iklaiak,114,student,"Okay, [UNCLEAR]. Yay! There you go. Are you clear with this so far?",00:14:01
iklaiak,115,student,"Um, a bit, but I think, um, for—",00:14:09
iklaiak,116,tutor,"Let me tell you the 3 steps, okay? Remember that. First, common denominator. Second, you find the fractions with the same denominator. And third, you have to arrange with the original fraction.",00:14:11
iklaiak,117,student,Okay.,00:14:24
iklaiak,118,tutor,Let's give it a try on this now.,00:14:26
iklaiak,119,background,[unclear] the order of fractions below from smallest to largest. Find the common denominator.,00:14:27
iklaiak,120,student,"So 12... 4, 8, 12... 3, 6, 9, 12... So I think it's 12.",00:14:33
iklaiak,121,tutor,"Mm-hmm, that's a great start.",00:14:39
iklaiak,122,student,"And then 2/3 equals 12, I know 12, so... And then 3, 6, 9, 12... that's 4, so that will be 8.",00:14:45
iklaiak,123,student,"And then 12. And then how many? 4, 8, 12. So that will be 9.",00:14:59
iklaiak,124,tutor,Mm-hmm.,00:15:10
iklaiak,125,student,"And then, so it will be 7/12 would be the smallest.",00:15:11
iklaiak,126,tutor,Mm-hmm.,00:15:16
iklaiak,127,student,And then it would—,00:15:24
iklaiak,128,student,And then 7/12 and 3/4.,00:15:27
iklaiak,129,tutor,Shall we look at that once again? [unclear] [unclear],00:15:40
iklaiak,130,tutor,9/4 is equal to 9/12. Is that the second smallest?,00:15:53
iklaiak,131,student,"Isn't it 7/12, 3/4, and then 8/12— 2/3, sorry.",00:15:59
iklaiak,132,tutor,"Okay, what is 2/3 equals to?",00:16:06
iklaiak,133,student,2/3 equals 8/12.,00:16:09
iklaiak,134,tutor,"Yeah, so let's look at these 3 fractions, right? So these are the 3 fractions. And tell me now which is the smallest fraction out of these",00:16:12
iklaiak,135,student,7/12.,00:16:23
iklaiak,136,tutor,What is the next smallest?,00:16:23
iklaiak,137,student,"2/3. Oh yeah, 2/3. [unclear]",00:16:28
iklaiak,138,student,And then it would be 3/4.,00:16:35
iklaiak,139,tutor,"And there you go, yes. So what was challenging here?",00:16:45
iklaiak,140,student,Probably just finding like the [UNCLEAR].,00:16:49
iklaiak,141,tutor,"Yes, so from this, what do you think you should always remember when you do a question like this?",00:16:57
iklaiak,142,student,The denominators have to be the same.,00:17:03
iklaiak,143,tutor,"Yeah, I mean, when you're ordering, now let's say now you have converted everything, right? So you've converted and found out what are the fractions now. So now you know what is the smallest and the biggest, but there's a small challenge when you write it in the correct order with the original fractions, right? Then what do you think you need to do to make it always correct?",00:17:07
iklaiak,144,student,So you have to like work from the smallest to the greatest and look very carefully.,00:17:27
iklaiak,145,tutor,"Exactly. We need to look very carefully and also double-check your answers always, okay?",00:17:34
iklaiak,146,student,Yeah.,00:17:40
iklaiak,147,tutor,"So that will definitely help you because you did fantastic work on the first one and the second one and on the third one as well. But I think we might get confused in the third one. So that's why I want you to look a little carefully, okay? Okay, that's amazing. No worries, welcome. And I'm just gonna quickly take you back to this. Do you think you could try this again?",00:17:41
iklaiak,148,student,"Okay. So I'll just erase it. Okay, it's [UNCLEAR]. 2 tens. Wait, can I write it like out?",00:18:05
iklaiak,149,tutor,"Yeah, yeah.",00:18:18
iklaiak,150,student,Thank you.,00:18:22
iklaiak,151,tutor,"Maybe you can use this. Oh wait, there you go. Yeah, you can use that space.",00:18:24
iklaiak,152,student,2 tens is equal— [unclear],00:18:29
iklaiak,153,background,"What was the first step, [STUDENT_NAME]?",00:18:32
iklaiak,154,student,Pardon?,00:18:37
iklaiak,155,background,What was the first step?...to... [unclear],00:18:38
iklaiak,156,tutor,Do you want to go back?,00:18:54
iklaiak,157,student,"Yes, please.",00:18:55
iklaiak,158,tutor,Okay. What was the first step?,00:18:56
iklaiak,159,student,"Find the common denominator. Oh yeah, find the common denominator.",00:18:58
iklaiak,160,tutor,Yes. What's the common denominator?,00:19:01
iklaiak,161,student,So it would be 10.,00:19:05
iklaiak,162,tutor,"There you go, yes.",00:19:07
iklaiak,163,student,"So it would be 10, okay. 10, so, and then we do, and then [unclear] 210.",00:19:09
iklaiak,164,tutor,"A tutor is already there. Yeah, okay, no problem. And then proof. [unclear] Oh, is it? Oh.",00:19:32
iklaiak,165,tutor,"No worries, we'll take our time, no worries. Okay, the first one is already in the denominator. What you should do for the second one and the third one.",00:20:02
iklaiak,166,student,"Okay, so that would be how many 5s go into 10, which is— so would that be 6 times?",00:20:12
iklaiak,167,tutor,"Yeah, you're doing really amazing.",00:20:26
iklaiak,168,student,"I'll put this there for now. And then I can— this is 10. And then how many? 2, 4, 6, 8, 10. That would be 5. So that would be 5/10.",00:20:27
iklaiak,169,tutor,"Mm-hmm, yeah.",00:20:46
iklaiak,170,student,And then— [unclear],00:20:48
iklaiak,171,student,[unclear] So it'll be like 2 tenths. So I'm just gonna write. So this would be 6 tenths. So it would be 1/2.,00:20:49
iklaiak,172,tutor,"Okay, what is 1/2 equals to, [STUDENT_NAME]?",00:21:07
iklaiak,173,student,"Oh, 2/5 tenths.",00:21:13
iklaiak,174,tutor,"Yeah, so shall we keep the fractions next to— yeah, exactly, yes. Next to the original fraction, then you will not get confused.",00:21:15
iklaiak,175,student,"Okay, amazing. [unclear] The smallest to largest. Okay, so it's 2/10.",00:21:23
