session_id,utterance_id,role,content,timestamp
azdvxrq,0,tutor,Hello?,00:00:00
azdvxrq,1,background,[unclear],00:00:00
azdvxrq,2,student,Hello?,00:00:00
azdvxrq,3,tutor,Hello?,00:00:01
azdvxrq,4,student,"Hello, can you hear me?",00:00:02
azdvxrq,5,tutor,Yeah.,00:00:03
azdvxrq,6,tutor,"Okay, that's great. So if I'm not wrong, your name is Tobias, is that correct?",00:00:05
azdvxrq,7,student,"Yeah, yeah.",00:00:10
azdvxrq,8,tutor,How are you?,00:00:12
azdvxrq,9,student,"Good, thanks. You?",00:00:13
azdvxrq,10,tutor,"Okay, you're welcome. So I can see your past session report. Seems like you have joined our sessions earlier, yeah?",00:00:16
azdvxrq,11,student,Yeah.,00:00:25
azdvxrq,12,tutor,"Okay, so I'm not going to do the introduction and all, so I'll be your tutor for this term, okay? So my name is Fatima [unclear] and I will be your tutor this term. So I hope we both have have a good time. Yeah?",00:00:26
azdvxrq,13,student,Yeah.,00:00:38
azdvxrq,14,tutor,"Alright, so yes, the first lesson for you that's assigned is estimating calculations. There's a small question here. Can you give it a try?",00:00:40
azdvxrq,15,student,I can't see the screen.,00:00:50
azdvxrq,16,tutor,You can't see the screen?,00:00:53
azdvxrq,17,student,"No, it's just loading.",00:00:55
azdvxrq,18,tutor,"It's still loading, okay.",00:00:58
azdvxrq,19,tutor,Let's just give us a couple of seconds here.,00:01:02
azdvxrq,20,student,Yeah. [unclear],00:01:06
azdvxrq,21,tutor,Amari.,00:01:32
azdvxrq,22,background,"Okay, is it good now?",00:01:32
azdvxrq,23,tutor,"No, it's still just got the loading thing on the screen.",00:01:34
azdvxrq,24,background,"Okay, might be because a lot of people are using the internet right now, yeah. [unclear] [unclear]",00:01:41
azdvxrq,25,tutor,"Actually, Beatrice. I think Mandy's right, not Amory, Mandy is.",00:02:08
azdvxrq,26,student,"Oh no, no, no, no, no, no, no, Beatrice.",00:02:15
azdvxrq,27,tutor,[unclear],00:02:21
azdvxrq,28,student,"It's just got loading, the signal going around, just saying the slides trying to load.",00:02:21
azdvxrq,29,tutor,All right. So I think we have to wait then a little bit more.,00:02:28
azdvxrq,30,tutor,What about now?,00:03:38
azdvxrq,31,student,It's just saying that 2 out of 12 slides is just trying to load.,00:03:40
azdvxrq,32,tutor,"Oh, I wish we had something like, you know, screen sharing.",00:03:46
azdvxrq,33,student,Sorry?,00:03:50
azdvxrq,34,tutor,"It would have been much easier. I wish we had something like screen sharing. You know, it would have been easier rather than loading this whole lesson.",00:03:51
azdvxrq,35,tutor,"Which one? The B? For 3 significant figures, you've got to find— well, I just think it's easier finding like the first 3 numbers, and you have to round up the 7, and the 9's obviously larger, is above 5, so you're rounding it up, you're not rounding it down.",00:04:09
azdvxrq,36,tutor,"So, yeah, you round it up. [unclear] Because what we've been told is over 5, you round up, below 5, you round down.",00:04:28
azdvxrq,37,tutor,Yeah. [unclear],00:05:00
azdvxrq,38,background,"Well, 3.8 runs on [unclear] and then 2.98 runs on [unclear]",00:05:05
azdvxrq,39,tutor,Is it all right now?,00:05:27
azdvxrq,40,student,It's still just got the loady signal.,00:05:29
azdvxrq,41,tutor,Am I— I don't use my phone for this.,00:05:30
azdvxrq,42,student,"Okay, Tobias, what about— do we have any other internet connection?",00:05:34
azdvxrq,43,tutor,"Yeah, because there's people in the room on—",00:05:39
azdvxrq,44,student,Sorry.,00:05:42
azdvxrq,45,tutor,"Okay, maybe. Okay, I think that's the reason for it to be very slow, yeah.",00:05:43
azdvxrq,46,tutor,"That's— yeah, that's all right.",00:05:49
azdvxrq,47,student,[unclear] [unclear],00:05:51
azdvxrq,48,tutor,Obviously.,00:06:16
azdvxrq,49,student,Obviously. [unclear],00:06:24
azdvxrq,50,tutor,"Yeah, let's do that.",00:06:50
azdvxrq,51,student,"We discussed about rounding it up, was it to the 5th significant figure?",00:06:58
azdvxrq,52,tutor,"Yeah. Okay, so I check if we can do something. [unclear]",00:07:16
azdvxrq,53,tutor,That would just be 5. And 0.42 would just be 0. [unclear],00:07:34
azdvxrq,54,student,So I want you to tell— now do you see a blank slide?,00:07:48
azdvxrq,55,tutor,"I can see a blank slide now, yeah.",00:07:51
azdvxrq,56,student,"Okay, so what about the question? Can you see the question now? Would that just all blank?",00:07:54
azdvxrq,57,tutor,Just be zero.,00:08:01
azdvxrq,58,student,Or would I do it as zero?,00:08:03
azdvxrq,59,tutor,Yeah.,00:08:07
azdvxrq,60,student,Yeah. [unclear],00:08:09
azdvxrq,61,tutor,"Oh, there, I can see it now. Okay, so why don't we give it a try? So until our lesson actually loads, just try it like this, okay?",00:08:10
azdvxrq,62,student,Yeah. I feel like I'll still get the same thing.,00:08:21
azdvxrq,63,tutor,So 3 people are saying 3 different things. I want you to say who is correct here. It's definitely— yeah. [unclear],00:08:25
azdvxrq,64,student,"Yes, that is correct. Can you tell me how did you find it out?",00:08:39
azdvxrq,65,tutor,Because I rounded the 2 numbers off.,00:08:43
azdvxrq,66,student,Yeah.,00:08:46
azdvxrq,67,tutor,"And then the bottom number rounds down because it's 1. Meaning it rounds down because it's below 5, and then— [unclear]",00:08:47
azdvxrq,68,tutor,"Okay, so it's all rounded to the closest number possible, yeah?",00:08:56
azdvxrq,69,student,Yeah.,00:09:01
azdvxrq,70,tutor,"Okay, good job there. Okay, so what about now? Can you see the lesson, or still it's loading?",00:09:02
azdvxrq,71,student,It's gone back to loading now.,00:09:08
azdvxrq,72,tutor,"Yeah, I think so. I'm really sorry about the issue. So what we can do is, because I really don't want to waste your time, I'll copy-paste the question in a blank slide for you to see. Is that okay?",00:09:11
azdvxrq,73,tutor,Yeah.,00:09:24
azdvxrq,74,student,"Okay. So, yeah. That's the only thing we can do right now. So, yeah. Give me a second. Okay. [unclear] Okay. Now I will go with your first question.",00:09:26
azdvxrq,75,tutor,It's just blank now. [unclear],00:09:49
azdvxrq,76,student,I'll give it one second. What about now?,00:09:53
azdvxrq,77,tutor,"I can just see your cursor, but the rest is just blank.",00:10:02
azdvxrq,78,student,Okay.,00:10:04
azdvxrq,79,tutor,Okay. Let me load it once again and see. [unclear],00:10:12
azdvxrq,80,student,I can see your question now.,00:10:26
azdvxrq,81,tutor,"Okay, that's great. Okay, that's great. It took us 10 minutes, but yeah, at the end, yeah.",00:10:28
azdvxrq,82,tutor,"All right, so there are 2 questions for you in this slide. Can you give it a try? [unclear]",00:10:35
azdvxrq,83,student,Yeah. No. Is the first one 91.7?,00:10:48
azdvxrq,84,tutor,"91.7, yes, that is correct. What about— okay, now you can give it a try for the second one.",00:11:01
azdvxrq,85,student,"So to 3 significant figures, the answer is 91.7924. So would you use the 4, which is below 5, to round down?",00:11:09
azdvxrq,86,tutor,Yes.,00:11:20
azdvxrq,87,student,To make it 91.791.,00:11:21
azdvxrq,88,tutor,"Okay. Yeah, but still there are 4 figures there. We need only 3 figures, yeah?",00:11:25
azdvxrq,89,student,"Oh yeah, 91.7.",00:11:30
azdvxrq,90,tutor,"7, 9. So we have a 9 next to 7. So are we rounding up or down there? [unclear]",00:11:33
azdvxrq,91,student,"Oh, rounding up. Because it's above 5, so would it be 91.8?",00:11:39
azdvxrq,92,tutor,"Yes, that's correct. Okay, good job. So this question will give you 3 marks here. Ah, good job there. So now shall we move to your next slide?",00:11:46
azdvxrq,93,tutor,"Yeah, got it.",00:11:59
azdvxrq,94,student,"Okay, okay, good. So this is your next exam style question.",00:12:01
azdvxrq,95,tutor,I need to round the numbers up because it's an estimate.,00:12:06
azdvxrq,96,student,"No, it's the estimate, yeah. [unclear]",00:12:11
azdvxrq,97,tutor,Yeah.,00:12:15
azdvxrq,98,student,"Yeah, because you can round the numbers.",00:12:16
azdvxrq,99,student,So do 5 times 19 divided by 0.4.,00:12:20
azdvxrq,100,tutor,"Yeah, so 19, or even you can take 20, yeah?",00:12:30
azdvxrq,101,student,7?,00:12:35
azdvxrq,102,tutor,"Because if you're rounding to— yeah, I think that would be very easy. [unclear] 20... [unclear]",00:12:35
azdvxrq,103,tutor,250.,00:12:53
