session_id,utterance_id,role,content,timestamp
hotevkb,0,tutor,Hello.,00:00:00
hotevkb,1,student,Hi.,00:00:01
hotevkb,2,tutor,"Hi Callum, how are you?",00:00:03
hotevkb,3,student,I'm good.,00:00:05
hotevkb,4,tutor,"Okay, that's really exciting. So can you remember what we did last week?",00:00:06
hotevkb,5,student,I'm pretty sure we were [unclear] like I'm pretty sure we were using long multiplication.,00:00:13
hotevkb,6,tutor,"Yeah, exactly. And we have worked on a couple of questions and we have to start from here today.",00:00:23
hotevkb,7,student,Mm-hmm. Okay.,00:00:32
hotevkb,8,tutor,"So can you start working on these two questions? If you need any help, I would help you.",00:00:36
hotevkb,9,student,"So 3 times 5 is 30, so you're going to put the 0 there and then the 3, 3 here, and then 5 times 3 is 15, add the 3 is 18. [unclear]",00:00:50
hotevkb,10,student,"So that 8's gonna go down. The 8's gonna go there, and then since it's 18, then a 1 is gonna go here. But since there's no other times thing, it's gonna be 8 up there. So it's 180, but then you're gonna add a 0 in.",00:01:10
hotevkb,11,student,"And we're gonna do 1 times 6, which is 6, and 1 times 3, which is 3, and then we're gonna add them all together.",00:01:37
hotevkb,12,tutor,Yeah.,00:01:49
hotevkb,13,student,"So that means that— so 8 adds 6— so 8 adds 2 is 10, which means that it's going to be 14.",00:01:51
hotevkb,14,tutor,Yeah.,00:02:02
hotevkb,15,student,"And then 1 and 3 is 4, but then there's a 1 remainder, so that's gonna be 5. So it's gonna be 540.",00:02:03
hotevkb,16,tutor,Yeah. So that is correct. So you can move to the next one.,00:02:12
hotevkb,17,student,"Okay, right. So 6 and then a 2 and then a [unclear] [unclear] And then a 3 and then a 2. Alright, 2 times 2 is 4. 2 times here.",00:02:22
hotevkb,18,tutor,You can check whether it is 62 or 64.,00:02:49
hotevkb,19,student,64.,00:02:53
hotevkb,20,student,"So, 4 times 2 is 8. And then 2 times 12 is going to be— 2 times 6 is going to be 12.",00:03:06
hotevkb,21,tutor,Mm-hmm.,00:03:24
hotevkb,22,student,"And then we're gonna do 3 times 4, which is gonna— 3 times 4 is gonna be 12, but you have to add the 0. So that means that's gonna be— [unclear] here. That means that 2— no, 3 times 6 would be 18, add the 1 would be 19.",00:03:25
hotevkb,23,tutor,Mm-hmm.,00:04:00
hotevkb,24,student,And then we're gonna add them together.,00:04:06
hotevkb,25,tutor,Mm-hmm.,00:04:10
hotevkb,26,student,"So that means there will be 8 for 8, there will be 8, and then that will be a 4, and then that will be a 9, and then that will be a 2. So it would be 2, 9. [unclear]",00:04:13
hotevkb,27,tutor,Would it be 9?,00:04:38
hotevkb,28,tutor,Because you are adding 1 and a 9. [unclear],00:04:39
hotevkb,29,tutor,"Okay, here you have only 1, so 1 plus 9 would be 10, and from that you have another 1 which should be added with this one. So what it would be? [unclear]",00:04:55
hotevkb,30,tutor,"Yeah, now it is correct. So the answer would be 2048. So that is a really good working out. With that, we will be moving to a bit challenging question, but I know it is not that much challenging for you. So can you work on this?",00:05:12
hotevkb,31,student,"Ah, yeah. So, ah, right. So, [unclear] explain, yeah. So, 36 should be at the top, okay?",00:05:35
