session_id,utterance_id,role,content,timestamp
nubiqib,0,tutor,Hello.,00:00:00
nubiqib,1,background,[unclear],00:00:00
nubiqib,2,student,Hello.,00:00:01
nubiqib,3,tutor,"Hi, Tarik. [Speaker:Tarik]...",00:00:03
nubiqib,4,tutor,Great. So how has the day been so far? [unclear] Okay. And if I talk about like what were you doing before joining the session?,00:00:08
nubiqib,5,student,Break.,00:00:27
nubiqib,6,tutor,"Okay, there was a break. Then what did you do in your break?",00:00:29
nubiqib,7,student,"Um, just play the tennis ball.",00:00:34
nubiqib,8,tutor,"Okay, that's nice. So did you enjoy?",00:00:37
nubiqib,9,student,Yeah.,00:00:44
nubiqib,10,tutor,Yeah?,00:00:47
nubiqib,11,student,Yeah.,00:00:49
nubiqib,12,tutor,"Okay, I can see again you are using your emotions. And you know, you won't believe, I tried to find that [UNCLEAR], but I couldn't find it out. I'm really very sorry. Because last time you [unclear] me how to find out this option, right? But I couldn't find it out after the class. Okay, so now Tarik, if I talk about your weekend, how was it?",00:00:49
nubiqib,13,student,It was fine.,00:01:17
nubiqib,14,tutor,"Yeah, okay. And what did you do, if I want to know?",00:01:18
nubiqib,15,student,Not much.,00:01:23
nubiqib,16,tutor,"Okay, anything interesting did you do at your home? [unclear]",00:01:24
nubiqib,17,tutor,"Alright, so now if I talk about your today's class, are you ready?",00:01:30
nubiqib,18,student,Yes.,00:01:38
nubiqib,19,tutor,"Alright, and you know, as we usually do before starting your session, I just want a little feedback from you. And so, am I speaking too fast, too slow, or it is okay for you?",00:01:39
nubiqib,20,student,It's okay.,00:01:51
nubiqib,21,tutor,Can you hear me loud and clear?,00:01:53
nubiqib,22,student,Yeah.,00:01:56
nubiqib,23,tutor,Are my explanations clear to you?,00:01:57
nubiqib,24,student,[unclear] Yeah.,00:01:59
nubiqib,25,tutor,"Okay, thank you so much for your feedback. So you know, in this class today we are going to continue the same topic as you started it with your previous tutor, and the topic's name is solving problems involving conversions between metric",00:02:02
nubiqib,26,tutor,So what do you remember about it from your previous session?,00:02:19
nubiqib,27,student,I don't know.,00:02:24
nubiqib,28,tutor,"You don't know. Okay, don't worry about that. So, you know, last time we have done one topic. Do you remember? [unclear] Okay, I think you are trying to draw something. You know, Tarik, I will give you some time. After these questions, okay? And we will draw together, okay? Great. So can you please just tell me what is the meaning of conversion? [unclear]",00:02:27
nubiqib,29,tutor,Uh-huh.,00:02:59
nubiqib,30,student,I don't know.,00:03:01
nubiqib,31,tutor,"Okay, shall I tell you? So when we are just trying to change a value or expression from one form to another, Okay, one form to another, that is called as conversion. Okay.",00:03:04
nubiqib,32,student,[unclear],00:03:20
nubiqib,33,tutor,And what does metric measures mean? Like metric units?,00:03:21
nubiqib,34,student,I don't know.,00:03:29
nubiqib,35,tutor,"All right, don't worry. Let me tell you about that. So metric units means the unit of measurement in the metric system. It includes meters, kilometers, liters, millimeters. Okay, and what is that code? What is that code? [unclear] Here it is. Yes, uh, F and then slash ER. Okay, I can see that. Can you see this? No. Okay, all right. So last time you were on this slide. Hello?",00:03:31
nubiqib,36,student,Hello.,00:04:13
nubiqib,37,tutor,"So last time you were working on the slide, right? And your tutor had done this part, so are you ready for your turn part? [unclear] Yes. Now give it a try and tell me how will you attempt this part. Give it a try, Tarik.",00:04:15
nubiqib,38,student,"I don't know. Okay, but see, here it is your turn, [UNCLEAR], so just give it a try. And you know, if you need my help, you don't need to hesitate. As I told you in your previous session, you can ask me if you need my help, okay?",00:04:32
nubiqib,39,student,Mm-hmm. Great. Go ahead now.,00:04:59
nubiqib,40,student,"Hello? [unclear] So this equals 1,250?",00:05:08
nubiqib,41,tutor,"Uh, uh, here, first read the statement please. Yes. Look at my pointer. Okay.",00:05:17
nubiqib,42,student,This one?,00:05:23
nubiqib,43,tutor,"Yeah, this is your [unclear] part.",00:05:24
nubiqib,44,tutor,Is solve? [unclear],00:05:28
nubiqib,45,student,This problem involving one [UNCLEAR].,00:05:33
nubiqib,46,tutor,"Yes, then? [unclear]",00:05:36
