session_id,utterance_id,role,content,timestamp
mhvtrve,0,tutor,Hello?,00:00:00
mhvtrve,1,student,Hello?,00:00:01
mhvtrve,2,tutor,"Hi, Julian. Can you hear me?",00:00:03
mhvtrve,3,student,Yes.,00:00:06
mhvtrve,4,tutor,Okay. Hi. Is my voice loud enough to you? Hello?,00:00:07
mhvtrve,5,student,Hello?,00:00:20
mhvtrve,6,tutor,Okay. So is my voice loud enough to you?,00:00:22
mhvtrve,7,student,Yes.,00:00:26
mhvtrve,8,tutor,"Okay, that is good then. Right, so how have you been?",00:00:28
mhvtrve,9,student,Good.,00:00:32
mhvtrve,10,tutor,Good. And how has your week been so far?,00:00:35
mhvtrve,11,student,It's been fine.,00:00:39
mhvtrve,12,tutor,"It's been fine, right, right. So did anything interesting happen during the past week?",00:00:42
mhvtrve,13,student,No.,00:00:50
mhvtrve,14,tutor,Okay. And I sort of remember you some—,00:00:52
mhvtrve,15,tutor,"our trip in our last session. So, do you like go on it, go on the trip? [unclear]",00:00:52
mhvtrve,16,tutor,No?,00:01:11
mhvtrve,17,student,No.,00:01:12
mhvtrve,18,tutor,"So, did the plan cancelled?",00:01:14
mhvtrve,19,student,Yeah.,00:01:20
mhvtrve,20,tutor,"It didn't happen? Okay, okay. Right, right. So, how about Christmas? Well, you said What are you going to do for Christmas?",00:01:21
mhvtrve,21,student,I'm going to be meeting family and stuff.,00:01:32
mhvtrve,22,tutor,So are you excited?,00:01:37
mhvtrve,23,student,Yeah.,00:01:38
mhvtrve,24,tutor,"OK. All right. That is nice to hear. So I think we have around another session until the holidays. So right, let's get started. OK. So comparing numbers with up to 2 decimal places. [unclear]",00:01:40
mhvtrve,25,tutor,"Okay. So I'll write a couple of numbers. So let's say we have something like, okay, 4. And on the other side, let's say we have maybe [UNCLEAR]. [unclear]",00:02:00
mhvtrve,26,tutor,"So we have 3.4 and 3.15. So between these two decimals, Julian, which decimal is the smallest?",00:02:28
mhvtrve,27,student,3.15.,00:02:40
mhvtrve,28,tutor,And how do you know that?,00:02:44
mhvtrve,29,student,"Because in the tenths, 1 is smaller than 4.",00:02:46
mhvtrve,30,tutor,"Right, very good. So we have to look at the trends and we need to compare. Okay, so what [unclear] would you write in between them?",00:02:51
mhvtrve,31,background,[unclear],00:02:59
mhvtrve,32,tutor,"There we go. Good thinking. So let's take a look at the slides. So we did this one. We completed these questions with the diagrams. And also this slide here and these questions. So do you remember these? The whole tens and the hundreds, do you remember these diagrams?",00:03:03
mhvtrve,33,student,Yes.,00:03:29
mhvtrve,34,tutor,"Okay. So today we're going to start from this problem, the last one. So give it a try. [unclear] So you can try it. [unclear]",00:03:29
mhvtrve,35,tutor,So what does the question say?,00:04:05
mhvtrve,36,student,The table shows how far some children jumped in a long jump competition. Who jumped the farthest and won the competition?,00:04:09
mhvtrve,37,tutor,"Right, exactly. [unclear]",00:04:20
mhvtrve,38,background,So what do you think? [unclear],00:04:33
mhvtrve,39,student,I think it—,00:04:42
mhvtrve,40,tutor,3.4.,00:04:48
mhvtrve,41,background,3.4. Is it Max?,00:04:52
mhvtrve,42,tutor,Yes.,00:04:56
mhvtrve,43,background,"Okay, and tell me why. How do you think, how do you know he jumped?",00:04:57
mhvtrve,44,tutor,"Because through the ones, um, Rovan and Jamal got 2 and the rest got 3, so [Speaker] So it's not going to be those two. And then in the tent, Max got a 4, while the others got below 4.",00:05:03
mhvtrve,45,tutor,"Right, exactly. So that means Max is going to be the one. So let's write it. [unclear]",00:05:28
mhvtrve,46,tutor,"Can you hear me, Julian?",00:05:42
mhvtrve,47,student,Yes.,00:05:45
mhvtrve,48,tutor,"Okay. Right, there we go. So that is done. So that was the last question for this— [unclear] Hello?",00:05:46
mhvtrve,49,background,Hello?,00:05:59
mhvtrve,50,tutor,"Julian, is my voice breaking down?",00:06:00
mhvtrve,51,student,No.,00:06:04
mhvtrve,52,tutor,"Okay then. Right, so this was the last question.",00:06:06
mhvtrve,53,tutor,"So among these names, among these children, who has come the shortest distance, Julian? [unclear]",00:06:10
mhvtrve,54,background,Jamar. [unclear],00:06:22
mhvtrve,55,tutor,"Okay, that's great. So I think that's all. Before we go to the next topic, can you tell me one point, one important thing you would remember from this session, Julian? [Speaker] Go through the numbers. Go through all the numbers. Go through all the numbers. [unclear]",00:06:24
mhvtrve,56,tutor,Yeah. [Speaker] Before checking your number.,00:06:52
mhvtrve,57,tutor,"The digits? Go through the digits, I guess? [Speaker] Yeah.",00:06:56
mhvtrve,58,tutor,Okay. Right. So we have to check the columns one by one. So that's the important thing to remember when comparing decimals. [Speaker] Yeah.,00:07:00
mhvtrve,59,tutor,Okay.,00:07:08
mhvtrve,60,tutor,"So for the next topic, we have— let's see. Okay, multiplying and dividing whole numbers and decimals by 10 and 100. So let's look at the first question. You can try this calculation, Julian. [unclear] [unclear]",00:07:09
mhvtrve,61,tutor,Nice. Okay. So how did you find it?,00:07:36
mhvtrve,62,student,Because any decimal that's times by 100 is getting bigger.,00:07:45
mhvtrve,63,tutor,It's getting bigger. So what method did you use to times by 100?,00:07:52
mhvtrve,64,student,So I move all the digits [unclear],00:07:58
mhvtrve,65,student,I moved it just 2 times to the left.,00:08:04
