session_id,utterance_id,role,content,timestamp
imysjvx,0,background,[unclear],00:00:00
imysjvx,1,student,[UNCLEAR] [unclear],00:00:00
imysjvx,2,student,[unclear] [unclear],00:00:00
imysjvx,3,student,"Miss, I can't hear her and she said can I change my headset.",00:01:33
imysjvx,4,tutor,Hello? Hello? [unclear],00:03:30
imysjvx,5,tutor,"Okay, how about now, Tarik? Can you hear me?",00:04:24
imysjvx,6,student,Yeah.,00:04:27
imysjvx,7,tutor,"Okay, super. Right, that means we can start the session. Okay, so how are you doing today?",00:04:28
imysjvx,8,student,Good.,00:04:39
imysjvx,9,tutor,"Good, okay. So, what did you learn in the school today?",00:04:40
imysjvx,10,student,Nothing yet because we just came.,00:04:47
imysjvx,11,tutor,"Okay, nothing yet, right? So we are starting our first session in the morning today, right? Okay, Tarik, let's start. Today, can you read the title of the lesson?",00:04:51
imysjvx,12,student,Using mental strategies to divide.,00:05:02
imysjvx,13,tutor,"Yes, mental strategies to divide. Right, can you answer a prior learning question?",00:05:06
imysjvx,14,student,Okay. Here is one way to partition 243. 243 equals 243.,00:05:13
imysjvx,15,tutor,Yes.,00:05:22
imysjvx,16,student,"Okay, you could do— wait, I'm gonna check. You could do 243.",00:05:23
imysjvx,17,tutor,"Of course, 243. We can partition 243 like that. Brilliant, easy. Yeah.",00:05:36
imysjvx,18,tutor,"Right, shall we try out a learning goal question also, Tarik?",00:05:49
imysjvx,19,student,"Okay. Use a mental method to complete this calculation. [unclear] 95 divided by 5 equals... wait, let me count.",00:05:53
imysjvx,20,tutor,"Yeah, sure.",00:06:11
imysjvx,21,student,"65, 70, 75, 80, 85, 90, 95. 19. [unclear] 19,",00:06:11
imysjvx,22,tutor,uh-huh. Can you tell me how did you get to the answer? Like,00:06:25
imysjvx,23,student,"12 times 5 is 60, and then like I just counted in my 5 times table, and then when it was 19, it was 95. Brilliant. Yes. So you did a really great job here by completing both questions successfully. And okay, let's move to our Let's Learn slide. We can practice more, Tarik.",00:06:31
imysjvx,24,student,Okay.,00:06:56
imysjvx,25,tutor,Shall we try these questions?,00:06:57
imysjvx,26,student,Okay. [unclear] 70 divided by 7 is 10. And 10 times 10 is 100.,00:07:00
imysjvx,27,student,"14 times 7 equals 70. 14 divided by 7 is 7. No, it's not, it's 2. Is it 7?",00:07:07
imysjvx,28,tutor,"2, yes. Yes. No, no, it's 2. [unclear]",00:07:16
imysjvx,29,student,And then 2 times 7 is 14.,00:07:20
imysjvx,30,tutor,"Yes, yes, absolutely. That's correct. And yeah, here, how do we do this one?",00:07:25
imysjvx,31,student,"Okay, 84 divided by 7 is 12.",00:07:31
imysjvx,32,tutor,12. Okay. So can you tell me how easily you divided that number? Can you tell me how did you divide that?,00:07:35
imysjvx,33,student,"Okay, I know that like 84 is in the 7 times table and then 84 is like 12 number. Like, it's 7 times 12 is 84.",00:07:44
imysjvx,34,tutor,"Yes. And here we have 7 times 10 equals to 70 and 7 times 2 gives you 14, right? 10 2 gives you 12. Okay, brilliant. Let's come to our second question as well, Tarik. Super working out here. Shall [unclear]",00:07:58
imysjvx,35,tutor,we check your answer? Correct.,00:08:24
imysjvx,36,student,Is it time?,00:08:30
imysjvx,37,tutor,"Yeah, yeah, it's correct. Yeah.",00:08:31
imysjvx,38,student,"Okay, and then 60 divided by 12 is 5.",00:08:35
imysjvx,39,tutor,Yes. Now what is our complete answer?,00:08:39
imysjvx,40,student,"Oh, 15.",00:08:43
imysjvx,41,tutor,"15, yes, addition of these two. Super working out. Okay. Right, Tarik, let's come to our [unclear] and you do your turn slide. So I'll do my first question.",00:08:47
imysjvx,42,tutor,"I will come to help. Okay, let's do this one. Let's look at using factors as another way to divide in our head or with jottings, right? So here we have divided— actually, we partitioned— [unclear]",00:09:02
imysjvx,43,student,I can't hear you.,00:09:21
imysjvx,44,tutor,I can't hear you anymore. I can't hear you. So... [unclear],00:09:30
imysjvx,45,student,Now I can hear you. How about now?,00:09:41
imysjvx,46,student,"Yeah, I can hear you now.",00:09:56
imysjvx,47,tutor,"Okay, suddenly, uh, I don't know what is the problem today.",00:09:58
imysjvx,48,student,Yeah.,00:10:02
imysjvx,49,tutor,"Okay, anyway, 90 3 gives you 30, right? Then we have to divide— next, divide the answer by the other factor, right? Our answer was 30, and now we are going to divide 30 by 2. It's actually 15.",00:10:04
imysjvx,50,student,Yeah.,00:10:20
imysjvx,51,tutor,"So right there, for 90 division 6, how do I get the answer?",00:10:21
imysjvx,52,student,You add 30 and 15.,00:10:26
imysjvx,53,tutor,"No, we already divided 30 by 2.",00:10:30
imysjvx,54,student,I call 15. [unclear],00:10:34
imysjvx,55,tutor,"Yes, 15 is the final answer, okay?",00:10:37
imysjvx,56,student,"Oh, okay.",00:10:42
imysjvx,57,tutor,"Right, okay. Let's go ahead from the beginning, Tarik. I believe you have",00:10:43
imysjvx,58,tutor,"Some issues there, right?",00:10:48
imysjvx,59,student,Mm-hmm.,00:10:49
imysjvx,60,tutor,"Okay, first, uh, we found what are the factors for 6. Okay, so we got 2 times 3 gives you 6. Then we divided 90 by 3. Easily we can divide 90 by 3, so we took 3 there, and then we have 30. 30 divided by 2, the other factor. Okay, divided by the other factor, so 30 division 2 gives gives you 15. So the final answer is 90 divided by 6 gives you 15.",00:10:51
imysjvx,61,student,"Oh, okay, I understand now.",00:11:26
imysjvx,62,tutor,"Okay, brilliant. It's your turn. You can do your question.",00:11:29
imysjvx,63,student,"Okay, so, so 14 divided by— it can be 10 and 4. Okay, okay, find 2 factors. I did",00:11:33
imysjvx,64,tutor,"Okay, divide—",00:11:47
imysjvx,65,student,14? Wait a second. How do we get 10 times 4 equals 14?,00:11:48
imysjvx,66,tutor,"Oh, it's not. Okay, let's do it again.",00:11:54
imysjvx,67,student,"Okay, okay. So, 7 times 2 is 14.",00:11:59
imysjvx,68,tutor,Oh yes.,00:12:05
imysjvx,69,student,I thought it was add.,00:12:07
imysjvx,70,tutor,"No, you have to multiply.",00:12:09
imysjvx,71,student,"Okay, so divide one of the factors easiest in your head. Okay, so 112 divided by— I'll do 2 first. Can I do 2 first?",00:12:13
imysjvx,72,tutor,"Yeah, yeah, no problem.",00:12:25
imysjvx,73,student,"Okay, so 50— that's 56.",00:12:30
imysjvx,74,tutor,56. [unclear],00:12:36
imysjvx,75,student,Yeah.,00:12:41
imysjvx,76,tutor,Okay. And then 56 divided by 7 is going to be—,00:12:42
imysjvx,77,student,Okay.,00:12:50
imysjvx,78,tutor,"Hold on, I know this way. I just have to think. [unclear] 63 take away 73, and— okay, 8.",00:12:51
imysjvx,79,background,8. Brilliant. So what is the final answer?,00:13:05
imysjvx,80,student,8.,00:13:10
imysjvx,81,tutor,"8. Super. Awesome work. So the important thing— can you tell me which is the important thing here? What is the most important step here, Tarik?",00:13:11
imysjvx,82,student,divide the answer by the other factor. [unclear],00:13:11
imysjvx,83,tutor,"Yes, I thought partitioning is the most important thing, right?",00:13:37
imysjvx,84,student,Yeah.,00:13:43
imysjvx,85,tutor,"Yeah, so it depends on the partitioning. Actually, the answer depending on the partitioning, according to my opinion. So until you get a successful factors for this number, you'll get a great answer. You'll get the final answer correct. Okay, brilliant. Really good work. And yeah, shall we go to our next question? Next slide.",00:13:43
imysjvx,86,student,Yeah.,00:14:13
imysjvx,87,tutor,"Okay, let's move. Okay.",00:14:14
imysjvx,88,student,"Okay, can you use a mental method to solve the following calculation? [unclear] divided by 4.",00:14:23
imysjvx,89,tutor,Okay.,00:14:37
imysjvx,90,student,So do I need to do working out?,00:14:43
imysjvx,91,tutor,"Yeah, so how do you gonna working out with this question?",00:14:48
imysjvx,92,student,"Because we have Yeah, we have learned two methods here, right? This is partitioning, and here we learned, uh, how do we take two factors and get the final answer, right? So which method are you going to use?",00:14:52
imysjvx,93,student,"Um, we partition the 248.",00:15:13
imysjvx,94,tutor,"Okay, no problem. Then let's go ahead.",00:15:21
imysjvx,95,student,"Okay, it's gonna be 248.",00:15:24
imysjvx,96,tutor,"Okay, that's great. Okay, so 48, [unclear]",00:15:34
imysjvx,97,student,for 8 divided by 4 equals 12.,00:15:34
imysjvx,98,tutor,"12. Okay, now— oh, why is this not working? Okay, and then—",00:15:34
